,edit_history_tweet_ids,id,text
0,['1488943153902145536'],1488943153902145536,"Lynetteholmen er fastfoodpolitilk 🍟 Hurtig politik, der ser fed ud. Men er der bedre, billigere og mere klimavenlige alternativer? Det ved vi ikke 🤷🏽‍♀️for vi har ikke undersøgt det. Lad os tage en tænkepause #dkpol #kbhpol https://t.co/xbANBS30tH"
1,['1487720460129296384'],1487720460129296384,Min fede arbejdsplads søger en ny økonomikonsulent. Jeg har været enormt glad for at arbejde hos Danske Gymnasier! Måske du kender DG’s nye kollega? https://t.co/B1zXYtZBss
2,['1483545598980759555'],1483545598980759555,"RT @TorstenGejl: @ThomasRohden @alternativet_ - De bliver pålagt arbejdet
- Der mangler samtykke
- Der er en sanktion
Det er tvang nok for…"
3,['1482675066697662469'],1482675066697662469,@withaquest Ja god pointe
4,['1482647356168413184'],1482647356168413184,Vi skal have styr på Danmarks pengepolitik nu💰Markedet har længe været præget af hyperinflation #dkpol https://t.co/ovUoiE8yn0
5,['1480219592643514380'],1480219592643514380,@PerGOlsen @KaareDybvad Vi skal kigge på Danmarks pengepolitik først og fremmest. Prisen på boliger hænger stærkt sammen med udbuddet af penge fx afdragsfrie lån og særligt de store utilsigtede konsekvenser af fractional reserve banking
6,['1479867157097947142'],1479867157097947142,"Vi lever længere end nogensinde 👵🏽arbejdslivet er længere end nogensinde. Det kræver, at vi er gearet til de mange år. Betalte sabbatår i løbet af livet kan være en vej dertil #dkpol. https://t.co/OE1j3Ls1Ox"
7,['1479864160875913218'],1479864160875913218,@nilsrosted @mettereissmann @lauralindahl @TinaCartey Jeg glæder mig til arbejdet i bestyrelsen!
8,['1478115824867192837'],1478115824867192837,"Fantastisk at Socialdemokratiet vil “starte forfra” på ældreområdet! Frontpersonalet ved bedst, hvad den enkelte borger har brug for. Politik når det er ambitiøst! ⚡️Håber alle evalueringsforskerne er klar derude 📖#dkpol"
9,['1473238415713918980'],1473238415713918980,"@ngklausen @TorstenGejl Ah så forstår jeg bedre! Det kunne måske fungere 😊 I sidste ende ville der skulle blive nedsat en ekspertgruppe til at udarbejde en fornuftig model med inddragelse af borgere, så vi er sikre på modellen virker efter hensigten."
10,['1473205487139278850'],1473205487139278850,"@ngklausen @TorstenGejl Vi går også ind for borgerløn til alle i Alternativet. Der skal udarbejdes en fornuftig model, hvor man som borger dels kan leve af pengene og hvor samfundet dels kan finansiere modellen. Jeg vil dog tro SU niveau er for lavt, når borgerløn erstatter alle ydelser."
11,['1473013997591052295'],1473013997591052295,@fabrinjorgen @TorstenGejl Spændende tanker. Helt klaret oplagt at lave forsøg med og dybdegående evaluering. Vi mangler visioner i #dkpol
12,['1473013749745393665'],1473013749745393665,@kronborgsusan @TorstenGejl Hvorfor?
13,['1472667906945204232'],1472667906945204232,"@BackseatMario @TorstenGejl Fair nok. Fra et økonomisk synspunkt er jeg uenig. Det bunder i markedsfejl på de private markeder, som efter min mening betyder staten bør tage over med økonomisk forsikring/ydelser."
14,['1472664220516982785'],1472664220516982785,@BackseatMario @TorstenGejl Synes du også du er mindre værd når studerende modtager SU?
