,edit_history_tweet_ids,id,text
0,['1460629157138911236'],1460629157138911236,"Alternativet bakker op om den overborgmester, der vil stoppe Lynetteholmen og byggeriet på Amager Fælled. 💚

Er der ikke et flertal for det, må vi bakke op om det næstbedste alternativ. Det vigtigste for os er at arbejde for et ægte, grønt København. 
#dkpol #kv21"
1,['1460599201268740097'],1460599201268740097,"Husk at stemme! 

Rigtig god valgdag 💚 #dkpol https://t.co/kFrwsYkrEV"
2,['1459982853672951823'],1459982853672951823,"Kommunalvalget på tirsdag er et klimavalg. Og det er er valg om natur og miljø. Om hvilken type samfund, vi skal blive.

Jeg tror på, at vi kan blive et bæredygtigt samfund. Hvor naturen integreres langt stærkere i den politiske tænkning. 

Stem på det på tirsdag 💚 #dkpol https://t.co/0DtJbjQMc5"
3,['1459245602919915520'],1459245602919915520,"Ulighed, diskrimination og klimakrise er sider af samme systemkrise.      Det bæredygtige samfund, er et feministisk samfund✊🏼#stemgrønt #stempåenfeminist #dkpol #kv21 https://t.co/k74dOgIHJK"
4,['1459176331946737674'],1459176331946737674,"Kommunalvalget er et klimavalg - over hele Danmark! 

Stem ægte grønt 💚 #dkpol https://t.co/apGnnIEScF"
5,['1459176105592688677'],1459176105592688677,"@runelanghoff @alternativet_ @TScavenius @mikkelbahl @NytMomentum Tak, Rune! Kommunalvalget er i dén grad et klimavalg ✊"
6,['1458009534576857088'],1458009534576857088,"Stem på Københavns grønne valgforbund, hvis du vil bevare Amager Fælled og Stejlepladsen samt have et Øresund uden Lynetteholmen 💚
#dkpol https://t.co/GD6V9E1ZHZ"
7,['1456692605689925638'],1456692605689925638,"@AstridAller @Helena_Udsen @mette_annelie @koebenhavner @SFpolitik @alternativet_ @Enhedslisten @Klimabev @radikale @DenGroenneStud @greenpeacedk @ActionAidDK @verdensskove Men hvorfor stemme imod? Forslaget handlede jo netop om at sætte processen igang, så vi kan få CO2 skyggepriser med i den næste indkøbspolitik..😏"
8,['1456381258221621250'],1456381258221621250,Klimanøl på rådhuset🤦🏻‍♀️#dkpol #kv21 #stemgrønt https://t.co/D8l07WTNh2
9,['1456184236545826816'],1456184236545826816,"STEM PÅ DET GRØNNE VALGFORBUND
@KbhAlternativet har indgået valgforbund med @NytMomentum, @veganerpartiet og Grøn Omstilling til kommunalvalget i København. 

Du kan altså være sikker på, at din stemme ender et ægte grønt sted, uanset hvilket af de fire partier, du vælger. #dkpol https://t.co/m1l2n5JudW"
10,['1455875471338614785'],1455875471338614785,"STOP GHETTOLISTEN

I en tid, hvor vi mangler billige bæredygtige boliger, river man eksisterende almene boliger ned på baggrund af en racistisk “ghettoliste”. 

Gode boliger, der kunne stå i mange år. Det er forkert på så mange planer! #dkpol https://t.co/EAiHMb63qm"
11,['1455543297523556373'],1455543297523556373,RT @alternativet_: Vi kører land og rige rundt i disse dage. Mød Alternativet på Tour med Å-signalet og lyskanon i disse byer #tourdeÅ 💚🌱💚…
