,edit_history_tweet_ids,id,text
0,['1389259368814755848'],1389259368814755848,"RT @alternativet_: I Folketinget i dag, stillede @TorstenGejl  først et forslag om skat på benzin, flyrejser og kød - indtil en CO2-skat er…"
1,['1389259259247005702'],1389259259247005702,RT @RandiHjortholm: @TorstenGejl må have fortjent både fredags 🍺og ☕️og det er kun starten af ugen.
2,['1388508667561975812'],1388508667561975812,"Usandt fra Hans Hauge i @berlingske godt hjulpet af 
@RStoklund S, der bruger Å’s navn til at håne lærerne på fb og P1 for kronik i Berlingske, der kritiserer 
@Spolitik’s flygtningpol.
Å har ikke æren for den kronik. Har ikke haft kontakt med lærerne. Det er spin.#dkpol @dlforg https://t.co/fBAwXDGCn9"
3,['1388461104653864960'],1388461104653864960,RT @alternativet_: Alt forladt. Håber vi får nogle gode konstruktive debatter fremover. 👍
4,['1388098541306929156'],1388098541306929156,@philipta @Enhedslisten @radikale @SFpolitik Det er en kommentar til forhandlingerne om dansk landbrugs CO2 udledning.
5,['1388084035914805249'],1388084035914805249,RT @alternativet_: Den var ny 🤔 #demokratiersamtale #dkpol https://t.co/FCGlcTHVto
6,['1388044282175664129'],1388044282175664129,RT @alternativet_: 👇👍
7,['1387720610160254977'],1387720610160254977,"RT @alternativet_: Præcist som klimarådet anbefaler. Virksomhederne har brug for klarhed for fremtiden, så de kan investere i klimaet.

Lik…"
8,['1387720598332321795'],1387720598332321795,"RT @alternativet_: STOP KLIMASVIGT!

Regeringen har længe snakket om at ville gøre noget for klimaet - men det meste er endt i udvalg og sk…"
9,['1387424094593994755'],1387424094593994755,RT @alternativet_: På mandag foreslår Alternativet en principbeslutning om en CO2 skat på 1500kr/ton. Regeringen og de selverklærede grønne…
10,['1387416219221962753'],1387416219221962753,RT @alternativet_: En ny kvindebevægelse har set dagens lys i Danmark. #dkpol #longread #feminisme https://t.co/O6qvPIujOa
11,['1387371257545568256'],1387371257545568256,RT @alternativet_: Fremtidens landbrug det er nu! Vores politiske leder @FranciskaRosenk  har læst regeringens udspil for CO2-reduceringer…
12,['1387317157650968578'],1387317157650968578,"RT @FranciskaRosenk: KULTUREN HAR BRUG FOR AT VI HANDLER NU
Hvis der er et ønske om større kulturarrangementer til sommer, er vi nødt til a…"
13,['1387315487974043648'],1387315487974043648,RT @alternativet_: Det er ved at være sidste udkald! #dkkultur @FranciskaRosenk https://t.co/pzsFro2BKp
14,['1387137774956974084'],1387137774956974084,"Støttepartier, tag en dyb indånding og gentag efter mig:

- Vi SKAL reducere den danske kødproduktion markant. 

Både af hensyn til miljø, klima, natur og dyrevelfærd.

@Enhedslisten @radikale @SFpolitik 

https://t.co/TxilA2Geda"
15,['1387031624584421377'],1387031624584421377,"RT @AnjaEH8: Jeg er simpelthen så fuld af beundring for @TorstenGejl fra @alternativet_  💪
Nu i spørgetimen, hvor han sagligt, roligt og pr…"
16,['1387008491932499972'],1387008491932499972,"RT @alternativet_: Tak til @dlforg , @efterskolerne og @friskolerne mfl. @TorstenGejl kommer til at stille jeres spørgsmål til statsministe…"
17,['1387008479634788356'],1387008479634788356,RT @alternativet_: Socialdemokratiet har i disse dage været ude i heftige angreb på Alternativet og den danske lærerstand pga en kronik i B…
18,['1386593046221950978'],1386593046221950978,"RT @alternativet_: Så kører bussen! Vi har nået de 55.000 kr.!
TAK TIL ALLE STØTTERNE - over 150 danskere har doneret via Mobile Pay eller…"
19,['1386240646231560198'],1386240646231560198,"RT @alternativet_: Kl 11 i dag søndag kan I se @FranciskaRosenk mfl i Musikkens hus i Aalborg, i en debat om kulturen under Corona. Det liv…"
20,['1385679005408448518'],1385679005408448518,@Simontj_ Uværdigt.
21,['1385678486803816458'],1385678486803816458,"RT @Simontj_: Den her sag er grotesk og går simpelthen lige i maven på mig. Her sidder jeg i Aarhus med en BPA, en karriere, en kæreste, en…"
22,['1385678083454377985'],1385678083454377985,"RT @alternativet_: Fredag aften! 😀 Og vi har nået halvdelen af vores indsamling! 🎉🎉🕺
Den busreklame bliver en kæmpe event. Støt vores kamp…"
23,['1385678068535148548'],1385678068535148548,RT @FranciskaRosenk: En bæredygtig omstilling af vores landbrug nødvendig💚 #fremtidenslandbrugerNU #dkpol
24,['1385676752735903746'],1385676752735903746,"RT @raesondk: ""Med en holistisk og regenerativ tilgang skal vi producere anderledes, andre råvarer og skabe nye ejerformer, der åbner landb…"
25,['1384912350927593476'],1384912350927593476,RT @alternativet_: Så er vi 430 kroner fra at være halvvejs. Det er fantastisk. Tak Tor støtten. Lad os sammen stoppe Lynetteholmen! - http…
26,['1384910958108286977'],1384910958108286977,"RT @alternativet_: Mere end hver anden dansk forældre har sendt et sygt barn i institution!

I disse dage behandler Folketinget et borgerfo…"
27,['1384816382341263362'],1384816382341263362,"RT @FranciskaRosenk: Læs hele udspillet her:
https://t.co/F9gTD70wy9"
28,['1384816349537517569'],1384816349537517569,RT @alternativet_: Klimauret tikker. Lad os gå forrest! #dkpol #dkklima https://t.co/H77i9cbDZz
29,['1384498101608751105'],1384498101608751105,"RT @alternativet_: Op til landbrugsforhandlingerne lancerer Alternativet et nyt landbrugsudspil - ""Fremtidens landbrug er nu"" - det kan man…"
30,['1384430053027688448'],1384430053027688448,RT @alternativet_: 720 lastbiler gennem Kbh hver dag. I 30 år. Det er faktum. Ikke propaganda. Hjælp os få sandheden frem. Støt en bus! htt…
31,['1384184570728173572'],1384184570728173572,"Ja, den ide er da vidst ligeså grøn som regeringens bilaftale eller den “grønne” skatteaftale. Lad os se om det bliver det samme med landbrugsforhandlingerne. 😳 #dkpol https://t.co/RSkAwxGrzT"
