,edit_history_tweet_ids,id,text
0,['1324102032022818817'],1324102032022818817,"@Jens_Joel @venstredk @JakobEllemann Ja som socialdemokrat må det være overraskende og grænseoverskridende, at alle andre ikke er enige i den enevældige regerings beslutninger."
1,['1324075860085903363'],1324075860085903363,RT @LiseBech: En trist dag. 😢
2,['1324045701194616835'],1324045701194616835,"Det giver ikke mening med en total udslettelse af minkproduktion i DK. Må være muligt at staten hjælper med at isolere en grundstamme af avlsdyrene, så der kan genstartes en produktion efter Corona #dkpol"
3,['1323385577975259136'],1323385577975259136,@JeppeBruus God bedring. Håber du slipper med milde symptomer.
4,['1322864306011148289'],1322864306011148289,"@MadsRorvig @mfMorten @signe_munk @a_steenberg @KathrineOlldag @aahlers @troelslundp @JuulMona @LouiseElholm Kan vel også tolkes sådan, at det nuværende bilafgiftssystem virker, og vi derfor blot bør fokusere på, at elbilerne ikke stiger næste år."
5,['1322237159915573249'],1322237159915573249,"RT @Hans_Kr_Skibby: DF: Bundfradraget på 60.000 kroner for indtægter på sommerhusudlejning bør fortsætte næste år, hvor coronaen også vil p…"
6,['1322215190432305154'],1322215190432305154,"@JohsKrarup @Pia_Kjaersgaard Forhåbentlig tyskere men også danskere, der lige som i år vælger at holde ferie i Danmark."
7,['1322183952191414272'],1322183952191414272,"Flere sommerhuse til udlejning medfører flere turister, hvilket giver mere omsætning i lokale butikker og derved flere arbejdspladser. Det er ikke så ringe endda 😊 #dkpol #ferieidanmark https://t.co/53MzJxg0JO"
8,['1321791434836660230'],1321791434836660230,Enig med Krarup. Den går ikke i Jylland 😊 https://t.co/H0wDgcmxLE
9,['1321764559661793280'],1321764559661793280,"29% af de kommende ejendomsvurderinger rammer ved siden af et spænd på +/- 20 procent. Det kommer til at give tusinde vis af klager, og at folk bliver beskattet på et forkert grundlag. Det er ikke retssikkerhedsmæssigt forsvarligt.  #dkpol  https://t.co/1vYllU83vP"
10,['1321001044512559109'],1321001044512559109,@Sten_Knuth @rllindblom @venstredk @DIFidraet @DGI_dk @danskungdom @Firmaidraetten @skoleidraet @DKPolitik @DR1TV @tv2newsdk Opbakning her fra 👍🏻😊
11,['1320399383951822850'],1320399383951822850,RT @DanskDf1995: Coronakrisen har sat dybe spor i erhvervslivet. Der er mange danske arbejdspladser på spil. Dansk Folkeparti møder op til…
12,['1319975768634556416'],1319975768634556416,@LarsJakobsen65 @DanskDf1995 Fik aldrig muligheden 🤷‍♂️
13,['1319975425536380930'],1319975425536380930,@danielvasilios Sorry naturligvis 31 minutter men pointen den samme 👍🏻
14,['1319969760440930304'],1319969760440930304,"I går fik jeg en mail  kl 17.44 fra kulturministeren, som gerne ville mødes kl. 18.15 om corona situationen. Altså 29 minutter efter mailen er sendt. Ligner blot de så udadtil kan sige, at de skam samarbejder med Folketinget, men reelt kører solo."
15,['1319969116938174466'],1319969116938174466,"@Hans_Kr_Skibby I går fik jeg en mail  kl 17.44 fra kulturministeren, som gerne ville mødes kl. 18.15 om corona situationen. Altså 29 minutter efter mailen er sendt. Ligner blot de så udadtil kan sige, at de skam samarbejder med Folketinget."
16,['1319695379923935232'],1319695379923935232,Fredagshygge i Snejbjerg hallen med en gang badminton 😍 https://t.co/2uyOfzIjhK
17,['1319640075387494406'],1319640075387494406,"Læg mærker til partierne blot orienteres. Hvorfor inddrager regeringen ikke Folketingets partier i at lave en langsigtet strategi, som kan holde hele vinteren. En plan som giver forudsigelighed for erhvervsliv, foreninger osv. https://t.co/kMjw2dkkpg"
18,['1319623225425408000'],1319623225425408000,"Det er fredag og statsministeren holder pressemøde. Man bør af erfaring være bekymret, hvis man har bryllup eller barnedåb i weekenden. 
Mangel på respekt for folk, at regeringen altid melder ud fredag eftermiddag."
19,['1319556707064958977'],1319556707064958977,"@simonkollerup Hvorfor så sende vejledninger i høringer som mindsker vækst, aktivitet og liv i yderområderne?"
20,['1319556266365210625'],1319556266365210625,"@LDFdk @simonkollerup Lidt specielt at rose en minister for, at sætte antallet af udlejningsuger til det, som det allerede er nu. Det efter regeringen foreslog en forringelse."
21,['1318945835816767493'],1318945835816767493,"Fodboldklubberne har vist, at de kan håndtere coronasituationen. Jeg forstår ikke, at det skulle være mere sikkert at gå i et storcenter end på stadion #flerefanspaastadion https://t.co/uEIq3BMKJL"
22,['1318868461796397056'],1318868461796397056,"RT @DanskDf1995: @DanJorgensen er IKKE gået i gang med at kigge på, hvordan man sikrer, at alle husstande inden udgangen af 2020 har intern…"
23,['1318543159174070272'],1318543159174070272,@a_steenberg @radikale Tillykke Andreas. Velfortjent 😊
24,['1318542941313552386'],1318542941313552386,"@joachimcb Heller ikke så meget ved, at komme ind og se en kamp, hvor hjemmeholdet taber 🤭"
25,['1317849716726652928'],1317849716726652928,RT @PoulBroberg: Opbakning fra @DIFidraet til @flydtkjaer opfordring til flere tilskuere på stadion. Klubberne taber lige nu masser af peng…
26,['1317422512167440385'],1317422512167440385,Der skal flere tilskuere på stadion. Rammerne er der og superligaklubberne kan godt håndtere det på en forsvarlige måde. #flerefanspaastadion #dkpol https://t.co/xaXCSJCTgL
27,['1316693572507369472'],1316693572507369472,@DBUfodbold Godt initiativ og fuld opbakning her fra 😊
28,['1316693313408446466'],1316693313408446466,"Er helt enig med @DBUfodbold og Divisionsforeningen. Man kan godt håndtere mere end 500 tilskuere. Retningslinjerne er udarbejdet og testet, så lad nu klubberne vise, at der er styr på det. https://t.co/D89eyhtf0Z"
29,['1316342152713170946'],1316342152713170946,"@martinpoulsen @AndersBksgaard Ja vil gætte på telefonen er helt slukket, hvilket ikke er unormalt når man er syg med stress."
30,['1316336037292105728'],1316336037292105728,"@AndersBksgaard Mon ikke hun blot stadig ikke er rask nok til, at tage den store tur i medierne. Har selv været ramt af stress og det tager tid at komme helt ovenpå. Så forstår godt hun ikke tager alle opkald i dag."
31,['1316329572326137856'],1316329572326137856,RT @Digital_Agenda: Det her er vigtigt for fremtidens brug af bredbånd i Danmark. Vi skal kunne udnytte de nye WiFi-muligheder til fulde og…
32,['1314844654953811968'],1314844654953811968,@KathrineOlldag @AnniMatthiesen Ja den er ude
33,['1314688745677955078'],1314688745677955078,"@PSkipperEL @Enhedslisten De slipper vel ikke billigere, hvis de beskattes præcis med samme sats som i dag? Der er derimod tale om, at de så ikke får en stigning."
34,['1314648636706426882'],1314648636706426882,@pelledragsted Hvor tror du bankerne sender regningen hen? Den lille mand
35,['1314593124711362567'],1314593124711362567,@nikolajrytgaard Altid et populært træk 😂
36,['1314122430542229504'],1314122430542229504,@jesbc @ammitzbollbille Det er bedre at fejle med et projekt end slet ikke at gøre forsøget. Så ros for at i trods alt gjorde forsøget og godt kæmpet 😊
37,['1314121161542832130'],1314121161542832130,"RT @DanskDf1995: @Pia_Kjaersgaard har i dag overrakt en velfortjent roset til vores skatteordfører @flydtkjaer, der er blevet ridder af Dan…"
38,['1313893909274165248'],1313893909274165248,@FB_feriehuse @regeringDK @AnniMatthiesen @Torstenschack @BirgitteBergman @SorenPape @Hans_Kr_Skibby @a_steenberg @KatrineRobsoe Men det er jo netop det de har foreslået og har sendt i høring?
39,['1313219721261613062'],1313219721261613062,@RasmusBonneland @L_Aagaard @DanskEnergi Det bliver helt sikkert ikke politikerne der driver antallet af elbiler op. Det bliver derimod markedet og teknologisk udvikling.
40,['1312158263828340738'],1312158263828340738,"@KathrineOlldag @DanskDf1995 @folketinget Der står ikke noget i lovforslaget eller den politiske aftale om, at der sker udvidelser. Det er derfor vi foreslår det nu. Men hvis du er enig, hvad er problemet så?"
41,['1312152842560364545'],1312152842560364545,"@KathrineOlldag @DanskDf1995 @folketinget Det vi vedtog var en meget begrænset udgave, som gælder for fire brancher. Det er det vi vil udvide. Troede jeg faktisk også i ville?"
42,['1311980328442114051'],1311980328442114051,"@MadsRorvig @mfMorten @aahlers @MarcusKnuth1 @signe_munk @a_steenberg @JuulMona @KathrineOlldag Positivt at der er gang i salget af elbiler. Kan være man skulle overveje, at lave mindre om på reglerne, når de nuværende fungere ok. naturligvis med en bedre indfasning af elbiler de kommende år."
43,['1311759571325718528'],1311759571325718528,@ThomasFunding @AvisenDanmark Hvad sker der for alle er engelske navne? De bør revurdere navnene så de bliver på dansk.
44,['1311418750210580486'],1311418750210580486,Det er så vildt det her både for @fcmidtjylland og i det hele taget for dansk fodbold. Det er så godt gået 💪😍 https://t.co/qPVAKnoyuy
45,['1311358146296844289'],1311358146296844289,@MichaelHedelund @DanskDf1995 @DIFidraet Nu går det bare mere op i en højere enhed :-) Ser frem til samarbejdet.
46,['1311347359608188932'],1311347359608188932,"@StemLAURITZEN Som gammel IT mand ved man, at de helt sikkert må have en backup liggende, men den er de sikkert også kommet til at smide ud."
47,['1311343522964963329'],1311343522964963329,"@ABThulstrup Mange tak Allan, og tager naturligvis gerne et møde :-) Lad os koordinere på mail."
48,['1311342960311754754'],1311342960311754754,"Har fået posten som @DanskDf1995 nye medie- og idrætsordfører. Glæder mig til at arbejde med dette og spændende vigtige område. Beholder stadig Skat, turisme, færdsel, IT og tele, så der bliver nok at kaste sig over :-) #dkpol"
49,['1309127378891833347'],1309127378891833347,RT @DanskDf1995: Vores formand @Kristianthdahl sagde i går MEGET klart: EU-kommissionens nye forslag til EU-udlændingepolitik – det er en O…
50,['1309037697160433664'],1309037697160433664,RT @Hans_Kr_Skibby: Regeringen modarbejder reelt sommerhusudlejning og regional turisme udvikling ....   https://t.co/dV1oQ8ObNO  #dkpol
51,['1306979077207846912'],1306979077207846912,Elsker cykelsport og det bliver bestemt ikke mindre når en dansker vinder. Kæmpe tillykke til Søren Kragh Andersen 💪🇩🇰🇩🇰🇩🇰
52,['1306564030555881473'],1306564030555881473,"@NepperDK @regeringDK 70% målsætning er i forhold til udledning i 1990 for hele landet. De 30% for Aalborg Portland er af virksomhedens nuværende udledning på 2,2 mio. tons årligt. De to tal kan ikke sammenlignes."
53,['1305556520113967107'],1305556520113967107,Helt uacceptabel opførsel. Godt fjolset er anholdt og der er masser af vidner #dkpol https://t.co/9LLlzKLWOQ
54,['1304390316812906496'],1304390316812906496,"RT @signemolde: Jeg skal ha dit samtykke for at sutte din penis, men ikke for at skære i den? https://t.co/oDOMn7WdkP"
55,['1301517313875873793'],1301517313875873793,"RT @skaarup_df: Det er forkert at skære i raske børn. Derfor går @DanskDf1995 ind for en mindstealder på 18 år ved drengeomskæring, så de p…"
56,['1301485341078106119'],1301485341078106119,"@RasmusBonneland @radikale Som med alt andet, så bliver økonomien nu nok ret styrende for de løsninger der vælges 😊"
57,['1301227798644822016'],1301227798644822016,"Dybt utilfredsstillende at ejendomsvurderingerne igen udskydes. Man kan ikke engang sige klart, hvornår man så nu kan forvente de første vurderinger kommer ud. Bedste bud er OMKRING sommeren 2021. Tilliden til det system kan ligge på et meget lille sted. #dkpol"
58,['1301186402848256001'],1301186402848256001,"RT @DanskDf1995: Jesper kan ikke få lov til at få stegt flæsk med persillesovs på sit betalingskort. Nets mener, det kan være krænkende ove…"
59,['1300391652444516352'],1300391652444516352,"RT @Kristianthdahl: Hold op for et spin fra regeringen med den “krigskasse”! 9,2 mia kr lyder jo voldsomt. Men det er jo penge, staten skal…"
60,['1295697568010297344'],1295697568010297344,"Er tidlig pension en åben ladeport for EU borgere? Skal Danmark anerkende arbejde i andre EU-lande, og hvad kan Danmark i så fald kræve af dokumentation, ift. en Rumæner, der siger at han begyndte at arbejde 15 timer om ugen i Rumænien i 1978? Værd at få svar på. #dkpol"
61,['1293515921642926082'],1293515921642926082,"Prøver at være med på moden, da der er så mange der går med dem 😊 #BrugMundbind https://t.co/rZC3kT9jBK"
62,['1291013382905135108'],1291013382905135108,@DSKdanmark @ClausBoegelundN @johnwagnerdsk @regeringDK Venstre har for kort tid siden stemt for en markant stigning i grænsehandlen ved at hæve afgiften på cigaretter 🤷‍♂️ nu er man så klar til et livtag. Måske de skulle have stemt imod istedet.
63,['1290902197086158848'],1290902197086158848,"RT @johnwagnerdsk: Hvis bare halvdelen af omsætningen i tyske grænsebutikker kom tilbage til Danmark, ville gennemsnits-dagligvarebutikken…"
64,['1290730425195864064'],1290730425195864064,"RT @skaarup_df: DF foreslår nu, at en livstidsdom rent faktisk skal vare livet ud. Det skal være slut med strafrabat til kyniske mordere! #…"
65,['1290729992406663168'],1290729992406663168,"@JesperC65 @cordua_jarl @skaarup_df @Hans_Kr_Skibby @DSKdanmark @DanskDf1995 Det er en gammel mærkesag for DF, og konkrete initiativer på vej."
66,['1290729753897558021'],1290729753897558021,"@cordua_jarl @skaarup_df @Hans_Kr_Skibby @DSKdanmark Ved det kan være svært at forstå, men lavere afgift mindsker prisforskellen og derved mindre incitament til grænsehandel. Mindre grænsehandel er lig mere omsætning i dk og flere arbejdspladser. What’s not to like?"
67,['1290593405337296897'],1290593405337296897,Der er rift om den politiske ukorrekte Skipper Mix 😊 https://t.co/iHQPFoXe3U
68,['1290280071853305858'],1290280071853305858,Rolig nu. @espersendf er stadig en del af folketingsgruppen #dkpol https://t.co/zljrUx5qho
69,['1284407119350059010'],1284407119350059010,"RT @MrMesserschmidt: Hvis Danmark ender med at skulle betale 6,7 mia. kr. mere til EU.

For de penge kunne vi give 7.700 kr. ekstra udbetal…"
70,['1281321564273876992'],1281321564273876992,RT @Hans_Kr_Skibby: Vil de dygtige journalister ikke venligst lige give mig navnet på Socialdemokraternes kronprins og ligeledes på Venstre…
71,['1281321325802459137'],1281321325802459137,Fantastisk FCM 🇩🇰🇩🇰🇩🇰 https://t.co/cMFABuVKhl
72,['1275835537300086784'],1275835537300086784,"Ifølge skattestyrelsen: “.. det vil være ulovligt at tilbagebetale de penge, der er opkrævet ulovligt...” 😱😱

Hvis staten har opkrævet penge ulovligt, så skal man naturligvis have pengene tilbage. https://t.co/vEfGQabfYD"
73,['1272809634777239553'],1272809634777239553,RT @DanskDf1995: Affaldsaftale på plads. Desværre uden DF. Fjernvarmeselskabernes gæld er på næsten 70mia. Regeringen har ingen plan for af…
74,['1272071079352242177'],1272071079352242177,RT @Kristianthdahl: EU bevæger sig i den helt forkerte retning. Derfor skal modstanden skærpes! #dkpol  https://t.co/Ue1J372pgY
75,['1266470220165767169'],1266470220165767169,RT @Kristianthdahl: Fint med åbning for turister. Men hvorfor vente til 15. juni? Turistbranchen er SÅ parat til at tage imod gæsterne! #dk…
