,edit_history_tweet_ids,id,text
0,['614525717573947392'],614525717573947392,"Ærgeligt at V ikke vil give DF de indrømmelser der skal til. Nu bliver det en hård valgperiode for Løkke, som desværre kan blive kort."
1,['612383398628323329'],612383398628323329,"@JensJoensson @dortetoft så vil det nok være en ide, at i lader være med at anbefale jeres kunder at gøre det :-)"
2,['612382373745963008'],612382373745963008,"RT @larsfogt: #dkmedier #dkpol #smagløst DR laver liste, hvor de skriver grimt om nye DF'ere. Laver de også en om resten af MF'ere? http://…"
3,['611836916909121536'],611836916909121536,RT @tvmidtvest: Dennis Flydtkjær fordobler sit stemmetal i både Herning og Ringkøbing. #dkpol #fv15 #fv15vestjylland http://t.co/rXWlfLsms4
4,['611836673245192192'],611836673245192192,RT @dortetoft: UdkantsDKs probl. med bredbånd meget højt prioriteret hos DF. Og vigtigt. http://t.co/KW9yk1f3pQ #håndværkerfradrag @flydtkj…
5,['611625437874274304'],611625437874274304,Ser godt ud for DF også lokalt :-) tusinde tak for tilliden til dem som har stemt på os #vestvalg #fv15 http://t.co/CSFhHVCLWD
6,['611621412986572800'],611621412986572800,@RasmusENorup mange tak Rasmus. Det har i bestemt også. Fokuseret på fremtiden i stedet for fortiden
7,['611567660585906177'],611567660585906177,Så er der stemt med hjælp fra børnene :-) det bliver en spændende aften. #vestvalg #fv15 http://t.co/DHKxRxjG9O
8,['611258297946144768'],611258297946144768,RT @Torstenschack: HTS klædt af. @oestergaard nægter at give hånd til Thulesen Dahl på stop for boligskat. Bum. Slut. Færdig. Klædt af! #dk…
9,['611257681681235968'],611257681681235968,@Torstenschack @RasmusPrehn Torsten han gør blot hvad alle andre socialdemokrater har gjort her i valgkampen. Både glemmer og lyver
10,['611256999096008704'],611256999096008704,@madsbrynnum @Heunicke Det var da et fantastisk svar af Løkke. Ingen ved jo hvad de får med S og R sammen.
11,['611256664348577792'],611256664348577792,"Hvorfor giver Thorning ikke hånd med Østergaard på, at boligskatten ikke skal stige? Fordi det vil han ikke. #fv15 #tv2valg"
12,['610566392245583872'],610566392245583872,"RT @dortetoft: DF's it-ordfører Dennis Flydtkjær en af de få politikere, der går op i bredbåndsproblemerne #udkant http://t.co/Ktyv5J2XjZ"
13,['610560100617617409'],610560100617617409,RT @Digital_Agenda: Så kom bredbånd ind i valgkampen. En stribe konstruktive forslag fra @flydtkjaer: http://t.co/NMTabJVpgg - følger andre…
14,['610559850318274561'],610559850318274561,"@MARTIN_THIEMKE du skal da ikke brænde den, men gå ned og stemme blankt. Det er en bedre måde at gøre det på."
15,['608223856097165312'],608223856097165312,@birtheskyt @mettereissmann @Torstenschack hver gang S er til kommer der flere flygtninge. Tror du ikke den førte politik spiller ind?
16,['608223070243983360'],608223070243983360,@Jan_Andreasen @Astridkrag ja man skulle ikke tro hun har læst avis de sidste år. Måske tiden er gået med at danse naivt rundt.
17,['608222805814050816'],608222805814050816,"@Astridkrag en stemme på DF er en stemme på netop DF. Er en stemme på dig en stemme på de radikale? Højere boligskat, flere udlændinge?"
18,['608222493996949504'],608222493996949504,2011: en stemme på V er en stemme på Pia K. 2015: en stemme på DF er en stemme på Løkke. De er ikke så kreative i S presseafdeling #fv15
19,['608221823407423489'],608221823407423489,@mettereissmann @Torstenschack sjovt nok er der altid flere på flugt når S har regeringsmagten. Måske der var andre grunde
20,['608221350323437569'],608221350323437569,@Astridkrag Troede egentlig du var klog nok til at kende svaret. Det har været velkendt i hele Danmark i flere år. Kom nu op i niveau Astrid
21,['608190025147260928'],608190025147260928,RT @MartinHjort: @TarpCPH @flydtkjaer @Astridkrag I har ikke lavet andet end at udsulte kommunerne. 2/3 har haft minusvækst. http://t.co/9x…
22,['608023468278468608'],608023468278468608,@TarpCPH @Astridkrag 6 ud af 9 kommuner i Vestjyllands storkreds har haft minus vækst. På grund af jeres politik
23,['608019279871623169'],608019279871623169,"@TarpCPH @Astridkrag Tror det er almen viden i befolkningen at det er de Radikale, som har trukket S rundt i manegen siden sidste valg."
24,['608019015097843713'],608019015097843713,@TarpCPH @Astridkrag Så forklar mig lige hvorfor i har ført nulvækst i kommunerne i denne valgperiode?
25,['608018742241599491'],608018742241599491,"@Astridkrag @TarpCPH Det er et meget simpelt spørgsmål om i vil hæve boligskatten, stramme dagpengereglerne, lempe udlændige regler som R"
26,['608018334420975618'],608018334420975618,"@TarpCPH @Astridkrag Det er politik at de radikale vil hæve boligskatten, stramme dagpengereglerne, lempe udlændige regler, dyrere strøm"
27,['608011055005073408'],608011055005073408,"RT @MrMesserschmidt: .@TarpCPH jeg er vild med @uffeelbaek. Jo flere mandater til @alternativet_ , jo sjovere bliver det :-) #dkpol #eksper…"
