,edit_history_tweet_ids,id,text
0,['1535195091773673473'],1535195091773673473,"Det slår gnister i rød blok, hvor de @radikale som altid vil risikere det hele i kampen for en slap indvandringspolitik! #dkpol https://t.co/J0ReLvEUYR"
1,['1535188196945973251'],1535188196945973251,".@regeringDK har fuldstændig mistet styringen med dansk økonomi. Inflationen er på rekordhøje 7,4%! Det betyder et kæmpe velfærdstab for alle danskere. #dkpol https://t.co/NbDC9TlOHq"
2,['1534872924339027968'],1534872924339027968,"@SteenBocian Totalt uansvarligt af ECB at holde renten i negativt territorium. Årsagen er naturligvis, at Nordeuropa må betale for Sydeuropas massive overforbrug via høj inflation, fordi ECB ikke tør hæve renten, da det kunne udløse gældskrise i Sydeuropa."
3,['1534796054486564865'],1534796054486564865,"Jeg holder meget af vores broderfolk i Rigsfællesskabet på Færøerne. Men er bestemt ikke enig med færingerne i deres beslutning om at bryde boykotten af russiske skibe, der ønsker at lægge til ved de færøske havne. Det må I kunne gøre bedre! #dkpol"
4,['1534529372266299397'],1534529372266299397,"Forfærdelig hændelse i Berlin. Mine tanker går til ofrene. 🙏 Tiden, hvor gågader og pladser ikke er spærret helt af for biler, er nok passeret. Så trist! #dkpol https://t.co/kiz8vDCO1Z"
5,['1534169430191656960'],1534169430191656960,"Helt fantastisk nyhed: 100.000 danskere slipper for modregninger i deres pension. Denne yderst nødvendige lovændring har længe været fremmet af @danskdf1995. Nu modregnes der ikke længere, blot fordi ægtefællen er i job. Herligt. 🇩🇰 #dkpol https://t.co/YH2vrEjyAe"
6,['1534088070936633344'],1534088070936633344,"I Odense raser en dødsensfarlig bandekamp. Samtidig nægter @regeringDK at skærpe straffene for deltagelse i kriminelle bandeaktiviteter, og den undlader at skærpe loven til automatisk udvisning af dømte udenlandske bandemedlemmer. Uforståeligt! #dkpol https://t.co/axWrZMPBgy"
7,['1533935468676583425'],1533935468676583425,"Ikke verdens bedste landskamp af de danske drenge, men verdensklassemål af @JensStryger - det gav os sejren. Tak for det. Kom igen, Østrig !! ⚽️⚽️🇩🇰😁#NationsLeague #AUTDEN #Denmark @dbulandshold"
8,['1533876875667316736'],1533876875667316736,Det er umuligt at være uenig med @QvortrupHenrik i denne klumme! #dkpol https://t.co/obka8TPzGJ
9,['1533768448530071552'],1533768448530071552,"Der er i sandhed forskel på de typisk kvindelige ukrainske flygtninge og de typisk mandlige asylansøgere fra Mellemøsten. Hvor er det skandaløst, at @regeringDK ikke får sendt de mange åbenlyst grundløse asylansøgere fra Mellemøsten ud! #dkpol https://t.co/5huMdfYzyH"
10,['1533431259111862273'],1533431259111862273,Læs også: https://t.co/ltDSk12iqf
11,['1533431150466805761'],1533431150466805761,Adskillige førende økonomer advarer mod en forestående recession. Desværre har @regeringDK tømt kassen frem for at forberede os på den forestående økonomiske krise! #dkpol https://t.co/jVKHS19ruT
12,['1533387852142333952'],1533387852142333952,Det virker ærligt talt en smule opgivende af Mette Frederiksen at kaste samarbejdet med venstrefløjen under bussen. Men hendes støttepartier plejer jo omvendt at finde sig i hvad som helst uden at reagere! #dkpol https://t.co/IFMPCg1GfG
13,['1533375070286102528'],1533375070286102528,"Jeg må give @Pia_Kjaersgaard ret i dette. At kalde en kagemand eller en kagekone for en kageperson, er ganske enkelt for fjollet. Kan vi for en gangs skyld ikke bare gå tilbage til den gode gammeldags snusfornuft!? #dkpol 
https://t.co/R9jyZhiAsu"
14,['1533055876218617857'],1533055876218617857,"Jeg kan kun rose @koebenhavner og ikke mindst de fantastiske fagpersoner, der arbejder på den fremskudte skadestue ved Rådhuspladsen i København! Tak til jer. 🙏 #dkpol https://t.co/sfJqRa1fiP"
15,['1533020431397138432'],1533020431397138432,@ThomasHeie @mattiastesfaye Synes du har fat i nogle gode ting👍
