,edit_history_tweet_ids,id,text
0,['1566149429467430912'],1566149429467430912,"@DavidTrads @Lundbeck @novonordisk @APMollerBRK Ethvert frit selskab i et frit land afgør selvfølgelig fuldstændig frit, hvilken løn, selskabet vil betale sine ledere. Misundelse klæ’r dig ikke, David."
1,['1565727063495135233'],1565727063495135233,RT @sdriks: Så krossar vi kriminaliteten. In och lyssna på P1 nu efter att ni sett vår vafilm! https://t.co/hyPnMJcsKt
2,['1565695708958789635'],1565695708958789635,RT @jppolitik: Støjberg: Det skal være billigere at køre bil i provinsen – enorme besparelser på kultur skal betale regningen https://t.co/…
3,['1565694938888736768'],1565694938888736768,"En fabelagtig valgfilm fra @sdriks Sverigedemokraterna. Et dejligt billede af det Sverige, som ikke alene svenskerne, men også vi danskere husker, elsker og beundrer, men som nu, som følge af Jordens mest vanvittige udlændingelovgivning er truet på sin blotte eksistens. 🇸🇪🇩🇰🇸🇪 https://t.co/CttBBeCgBW"
4,['1564961244771139586'],1564961244771139586,"Som alle ved, ønsker jeg Statsministeren hen, hvor peberet gror, men vi kan ikke have, at hun af en chefredaktør sammenlignes med usle, korrupte diktatorer i en bananrepublik. Sådan er Danmark ikke og sådan er STM ikke! 😡 Tag dig sammen, Asger Juhl! @Spolitik https://t.co/0a0Q8KpgCA"
5,['1564884239195283457'],1564884239195283457,"RT @PrisonPlanet: Notting Hill Carnival

– 74 police officers injured
– One female cop headlocked &amp; sexually assaulted
– 8 other sexual ass…"
6,['1564622843102564352'],1564622843102564352,Hurra for @sdriks !!💪👍🇸🇪 https://t.co/BjRNCYUgTm
7,['1564331759420035072'],1564331759420035072,"Danmarks frihed og selvstændighed kommer først. Derfor kæmpe tak til vore væbnede styrker, fordi de passer så godt på os. Og til Dronningen fordi hun viser, at hun værdsætter dem mere end nogen anden. https://t.co/SmkBXacdB9"
8,['1564294028304195584'],1564294028304195584,"Hun er rablende …😳
Magdalena Andersson: SD precis som nazisterna https://t.co/Vh1qvSWe2T"
9,['1564293450530529281'],1564293450530529281,RT @forsvaretdk: Lige nu markerer @forsvaretdk Hendes Majestæt Dronningens regeringsjubilæum med flådeparade og overflyvning af bl.a. F-16-…
10,['1563843484712423425'],1563843484712423425,"Trist at erfare, at Mogens Palle er død. En gigant i dansk boksning. Talte rigtig meget med ham, da jeg var BT journalist. Altid hyggelig og ordentlig! https://t.co/5v1ldIwxaC"
11,['1563218728225222663'],1563218728225222663,"Jeg forstår, at Rasmus Prehn nu har afleveret sit ministerielle kreditkort… Det her bliver mere og mere surrealistisk, for nu har vi med at gøre en minister, som erkender, at han ikke kan styre sig selv, når det drejer sig om at misbruge offentlige midler. Frygtindgydende…!😳"
12,['1563043173555138561'],1563043173555138561,RT @Hans_Kr_Skibby: Læs lidt om hvorfor jeg syntes vi skal holde den gode kurs for de maritime erhverv i DK …. https://t.co/GyARiyIFS1  #dk…
13,['1563042581952745472'],1563042581952745472,RT @SusieJessen: https://t.co/YLx7ab0w3E
