,edit_history_tweet_ids,id,text
0,['1432680317060538374'],1432680317060538374,Sikke noget gedigent vrøvl…! https://t.co/qGuK0lf5I3
1,['1432594542142832648'],1432594542142832648,"Jeg synes, det er et supergodt billede, Jim Lyngvild har skabt af vølve-minister Ane Halsbo-Jørgensen, og det er altså endnu ikke lykkedes mig at blive forarget. Kør på, Jim - og tag dig ikke af sure præster... ! https://t.co/oUW11AUS96"
2,['1432431015541215232'],1432431015541215232,"Pape frier til Sofie Carsten Nielsen… Ikke lykkelige udsigter!!
https://t.co/b8a65pKZZx"
3,['1432338039637004292'],1432338039637004292,"@MBrgger Nå… tak, jamen super citat alligevel…😄🇩🇰"
4,['1432336732331155456'],1432336732331155456,RT @forsvaretdk: I dag lettede et dansk kampflybidrag på fire F-16 kampfly og 56 soldater fra Flyvestation Skrydstrup. De skal lede NATOs l…
5,['1431890293561991175'],1431890293561991175,"Jeg bryd’s mig slet ikke om at se en myndighedsperson, knælende mod Mekka. Ingen af muslimerne mødte i øvrigt bagefter op til vaccination i moskeen https://t.co/kgnPmRGvqa"
6,['1431289971621642246'],1431289971621642246,"Tak, Pia, for en fabelagtig blog! Herligt og nødvendigt opgør med “woke” https://t.co/L5yEO6Qkdi"
7,['1431234532653600769'],1431234532653600769,RT @jyllandsposten: Messerschmidt: Det er afgørende positivt for mig https://t.co/s1vkm1pMjl https://t.co/utUBl2j9Cd
8,['1430979241605312515'],1430979241605312515,"Jeg erfarer, at Ellemann og Venstre vil have folkeafstemning om EU-forsvarsforbeholdet. Ja, I kan jo prøve - bare I ved, at I får bank igen! https://t.co/J44lXZ6vOq"
9,['1430975627365060611'],1430975627365060611,RT @DenKorteKirsten: Det hele er politisk! https://t.co/99uz3Vl950
10,['1430975392324669443'],1430975392324669443,RT @HarringNana: Dansk Folkeparti er helt tydeligt det eneste parti på højrefløjen der forstår vigtigheden af nærvær og menneskelige kompet…
11,['1430975281045639170'],1430975281045639170,VILD UDVIKLING! https://t.co/uEepuFWgxe
12,['1430756379392937991'],1430756379392937991,RT @DanskDf1995: SE KRISTIANS STØTTE TIL SYGEPLEJERSKERNE👇 https://t.co/PKmsNeQMXG
13,['1430423816392609794'],1430423816392609794,Det er altså ikke godt med ham dér Biden som præsident. Måske burde han snart overlade sagerne til Kamala Harris. Hende har jeg faktisk rimeligt gode forventninger til https://t.co/zyf1MHs3P1
14,['1430419883276345344'],1430419883276345344,"Bemærkelsesværdig sag, som vi må og skal have Udenrigsministerens forklaring på - og den skal være god…! https://t.co/TAhZ9Ps0WV"
15,['1430394851686850563'],1430394851686850563,RT @CarlaHSands: https://t.co/k3FoujIVHJ
