,edit_history_tweet_ids,id,text
0,['1480143339324387330'],1480143339324387330,"Kan det passe, at man høre Mette Frederiksen kritiserer @VUngdom for at føre en amerikaniseret kampagne? Det er næsten for sjovt... #dkpol https://t.co/Ruj2RGWXwT"
1,['1479890138830360581'],1479890138830360581,"Det er meget få, der i vor tid har betydet så meget for Danmark som @Pia_Kjaersgaard Derfor er det en stor ære, at Pia ikke bare nu udtaler sin opbakning til mig som formand. Men i særlig grad, at hun er villig til at indtræde i partiets ledelse. https://t.co/EUoUo8ZT3W"
2,['1479531903074111489'],1479531903074111489,@josephfavilla @PernilleVermund Første kvindelige arbejder-minister
3,['1477744467503419404'],1477744467503419404,"Det underlige er da ikke, at @PernilleVermund ikke er med på billedet. Det store spørgsmål er, hvad Özlem Cekic, Pia Olsen Dyhr, Johanne Schmidt og Mimi Jakobsen laver der, mens fx Fanny Jensen ikke er med..? 

https://t.co/SztHTLGTR4"
4,['1477652188587515912'],1477652188587515912,"Og hermed håber jeg, at debatten om DFs vedtægter samt min og Peter Kofods model for årsmødet, kan være slut. Fortsat god Hellig Tre Kongers søndag #dkpol https://t.co/BLbKM83zgb"
5,['1477359309386301440'],1477359309386301440,@JeppeKofod Men idag er det jo mindsteløn- og barselsunion. Hvad gør I ved det..?
6,['1477335763964542978'],1477335763964542978,RT @BertelsenMikael: Statsministeren har holdt nytårstale hver uge i de sidste to år…
7,['1477334400136318983'],1477334400136318983,"Mette Frederiksen har lavet tre finanslove uden at tilgodese de ældre. Nu kopierer hun så DFs forslag om en ældrelov! Det vil jeg se, før jeg tror det. Lige før jul sagde hun nej til vores forslag om minimumsstandarder i ældreplejen… Hvad er der sket siden? #dkpol"
8,['1477334126596341769'],1477334126596341769,"Heller ikke den igangværende bandekonflikt havde statsministeren overskud til at mene noget om. Trist. Sender et utrygt signal til de mange, der oplever utryghed i gaden... #dkpol"
9,['1477333470179377155'],1477333470179377155,Hvor var handicapområdet i statsministerens tale? Dronningen nævnte det passioneret og oprigtigt i går. Betyder det ingenting fra regeringen? En meget mærkelig prioritering... #dkpol
10,['1477333106965327875'],1477333106965327875,"Ikke et ord om mink og sms’er. Men det var nok ventet. Til gengæld er det bemærkelsesværdigt, at der ikke var eet ord til de mange, der kæmper med stigende varme- og elpriser. Hvor er den sociale balance, Mette Frederiksen? 🤔 #dkpol"
11,['1476841484888559634'],1476841484888559634,"RT @SociologenHD: Slår et slag for den frimodige neorindalisme og de kulturhistoriske museer i dagens Berlingske.

#dkpol https://t.co/nqpG…"
12,['1476840390946967554'],1476840390946967554,"RT @espersendf: Så er yderligere 60 danske jægersoldater på vej til det blodige islam-virvar i Mali, hvor vi absolut intet har at gøre. Nyt…"
13,['1476182850353483780'],1476182850353483780,"Ikke alt i grundloven er perfekt. Men åbner vi for en ændring, vil det være som at åbne Pandoras æske for venstrefløjens ideer om alverdens internationale konventioner, der skal stå over dansk ret. Så lyt til Pias kloge ord #dkpol 

https://t.co/UVhsmIgbCv"
14,['1475787854194356226'],1475787854194356226,Hård kurs imod bandekriminalitet. Tryghed i gaderne..! #dkpol https://t.co/je03Hfnid8
15,['1473543200434446336'],1473543200434446336,"Museumsloven trænger til en opdatering, og meget af det, ekspertgruppen anbefaler, kan vi i @DanskDf1995 godt genkende. Men jeg kan ikke tiltræde en stemmeaftale, før høringerne er afsluttet. Derfor er vi ikke med her… #dkpol #dkkultur
https://t.co/xpMRURIXpN"
16,['1472968950380212224'],1472968950380212224,"Anklagemyndigheden forklarede i dag i Østre Landsret, at man ikke rigtig kan sige, hvad et Like egentlig dækker over. Det var deres forsvar for Dommer Seerup. Lidt pudsigt, eftersom de selv bruger likes i corona-sager… #dkpol https://t.co/FwPRbR12lM"
17,['1472267608430940161'],1472267608430940161,https://t.co/F2mn07cBM0
18,['1472123880441536515'],1472123880441536515,"Sidste uge havde jeg et af Danmarks største operanavne som gæst i kammertonen. For tiden synger Johan Reuter nemlig i Danmark - i Verdis Maskeballet på Det Kongelige Teater

Hør ham fortælle om forestillingen her https://t.co/Ce74lu4uWW"
19,['1470394782618951685'],1470394782618951685,"Jeg er rystet. Gennem hele sagen imod Inger Støjberg har jeg været overbevist om, at hun ville blive frifundet.
Inger er en fantastisk person og politiker. Jeg sender alle varme tanker til hende. Dommen ændrer ikke på, at jeg stadig deler Ingers kamp imod barnebrude. #dkpol"
20,['1469698237183533060'],1469698237183533060,RT @hansersej: Så blander @Nigel_Farage sig sgu i DF’s formandsvalg https://t.co/nhQezLJUDQ #dkpol
21,['1468834559689117701'],1468834559689117701,Dagen derpå 😅 Tak til @denuafhaengige for at lade mig være onsdags-morgenvært #takforkop #godmorgen #december #kaffe https://t.co/CN7Ks27TkI
22,['1468545090109026305'],1468545090109026305,Vi har brug for et nyt talentprogram i DF! Det har jeg gjort mig nogle overvejelser om i @btdk – sammen med DFUs formand @Tobiasweische Samme kan vi gøre @DanskDf1995 store igen 💪🇩🇰 #dkpol https://t.co/1XwRVFBVdl
23,['1468458841008443392'],1468458841008443392,"Morgenvært på @DenUafhaengige 😀
Lyt med 7.00 - 9.00 #dkpol #radio https://t.co/j9QJJgQFG0"
24,['1468204509403000839'],1468204509403000839,"Hver eneste gang, Mette Frederiksen bliver presset i samråd, kommer der et corona-tiltag, der skal tage mediepresset. Bevidst strategi? 🙄 #smsgate https://t.co/7Yrdi26tB4"
25,['1468190557835038720'],1468190557835038720,"Nu ved vi, hvor enkelt det er at finde ud af en politikers antal af telefoner. Nu må vi have et svar..!! #dkpol #smsgate 

https://t.co/SSJZ324mFM"
26,['1468160738455965700'],1468160738455965700,"I dagens samråd fastholder statsministeren, at hun ikke ved, hvor mange telefoner hun har haft i sin tid som statsminister. Nu bad jeg lige Folketingets IT-afdeling oplyse mig, hvor mange gange jeg har skiftet telefon. Det svar fik jeg på et kvarter. https://t.co/bg9qYViQcH"
27,['1467802072041074695'],1467802072041074695,"Ah, @DanJoergensen  Kan det virkelig passe, at Socialdemokratiet ikke har lavet beregninger på en rød roses livcyklus??? 😏 #dkpol #klima https://t.co/FLzpeQGYan"
28,['1467035370856591364'],1467035370856591364,"Folketingsmedlem Mette Dencker melder sig nu også som stiller og bakker op om Peters og mit projekt for genrejsningen af Dansk Folkeparti Tak, Mette for opbakningen! Alle, der vil DF, er velkomne på holdet 💪🇩🇰
#dkpol #df #dkmedier 
https://t.co/ScaQEHxGAc"
29,['1466017588752830464'],1466017588752830464,Tak til @flydtkjaer for opbakning til @KofodPeter og mig 😀🇩🇰🇩🇰 #nyformand #df #fremad https://t.co/NzXHwhE1fs
30,['1460528239672184833'],1460528239672184833,Uddeling af foldere og morgenbrød ved hovedbanen i København. God start på valgdagen 😀🇩🇰 @ Copenhagen https://t.co/mdfiZfpa2v
31,['1458712701186850816'],1458712701186850816,"Hvis nu samme menneskerettighedssystem ikke forhindrede os i at sende kriminelle hjem til afsoning i Østeuropa, ville problemet sjovt nok ikke eksistere..! #dkpol https://t.co/lNkVT5mfLy"
32,['1458395058051461120'],1458395058051461120,"Mette Frederiksen er ikke bare den, der bruger flest penge til Facebook. Hun går også helt til grænsen af markedsføringsloven for at reklamere på TV... #dkpol #dkmedier https://t.co/6hUw3NKm8W"
33,['1456658971608195080'],1456658971608195080,Next stop: Bahaba-bar i gladsaxe. Ses vi? #gæstebartender med @susannedamsgaarddf https://t.co/LHtmAxWW1c
34,['1456164328307056642'],1456164328307056642,Har lige slået et billede op https://t.co/RWczo77HRj
35,['1453604702357266434'],1453604702357266434,"@sorenpind Sjældent jeg bruger engelske ord, men det her er altså Bullshit... sms’er fylder intet - og uanset om der er video og billeder, så fylder det ikke din iPhone op på 14 dage. Det her er et rent og skært forsøg på at forsvare din gamle DEP-chef. Indrøm det dog og kom videre."
36,['1453601820778115072'],1453601820778115072,"Hvis der er slettet sms’er kan der også være slettet mails. Og de kan genskabes. Vi må til bunds i det her og derfor må alle mail-indbakker gennemses for slettede mails. Derudover vil jeg gerne have telefon-notater på de samtaler, der har været ført i forbindelse med dette #dkpol https://t.co/xDWInjIoss"
