,edit_history_tweet_ids,id,text
0,['857509424348508161'],857509424348508161,@Kristensenberth med super tale på FTs talerstol netop nu om #europol #dkpol
1,['856844304278577152'],856844304278577152,RT @Kristianthdahl: Peberspray bør være lovlig. Folketinget har chancen i dag! #dkpol https://t.co/XupVAAk6Hw
2,['856844295231483905'],856844295231483905,RT @DanskDf1995: Man skal have lov at have en peberspray i sit eget hjem til selvforsvar. Forslag i FT-salen i dag. Bakker du op om forslag…
3,['856810690392281091'],856810690392281091,Glæder mig til debat om - og forhåbentlig legalisering af - peberspray senere i dag i FT #dkpol https://t.co/1jFD77V2Va
4,['855384408567803904'],855384408567803904,"RT @Kristianthdahl: MF Martin Henriksen træder i dag ind i Dansk Folkepartis
ledende koordinationsudvalg. Velkommen Martin:) #dkpol https:/…"
5,['855342357746778116'],855342357746778116,RT @BundgaardSkibby: Støtter @Spolitik virkelig HTS i hendes kamp for at sabotere den solidarisk forankrede danske realkreditmodel? #dkpol…
6,['851403604590198786'],851403604590198786,@RohlChristopher 33 mia er pris for ikke-vestlig(alene). Vestlig indvandring genererer overskud if FM - derfor samlet 28 mia.
7,['851396019719942144'],851396019719942144,RT @skaarup_df: 33 mia. kr. kostede ikke-vestlige indvandrere og efterkommere i 2014 - viser rapport. Behov for en ny asyl- og indvandrings…
8,['851395112299003904'],851395112299003904,33 mia om året er godt nok mange penge! Ikke-vestlig indvandring koster kassen.. #dkpol
9,['850349030660091904'],850349030660091904,Forfærdelige nyheder fra Sverige! Medfølelse for ofre og efterladte..
10,['849159636230053888'],849159636230053888,"RT @BundgaardSkibby: Idag fremlægger jeg DF's omfattende erhvervstiltag, som på en række områder vil styrke danske erhverv ... @dkpol https…"
11,['845305856099061761'],845305856099061761,"Super god bandepakke! Rigtig mange gode, stærke punkter m klar konsekvens for banderne.
Tak til @SorenPape og @Trinebramsen for samarbejde😊"
12,['845301286216105984'],845301286216105984,"RT @skaarup_df: Flertal for vaskeægte DF-politik: Krav om ophold eller beskæftigelse i 6 år her i landet, før fuld adgang til børnecheck. #…"
13,['845298783730761732'],845298783730761732,En god dag!👍🏻😊 https://t.co/8kmOrMe2QG
14,['844865122438823938'],844865122438823938,RT @skaarup_df: Vi skal kunne afvise asylansøgere ved grænsen. Forslag fra DF bliver behandlet i Folketinget i dag. #dkpol https://t.co/qxT…
15,['842824699495272448'],842824699495272448,RT @GJakobsen_dk: Tak for spm @KofodPeter @Radio24syv. @SorenPape @redbarnetdk ka godt li' kaffe. Drøfter  gerne #groomingforbudt og tidlig…
16,['842452015238242306'],842452015238242306,"RT @DFUngdom: Vores politiske næstformand er i går blevet verbalt overfaldet og overhældt med vand til en debat i kbh, nej til politisk vol…"
17,['841936592172384256'],841936592172384256,RT @DanskDf1995: #dkpol https://t.co/ndYzsVgkXM
18,['841935323730980865'],841935323730980865,"RT @ClausBoegelundN: Desværre for mange, der ikke kan kende forskel på dit og mit. @KofodPeter og #dkpol har fokus på bedre brug af videobi…"
19,['841593606737690624'],841593606737690624,RT @DanskDf1995: Så er der nyt ugebrev fra KTD: https://t.co/fUkImWaedF #dkpol
20,['840109261162078209'],840109261162078209,"Der skal ryddes op hos Rigspolitiet. Selvfølgelig skal udbudsregler overholdes. Godt, Rigspolitiet melder åbent ud i dag om problemer."
21,['839440362661888000'],839440362661888000,RT @BjerknsC: Smid sløret og bryd tavsheden! Det er også jeres kampdag. Hilsen @DFUngdom #dkpol #8marts #ligestilling https://t.co/DKddc6rH…
22,['839426347088953345'],839426347088953345,"RT @skaarup_df: En god annonce fra DF, der rammer præcis. #8marts #dkpol https://t.co/WNOPRAg1qy"
23,['839128959296090116'],839128959296090116,RT @DanskDf1995: Vi skal investere mere i vores sundhedsvæsen #dkpol https://t.co/ml2TyPnrtC
24,['837264274657542144'],837264274657542144,"Hvis jeg bar hat, så havde jeg taget den af for @SorenPape i dag. God melding på samråd i retsudvalget om logning. #dkpol"
25,['837022059951697920'],837022059951697920,"Så de maskerede autonome mener, at politiet er skyld i balladen på Nørrebro i aften?! Fake news! #dkpol"
26,['837016074826760192'],837016074826760192,I øvrigt en flot t-shirt @DFUngdom lavede for 10 år siden.#dkpol https://t.co/t93mJc35qa
27,['837012892155281408'],837012892155281408,Stor respekt for betjentene på Nørrebro! De gør det rigtig flot! #dkpol
28,['837011607922348042'],837011607922348042,10 år er gået. Og de autonome fjolser  kan stadig ikke opføre sig ordentligt.. #dkpol
29,['830471017776742400'],830471017776742400,"@BjerknsC @DFUngdom kæmpe tillykke, Chris! Godt gået! 🇩🇰👏🏻👍🏻😊"
30,['829628048085569542'],829628048085569542,RT @MerianGarde: @KofodPeter og Preben Bang efterforsker i aften mystisk indbrud i kapel med en af Danmarks sidste landbetjente #Langtfrabo…
31,['829349203327451137'],829349203327451137,RT @skaarup_df: Det bestialske angreb på en ung mand med afghanske rødder er decideret modbydeligt. Dybt uacceptabelt! #dkpol https://t.co/…
32,['827184514053054468'],827184514053054468,RT @ClausBoegelundN: .@KofodPeter: brug for bedre brug af videobilleder v/ kriminalitet i butikker - på konference hos #DSK. Enig! #dkpol h…
33,['826544212485210117'],826544212485210117,RT @DRNyheder: Østrig indfører burkaforbud https://t.co/G9VtuzvJQv https://t.co/XBpbbhC4e0
34,['825761195881857024'],825761195881857024,RT @espersendf: Folk fra syv lande klager over indrejseforbud i USA. Nå...! Der er ingen af de syv nævnte lande som tillader israelere at k…
35,['824726735316979713'],824726735316979713,@peterkofod haha!😂 jeg takker! 😊
36,['824188844845240320'],824188844845240320,"Til høring om hævnporno i FT. Brug for handling. Bl.a. mere oplysning, højere straffe, opgradering af politi på nettet. #dkpol"
37,['821995934062182400'],821995934062182400,RT @Kristensenberth: Alle partier undtagen @DanskDf1995 skifter i dag holdning til optagelse af Tyrkiet i EU. I EP stemte de for suspension…
38,['820199004143308801'],820199004143308801,RT @ClausBoegelundN: Tak @KofodPeter for fokus på stort problem i #dkdetail. Gode billeder og bevismateriale bør anvendes bedre. #dkpol htt…
39,['817716534143549440'],817716534143549440,Grisefesterne ikke betalt for EU-penge... Pinligt. Så pinligt..! https://t.co/dGlmQypMi4
40,['812409175506554881'],812409175506554881,RT @espersendf: Skamfuld resolution mod Israel i FNs Sikkerhedsråd til aften. Obamas sidste spark mod det jødiske folk inden han slutter so…
41,['812293604081340416'],812293604081340416,"Den formodede terrorist krydsede flere landegrænser. Utrygt! Gad vide, hvor længe befolkningerne vil finde sig i grænseløst Europa..? #dkpol"
42,['809314598834814976'],809314598834814976,"RT @MFjeppejakobsen: #demens plan landet, fokus på forskning og efteruddannelse af plejepersonalet skal sikre at nyeste viden kommer de dem…"
43,['809314574205911040'],809314574205911040,"RT @Blixt22: Flere penge til udredning, kompetenceløft, pårørende indsats er blot noget af det vi i DFser frem til i #demensplanen #dkpol #…"
44,['808969567515066368'],808969567515066368,"RT @skaarup_df: DF's FL-ordfører, René Christensen, fremhæver indførelse af politikadetter til grænsekontr., der frigiver betjente til kred…"
45,['808969537680973824'],808969537680973824,"RT @skaarup_df: Ros til 3F fra DF's FL-ordfører, René Christensen, under dagens debat for opbakning til markante DF-aftryk i #fl17 om soc.…"
46,['808960103651168256'],808960103651168256,RT @MFjeppejakobsen: 3. Beh. Af #fl17 DF aftryk betyder offentlig vækst og bedre forhold for vores ældre. #dkpol #godtarbejde https://t.co/…
47,['808408658409353220'],808408658409353220,"RT @skaarup_df: Minsandten om ikke det kunne lade sig gøre uanset nej'et at lave en aftale, så Danmark kan gøre brug af Europols registre!…"
48,['808363975993950212'],808363975993950212,RT @MartinGArnoldus: Fin partiledermåling https://t.co/bMb8QytTIp #dkpol
