,edit_history_tweet_ids,id,text
0,['1499409614957420550'],1499409614957420550,Kunne desværre ikke være tilstede i folketingssalen i dag pga corona. Ville gerne have vist respekt overfor ambassadøren og det ukrainske folk og dermed foragt for den russiske invasion. DF støtter Ukraine og NATO helhjertet.#dkpol https://t.co/LbkB6qXANd
1,['1498973767397220352'],1498973767397220352,RT @Hjemmevaernet: Søren Gade tiltræder i dag jobbet som kommitteret- den civile chef - for Hjemmeværnet. Han har med sine 41 år som frivil…
2,['1498900510212075520'],1498900510212075520,RT @flydtkjaer: @SimonVanggaard @DanskDf1995 Stort tillykke Simon. Kan ikke forestille mig nogen bedre end dig til den opgave 😊
3,['1498765707235971072'],1498765707235971072,Tillykke kære Søren.. du bliver en god chef #dkpol https://t.co/QRERtWpdYc
4,['1498589095970455552'],1498589095970455552,"Sådanne udtalelser gør rigtig ondt på de ukrainere, der bor i Danmark. Det bør absolut være et enigt folketing, der bakker op om Ukraine og fordømmer Putins invasion. #dkpol https://t.co/YcYrxgEsrt"
5,['1497901538148298754'],1497901538148298754,"“Vi skal fastholde dansk som hovedsproget i Danmark. Vi skal fastholde, at den forskning, som finder sted i Danmark, først og fremmest skal foregå på danskernes præmisser” læs mit nye ugebrev her👇 https://t.co/Tr4LUPPqZE #dkpol #dkmedier"
6,['1497606681903124486'],1497606681903124486,"RT @JensRingberg: Der findes også udmeldelser, partiformænd ikke har/får problemer med.. #dkpol 
 https://t.co/hWAgimPvet"
7,['1497503749589266435'],1497503749589266435,RT @JensRingberg: Almindelige mennesker i almindeligt tøj der pludselig står på et fortov med våben i hænderne. Pligtfølelse. Forsvar mod o…
8,['1497256645793091589'],1497256645793091589,"Bak op om Ukraine. Stødte tilfældigt på en lille demonstration på Slotsplads og blev spurgt , om jeg ville sige et par ord til støtte for Ukraine. Det ville jeg naturligvis. De lider under Putins terror. #dkpol https://t.co/HUHkjxSYSZ"
9,['1497226521798483970'],1497226521798483970,Som du dog kan sige det Henrik ….👏jeg er fuldstændig enig🙄#dkpol https://t.co/MiBqeKUjDf
10,['1496043259721887745'],1496043259721887745,RT @CasperDall: .@Pia_Kjaersgaard virker pænt upåvirket af situationen i partiet #sikkerpåsolenskinner #dkpol https://t.co/CvNiI1ZuRH
11,['1496010421903495171'],1496010421903495171,"fire mfere forlod Frp.i 95 og dannede DF, for at føre Danmark videre med klare mål.Stram udlændingepolitik,social velfærd og EU-skepsis. En meget stor loyal skare fulgte med. DF blev en succes. Alle fire satte parti før person. personlig  forfængelighed var ikke afgørende.#dkpol"
12,['1495662838161018881'],1495662838161018881,RT @JensRingberg: @AlsenMichael @LadyBorup @kmouritzen Klasse. Man hører næsten Kristian tilføje: “Ellers noget…?”
13,['1495662363810357249'],1495662363810357249,"Rent pjat! Igen lader regeringen EU styre dansk lov. Og ydmygende at blive valgt på grund af køn, kun kvalifikationer skal gælde . #dkpol https://t.co/xiVN75Zoml"
14,['1495291734032535552'],1495291734032535552,"RT @Pia_Kjaersgaard: Hvad med bare at komme i gang! Slet ikke så svært. Lidt sæbe, en klud, kost og spand så føler I jer veltilpasse og så…"
15,['1495291562053582848'],1495291562053582848,"Hvad med bare at komme i gang! Slet ikke så svært. Lidt sæbe, en klud, kost og spand så føler I jer veltilpasse og så begynder det at gå fremad med integrationen. Brug tiden på rengøring i stedet for at brokke jer til pressen.#dkpol https://t.co/TYQ4ERMWNt"
16,['1495029080751755268'],1495029080751755268,Elsker bare min bogreol med rigtige bøger…. Altså dem i papir…. #dkpol https://t.co/VZstaewZwi
17,['1494557462657224715'],1494557462657224715,RT @politikdr: Alternativets leder får millionløn – men må ifølge egne regler kun tjene som et folketingsmedlem https://t.co/n7mi6bsNVw htt…
18,['1494315687069822984'],1494315687069822984,"RT @DanskDf1995: Er du klar, @PernilleVermund? Det er @MrMesserschmidt. Se med her👇 #dkpol #dkmedier https://t.co/PKmqU3qwEP"
19,['1494241016509083649'],1494241016509083649,"Nyt indlæg på bloggen! “Svenskerne har betalt en høj pris for verdens mest generøse indvandringspolitik. Nu er det skæbnens ironi, at landet trues af en ny udgave af Muhammed-krisen.” Læs med her👇 https://t.co/Wonzdb4jwx #dkpol #dkmedier"
20,['1493624956026081286'],1493624956026081286,Moral er godt. Dobbeltmoral dobbelt så godt.#dkpol https://t.co/1KBtAmabf3
21,['1493495870133784579'],1493495870133784579,Klassisk. Nu skal vi igen diskutere lempelser af udlændingeloven foranlediget af regeringens støttepartier. Står Soc. fast? Der bliver ikke lempelser med DF’s stemmer. #dkpol https://t.co/nMWNdOKj05
22,['1492392021817970688'],1492392021817970688,"Jeg fatter fortsat ikke, det er ulovligt at have en peberspray til selvforsvar #dkpol https://t.co/S3genY3y0k"
23,['1492229207174303746'],1492229207174303746,RT @espersendf: Tak til Alex for igen at tage en tørn for Dansk Folkeparti på Borgen. 🇩🇰😄💪
24,['1492179095865724932'],1492179095865724932,RT @MrMesserschmidt: Dejlig nyhed for det nationale Danmark - og ikke mindst for Fyn 😅🇩🇰 #dkpol https://t.co/QSwTsrxOIf
25,['1492174444508418054'],1492174444508418054,RT @tv2politik: Klageret udtaler misbilligelse af dommer i Messerschmidt-sag https://t.co/HjaiZtxvlO https://t.co/icz500KoaW
26,['1492063743253139458'],1492063743253139458,RT @KofodPeter: Velkommen tilbage i hovedbestyrelsen - og stort tillykke til Jens med udnævnelsen.
27,['1490709541859868674'],1490709541859868674,“Jeg vil på ingen måde opfordre til ulovligheder. Men jeg vil opfordre dyrlægerne til at overholde ånden i den danske dyrevelfærdslov og sikre dyr mod smerter og unødige lidelser.” Læs min nye blog her👇 https://t.co/9oLQ8hwnbP #dkpol #dkmedier
28,['1489579126923137027'],1489579126923137027,"RT @DebattenDR2: De muslimske lande er de mindst frie og demokratiske, og de fattigste og ringest fungerende.

Des mere man importerer fra…"
29,['1488171873351393281'],1488171873351393281,Utroligt hvad EU blander sig i. Stop det cirkus. #dkpol https://t.co/g7GJhtn7VV
30,['1488123336634867713'],1488123336634867713,"RT @espersendf: Imponerende flot DF-fremgang til 7,1% PLUS altså lige 2.600 nye medlemmer.😄🇩🇰"
31,['1487431918413139972'],1487431918413139972,"“Der er ikke noget at sige til, at Albertslund Kommune afviser at betale erstatning til to muslimske piger, der afviste at give hånd.” Læs min seneste blogindlæg her👇#dkpol #dkmedier https://t.co/vMwrlcIHga"
32,['1487430462167564291'],1487430462167564291,Så dejligt Åse kom tilbage🐾❤️og så mange mennesker hjalp🙏men lad aldrig en hund stå i snor foran en butik ! Der er så mange mærkelige mennesker. Tænk at stjæle en hund! Hvor ondt! #dkpol https://t.co/UXkAGKsqdy
