,edit_history_tweet_ids,id,text
0,['1481756052685209600'],1481756052685209600,"Flere hundrede syrere er flygtet ud af Danmark - fordi de er i fare. Den danske udlændingepolitik truer dem. Så langt ud er vi kommet. 
Tesfaye og højrefløjen virker stolte. Jeg skammer mig. Det fortjener modstand. Tak til jer, der siger fra! #dkpol https://t.co/3UoE9bSLrP"
1,['1481740559664431106'],1481740559664431106,"Virkelig på tide, at regeringen indkalder til forhandlinger om energipriserne! Endelig.

Enhedslisten har råbt op siden starten af november, og mange familier, pensionister og udsatte grupper er allerede enormt pressede. #dkpol https://t.co/vNKctPwgIj"
2,['1479212963932385281'],1479212963932385281,"Flere perspektiver ved dagens melding fra RV:

Tror de, at vi får mere nødvendig klimahandling ved at invitere blå bloks kulsorte politik i regering?

Og hvad med velfærden - nedskæringer igen? Lavere ydelser til udsatte? Ingen minimumsnormeringer, gratis tandlæge og psykolog?"
3,['1479210612223791106'],1479210612223791106,"Tidligere har vi stået side om side med RV, og kæmpet for en mere menneskelig og fair udlændingepolitik. 

Nu virker de så klar til at bakke op og stemme for umenneskelig udlændingepolitik - til gengæld for ministerbiler. 💔 Trist dag i #dkpol

https://t.co/Wv6zHRXYxx"
4,['1477937255796908033'],1477937255796908033,"RT @RosaLundEl: Året starter simpelthen ud med dårlige ideer fra justitsministeren. Børn har ikke brug for fodlænker, eller ungdomskriminal…"
5,['1477328133531463684'],1477328133531463684,"Jeg er virkelig skuffet over, at Mette Frederiksen ikke adresserer de fattigste mennesker i Danmark i sin nytårstale. Vi har set julehjælpen slå rekorder igen i år, og børnefattigdommen er et alvorligt problem. Alligevel ser vi stadig langt efter løsninger. #dkpol"
6,['1477327621834874886'],1477327621834874886,"Alt for mange af de dygtige ansatte i vores velfærd oplever hver dag, at meningsløst bureaukrati spænder ben for deres vigtige arbejde. Helt rigtigt af Mette Frederiksen at tage livtag med bureaukratiet i det offentlige. Det må bare aldrig ende som en spareøvelse. #dkpol"
7,['1477325198328274944'],1477325198328274944,"Statsministeren stempler med talen tydeligt ind i klimakampen, og lover ikke at svigte. Godt - men jeg savner virkelig mere, ny, konkret grøn politik i talen. Vi skal altså trække i det grønne arbejdstøj nu. Vi har ikke et sekund at spilde. #dkpol"
8,['1471125831988695052'],1471125831988695052,"Inger Støjberg kan ikke fortsætte i Folketinget. Enhedslisten vil stemme hende uværdig.

Vi har været hendes største kritikere og har rejst hele denne sag. Derfor kommer beslutningen også med det største ansvar og vi tog os tid til diskussionen. Det er jeg glad for. #dkpol"
9,['1467841383759331330'],1467841383759331330,"@SandieWesth Den gruppe går meget lidt til tandlægen. Spørger man både tandlægeforeningen og Sundhedsstyrelsen, er det vigtigst at sætte ind netop der, for at forebygge. 

Vi laver også en kortlægning af den sociale tandpleje - med henblik på forenkling. Det er en jungle for mange udsatte nu."
10,['1467831423528755206'],1467831423528755206,"Gratis tandlæge til unge, bedre forhold for fødende og stærkere retssikkerhed til mennesker med handicap. 

Med #FL22 tager vi endnu et skridt imod et samfund, hvor individet står mindre alene. Fællesskab fungerer! #dkpol https://t.co/CME0kvVNjH"
11,['1467829308429373440'],1467829308429373440,"@krosenbaek @EvaAagaard Tak for dit hårde pres på os alle, Katrine! 

Jeres beretninger har virkelig gjort en forskel - jeg tror aldrig Femina er blevet nævnt så mange gange i finansministeriet 🤩💪🏽

Og pengene fortsætter i øvrigt varigt - det er ikke kun 4 år ❤️"
12,['1467828799677112323'],1467828799677112323,"@DavidTrads @Enhedslisten Tak, David! Jeg er også enormt glad 🦷🌟"
13,['1467141451427549189'],1467141451427549189,"En god dag for natur, klima og miljø! Med den grønne #FL22-aftale tager vi endnu et vigtigt skridt mod et grønnere Danmark. Trawlstop, meget mere havvind, øget klimabistand, marine naturnationalparker, drikkevandsfond, indsats mod greenwashing! Jeg er meget glad. #dkpol #dkgreen"
14,['1466447373606039555'],1466447373606039555,"Danmark er et af kun fire lande i EU, der ikke har indført en flyafgift. Det er pinligt, hvordan vi halser bagefter, mens klimakrisen buldrer afsted. Vi kræver en ambitiøs afgift på finansloven sammen med @sofiecn og @PiaOlsen i forhandlingerne nu. #dkpol https://t.co/w1JfTqnEmC"
15,['1465023742485188612'],1465023742485188612,"RT @timothywhyte: Husk på at Sydafrika søgte om at få frigivet vaccinepatenter for over er år siden.

Vores egen regering modsætter sig det…"
16,['1463580660862492676'],1463580660862492676,@RosaLundEl @Enhedslisten @EspDanmark ❤️💪🏽
17,['1463268808659984390'],1463268808659984390,"Kæmpe tillykke med det imponerende politiske resultat til  @dadgostarnooshi og @vansterpartiet i Sverige. 

Og ikke mindst tillykke til de 700.000 fattige pensionister der nu får 1000kr mere skattefrit om måneden. 

Politik gør en forskel."
18,['1463033807863525377'],1463033807863525377,"Det er tid til et opgør med greenwashing! 

Derfor præsenterer @Enhedslisten i dag et udspil med seks initiativer, bl.a. klimamærkning, der skal bremse greenwashing, styrke forbrugersikkerheden og gøre det grønne valg nemmere at gennemskue! #dkpol #dkgreen https://t.co/jHSF9VIGJ8"
19,['1461230488975257609'],1461230488975257609,"@dadgostarnooshi @pelledragsted @Enhedslisten @SFpolitik Tusind tak, Nooshi! 

Følger spændt med i forhandlingerne hos jer i disse dage. 🙏🏽"
20,['1460792087117447169'],1460792087117447169,"Bedste kommunalvalg til Enhedslisten nogensinde! 7,3% på landsplan. Jeg er simpelthen så glad. Tak for den enorme tillidserklæring. 

Vi er er kommet ind i 7 nye kommuner. Vi er næststørst på Frederiksberg. Vi er suverænt største på Bornholm og i København. TAK!"
21,['1460747714233307139'],1460747714233307139,"God stemning til Enhedslistens valgfest. ❤️💚

Indtil videre inde i 7 nye kommuner og størst på solskinsøen Bornholm ☀️"
