,edit_history_tweet_ids,id,text
0,['1539984528260956160'],1539984528260956160,"@sorenpind Sagde hun noget om hvordan det skulle finansieres, eller var de pengetræet?"
1,['1539984276585857025'],1539984276585857025,"RT @MaiVilladsen: Nybrud i boligpolitikken! Line Barfod har sammen med @SophieHAndersen @RabjergMadsen m.fl. netop sikret, at der kan bygge…"
2,['1539974061576425472'],1539974061576425472,"RT @sabrinalouisec: Enhedslisten Frederiksberg er klar til Sankt Hans i Lindevangsparken for hele familien. Der er hoppeborg, børnekoncert…"
3,['1539960947590123521'],1539960947590123521,"Hey - hvis du bor på Frederiksberg eller i nærheden så kom til vores Skt hans aften i Lindevangsparken. Der er hoppeborg, snobrød og børnekoncert. Og så taler jeg kl.18.00❤️"
4,['1539925843698483200'],1539925843698483200,@andersporse24 @JensBomann Men du er ikke almindelig når det kommer til indtægt. Under 10% betaler topskat.
5,['1539923536495640577'],1539923536495640577,"@jesvejle Arnepension, dagpengeforlængelse, mindre modregning af ægtefælleindkomst, velfærd det følger med demografien, indgreb mod boligspekulanter - jo det kan du bande på vi har"
6,['1539923063650779137'],1539923063650779137,@JoachimBOlsen @HoudinoGalleri Er det “folk flest”?
7,['1539917606886539266'],1539917606886539266,Det er overnormale profitter - ikke stigende lønninger der presser inflationen op. https://t.co/TgwhKScFAl
8,['1539917123325239296'],1539917123325239296,Fremmedfjendske partier er i reglen skalkeskjul for omfordeling til fordel for overklassen. Nu får vi endnu et. https://t.co/SjqAtPARG4
9,['1539916592536076289'],1539916592536076289,"RT @michllund: Hvad blev der egentlig af de dér typer, der påstod, at der intet alvorligt var sket i Danske Bank Estland, at det hele var e…"
10,['1539916406019481600'],1539916406019481600,@AslakVind “Andre folks penge” er altid skabt på ryggen af det fællesskab vi sammen betaler over skatten. Uden skattefinansieret velfærd og infrastruktur havde de penge slet ikke været der. Så det slagord er lidt at en abstraktion. https://t.co/ILJ2fTWYxn
11,['1539911245381369858'],1539911245381369858,"@JoachimBOlsen Så vidt jeg husker under 10% af befolkningen der tjener over en halv million. En gruppe ligger lige over grænsen, men det er jo ikke dem der får glæde af Støjbergs rigmands-rabatter. “Folk flest” er det i hvert fald ikke. Så langt fra. Viser hykleriet."
12,['1539910640986374144'],1539910640986374144,@JensBomann Hvorfor? Og hvad ville du bruge istedet?
13,['1539904639973425152'],1539904639973425152,"Støjberg vil være parti for “folk flest”. Men hun vil kæmpe for at sænke topskatten. Som med “folk flest”, mener hun vist nærmere “rige folk flest”, for den almindelige dansker betaler ikke topskat."
14,['1539890917577990144'],1539890917577990144,@denaegteemil @NSKnigge @Aoxholm Nej - det tillader planloven ikke. Og vi har jo desværre ikke længere regulering af lejen på nybyggede lejeboliger. Det bør hurtigst muligt genindføres. #LoftOverLejen
15,['1539889341526380547'],1539889341526380547,"@NSKnigge @Aoxholm Fordi der stort set ikke bygges ejerboliger i KBH længere. Man kan ikke stille krav om ejerboliger i lokalplaner, så spekulanterne bygger næsten udelukkende dyre lejeboliger, fordi det er en bedre forretning."
16,['1539887294257238016'],1539887294257238016,@MagnusBarsoe Anker-tourettes😍
17,['1539886247509893121'],1539886247509893121,"@NSKnigge @Aoxholm Nå, så folk med almindelige indkomster skulle bare sparkes ud af KBH, så overklassen kunne boltre sig. Nej, tak. Den by ønsker københavnerne ikke. 
(Men igen forudsætter du at det alternativt bygges ejerboliger. Det gør der ikke)"
18,['1539883261144571906'],1539883261144571906,"@NSKnigge @Aoxholm Det er og bliver noget vrøvl. Dem der nu får en almen billig bolig konkurrer ikke om de ledige ejerboliger, hvorfor disse presses mindre op i pris."
19,['1539882755651166209'],1539882755651166209,"@olerasm Frederiksberg Hospitalgrund skal være en grøn og blandet bydel, med parker, sunhedsfunktioner, og boliger for alle slags mennesker og indkomster. Synes du det er et mål i sig selv at boligerne skal være dyre at bo i?"
20,['1539882368873517056'],1539882368873517056,@j_esmann Det er nok fordi de alligevel synes at Sand-danerne var for meget😉
21,['1539879086281134082'],1539879086281134082,“Et orgie af gæld”😎 https://t.co/BlUdtTtCyk
22,['1539878893582262272'],1539878893582262272,@NSKnigge @Aoxholm Desuden er alternativet til almene boliger jo ikke ejerlejligheder. Det bygges der stort set ikke noget af i KBH. Fordi spekulanterne kan tjene mere på dyrt udlejningsbyggeri.
23,['1539878531148267525'],1539878531148267525,"@Aoxholm Vrøvl. Se til Wien. Her kan alle der ønsker det få en almen 3V efter Mac et halvt år til en mdl leje på 5000 kr.
Fordi man har valgt at boligforsyningen ikke er markedsgjort."
24,['1539878101362114562'],1539878101362114562,@NSKnigge @Aoxholm Men du kan da ikke adskille leje og ejermarkedet som om de ikke hang sammen. Når en person er boligsøgende vil man afsøge både ejer og lejer-bolig. Kan du bo billigere til leje vil du være mindre tilbøjelig til at betale en højere pris for en ejer/andelsbolig.
25,['1539875224518361088'],1539875224518361088,"@Aoxholm Tvært imod. Lavere huslejer, sætter sig også i lavere ejendomspriser."
26,['1539875083719786497'],1539875083719786497,"Viser også vejen for os på Frederiksberg. Hvis 40% betalbare boliger er mulige i København, så kan vi selvfølgelig også på Hospitalsgrunden❤️"
27,['1539874018798567429'],1539874018798567429,"Kæmpe sejr. Med morgenens boligaftale mellem København og regeringen skal der fremover bygges 40% almene boliger på By &amp; Havns grunde. 
Resultat af et rødt bystyre, et styrket Enhedslisten og en regering der har rykket sig! #PolitikVirker. https://t.co/ZfVsyxiDCj"
28,['1539858221019668480'],1539858221019668480,"RT @DenGroenneUng: En klar besked til de sene forhandlinger om den grønne skattereform i aften #dkpol 

@Enhedslisten @radikale @SFpolitik…"
29,['1539856032826007552'],1539856032826007552,@JoachimBOlsen @ruge_michael @RabjergMadsen Vi har støttet langt dr fleste. Og kun 25% af boligerne på Amager fælled er betalbare. Resten er hundedyrt privat projektbyggeri.
30,['1539710015954718720'],1539710015954718720,@RasmusJarlov @RStoklund Men fagforeningerne er jo deres medlemmer. Det er demokratiske foreninger.
31,['1539610210481881088'],1539610210481881088,"RT @vansterpartiet: Tack för allt, ⁦@AnderssonUlla⁩! ❤️Riksdagsledamot 2006-2022 och långvarig ekonomisk-politisk talesperson. Avslutar med…"
32,['1539573459344412672'],1539573459344412672,RT @ppkzd: Danmark har glemt sin tradition for demokratiske virksomheder. Nu skal udviklingen vendes | Information https://t.co/4ObNpY16jK
33,['1539572491093528576'],1539572491093528576,"@ruge_michael @RabjergMadsen Nej, vi har altid kæmpet for at der skulle bygges billige almene boliger. Desværre har de andre røde partier ikke haft modet."
34,['1539572307223519235'],1539572307223519235,"@mikaelsyska @RabjergMadsen Ved at genindføre regulering af leje på nybyggeri og begrænse 5,2-renovering yderligere.
Og ved at stille krav om mindst 40% almene boliger i nye boligområder. Mm"
35,['1539496430607425536'],1539496430607425536,"Skal kun de riges børn kunne bo i hovedstaden?  
På Frederiksberg sætter vi nu tryk på flere betalbare boliger, men vi har brug for ny national lovgivning hvis vi skal løse problemet, @RabjergMadsen https://t.co/ZPosubFXgp"
36,['1539248314146856963'],1539248314146856963,@fabrinjorgen @SoerenRadoor @lisnorgaard @SikandaSIDDIQUE Så det her er ikke Racisme: https://t.co/r31mg35NWp
37,['1539227470729191424'],1539227470729191424,"@JoachimBOlsen @LisbethBNielsen Demokratiske som i folkestyret, Joachim. En person, en stemme. Ikke så svært😉"
38,['1539204938747846658'],1539204938747846658,"Jeg synes alle folketingsmedlemmer (og mange andre) bør læse @SikandaSIDDIQUE kronik om hans oplevelser med racisme og forskelsbehandling.

https://t.co/YonFRDQmd0"
39,['1539204450019164161'],1539204450019164161,RT @LisbethBNielsen: Tak til Bertel for at være en stjerne i arbejdet for at fremme demokratiske virkosmheder. Venstre har også arv at løft…
40,['1539187750624186368'],1539187750624186368,"RT @ppkzd: Fine anbefalinger fra ekspertarbejdsgruppen om demokratiske virksomheder, som lancerer deres rapport i dag. Der er flere områder…"
41,['1539183725640142848'],1539183725640142848,"RT @KooperationenDK: Til lancering af Ekspertarbejdsgruppens anbefalinger om demokratiske virksomheder. 

Kun 1% af de nystarede virksomhed…"
42,['1538984548171558912'],1538984548171558912,@KristianMadsen @RuneDybvad Det passer ikke. Den er god nok. Jeg var slet ikke så spin-smart dengang. Endnu😎
43,['1538983544025907203'],1538983544025907203,"@jnordvig @nielswesty @MagnusBarsoe Jep, og en udbudsdrevet inflation kan godt slå over i en løn-pris-spiral. 
Det mener jeg dog vi er langt fra i EU hvor lønkvoten har været faldende i årevis."
44,['1538982941640073218'],1538982941640073218,"God aften i Frb kommunalbestyrelse:
❤️ Delvis nedrivning af Bispeengbuen
❤️ ny ambitiøs boligpolitik med mål om flere betalbare boliger
❤️Børnehavealderen hævet til 3 år.
Det nye flertal skaber forandringer - politik virker."
