,edit_history_tweet_ids,id,text
0,['1480252492755738636'],1480252492755738636,"RT @soerenlangelund: 11.000 får Arne-pension i 2022. 

""Timingen kunne nærmest ikke være værre"", siger @SteenNielsen_ og henviser til den r…"
1,['1480251948481851393'],1480251948481851393,"@jeppekjakobsen Puhaa, det må have været en tung beslutning. Efter så mange år. Tak for din indsats og dit engagement. Håber du stadig vil blande dig i debatten, du bidrager tit med et godt og ofte overset perspektiv! Tak for det."
2,['1480140734003036166'],1480140734003036166,"RT @kevinshakir: ""Folk har generelt været meget begejstret for plakaten, og der har været store forventninger til vores filmplakat til dett…"
3,['1480086136668237825'],1480086136668237825,"RT @Jonasbjorn: Bliver man en røvsyg og elendig journalist, med hang til clickbate og prostitutionsannoncer når man starter på EB? Eller sk…"
4,['1480085975976099841'],1480085975976099841,RT @sorenpind: Endnu et højdepunkt i mediers bidrag til den demokratiske samtale https://t.co/2nkz3JLm1I
5,['1480085791380590593'],1480085791380590593,"RT @JensKloppenborg: Inden Statsministeren kommer for godt i gang med sine angreb på Venstre for hvad VU’erne laver, skulle hun så ikke få…"
6,['1480085644227616775'],1480085644227616775,RT @a_steenberg: Når Mette Frederiksen siger under debatten hos @tv2newsdk at denne regering er bedre end forgængerne på økonomi så skyldes…
7,['1479154035357892610'],1479154035357892610,"RT @LarsSandahlS: Virkelig godt og vigtigt, at private ildsjæle nu får vished og kan fortsætte med at drive deres daginstitution - til gavn…"
8,['1479154004999520262'],1479154004999520262,RT @BrianAMikkelsen: I @DanskErhverv har vi kæmpet hårdt for at aftale om minimumsnormeringer ikke betød lukning af private ildsjæle på dag…
9,['1478973846489382912'],1478973846489382912,"RT @benediktekiaer: Hvis man som ældreminister tror, at man kan få en ny ældrelov, der sikrer bedre ældrepleje, uden en reform af det nære…"
10,['1478493796958711814'],1478493796958711814,@listighjort Godt I har fokus på den sag. Jeg har spurgt ind også som Statsrevisor. Ret vildt at det kan ske.
11,['1478115316152553475'],1478115316152553475,@HansenKenn @RasmusJarlov Vi kan gøre enkelte undtagelser ;)
12,['1477675950431211523'],1477675950431211523,"RT @JuulMona: Lidt fakta: 
_K og andre partier og organisationer har kæmpet for CO2 afgift. 
_Vi skulle have lavet sidste år. Regeringen ko…"
13,['1477538706160508930'],1477538706160508930,@Paulin_Anne @AndreasDinesen @Spolitik Ikke korrekt. Ved du også godt Anne. I kæmpede bravt imod i forhandlingerne.
14,['1477335107698675712'],1477335107698675712,"RT @jakob_jsc: Glimrende fokus fra @regeringDK på at man “lokalt kan skabe den folkeskole. Den ældrepleje. Den børnehave, I ønsker.” Betyde…"
15,['1477334160616394753'],1477334160616394753,"RT @PerLarsenC: Ja, Mette! Alle bør have deres egen læge. Men hvorfor har @Spolitik så stemt imod @KonservativeDK forslag, som vil sikre al…"
16,['1477334024465096708'],1477334024465096708,@Rbfriis @KonservativeDK Naturligvis ikke. Men vi er imod at afskaffe de ældres frie valg.
