,edit_history_tweet_ids,id,text
0,['1562183541701705728'],1562183541701705728,"Har været i Tasiilaq i Østgrønland de sidste dage. Smukt som Paradis, og jeg elsker det. Men problemer som Helvede. 3 ud af 3000 myrdet i år. Halvdelen af børnene har en socialsag kørende pga massive overgreb. Så længe Grønland hører til DK, kan vi ikke lade det gå så dårligt 🇬🇱 https://t.co/6TmWI7V55H"
1,['1562166479843385344'],1562166479843385344,"@mfMorten @KonservativeDK @CEPOS Nej, men det rykker ved at nogen skulle have foreslået store besparelser på velfærden. Det er jo ikke tilfældet og en useriøs påstand."
2,['1561859680212770816'],1561859680212770816,"@Kongegaard @Spolitik Hvilke konkrete initiativer under ""den grønne dagsorden"" har styrket konkurrenceevnen?"
3,['1561853815904780288'],1561853815904780288,"@Kongegaard @Spolitik Hvilke ""initiativer  på mange fronter"" har regeringen taget, som har styrket konkurrenceevnen? Jeg kan ikke komme på dem."
4,['1561850992764878852'],1561850992764878852,@LisbethBNielsen Enig. Totalt forkasteligt og på alle måder forkert.
5,['1561850640434855942'],1561850640434855942,"@Kongegaard @Spolitik Kan du nævne noget, de har gjort, som har haft en positiv effekt på konkurrenceevnen?"
6,['1561846971383664641'],1561846971383664641,"@PHummelgaard Kan du nævne noget, du har gjort, som har gavnet konkurrenceevnen og beskæftigelsen varigt?"
7,['1561846609377468416'],1561846609377468416,"@Spolitik Kan I nævne et politisk tiltag, I har taget, som har gavnet beskæftigelsen og konkurrenceevnen varigt? (Det tæller ikke at bruge flere penge, da det er en midlertidig effekt, som forsvinder, når pengene løber tør)."
8,['1561497499944247298'],1561497499944247298,@MarieKieler To.
9,['1561486128175267841'],1561486128175267841,"I denne collage er der halvt så mange rigtige svar, som der er køn.

Trist at se regeringen ligge så meget under for  wokeisme. Jeg troede ikke, det var kommet så vidt. https://t.co/ZmmdEM0wOh"
10,['1561483195379773441'],1561483195379773441,"@PilouAsbaek Hvem henvender du dig til? Er der nogen, der er uenige?"
11,['1561483012033871873'],1561483012033871873,@JanHoby Er velfærden død?
12,['1561320142667137027'],1561320142667137027,"@MBrgger Det er i hvert fald flere, end der er køn."
13,['1561309127753728000'],1561309127753728000,@Sko__86 @gitte_maria @JonasBengtson Hvad har det med sagen at gøre?
14,['1561137432711536640'],1561137432711536640,"@GentleGiantDK @JonasBengtson Der er intet ukorrekt i det, men jeg kan ikke forstå det for dig. Slut herfra."
