,edit_history_tweet_ids,id,text
0,['1554225068020056065'],1554225068020056065,"@HjalteOlsen @ShagItYeahBaby @hrmarcussen @AminataCorr Sikke noget søgt vrøvl. Hvis man siger, at mænd er højere end kvinder, siger man ikke noget om, at alle mænd er højere end alle kvinder og alle ved, at det ikke er det, det betyder. Som altid i enhver samfundsdiskussion taler vi om gennemsnit. Ingen har sagt alle."
1,['1554220421024817153'],1554220421024817153,"@BertelsenEinar @Superligaen @ThomasLoftDR @KraulDR @FrancisKSDickoh Ja, omend Farlige Frank og Røde Romario også var gode navne :)"
2,['1554217547289006083'],1554217547289006083,"@lting_st @KlausKblog Det er bestemt ikke et tilfælde. Der var et studie i Østrig (så vidt jeg husker) som påviste, at der er sammenfald mellem de to grupper. Det er folk som faldet i en gryde, hvor de har fået bildt sig selv ind, at hvis man er skeptisk overfor politikere, skal man holde m. Putin."
3,['1554211113407062018'],1554211113407062018,"@fitbyfys @MMontclairre Jeg synes, du undervurderer min betydning for WEF. Jeg er helt inde i kernen."
4,['1554209461560016897'],1554209461560016897,"@Mohamed29343260 @LailaBelhaj Ja, det er kun, fordi hun er kvinde, jeg kritiserer hende. Jeg kunne aldrig drømme om at kritisere mænd for deres holdninger."
5,['1554208273632468992'],1554208273632468992,"@KlausKblog Fordi USA ikke har lanceret en invasion mod et andet land for at udvide sit territorium. Det gider vi ikke se i Europa og derfor skal Rusland isoleres og straffes langt ind i helvede, så det ikke kommer til at betale sig for dem."
6,['1554207647699795968'],1554207647699795968,@KlausKblog Russisk propaganda og løgnehistorier er bare det bedste ❤️❤️❤️. Super troværdigt.
7,['1554207439553273859'],1554207439553273859,"@MMontclairre Næ... Du har skrevet så grimt om mig så mange gange. Det burde ikke komme som en stor overraskelse for dig, at man ikke både kan svine folk til og samtidig forvente en seriøs dialog. Du er underholdning. Ikke en seriøs modpart."
8,['1554196564767293442'],1554196564767293442,"@MMontclairre Jeg forsøger at ramme lidt over dit eget niveau. 

En aftale ligefrem? Vildt. Det lyder som om verdensherredømmet snart tilhører WEF."
9,['1554156198777217024'],1554156198777217024,"@LailaBelhaj @EBjerkrheim Det har vist fået byttet rundt på os. Det er ikke mig, der skriver tweets om hende."
10,['1554155710841233409'],1554155710841233409,@EBjerkrheim Det vedkommer ikke dig.
11,['1554133870286671873'],1554133870286671873,"@MMontclairre FN (som det hedder på dansk) er bestemt ikke ubetydeligt. Det er en uundværlig organisation for verden. Desværre betaler de ikke lige så godt som WEF, som jeg som bekendt er købt og betalt af og er en meget, meget vigtig del af. (Selvom jeg aldrig har talt med dem)."
12,['1554132001011245063'],1554132001011245063,"@EBjerkrheim Pointen flyver igen hen over hovedet på dig. Det er børnene, det er synd for. Ikke mændene. Kunne du ikke generelt stramme dig mere an for at forstå, hvad andre mener og så diskutere ærlige, reelle meningsforskelle i stedet for stråmænd? https://t.co/7PNmYtdXkF"
13,['1554128447374491648'],1554128447374491648,"@BKonge @pellemp @DavidTrads @JoachimBOlsen @AminataCorr Vi er i gang med en samtale om, hvem der er bedst at få til Danmark. Under den samtale skriver jeg, at nordmænd er bedre end somaliere. Så følger det for normalt læsende mennesker, at der naturligvis menes bedre at få til Danmark og ikke alt muligt andet."
14,['1553702525655830531'],1553702525655830531,"RT @hrmarcussen: Så har @AminataCorr taget @RasmusJarlov-gate under kærlig behandling. Hun viser, hvordan typer som @DavidTrads føler, at d…"
15,['1553469819827126272'],1553469819827126272,"@DufourVoetmann @michaelfalk @MMontclairre Så kan undre lidt, at I skriver så meget om mig i jeres skøre klub."
