,edit_history_tweet_ids,id,text
0,['1084873826448613377'],1084873826448613377,Stop nu for pokker. Har overfølsomheden i vores samfund da ingen ende. #dkpol https://t.co/TsrOMY1LmH
1,['1084167770936406016'],1084167770936406016,Fantastisk stemning i Herning i aften. Kom så Danmark 🇩🇰🥇 https://t.co/XJcpIuP19l
2,['1084011518637809664'],1084011518637809664,"RT @PUB_84: Jyllands Posten har i dag en meget præcis opsummering af de seneste års bandeindsats.

$$ https://t.co/VTQ0uff6nc $$

#dkpol #d…"
3,['1083805836818989057'],1083805836818989057,"RT @RosendahlFilm: I aften kan du gense min og Sara Stockmanns film VOLD i kærlighedens navn på DR2 kl. 21.30, om helingsprocessen efter vo…"
4,['1082956200629751808'],1082956200629751808,"@RosaLundEl Ja, bestemmelsen dækker selvfølgelig også tilfælde, hvor den psykiske vold begås af flere."
5,['1082908916923748352'],1082908916923748352,@rulgw Levering kræver vel også ordentlig forberedelse. Derfor nedsat ekspertpanel af hverdagens eksperter der skal komme med anbefalinger. Med henblik på at styrke lovgivning vedr voldtægt. Så er igang
6,['1082748346182352898'],1082748346182352898,"Ar på sjælen kan være lige så voldsomme som blå mærker.

Derfor behov for at anerkende og straffe psykisk vold ligesom fysisk vold.

Det gør vi nu med et lovforslag, der sikrer, at psykisk vold fremover kan straffes med op til 3 års fængsel.

#dkpol

https://t.co/b11qOAVRlG"
7,['1081973492789272576'],1081973492789272576,Danmark har verdens bedste politi. Og nu bliver det snart endnu bedre. Ser meget frem til dette nye og utrolig vigtige initiativ. https://t.co/wglVuc2XIT
8,['1081474247992791040'],1081474247992791040,Danmark er blevet endnu mere trygt 👍⚖️ #dkpol https://t.co/Z0TfyBHaKC
9,['1080909665251164160'],1080909665251164160,"Fuldstændig helt og aldeles enig med danskerne i denne sag.

Nej tak til Dexit!

🇩🇰🇪🇺

#dkpol #eupol 

https://t.co/xGKUSy5cNK"
10,['1080748345214357504'],1080748345214357504,"Meget bekymrende udvikling. Tid til at hæve afgiften på cigaretter, så færre børn og unge begynder at ryge.

@KonservativeDK foreslår, at en pakke cigaretter skal koste 60 kr.

#dksund #dkpol https://t.co/bLfqnRb5Xn"
11,['1080745139310678016'],1080745139310678016,"Jeg har for nylig bedt rigsadvokaten om at etablere en indberetningsordning for sager om billigelse af handlinger som eksempelvis drab på jøder som led i religiøs oplæring for at følge udviklingen på området tæt.

Det gælder selvsagt også i forhold til Hizb ut-Tahrir. https://t.co/6emvwiGFNU"
