,edit_history_tweet_ids,id,text
0,['1506182342448238593'],1506182342448238593,"Vigtig pointe i Berlingske i dag. Regeringen er så forhippet på at være ideologisk røde, at de simpelthen er ude af stand til at gøre Danmark substantiel rigere og skabe de tusindvis af ekstra hænder og hoveder, der er akut brug for. #dkpol  https://t.co/Wu7iO55l23"
1,['1505901156844941316'],1505901156844941316,"Flere forbud - mindre fest!
 
... men altså for de unge. #dkpol https://t.co/LlkMqW49vM"
2,['1504540450048425984'],1504540450048425984,"Enhedslisten - partiet der vil legalisere hash, fordi forbuddet har slået fejl, men alligevel bakker op om et forbud mod tobak for personer født efter 2010 🤡🤡 #dkpol #DebattenDR"
3,['1504532090800549896'],1504532090800549896,"RT @berlingske: »Det er Mette Frederiksens socialdemokratiske ideal. Systemet skal sørge for, at dit liv bliver godt og trygt. Borgeren er…"
4,['1504512420848541698'],1504512420848541698,@Chris_Bjerknaes @NikoArve @SorenPape Hip hip hurra!
5,['1504071120567349249'],1504071120567349249,"RT @berlingske: @AlexVanopslagh: »Jeg ved godt, det er en vild tanke i dagens barnepigestat, at danskerne er stærke og ikke svage. Men held…"
6,['1503794108908847110'],1503794108908847110,"@MortenReintoft @Madskorsholm1 Nej, men de er meget velkomne til at give et tilskud, hvis de ønsker at støtte vores parti."
7,['1503622893883777025'],1503622893883777025,"RT @olebirkolesen: Der er ikke noget nyt, at Enhedslistens politik er på månen. Det nye er, at pressen forlanger svar fra partiets spidser,…"
8,['1503426223346962432'],1503426223346962432,RT @olebirkolesen: I fremtidens DK er der forskel på folk. Man fylder ikke bare 18 og bliver myndig med de samme rettigheder som alle andre…
9,['1502993969558564866'],1502993969558564866,"Liberal Alliance foreslår nu en vej ud for de russiske soldater og embedsfolk, som ikke længere vil tage del i Putins blodsudgydelser. #dkpol  https://t.co/3s22MStKbE"
10,['1502683235960172548'],1502683235960172548,"Eftersøges: Dansker, der ""betaler sin skat med glæde"", og som er sur over, at have fået penge tilbage fra SKAT. Eller som bare er super glad for at skulle betale restskat. Det skulle angiveligt gælde en stor del af befolkningen. #dkpol"
11,['1502331365374803970'],1502331365374803970,"RT @RasmusJarlov: Danmark har indtil videre kun sendt småting, som vi alligevel ikke selv skulle bruge, til Ukraine. Danmark bør sende våbe…"
12,['1502276575143858177'],1502276575143858177,RT @holger_r: 🧵I talked with an Estonian analyst who has access to info and who I regard as one of the best we have here. His main conclusi…
13,['1502265677566070784'],1502265677566070784,"RT @IAPonomarenko: All of the world’s eyes should be on Mariupol now. 
The threat of the Russian use of chemical weapons against the fortre…"
14,['1501667020496162821'],1501667020496162821,"RT @johslangkilde: Hvor meget ligner fiktionen i Borgen virkeligheden? @BhjortSorensen aka Katrine Fønsmark, @Alangballe og @AlexVanopslagh…"
15,['1501592304263512065'],1501592304263512065,RT @tv2politik: Enhedslisten slår fast: Vil forlade forsvarsalliancen Nato https://t.co/J5e8xbVMci https://t.co/Grzg6HE1xU
16,['1501297676964425729'],1501297676964425729,@provinsmor Selv tak!
17,['1501162879009140740'],1501162879009140740,@PythonsBlue Ja.
18,['1501101432145170440'],1501101432145170440,RT @NissenChristine: Tråd 🧵om de 3 største myter om EU's forsvarspolitik og DK forbehold. Myte 1: EU-hæren kommer: Nej! Myte 2: DK mister s…
19,['1501098762382491651'],1501098762382491651,"RT @MorariuOctavian: This is Giorgi Dzhangirian, former President of the Ukrainian Rugby Union, 83 years old, defending his country. 🇺🇦 🏉 #…"
20,['1500801918972555266'],1500801918972555266,"@chris10anDK Alle lande har vetoret. Så hvis ikke der er enighed, så er der ingen fælles operation."
21,['1500801814085742592'],1500801814085742592,"@PythonsBlue Det vil virkelig være dumt. Uden en stærk alliance med USA, er vi en sølle nation, som Putin ingen respekt har for."
22,['1500801164648058881'],1500801164648058881,"EU har i dag nogle fælles operationer – eksempelvis ved Somalias kyst hvor pirater bekæmpes. Det kan DK ikke deltage i pga forbehold. Med Putins aggressioner er der behov for, at EU kan supplere NATO’s indsats. DK skal være med. 3/3"
23,['1500801110302498824'],1500801110302498824,"Debatten er allerede ved at køre af sporet, når tilhængere af forbeholdet påstår, at Danmark i så fald vil melde sig ind i en EU-hær. Der findes ingen EU-hær. Og det kommer ikke til at ske. NATO er stadig fundamentet – forbehold eller ej. 2/3"
24,['1500801024365404162'],1500801024365404162,"LA støtter en afskaffelse af forsvarsforbeholdet. Hvis EU ønsker militære operationer som supplement til NATOs indsats i Baltikum/Østeuropa, så skal DK have mulighed for at bidrage og deltage. Forbeholdet gør at vi i dag ikke har mulighed for at deltage i fælles operationer. 1/3"
25,['1500770772440211468'],1500770772440211468,"@BosseStine @ammitzbollbille @MrMesserschmidt @LiberalAlliance Vi går ind for en afskaffelse af forsvarsforbeholdet. Vi ønsker at øge forsvarsudgifterne til 2 %, men synes både tempoet og finansieringen i aftalen om ""national kompromis"" er for slapt."
26,['1500599736348385288'],1500599736348385288,"@ammitzbollbille @MrMesserschmidt @LiberalAlliance Vores politik er uændret, Simon. Vi mener det samme hvad angår både NATO og forsvarsforbeholdet, som da du var i partiet. Men tak for omsorgen :-)"
27,['1500522174318366726'],1500522174318366726,RT @OstapYarysh: ‼️Antony Blinken: The U.S. has given the “green light” to NATO countries if they choose to provide fighter jets to #Ukrain…
28,['1499849297063464966'],1499849297063464966,"RT @olebirkolesen: Det var ikke nogle få enlige tosser i Enhedslistens bagland, som stemte imod, at DK skulle yde sit bidrag til NATO’s sik…"
29,['1499743577341108230'],1499743577341108230,"RT @splilmoes: ""Jeg tror godt, at blå blok kan vinde næste valg,"" siger @AlexVanopslagh, der leverer et brag af en tale på KAs generalforsa…"
