,edit_history_tweet_ids,id,text
0,['1563918791352131584'],1563918791352131584,"Der findes ingen talemåde om at “slå til stålet”, så et eller andet sted må der stå nogen centralbanker og slå på noget stål. Mærkelig ting at gøre. https://t.co/HD6DX0seAR"
1,['1563885330159353856'],1563885330159353856,"@baltadydensborg @LiberalAlliance Så må du overbevise dine medborgere om, at trafikblokader med det formål at sprede politiske budskaber skal lovliggøres. Hvad bliver det næste? Hærværk for at gøre opmærksom på ting? Vold for at gøre opmærksom på ting? Gidseltagning?"
2,['1563874427544260608'],1563874427544260608,"Tyv tror, hver mand stjæler, og røde SoMe-krigere vil gerne have os til at tro, at alle regeringer har været som Mette Frederiksens regering. Men det har de ikke. 8/8"
3,['1563874426030096387'],1563874426030096387,"De blå løj ikke om, at styrelser under ministerier er “uvildige” eller “uafhængige” af deres ministre. 7/8"
4,['1563874424092229638'],1563874424092229638,"De blå forpligtede ikke staten på at skulle udbetale en “tempobonus” for udryddelsen af et erhverv, førend der var lovgivning, som gjorde det lovligt. 6/8"
5,['1563874422666166272'],1563874422666166272,"De blå gik ikke i gang med at udrydde et erhverv, førend der var lovgivning, som gjorde det lovligt. 5/8"
6,['1563874420539772929'],1563874420539772929,"De blå udryddede ikke et helt erhverv med påstand om, at det var anbefalet af Statens Serum Institut, selvom SSI ikke havde anbefalet det. 4/8"
7,['1563874418325159939'],1563874418325159939,"De blå bankede ikke først Sundhedsstyrelsen på plads med politik og påstod bagefter, at Sundhedsstyrelsens anbefalinger var ubesmittede af politik. 3/8"
8,['1563874416823599105'],1563874416823599105,De blå skilte sig ikke hurtigt af med 9 presse- og kommunikationschefer i ministerierne og ansatte 7 partifæller i stedet. 2/8
9,['1563874415179440129'],1563874415179440129,"Det værste ved Mette Frederiksens tilbageværende SoMe-krigere:

Hver gang man påpeger Mette Frederiksens magtbrynde, så svarer de: “De blå var lige så slemme!”

Nej. 1/8"
10,['1563837592696668160'],1563837592696668160,"@MereteLene Det er det for Mette Frederiksen. Der er en grund til, at hun påstår eksistensen af stor utryghed i kvarterer i København, ikke i Slagelse, Odense og Aarhus."
