,edit_history_tweet_ids,id,text
0,['1540291797376720897'],1540291797376720897,@StenSture6 Det gjorde fruen og jeg.
1,['1540291585228914688'],1540291585228914688,@RabjergTonny Forhandlinger? Det var bare en hyggelig aften i privaten.
2,['1540237992299839488'],1540237992299839488,"@Thomas99362457 Præcis! Almindelige mennesker har jo ikke råd til et glas vin, men må nøjes med vandet fra en opvredet karklud!"
3,['1540233487369867264'],1540233487369867264,"@Elbjorn Ikke korrekt. Alle ved, at det er i Jylland, pengene tjenes."
4,['1540225772085993474'],1540225772085993474,Så sad vi rigtigt der på Sankt Hans-aften: I de fine saloner i København! https://t.co/Aoo7JB4EMs
5,['1539643619619094529'],1539643619619094529,https://t.co/NLsK9jrCcC
6,['1539210424389885954'],1539210424389885954,"@adamendoye @PeterBork Det er ryk på efterspørgselskurven, som er årsag til de stigende boligpriser. Løsningen er at rykke udbudskurven."
7,['1538940341478379526'],1538940341478379526,"@OlumekoC @PeterBork Christina, jeg blev nødt til at flytte debatten over på Facebook. Du er ikke den eneste økonomibenægter fra venstrefløjen, men du er den seneste, og tendensen må påtales i en længere kommentar, end Twitter tillader: https://t.co/TrQx76mDQi"
8,['1538902351423086594'],1538902351423086594,@OlumekoC @PeterBork Copenhagen Economics har disse referencer: https://t.co/pTcfFEVV6Q
9,['1538901833988579328'],1538901833988579328,@OlumekoC @PeterBork Du har jo ikke sat dig ind i emnet. Du påstår bare. Copenhagen Economics har lavet rapport om Københavns boligmarked og skriver (https://t.co/RHNjEPcBF2) https://t.co/3PzlEKxu81
10,['1538896801373339650'],1538896801373339650,"@OlumekoC @PeterBork Du har lært dig udtrykket “empirisk evidens”, men det, du skriver, passer ikke. Der er faktisk netop empirisk evidens for, at boligpriser ikke stiger lige så meget i storbyer med høj byggeaktivitet. Enhver økonom kan fortælle dig, at lavt boligudbud fører til højere priser."
11,['1538864165481324547'],1538864165481324547,"6. afsnit af “Alliancen” blev optaget foran et live-publikum på Folkemødet.

Må partier gerne fortælle om, hvorfor andre partiers politik er dårlig, og at andre politikere taler usandt? Eller må partier og politikere kun fortælle om, hvad de selv vil?

https://t.co/K3hCAooOf7"
12,['1538835202407022594'],1538835202407022594,@PeterBork Tillad mere nybyggeri. https://t.co/E8UZHsXECg
13,['1538822021282508800'],1538822021282508800,"@larskohler @koebenhavner Som alle cyklister ved, så er det kun elløbehjul, som står i vejen i København. Alle de henstillede cykler kan man bare hoppe henover."
14,['1538565929688346625'],1538565929688346625,@Muskfan5420 https://t.co/ysriazweNP
15,['1538526247512334336'],1538526247512334336,"Det kan vi godt. På dette område er de politiske forskelle faktisk ikke så store i Københavns Borgerrepræsentation. København i dag er skabt af brede flertal, og brede flertal vil også skabe et endnu bedre København i fremtiden. 5/5"
16,['1538526246073671682'],1538526246073671682,"Godt byliv: Vi skal have flere pladser og gader i byen, hvor mennesker kan samles. Vi skal tiltrække en sprudlende mad- og oplevelsesindustri. Vi skal gøre det endnu nemmere at transportere sig hurtigt rundt i byen. Vi skal have endnu flere initiativrige indbyggere. 4/5"
17,['1538526244719022080'],1538526244719022080,"Flere: Gamle arealer som har været brugt til erhvervs- og havneaktiviteter skal nu give plads til boliger til de mange mennesker og alle de nye virksomheder, som gerne vil være i (intet mindre end) verdens bedste by. 3/5"
18,['1538526243343196162'],1538526243343196162,"Lad os fortsætte med at gøre den bedre og bedre.

Vi skal skabe mere plads til det gode byliv for flere mennesker. 2/5"
19,['1538526240843485186'],1538526240843485186,"København er igen kåret som verdens bedste by at bo i.

København er virkelig også en dejlig by. Det ved vi, som bor her, og jeg tror også, at de fleste danskere, som ikke bor her, ved det: Det er altså en skøn hovedstad, som Danmark har! 1/5 https://t.co/OvF2CuOMWf"
20,['1538093149536542720'],1538093149536542720,"En fin fortælling om en middag og hvad Jordan Peterson står for fra @LeaKorsgaard:

https://t.co/dAvk2yDjK2

Der er ikke meget politik i ham, men masser om, hvad vi skal stille op med os selv som mennesker. Er det derfor, han dæmoniseres af folk, som vil gøre alt til politik?"
21,['1537716120031055873'],1537716120031055873,"RT @LiberalAlliance: “Man har ikke kontrol over, om man har succes, men man har kontrol over, hvordan man er som menneske. Om man er et ord…"
22,['1537342379144904704'],1537342379144904704,"RT @MortenJakobsen2: En af vejene til et grønnere byliv er gennem delebiler 🚗🫱🏼‍🫲🏽 Det snakker jeg med @olebirkolesen, @IdaAuken og Line Ba…"
23,['1537332209555742720'],1537332209555742720,"@CBoraghi Værdig sag: Alle skal have lov til at tro hvad som helst.

Gakket: Alle andre skal opføre sig som om og tiltale folk som om, de tror det samme."
24,['1537327410185752610'],1537327410185752610,"Nævn én værdig og god sag, som ikke også har nogle forkæmpere, som er gakkede og langt ude: …

Hvis man ikke må påtale det, uden at blive beskyldt for at være imod den værdige og gode sag, så risikerer vi, at alle disse sager udvikler sig til uværdige og dårlige sager."
25,['1537296403009048577'],1537296403009048577,"@KristianMadsen Dragsted har gennem længere tid kørt dette dobbeltspil, hvor han på den ene side repræsenterer parti og idéer fra eget forfatterskab, som vil lave meget grundlæggende om på Danmark, men hvor han på den anden side bryster sig af og tager æren for det Danmark, som allerede er."
