,edit_history_tweet_ids,id,text
0,['1349501696121204741'],1349501696121204741,@sofiecn @sorenpind @PCollignon Synes ikke du læser mit indlæg med nogen særlig stor grundighed. Men ok. Vi ser forskelligt på tingene.
1,['1349462420113207298'],1349462420113207298,"@PLautrupLarsen @sorenpind Ok, det var en mild overdrivelse."
2,['1349456623090200587'],1349456623090200587,@blommeregner Det spørgsmål er nu allerede fuldstændigt entydigt afklaret af Instrukskommissionen: Det gjorde jeg ikke!
3,['1349456414054481920'],1349456414054481920,"@kimtiede @BosseStine Ja, og nogle flere end andre. Har læst alle fire."
4,['1349456132423766024'],1349456132423766024,"@rickymagnussen @sorenpind Hvis det er din konklusion (at jeg skulle mene, at loven er ligegyldig), så læs lige mit indlæg igen."
5,['1349455803602894852'],1349455803602894852,@jonasholmdk @venstredk Det er nu ikke mit indtryk. Var vel for at få en uvildig og ekstern vurdering. Læs dem selv.
6,['1349455497317986306'],1349455497317986306,"@BosseStine Ja, det vil jeg. Og derfor tillader jeg mig også at argumentere nuanceret for min konklusion, som du - fair nok - ikke er enig i. Foreslår en kraftig misbilligelse, som jeg selv vil støtte. Bange for, at en rigsret graver grøfter og skaber martyrium."
7,['1349448490221449217'],1349448490221449217,@TomJensen1966 Jeg kan jo ikke blindt binde mig til to af folketinget udpegede advokater. Har - vel ligesom dig - også læst de tre andre bidrag og dannet min egen mening. Det er sådan set mit grundlovsgivne ansvar.
8,['1349446523050930180'],1349446523050930180,"@sorenpind Kære Søren. Har du overhovedet gjort dig ulejlighed med at læse, hvad jeg skriver. Du er for god til det der."
9,['1349443786863206400'],1349443786863206400,"@KHegaard Har du gjort dig ulejlighed med at læse, hvad jeg skriver?"
10,['1349443386139357184'],1349443386139357184,"@TomJensen1966 Det handler ikke om at spænde ben, men om at opveje sandsynlighed for domfældelse op mod alt andet."
11,['1349442319611817985'],1349442319611817985,"@henrikblunck_dk @FabulesFilajs Tror ikke du har læst, hvad jeg skriver. Der er bestemt brug for at tage afstand."
12,['1349440945335492614'],1349440945335492614,@socevic Så havde vi - desværre - haft en del rigsretssager gennem årene.
13,['1349440234933653511'],1349440234933653511,"@Obitz90 Har du læst, hvad jeg skriver?"
14,['1349438679614414851'],1349438679614414851,"De sidste døgn har jeg brugt på at overveje et svært spørgsmål: Skal jeg støtte en rigsretssag mod Inger Støjberg eller ej? Du kan læse resultatet af mine overvejer her.

https://t.co/vt7gMkLCnh"
15,['1349128127381966853'],1349128127381966853,@hedegaard_k Du er da selvfølgelig velkommen ... 😀
16,['1349125881348976641'],1349125881348976641,@hedegaard_k Er sådan ser bare på vej fremad. 😀
17,['1349124391205007360'],1349124391205007360,"KORT SAGT: Hold Folketinget åbent!

https://t.co/NUpvMANZQH"
18,['1348916270301929473'],1348916270301929473,"@FjordMfs @DanskIndustri Derfor er løsningen heller ikke at begrænse antallet af udenlandske studerende, men at give incitament til at de bliver og bidrager. SU-lån + skattefradrag i stedet for stipendier kunne være en vej frem ..."
19,['1348643149502164992'],1348643149502164992,"@Uffe_Tang Matcher vel meget godt min grundanalyse om, at ""blå blok"" tager fejl, hvis de tror, at den såkaldte værdipolitik er den definerende skillelinje, man kan genvinde regeringsledelsen på."
20,['1347675624199118849'],1347675624199118849,@ATeschmacher Ser hyggeligt ud ... 😀
21,['1347662851356422153'],1347662851356422153,"@Storgaaard @brianweichardt @P1radio @AnthonUnger Det er jo Brian og mine venner på Ekstrabladet, så hvad havde du forestillet dig ... 😀"
22,['1347658395386605576'],1347658395386605576,"@moelhoej Har nu afholdt mig fra at stemme, men bliver spændende at se resultatet. Pt. har 4.800+ meldt sig ind i mit netværk."
23,['1347472860349140992'],1347472860349140992,@pelledragsted Enig.
24,['1347281939837935616'],1347281939837935616,@Issa_Jeppesen @Kraftzinger @venstredk ...og undskylder tastefejlen Issa.
25,['1347280948363145216'],1347280948363145216,@Issa_Jeppesen @Kraftzinger @venstredk Måske en meget god idé ...
26,['1347275145220599808'],1347275145220599808,@Issa_Jeppesen @Kraftzinger @venstredk Hej Issi. Du skulle da bare have ringet til Gitte Hansen. 😀Jeg er gæst hos hende i Ugens Gæst på P1 i morgen.
27,['1347269259941044229'],1347269259941044229,"@FinnBreddam @AStjernholm @YouTube @FrankJensenKBH @tv2lorry @Altinget Forestiller mig nu i høj grad, at den skal sejles til fra Femern."
28,['1347188654712745984'],1347188654712745984,"@SMSerup Ja, det er et glimrende indlæg!"
29,['1347117849391865856'],1347117849391865856,"@Kamillasloew Jamen, det gør jeg da. 😄😄"
30,['1346964241488748546'],1346964241488748546,@StenLolk @danritto @tv2newsdk Har vel 1/179-del + mine argumenter.
31,['1346950591365394439'],1346950591365394439,"@DavidTrads Ja, der blev vi begge lidt for håbefulde."
32,['1346950198841507842'],1346950198841507842,"@StenLolk @tv2newsdk Tog så men bare telefonen, da TV2 ringede. 😄"
33,['1346947026286563329'],1346947026286563329,@KHegaard Mit håb løb af med mig.
34,['1346931531709870085'],1346931531709870085,@LisbethKiel @realDonaldTrump @JoeBiden To little to late
35,['1346929487460630535'],1346929487460630535,"The U.S. has always been a symbol of freedom and democracy. I am deeply saddened by the ongoing events at Capitol Hill. Please @realdonaldtrump, follow the call from @joebiden to address the nation in order to stop this disgraceful madness."
36,['1346462279701696512'],1346462279701696512,@SonneOlsen @mortenpandersen Vil altid gerne interviewes om LøkkeFonden. https://t.co/9ENl0FnDk4
37,['1346462005289312257'],1346462005289312257,"@KristianMadsen Ja,  LøkkeFonden har pæn succes med at flytte drenge fra kanten tilbage i fællesskabet. 😄 Helt med på, at du aldrig har været i målgruppen. Kh. Lars"
38,['1346445840244760579'],1346445840244760579,"@lotte_kongsted Der er INGEN økonomisk relation mellem mig og LøkkeFonden, så det der kan du godt stoppe. I Perioden 2012 og et par år frem fik jeg et fmd.honorar på 30.000 kr. for ikke at blive skattepligtig af foredragshonorarer på ca. 500.000, jeg donerede til fonden. Men ellers ikke."
39,['1346411588224487424'],1346411588224487424,@DKsundhed Godt og klogt valg. Tillykke @svendsaer - og ikke mindst tillykke til sundhedsvæsenet.
40,['1346386429979582465'],1346386429979582465,"@R4nd4hl @Sorenlippert Gemmer mig skam ikke, men prioriterer lige nu at bruge tiden på det vigtige: at få svaret de mange borgere, der henvender sig (og finde min hund). Mon ikke massemedierne stadig er der, når jeg er færdig med det ..."
41,['1346382659631644673'],1346382659631644673,"@riis_karin @R4nd4hl @tv2newsdk Kære Karin. Er der et problem i, at Bubber &amp; Sólrun yder en ulønnet indsats i LøkkeFondens bestyrelse? Og at jeg for lang tid siden har sagt ja til et tilbud om en halv times udsendelse om fondens arbejde på DK4, når det fortjener at blive mere udbredt? https://t.co/XnJjEdu8HZ"
42,['1346380813907206144'],1346380813907206144,"@SylleSvb @henrikblunck_dk @tv2newsdk @Sorenlippert Ja, om LøkkeFonden som aftalt for lang tid siden. Og vel to minutter til start om min aktuelle beslutning om at blive løsgænger. Ville da være mærkeligt, hvis han ikke lige spurgte om det."
43,['1346380164691865604'],1346380164691865604,"@R4nd4hl Ro på. DK4 har lovet at stille en halv time til rådighed for en udsendelse om LøkkeFonden. Det siger vi selvfølgelig ja til, og så spørger Bubber helt naturligt til min udmeldelse. Alt andet ville da være mærkeligt. Bestyrelsen arbejder i øvrigt gratis."
44,['1345521437717749761'],1345521437717749761,"@pomaEB @venstredk Elsker når du på den måde ansporer mig. Tak for det. Bekræfter mig i, at man aldrig skal give op! - Godt nytår. 😀"
45,['1345497477722550272'],1345497477722550272,"@DavidWilliamsDK @TroelsMylenberg Ja. det kommer selvfølgelig ikke til at ske. De radikale har i udlændingepolitikken udviklet sig til at blive et yderligtgående parti og har derved fortabt deres historiske position som ""tungen på vægtskålen""."
46,['1345496385429397504'],1345496385429397504,@TroelsMylenberg Undskyld - skal ikke gøre dig ældre end du er. 😀
