,edit_history_tweet_ids,id,text
0,['1457153583850344449'],1457153583850344449,"@LoneWieberg Ja, vi vil ikke være med til at støtte regeringen i dette."
1,['1457153366765756420'],1457153366765756420,@ThomasTageH @Skuffet66 @FrkT1972 @PernilleVermund Præcis.. det handler om fakta og ikke holdninger
2,['1457153240689152000'],1457153240689152000,"@Skuffet66 @FrkT1972 @PernilleVermund Altså, det handler om at man ikke må poste falske påstande, ikke om hvorvidt man må have en bestemt holdning. Men vi er, og har altid været et parti som går op i fakta"
3,['1456596088840990726'],1456596088840990726,"Spørgsmål som medierne burde stille: Hvis SF virkelig er så bekymret for den stigende smitte, hvorfor deltager I så i alverdens valgarrangementer med masser af mennesker samlet? #dkpol #dkmedier"
4,['1456224173043429376'],1456224173043429376,Mon ikke kommisionen burde udvide sin undersøgelse til at gælde andre kommunikations platforme end sms… Ingen spiller så dum uden grund. #dkpol #dkmedier
5,['1456223253899489282'],1456223253899489282,@Cqmillq @kasper2619 @R4nd4hl @KT_Baek Jeg harcelerer over feminister.. dem har jeg også godt styr på ;-)
6,['1456178303556063235'],1456178303556063235,@XRP1procent Det har vi skam gjort i NB. Det blev stemt ned.
7,['1456167692076044292'],1456167692076044292,"Kære Soc, Enhedslisten, SF og Radikale, Hvorfor vil I ikke svare på dette simple spørgsmål:

Hvad mener I om at sundhedsministeren vidste at der manglede lovhjemmel, og at han påstod noget andet overfor Folketinget? 

#dkpol #dkmedier #slettemette"
8,['1456020198075551752'],1456020198075551752,"@pelledragsted @BrianVester4 Men Pelle.. vurderingen fra sundhed, hvilket ministeren personligt bekræftede, var jo netop at der ikke var hjemmel, til det man besluttede den 3. Nov.."
9,['1455998188687708162'],1455998188687708162,@MikkelNorsgaard Uh.. det kan let blive kontra faktisk… men jeg håber godt nok de begynder at spørge ind til Magnus Heunicke
10,['1455996777606402050'],1455996777606402050,"Læg godt mærke til hendes ord… jeg vidste ikke, at der manglede lovhjemmel.. ikke regeringen vidste ikke, at der ikke var lovhjemmel. #dkpol #dkmedier"
11,['1455966657197785100'],1455966657197785100,"Vigtigt huske note til pressemødet : 

Der findes ganske enkelt ikke ét eneste dokument fra nogen myndighed, der anbefalede/mente/rådgav/risikovurderede at alle mink skulle slåes ihjel. #dkpol #dkmedier"
12,['1455819358073237506'],1455819358073237506,@pederhvelplund @MortenDahlin @SamiraNawa @RosaLundEl @Heunicke Det forstår jeg ikke lige.. så burde I jo ikke have trukket tæppet væk under Mogens Jensen… kan Enhedslisten virkelig acceptere en minister som lyver for Folketinget?
13,['1455802830456070146'],1455802830456070146,"Løj Sundhedsministeren lige for Folketinget her? I dag er det kommet frem at ministeren personligt var vidende om manglende lovhjemmel i oktober.. han påstod overfor Folketinget sidste år, at han først vidste det efter den ulovlige ordre #dkpol #dkmedier https://t.co/aasDEYURhm"
14,['1455209815228227586'],1455209815228227586,"Ja, det kan jo skræmme enhver.. :-) #dkpol #dkmedier https://t.co/LjKKmZGEq7"
15,['1454754834566066176'],1454754834566066176,@Livetvarbedre @KirkegaardDane Vi stemte imod epidemiloven
16,['1454754510522441728'],1454754510522441728,"@MichaelHofm6 @kristensenann30 Ja, du hare hilt rett…"
17,['1454189927206379525'],1454189927206379525,"Så røg der lige lidt flere skattekroner i finanslovs puljen…. Radikale, SF og Enhedslisten mener ikke at kommissionen skal se på hvornår der blev slettet af Mette..
#SletteMette #dkpol #dkmedier"
18,['1453466569808523266'],1453466569808523266,@AndHede @Nikolajlaesoee LA sidder ikke i udvalget
19,['1453466301100404739'],1453466301100404739,"Nu er fortællingen så sikkert at der ikke backup på helt centrale mobiler i regeringen… hold nu op altså…
#SletteMette"
20,['1450977687237971973'],1450977687237971973,@AllanEgaa1 https://t.co/ooZ5U4CRTn
21,['1450977586557902849'],1450977586557902849,@allaneu https://t.co/NR3v7lddSy
22,['1450803654483529731'],1450803654483529731,"Gad vide hvilke to kvinder der nu træder ud af den radikale folketingsgruppe, og overlader pladsen til en mand, så de lever op til deres krav om 60/40 fordeling? #dkpol #dkmedier"
23,['1450803152228335621'],1450803152228335621,"@SamiraNawa @KatrineRobsoe @radikale @dkpol Jeg skal bare lige høre hvilke 2 kvinder det er som udtræder af jeres folketingsgruppe og overlader pladsen til en mand, så I lever op til den her 60/40 målsætning? #dkpol #dkmedier"
24,['1447862573353865219'],1447862573353865219,"Tag ikke fejl. Socialismen er på kraftig fremmarch i Danmark #dkpol #dkmedier 

https://t.co/TyNnrI4bYC"
25,['1445742769545224198'],1445742769545224198,"“ vi er fire kvindelige regeringsledere” 
Ok, tænk på ramaskrig der ville komme, hvis det var omvendt..
“ Vi er fire mandlige regeringsledere og så fandt Mette Frederiksen lige en plads mellem os ;-) “ 

#dkpol #dmedier https://t.co/39JFN2MlFP"
26,['1445122083227324417'],1445122083227324417,"Når Enhedslisten har det har udtryk om en aftale, så kan den sjældent være helt ved siden :-) #dkpol #dkmedier https://t.co/alZO7D7oc2"
27,['1443821487287382033'],1443821487287382033,Ingen flerkoneri… flerkoneri.. ingen flerkoneri….flerkoneri….ingen flerkoneri.. flerkoneri.. ingen flerkoneri…. #dkpol #dkmedier
28,['1443320420267175939'],1443320420267175939,"Jeg har kun fået 10-20 krænkelses kommentar og beskeder fra de typiske politiske korrekte i dag… jeg falder åbenbart af på den… nå, men imorgen er der heldigvis en ny dag :-) #dkpol #dkmedier #woke #meetoo"
29,['1440737953945243648'],1440737953945243648,"Fik den her på min Folketingsmail. 
Selvfølgelig George… den fixer vi lige….. ;-) https://t.co/CMxbHXuWwg"
30,['1440572857633808388'],1440572857633808388,"Det undrer mig at folk bliver overrasket over Enhedslistens nye forslag. Det er jo hvem de er.. kommunister.. og deres politik og samfundssyn har altid trukket et spor af ødelæggelse og tvang med sig. Derfor tiltaler det unge, hvor alle ikke har den historiske forståelse. #dkpol"
31,['1439718733992321028'],1439718733992321028,@lykkefisker @XRP1procent @MBrgger @QvortrupHenrik @DRBreaking @tv2breaking @Heunicke @DRDetektor @IgumRasmussen @indblik Han er ikke medlem af FDA.. det er en ekstern høring..
32,['1438801890377191426'],1438801890377191426,"@FranticallyCalm Næ, det er skam ikke nødvendigt.. alle der deler er skam berettiget til en faktura… :-)"
