,edit_history_tweet_ids,id,text
0,['915237227898208256'],915237227898208256,"Lars Løkke varslede i sin åbningstale flere udlændingestramninger på vej. Og så tænker han måske, at han kan... https://t.co/Lz6uzynzEx"
1,['913701452014657537'],913701452014657537,"- og netop som man kunne have håbet, at de mest faktaresistente ville få øjnene op, nu hvor soldater er sat ind... https://t.co/XSO7Dt4YcO"
2,['913698201152163840'],913698201152163840,"""Det er ikke, fordi vi mener, at vores mandater er mere værd end andre. Men hvis ikke vi får løst problemerne med... https://t.co/YW5Y5unWr9"
3,['913697306762973185'],913697306762973185,"""Det er ikke, fordi vi mener, at vores mandater er mere værd end andre. Men hvis ikke vi får løst problemerne med... https://t.co/gZHNZV7szX"
4,['912987851092119553'],912987851092119553,"""Bare fordi to mænd har lov til at leve sammen, så behøver de jo ikke rende rundt og kysse hinanden på gaden... https://t.co/CxtpVjd8bf"
5,['912237608016769031'],912237608016769031,"""Vi er mange, og vi bliver flere, der i forsvar for frihedsrettigheder, demokrati og ligeværd er villige til at... https://t.co/9alQfhLSCT"
6,['912237461283196933'],912237461283196933,"""Vi er mange, og vi bliver flere, der i forsvar for frihedsrettigheder, demokrati og ligeværd er villige til at... https://t.co/3V5aDj0JlM"
7,['911336062714351618'],911336062714351618,Et barn af demokratiet. Min elskede Storm ❤️ https://t.co/dDkvt3ymK1
8,['910905962428592128'],910905962428592128,"I går blev tre medlemmer af gangsterfamilien Levakovic anholdt og sigtet for et groft tricktyveri. 

I morges... https://t.co/Z2vMeF5AtG"
9,['910414079143170048'],910414079143170048,"Registreringsafgiften bør afskaffes helt.

Igennem benzinafgift og grøn ejerafgift betaler bilisterne i dag både... https://t.co/AnCQRcsqmb"
10,['910115657068531712'],910115657068531712,"Vi må som samfund stille os bag børn, som bliver udsat for sexuelle overgreb. 

✔️ Politikerne må stramme loven,... https://t.co/wIpGz2DepH"
11,['909360222250119169'],909360222250119169,"Afviklingen af vores frie og trygge samfund skal vendes. Det er ikke godt nok, at politikerne med deres... https://t.co/aeqTd8eRCt"
12,['909309515346083840'],909309515346083840,"✔️ Asylstop 
✔️ Udvisning af kriminelle efter første dom
✔️ Krav om selvforsørgelse til alle udlændinge.

Det er... https://t.co/o3QGNUHOIb"
13,['909108071326212096'],909108071326212096,"""Det sædvanlige pladder og cherry-picking"", skriver David Trads om Lars' klumme. Han argumenterer ikke... https://t.co/pzX63Ixlsd"
14,['908379215275458561'],908379215275458561,Varsel til alle venner i Snekkersten og omegn!!! https://t.co/2tcexZj86k
15,['908330588960149504'],908330588960149504,"”Mener du det virkelig?”

Det spørgsmål får jeg ofte – især fra journalister, som er vant til at have med... https://t.co/lYntuNOhRf"
16,['908330081713614848'],908330081713614848,"”Mener du det virkelig?”

Det spørgsmål får jeg ofte – især fra journalister, som er vant til at have med... https://t.co/xtcV8lAZJ3"
17,['908217072894791680'],908217072894791680,Godmorgen 😃 https://t.co/GmdTVpCSiq
18,['908196455524990977'],908196455524990977,"Bandekriminalitet, religiøs undertrykkelse, nassekultur og politisk motiveret vold og hærværk er ikke danske... https://t.co/aPlLCiN19o"
19,['908048995502710784'],908048995502710784,"""Pernille, du gjorde det sgu godt. I introen  med, at du ikke ville støtte en blå regering, hvis ikke... troede... https://t.co/yZRTJmxzEa"
20,['907981762890010624'],907981762890010624,I debat med David Trads... https://t.co/eXP9dAUoKl
21,['907966027350364160'],907966027350364160,"Det er hverken socialisterne eller øko/klima-idealisterne, der har opfundet og udviklet det nationale... https://t.co/1NUYVSTKUB"
22,['907566063180808192'],907566063180808192,"""Af alle udlændinge bør man selvfølgelig kræve, at de forsørger sig selv. Det ville løse mange problemer med... https://t.co/iUZeUkLMyg"
23,['907565274521636864'],907565274521636864,"""De muslimske indvandrere, som har udviklet en livsstil på offentlig forsørgelse, har tilpasset sig de ændrede... https://t.co/Oye1Z7huN1"
24,['907335185250824192'],907335185250824192,"Kan I huske ""kulturberigelsen""? Man hører ikke så meget om den i dag.

Nu er der så gået et par årtier, og det er... https://t.co/DAww5rShQK"
25,['907246510198403072'],907246510198403072,"""Fem til ti timer om ugen giver nemlig ret til fortsat fuld kontanthjælp. Og derudover får den uintegrerede... https://t.co/idfrpEfBaV"
26,['907245177160552448'],907245177160552448,"""At flere migranter fra de muslimske lande nu arbejder lidt for de penge, de modtager, viser, at de ikke er... https://t.co/4weRlp43OB"
27,['906961925455716353'],906961925455716353,"Lars i telefonen tidligere i dag: Jeg har skrevet et debatindlæg, som jeg gerne vil have dig til at læse igennem... https://t.co/0AHUWhWUJd"
