,edit_history_tweet_ids,id,text
0,['1463815954140385288'],1463815954140385288,"RT @lars_qvistgaard: Klogt #uddpol og #forskpol finanslovsforslag fra @radikale: Bl.a. permanent hum og samf taxameterløft, løft af forskni…"
1,['1463799612163211272'],1463799612163211272,"Tak for den pæne modtagelse! Jeg er også selv rigtig glad for vores fokus på uddannelse og forskning, der bl.a. vil gøre takst-1 løftet på hum og samf permanent #dkpol https://t.co/BL7ymceNRW"
2,['1463461312839794694'],1463461312839794694,@FjordMfs @DanskIndustri @radikale ❤️❤️❤️
3,['1463075440524935176'],1463075440524935176,"RT @Marie_Dall: Som repræsentant for de studerende ved @AarhusUni må jeg sige, at politikerne skuffer gevaldigt med deres ‘udflytningsaftal…"
4,['1463049591323037696'],1463049591323037696,"De studerende på pædagoguddannelsen fortjener, at deres uddannelse i langt højere grad giver dem det med i rygsækken de har brug for - kun på den måde kan de hjælpe med at fylde rygsækken op hos fremtidens generationer #dkpol https://t.co/wmY5hGXtpN"
5,['1463048267911114755'],1463048267911114755,Pædagoguddannelsen skal løftes. Og der er rigeligt at tage fat på. Alt lige fra økonomi til modulopbygning og praktik har brug for et løft. Lad os nu komme i gang #dkpol https://t.co/XUO89qE0Xc
6,['1462746264018300929'],1462746264018300929,"Hvordan så mange partier lukkede ørene er mig stadig en gåde! Konsekvenserne af aftalen er ikke en overraskelse for nogen. Vi blev advaret, men alt for få lyttede #dkpol https://t.co/PM7SMzlmmC"
7,['1462745709908832256'],1462745709908832256,"@MadsNyeng @KristineKryger @CBScph Det var i hvert fald tydeligt, at det ville være konsekvensen! Også derfor at @radikale ikke er med i aftalen"
8,['1462745416412377090'],1462745416412377090,"RT @JPYazdani: Den såkaldte 'udflytning' er et slet skjult angreb på humaniora. Både på KU, AU og CBS er det specifikt og særligt humaniora…"
9,['1460843410387054598'],1460843410387054598,"RT @radikale: Bedste radikale kv resultat siden 1974 
🔥💪🅱️ #TænkNyt #dkpol #kv21 https://t.co/pbuYelhyQ6"
10,['1460843125077950465'],1460843125077950465,@radikalekbh @radikale SÅ flot! Tillykke
11,['1460766642003234816'],1460766642003234816,For første gang nogen sinde får @radikale 3 mandater til kommunalvalget i Aarhus💕💕💕 TAK
12,['1460472406229798914'],1460472406229798914,"@GullbergDavid @AggesenSimon @MVindfeldt @LoneLoklindt @pelledragsted @JanEJoergensen @sfBalder @LarsBergAnderse Heldigvis er @LoneLoklindt jo borgmesterkandidat for @radikale - og vi er jo død imod uddannelseslukningerne! Både Lone og jeg kæmper for at redde vores uddannelser, så et radikalt kryds vil da give mening her😉"
13,['1460230196729200648'],1460230196729200648,RT @ABjarklevDTU: Jeg bruger meget af min tid på at varetage den teknologiske videnskabs interesser. Men som universitetsmand og vidensmenn…
14,['1460189887961907202'],1460189887961907202,Mit uddannelseshjerte bløder #dkpol #uddpol https://t.co/tg2XEF983X
15,['1460180390182801412'],1460180390182801412,"@jacobmark_sf @rasmuspilegaard @SFpolitik Selv tak - sig endelig til når du ved, hvor mange uddannelsespladser de unge kan takke jer for at lukke"
16,['1460179463099011072'],1460179463099011072,@jacobmark_sf @rasmuspilegaard @SFpolitik Jeg orker heller ikke SF’s ekstreme svigt af vores uddannelser! Desværre vil I ødelægge uddannelser i de fire største byer. I øger karakterræset og smadre uddannelsesdrømme.
17,['1460177722370629633'],1460177722370629633,"@jacobmark_sf @rasmuspilegaard @SFpolitik CBS er jo også startet lavt! Jeres svigt af vores 4 største uddannelsesbyer og de unge der drømmer om at læse her er vanvittigt - skal vi klappe af jer, hvis kun 7 pct. af pladserne skal lukke?"
18,['1460175352811171852'],1460175352811171852,"@jacobmark_sf @rasmuspilegaard @SFpolitik Undskyld Jacob, men færre pladser vil altså give øget karakterpresset. Det rykker jo hele vejen i systemet. AU har fremlagt 6 pct. og I har sagt 5-10 pct. Så hvad er det du mener er worst case?"
19,['1460173651546980354'],1460173651546980354,"@jacobmark_sf @rasmuspilegaard @SFpolitik AU har da absolut ikke regnet i worst case!! Færre studiepladser at kæmpe om=højere karakterpres. Det er vist ikke så svært at forstå. Det er jeres skyld, at de skal lukke uddannelsespladser."
20,['1460171676717662209'],1460171676717662209,@jacobmark_sf @rasmuspilegaard @SFpolitik I er skyld i at flere unge vil opleve et endnu større karakterpres! Tusindvis af uddannelsespladser skal lukkes på grund af den pistol i har sat for panden af vores uddannelser
21,['1460156313082736641'],1460156313082736641,Tusindvis af uddannelsespladser skal lukke på grund af jer!! Det mindste I kan gøre er da at stå til ansvar for det og ikke bare nægte at kommentere på konsekvenserne af jeres politik @VictoriaV_EL @AstridCaroee https://t.co/EgyHAAKZee
22,['1459865658259353606'],1459865658259353606,"Hey @AstridCaroee @VictoriaV_EL 
I kan ikke stikke hovedet i sandet hver gang konsekvenserne af jeres aftale kommer frem i lyset! Hvordan forholder I jer til det her? Det er jeres ansvar, at uddannelserne skal lukke og presset på unge øges!! #dkpol https://t.co/acLW68CXGU"
23,['1459619985408548877'],1459619985408548877,"Var det det I ville @AstridCaroee @VictoriaV_EL ? I blev i hvert fald advaret, så I kan ikke påstå, at I ikke vidste hvad der ville ske #uddpol #dkpol https://t.co/QLXOXL7xW4"
24,['1459472135005556736'],1459472135005556736,"RT @madseriksen1208: En trist nyhed. ⁦@CBScph⁩ har tårnhøj beskæftigelse, og leverer dygtige kandidater til #dkbiz. Ønsket om studerende på…"
25,['1459472115707617280'],1459472115707617280,"RT @FjordMfs: Det er en ærgerlig nyhed, at @CBScph må lukke mere end 300 uddannelsespladser, når kandidaterne er efterspurgt af #dkbiz  Det…"
26,['1459461328888909824'],1459461328888909824,"@phidip @karmel80 @Enhedslisten @SFpolitik @venstredk @KonservativeDK Jeg er i min gode ret til at pointere, at de har lavet en lorteaftale! Desværre er det alle de unge det går ud over, så jeg bliver ved med at kæmpe for at få det lavet om - lev med det."
27,['1459440655143518208'],1459440655143518208,"Jeg forstår simpelthen ikke, at I gik med til det her @Enhedslisten @SFpolitik @venstredk @KonservativeDK 
Det er jeres ansvar!! 
https://t.co/24ABcsWUzK"
28,['1459232125815869442'],1459232125815869442,"Endnu 334 knuste drømme. Resultatet af uddannelsesaftalen før sommer er ikke til at tage fejl af @SFpolitik @Enhedslisten @venstredk @KonservativeDK 
En katastrofe for vores uddannelser og en massakre på unges muligheder! #dkpol #uddpol 
https://t.co/XgBvqKIOiA"
