,edit_history_tweet_ids,id,text
0,['1371803580924039171'],1371803580924039171,"@SonneOlsen @QvortrupHenrik @PiaOlsen Jeg tror at nogle af alle dem som ikke tænker over hvad fanden det er de skriver, måske tænker en ekstra gang når både TV2 og statsministeren fælles melder på det"
1,['1371803428062687242'],1371803428062687242,@Palm_DK @SonneOlsen @QvortrupHenrik @PiaOlsen Så tror jeg man underkender hvad det betyder når statsledere forholder sig til noget og sætter noget på dagsorden. Der bliver talt om det ved middagsbordene og i skolerne når en statsminister melder noget. Det er mere værd end lovgivning
2,['1371801031135391745'],1371801031135391745,@SonneOlsen @QvortrupHenrik @PiaOlsen Skal alt handle om uenighed? Det betyder noget når en statsminister forholder sig til noget. Og derudover er politikerne faktisk uenige om hvorvidt man skal regulere
3,['1371800703891599360'],1371800703891599360,RT @rasmusnordqvist: Godt at @PiaOlsen tager had-tale online op og spørger om STM vil være med til at få defineret hvad digital vold er og…
4,['1371800661608837122'],1371800661608837122,"@QvortrupHenrik @PiaOlsen For mange tusindvis af børn og unge - og egentlig også voksne - er det et tema der fylder i hverdagen. Hvorfor pokker skal alt i din verden handle om hvorvidt taburetten står eller ej? Det tema betyder noget for folk, og vi skal have ændret på den tone der er i dag"
5,['1371799196328673280'],1371799196328673280,"Til alle elever og lærere på højskoler: Mundbindskravet er nu fjernet, fordi man har lavet så skrappe testkrav. Det er godt, for der var ingen logik i at man skulle bære mundbind i fællesrummet og på gangen når man måtte sidde tæt sammen til undervisning uden. #dkpol"
6,['1371466363672350722'],1371466363672350722,"RT @charlottebroman: Jeg er så glad for, at vi endelig giver festivalerne mulighed for at planlægge - og sikkerhed, hvis de skulle blive af…"
7,['1371082746945286151'],1371082746945286151,RT @PiaOlsen: Lad os nu få de børn hjem. Norge har gjort det - Danmark bør også 🙏#dkpol https://t.co/BbJrEzfsrj
8,['1370693712536350723'],1370693712536350723,@KHegaard @dkpolparrot @Enhedslisten Er det vigtigt for dig?
9,['1370677168141963268'],1370677168141963268,"RT @svoemDK: SF ser positivt på en snarlig genåbning af indeidrætten for børn og unge. Læs mere her. 
https://t.co/UeveTlKHu6 https://t.co/…"
10,['1370486364672757775'],1370486364672757775,"Som medieordfører hørte jeg ofte på at X-factor ikke er public service. Men i aften er det bedste eksempel på, hvordan man kan adressere alvorlige emner i et underholdende format. Vigtigt med fokus på den grimme tone, der hersker i den offentlige debat. Stærkt @tv2danmark #dkpol"
