,edit_history_tweet_ids,id,text
0,['1565989227145445376'],1565989227145445376,"@JuulMona Det er da stadig mega skævt, at det er de, som har (haft) de hårdeste job - og ofte den ringeste løn, som skal betale skattelettelser til de rigeste? De rigeste kommer næppe til at arbejde mere. De bliver bare rigere. Imens kan nedslidte bæres direkte fra arbejde til sygeseng"
1,['1565983947279974400'],1565983947279974400,"@AnjaCJensen @DanskErhverv Enig Anja. Det er unuanceret - og i øvrigt en utidig påstand i en tid - hvor folk knokler for at holde hjulene i gang. I stedet kunne sagen handle om et stort behov for sociale klausuler på arbejdsmarkedet - så vi kan få fri, når der er svært brug for os på hjemmefronten"
2,['1565982952324046850'],1565982952324046850,"@JuulMona I SF går vi ganske rigtigt ind for, at de stærkeste skuldre skal bære mest - modsat jeres forslag til skattelettelser til de rigeste - som skal finansieres af afskaffelse af efterløn og Arnepension (som man bestemt ikke bliver rig af - men kan have svært brug for)"
3,['1565772953366790150'],1565772953366790150,@AlexVanopslagh Nej. For det vil jo øge uligheden endnu mere 😊
4,['1565770904709341186'],1565770904709341186,@EvaTingkaer Ta’ testen 🙏
5,['1565754885127262210'],1565754885127262210,"@AlexVanopslagh Kan vi ikke undlade at bruge ord som vås og forfærdelig om hinanden, og nøjes med at diskutere forskellene på, hvad vi prioriterer? Jeg synes ikke det er tid til skattelettelser, når sygehuse, ældrepleje, psykiatri og handicapområdet bløder. Og det er vel et helt fair synspunkt?"
6,['1565753489166372865'],1565753489166372865,"@NielsHejlesen @venstredk Corona gjorde det ikke bedre. Der blev trukket hårde veksler på for lidt personale - på grund af årtiers besparelser. Og personalet var begyndt at flygte til lettere jobs. Det tager tid at vende den skude, og det kræver politisk vilje. Mere konkurrence og besparelser er ikke svar"
7,['1565676920519401475'],1565676920519401475,"Virkelig godt, at sundhedspersonale får tilbud om nye opdaterede vacciner i ny plan 🙏 Flere grupper får tilbudt coronavaccine i efteråret - 4,5 millioner doser lander i september | Indland | DR https://t.co/eYTDUkqkjj"
8,['1565660237079740418'],1565660237079740418,"@Dennis7800 @RStoklund @EkstraBladet @KonservativeDK Alt er godt, så længe du ikke mister dit arbejde eller bliver syg 🙏"
9,['1565659257919442945'],1565659257919442945,@EriksenCheanne @venstredk Vi har stoppet årlige besparelser og sørget for budgetter der følger demografi. Men klart ikke i mål med genopretning. Derfor nej til mere konkurrence og skattelettelser - som er årsag til nedslidning
10,['1565658562642300930'],1565658562642300930,"@NielsHejlesen @venstredk Og vi har fjernet årlige besparelser på 2% og sikret budgetter som følger demografien. Helt med på, at det ikke er nok til genopretning af nedslidning. Arbejdet skal fortsætte. Derfor også fortvivlende at nogle partier foreslår mere konkurrence og skattelettelser. Det er tonedøvt"
11,['1565658015046537220'],1565658015046537220,"@Kammerdahl @venstredk Enig. Vi har fået stoppet 2% produktivitetsforbedringer og sikret budgetter der følger demografien, men enig i, at det langt fra har været nok til genopretning af nedslidning. Derfor er skattelettelser og mere konkurrence (som nogle partier foreslår) også helt out-datet"
12,['1565602729606758400'],1565602729606758400,"Var det meningen @venstredk? Ventelistegaranti og ulige konkurrence, hvor private hospitaler løser de lette opgaver, har nu resulteret i, at det nu er de mest syge, som venter. Det er død alvorligt https://t.co/4JMljYYY1T"
13,['1565549102884179975'],1565549102884179975,"@metteabildgaard @lassebtz @KonservativeDK Dosisdispenseret medicin kan afhjælpe mangel på sygeplejersker, fordi farmakonomer dermed overtager nogle opgaver. Men det er jo ikke gratis? At få vasket tøj på centrale vaskerier er heller ikke gratis? Brugerbetaling ind af bagdøren - eller hvad er planen?"
14,['1565317305512361985'],1565317305512361985,"RT @PiaOlsen: Vi skal investere i teknologier, der sikrer den grønne omstilling - alle CO2-reduktioner tæller. København skal være klimaneu…"
