,edit_history_tweet_ids,id,text
0,['1460553194719825923'],1460553194719825923,Dagens gode råd! Husk det nu! Ikke tage valgkortet i munden 😅 Det er jo en virkelig dårlig ide. En regulær tanketorsk 🥰 Ønsker alle et godt og sikkert valg #dkpol https://t.co/vSyjuK8S9w
1,['1460536563138547717'],1460536563138547717,God valgdag ❤️ https://t.co/z2SrGrA3M1
2,['1460174764383821828'],1460174764383821828,"RT @PiaOlsen: Har fået flere beskeder om borgere, der ikke tør stemme i morgen pga corona. Vigtigt at vi får udbredt budskabet om at man go…"
3,['1459864357861478407'],1459864357861478407,"@JaneHeitmann @Astridkrag Fremtidige generationer skal sikres med en velfærdslov, som garanterer, at budgetter følger med flere børn og ældre. Og der stemmer V i mod. Så meget for det løfte 😊 Tak for debatten 😊"
4,['1459857895433064453'],1459857895433064453,Forstår vreden. Det er dyrt og dårligt. Ansæt husassistenter til aflastning af sundhedspersonale til varetagelse af praktiske opgaver på plejehjem https://t.co/1zURF7Y9De #dkpol
5,['1459857154702295043'],1459857154702295043,"@JaneHeitmann @Astridkrag Så ældre kan komme på toilettet, hvis I synes vi har råd? Vi har - modsat den tidligere regering - finansieret det demografiske træk. Velfærdsloven er løfte om, at det gør vi også i fremtiden - en bund under velfærd"
6,['1459854582998261764'],1459854582998261764,@JaneHeitmann @Astridkrag Din finansordfører sagde noget andet i torsdags - men hvis dit ord står til troende - så ville det jo være uproblematisk at stemme for velfærdsloven?
7,['1459846690802962436'],1459846690802962436,"@JaneHeitmann @Astridkrag At I ikke vil garantere, at der følger flere penge med ud til kommuner og regioner, når flere og flere ældre får brug for pleje og behandling - eller for den sags skyld flere penge til børn, når vi skal passe og undervise flere børn"
8,['1459845558852538374'],1459845558852538374,"@JaneHeitmann @Astridkrag Du ved godt, at din finansordfører sagde nej til velfærdsloven i torsdags - ikk? Direkte adspurgt, så vil I kun give flere og flere ældre flere penge - hvis I mener vi har råd. Først penge - så toiletbesøg. Det var da ærlig snak"
9,['1459830521337454593'],1459830521337454593,"@JaneHeitmann @Astridkrag Det handler også om ledelse, som bliver målt på, om de kan overholde alt for stramme budgetter - mere end på, om fru Jensen kommer på toilettet til tiden. Den er gal med styreformen - og I vil jo heller ikke være med til en velfærdslov, som sikrer flere ressourcer til flere ældre"
10,['1459828342744616963'],1459828342744616963,"@JaneHeitmann @Astridkrag Vil du ikke forklare, hvordan en plejehjemsbestyrelse skulle have en chance for at opdage den kultur, som jeg også er rasende over? Eller hvordan den for den sags skyld kan hjælpe fru Jensen på toilettet i tide?"
11,['1459827122030141442'],1459827122030141442,"@R4nd4hl @retep1709 Man har faktisk et nationalt rejsehold, og tilsyn arbejder ofte på denne måde. Men de ville næppe opdage det, som et afsløret i Gladsaxe. Man skal være tæt på i dagligdagen for at få øje på den kultur - og det er jo det man har ledelse til"
12,['1459472245861101574'],1459472245861101574,"Enig. Ældreplejen er ved at knække over, og det er en katastrofe. En velfærdslov skal sikre flere ansatte, når flere ældre får brug for hjælp, men for mange partier vil kun betale, hvis de synes vi har råd. Kom nu ⁦@radikale⁩ og ⁦@DanskDf1995⁩  https://t.co/n012Nn6IkV"
13,['1459467790264455168'],1459467790264455168,Dybt rystende at ældre demente borgere er blevet filmet og ydmyget af personale i Gladsaxe. Det går ud over trygheden blandt ældre og pårørende. Godt der bliver handlet. #sundpol #dkpol  https://t.co/nsoSvVECJI
14,['1459232382888914951'],1459232382888914951,"@Broccolidwarf Jeg mistænkeliggør ikke virksomheder. Men det var forkert, at private kan løse opgaverne både bedre og billigere. Til gengæld har privatisering medført et enormt bureaukrati. Og der er dyrt"
15,['1459215338218958850'],1459215338218958850,"@ThomasJ08390291 @PiaOlsen @berlingske @GreteGc @Sygeplejeraadet Og hvad tænker du så der skal ske efter en væltet regering? Igår vendte alle borgerlige partier + Radikale fingeren nedad til en velfærdslov. De sagde samstemmende, at de lover velfærd - hvis der er råd! Jeg tror du og andre er bedre tjent med, at vi kæmper ved forhandlingsbordet"
16,['1459214219287617546'],1459214219287617546,@enafdedage @PiaOlsen @AnneValentina @berlingske @GreteGc @Sygeplejeraadet NEJ
17,['1459187305604857867'],1459187305604857867,"RT @PiaOlsen: Helt ærligt Berlingske. Det er lidt trættende. Man er ikke vranten, fordi man kæmper en kamp for bedre løn og arbejdsvilkår.…"
18,['1459141496804945927'],1459141496804945927,"Av, av, av. Den her må gøre ondt hos alle privatiseringselskerne i blå blok. Kære venner, det virker ikke. Styrk den offentlige velfærd! #dkpol  https://t.co/8ZwjIdbfYn"
19,['1459068854500573194'],1459068854500573194,RT @PiaOlsen: Regeringen åbner for statsgaranteret lån - godt at se at Regeringen endelig lytter til SFs politiske krav for at sikre bosætn…
20,['1458686569678884867'],1458686569678884867,Helt enig med FOA: Flere på fuldtid kan sikre ældreplejen. Faste og kendte medarbejdere skaber ro og forudsigelighed. Kolleger der kender hinanden og borgerne skaber tryghed i hverdagen. Hvad er der at betænke sig på? #dkpol  https://t.co/g2ZX7HDpGg
21,['1458622947313266690'],1458622947313266690,@_Totde_DK @venstredk @SFpolitik Ikke en krone.
