,edit_history_tweet_ids,id,text
0,['1520683784475131905'],1520683784475131905,"RT @Deadline_dr: Lige nu er vi på vej mod en verden med 3,2 graders temperaturstigninger, og det er ikke en verden vi har lyst til at leve…"
1,['1520671819132542977'],1520671819132542977,"RT @troelsranis: Hej @PiaOlsen 😊

På vegne af energiindustrien og #dkbiz takker jeg for, at du i 1. maj-talen kaldte biogas for frihedsener…"
2,['1520659640593403904'],1520659640593403904,"RT @SFpolitik: En anden 1. maj, men med samme værdier. Trods alvorlige tider i Ukraine, er der stadig meget at slås for herhjemme. Så vi si…"
3,['1520659553276342272'],1520659553276342272,@SMSerup @hansersej Ser farligt ud 😂😂 God første maj
4,['1520148891261456385'],1520148891261456385,"“Lets do something cool”, sagde Robert og hev os op på taget af den tyske Rigsdag, hvor man kan se hele Berlin. Så smukt! Og så en god snak, både om Ukraine, klima, regeringsdannelse, gas mv @europeangreens #dkpol https://t.co/XPW70Img1e"
5,['1519972972244738049'],1519972972244738049,"RT @tv2danmark: @TV2NEWSdk dækker 1. maj-begivenhederne tæt fra søndag morgen og transmitterer blandt andre @PiaOlsen (SF), Mette Frederiks…"
6,['1519588430145114112'],1519588430145114112,"Hurra og tillykke Kirsten 🇩🇰🇩🇰🇩🇰 Vores skønne gruppenæstformand @KirstenNormann bliver 60 år idag. Skøn, sød, sej, klog, ordentlig og ja uundværlig for alle os i @SFpolitik ❤️ Alle jer der møder hende idag - husk at fejre hende 😍 #dkpol #ftlive https://t.co/7WMx8BQ9AN"
7,['1519238387407933443'],1519238387407933443,@mads_bilstrup @MaiVilladsen @regeringDK @Socialrdgiverne Det gør vi Mads🙏
8,['1519198977605910528'],1519198977605910528,RT @LisbethBNielsen: Vi skal stille større krav til at vores produkter kan holde længere. Derfor foreslår vi blandt andet at reklamationsre…
9,['1519051528979595265'],1519051528979595265,"RT @JulieLindmann: Med den højeste inflation i 30 år presser de generelle pristigner lige nu mange danskere med en stram økonomi, det gælde…"
10,['1519047462475997187'],1519047462475997187,"RT @sofiefalckvilla: Tak til @SFpolitik for at huske studerende. Den økonomisks situation påvirker alle med lave indkomster.

Alt for høje…"
11,['1519047365184921605'],1519047365184921605,@RobinSeeberg Netop
12,['1518921786259386369'],1518921786259386369,@JuulMona @SorenPape Mener du seriøst at vi har frit valg idag 😳
13,['1518918145502760962'],1518918145502760962,Og hvad siger de konservatives borgmester i Høje Tåstrup til det 😳😳😳
14,['1518917662222467074'],1518917662222467074,RT @SFpolitik: Regeringen foreslår nu som SF at hæve ældrechecken. Vigtigt og tiltrængt. Men flere bør få en økonomisk håndsrækning i krise…
15,['1518917614340382723'],1518917614340382723,"Sagde @SorenPape lige, at vi skulle lukke Høje Tåstrup gymnasium, Århus gymnasium Tilst mv??? Fordi der går for mange af anden etnisk herkomst. I stedet for at løse problemet. Det er da for vildt 😳 #dkpol"
16,['1518914998608740356'],1518914998608740356,"RT @lauge_bach: Gad vide hvordan de studerendes situation ville se ud, hvis vi også var blandt @Spolitik kernevælgere? Jeg er ikke i tvivl…"
17,['1518826295857135616'],1518826295857135616,RT @MF_K_Lorentzen: Godt med mulig check til ældre og førtidspensionister. Dem har SF også foreslået at kompensere for stigende priser. Håb…
18,['1518626578686693378'],1518626578686693378,"RT @Kira_MPH: Nu får vi endelig regler for internettet💪🏼📱💻

De love, der skulle tøjle techgiganterne, var næsten ældre end internettet, men…"
19,['1518503622555885568'],1518503622555885568,@jenshigh @europeangreens Øh nej hvad Søren vurderer du det på?
20,['1518341549872058372'],1518341549872058372,"Macron er genvalgt og jeg kan mærke at jeg drager lettelsens suk, men uden begejstring. Krydser fingre det de franske grønne til parlamentsvalget 🤞For reel forandring! #dkpol @europeangreens https://t.co/05b2JeZ4O8"
21,['1518340388322525186'],1518340388322525186,"RT @PelleMortensen: Når vi er færdige med at drage lettelsens suk over Macrons fine genvalg, så kan vi glæde os over at Orban-klonet Janez…"
22,['1518340253702098950'],1518340253702098950,"RT @LisbethBNielsen: Frihed, lighed og broderskab har trange kår i den femte republik i disse år… det er med et virkelig dybt suk at man må…"
23,['1517897109839794180'],1517897109839794180,"For @AlexVanopslagh er frihed lig med at skære på velfærden. At privatisere velfærden. Og ja. det er frihed. Men kun for de få. Og det er hamrende skævt!
Godt landsmøde til @LiberalAlliance 😉"
24,['1517729886009503744'],1517729886009503744,Enig Andreas https://t.co/aB4wA0pgH3
25,['1517729456386985985'],1517729456386985985,@SchaldemoseMEP Godt arbejde Christel
26,['1517729395867271169'],1517729395867271169,"RT @SchaldemoseMEP: We have a deal on the #DSA! Better online rights for citizens, democratic control over algorithms and disinformation an…"
27,['1517728996439568384'],1517728996439568384,"@ThomasJorgen @diegruenen De grønne har været imod Nordstream2 længere end de fleste tyske partier, så det forstår jeg ikke helt"
28,['1517610421318045701'],1517610421318045701,"Sammen med min tyske gode ven og kollega Robert Haabeck fra SFs søsterparti @diegruenen , vicekansler i Tyskland til en almindelig aften i Kbh med snakke om klima, Ukraine, Europa og meget mere #dkpol https://t.co/4U3m3PBYxQ"
29,['1517496553962971136'],1517496553962971136,"@AlexVanopslagh @politikerpip Ok fair nok, men hvorfra er tallene. Eftersom vi jo begge ved hvor meget er fortroligt"
30,['1517472858808766464'],1517472858808766464,@AlexVanopslagh @politikerpip Den er så to måneder gammel Alex 😳 fra starten af krigen
31,['1517468941047808000'],1517468941047808000,RT @LisbethBNielsen: Kvinder og børn er ekstra udsatte i krig. Voldtægt bruges i krig til at ydmyge og krænke både den enkelte og samfundet…
32,['1517468920810201089'],1517468920810201089,@HelleMalmvig @diisdk Mega sejt 👏👏👏
33,['1517468831513522179'],1517468831513522179,@funkdat @AlexVanopslagh @politikerpip Vi taler om krigen i Ukraine. Ikke mink
34,['1517468737305300994'],1517468737305300994,"@williamschiott @AlexVanopslagh @politikerpip Men det er jo langt mere end det vi taler om, så hvor meget er lidt??"
35,['1517370642580054018'],1517370642580054018,"@AlexVanopslagh @politikerpip Hvilket småbeløb taler du om? Hvad er småbeløb for LA? For jeg synes ikke milliarder er det, men hører gerne mere"
36,['1517210667769634817'],1517210667769634817,"RT @Jens_Joel: Jeg fatter simpelthen ikke, at @Enhedslisten stemmer imod Natobidrag og støtte til vores venner mod øst. Hvad sker der? #dkp…"
37,['1517128578667798529'],1517128578667798529,RT @KnudsenLisbeth: Kæmpe tak til @SchaldemoseMEP og @LisbethBNielsen . I gør en markant forskel ved at tage den politiske handske op på di…
38,['1517125888927834112'],1517125888927834112,@Olegudi Desværre ikke
39,['1517111350643810306'],1517111350643810306,Et stort flertal i Folketinget stemmer for NATO bidraget til vores fælles forsvar. Imod stemmer endnu engang Enhedslisten! Trist - for den russiske trussel er alvor for de baltiske lande #dkpol https://t.co/IfxRs3zueH
