,edit_history_tweet_ids,id,text
0,['1375356628741029890'],1375356628741029890,@larsgaardhoj @RegionH Godt arbejde
1,['1375190932417548292'],1375190932417548292,"RT @ulrikgerdes: #COVID19dk :: Og hvis man justerede antallene af udførte virusgenomsekventeringer efter befolkningsstørrelser, ville Danma…"
2,['1375062404619505668'],1375062404619505668,"Helt rørende lille begivenhed her til morgen, hvor vores sydkoreanske venner lige fremhævede det nu 70 år gamle danske bidrag ifm Koreakrigen, hospitalsskibet Jutlandia. På Danmarks vegne underskrev jeg samarbejdsaftale m Sydkoreas sundhedsminister. 🇩🇰🇰🇷 #sundpol #dkpol https://t.co/Uzfq140RQc"
3,['1374703422910435329'],1374703422910435329,"Status på varianter den seneste uge: Der er fundet 6 flere tilfælde med den sydafrikanske variant B.1.351, så vi i alt har fundet 40 i Danmark. Ingen nye tilfælde af den brasilianske variant, fortsat i alt 3. @STPS_dk smitteopsporer intensivt for at inddæmme smitten #COVID19dk"
4,['1374344660349558786'],1374344660349558786,"Med et nyt kontakttal i svag stigning til 1,1 har vi stadig kontrol med B117. Det betyder, at Danmark kan genåbne gradvist her i foråret. Test, vacciner, smitteopsporing og lynhurtig indsats mod lokale udbrud gør det muligt. Plus den indsats, vi alle gør hver dag 🙏 #COVID19 https://t.co/hZvJe35Xft"
5,['1374311725500104709'],1374311725500104709,"RT @DKsundhed: Pressemeddelelse: God håndhygiejne, afstand og smitteforebyggelse har medvirket til et fald på 15 procent i danskernes antib…"
6,['1374306764380909575'],1374306764380909575,"RT @rasmushorn: Sludder. Du skal vist læse lidt op på apartheid-historien. Hvem bliver diskrimineret af, at man skal fremvise en negativ te…"
7,['1374251049888931842'],1374251049888931842,"@nunanoskar @regeringDK Ja, det arbejde er i fuld gang. Vi er i forvejen blandt de få lande, der tester suverænt mest, og kapaciteten udbygges yderligere. Kan dog ikke love, at der aldrig vil være kø i peak, så vi må prøve at få det til at fungere med at folk spreder deres testtider lidt ud om muligt"
8,['1374005128278212608'],1374005128278212608,"Det her er et privilegium, jeg virkelig sætter pris på: I dag lykkedes det at mødes m debattører, fagfolk fra fødegangene og de driftsansvarlige til fællesmøde. Fødselsområdet er med god ret højt på alles dagsorden. Tak for at dele historier, problemer, idéer og erfaringer 🙏 https://t.co/x1hvfBFsWB"
9,['1373272985256263681'],1373272985256263681,"God gennemgang af situationen i Danmark og Europa netop nu i den her tråd. Anbefaling herfra om at følge vores hårdtarbejdende og dygtige styrelser, som nøgternt og transparent lægger oplysninger ud, når der er nyt. Og god lørdag til alle. Vi fortsætter arbejdet. https://t.co/CaB3BCXxHq"
10,['1372905039329628166'],1372905039329628166,"God nyhed: Flere danskere overlever kræft. Vi et af de lande, som har oplevet størst fremgang i overlevelse af en række almindelige kræftformer. Mere end 2 ud af 3 overlever i dag kræft, og vi fortsætter arbejdet med at gøre det bedre! #cancerdk #sundpol
https://t.co/c9znC5QXN6"
11,['1372475868514291713'],1372475868514291713,"Stærk ny forskning fra @SSI_dk gør os klogere på immunitet mod COVID-19. Tyder på, at 80% er beskyttet mod gensmitte mindst et halvt år. Ældre dog markant mindre: Kun 50%. Derfor vigtigt at lade sig vaccinere, også hvis man har været smittet før #covid19dk
https://t.co/LtRFIqr4w6"
12,['1372460355394342913'],1372460355394342913,"Glæder mig til at følge debatten og høre idéerne fra vores dygtige og hårdtarbejdende valgte og ansatte i kommunerne. I har i det sidste år med en global krise endnu en gang bevist, at nærhed og lokal forankring er vejen til hurtige, trygge og gode løsninger 💪
#kltop21 #sundpol https://t.co/CLQN1d6v8i"
13,['1372174092951027719'],1372174092951027719,"Status på varianter den sidste uge: Vi har 10 flere tilfælde med den sydafrikanske B.1.351, i alt 34. @STPS_DK har iværksat intensiv smitteopsporing. Desuden 1 mere tilfælde med den brasilianske variant P.1, denne blev meldt i weekenden, her er det samlede tal stadig 3
#COVID19dk"
14,['1371807608676491268'],1371807608676491268,"Vi har endnu en uge, hvor det danske kontakttal er beregnet til 1. Det er en flot indsats af alle, målinger viser fortsat imponerende fælles fokus på retningslinjer om test, hygiejne, mundbind mm. Jeg ved det er hårdt, men det er vores nøgle til at åbne op hurtigere.
#COVID19dk https://t.co/4O5qhkZ2Hf"
15,['1371073396784631815'],1371073396784631815,"Vi har nået en vaccinationsmilepæl: 1 ud af 10 danskere er nu enten færdigvaccineret eller har påbegyndt vaccination. Vi skal fortsat smitteforebygge og huske de gode vaner, men med den fjerde vaccine på vej til Danmark går det bestemt den rette vej nu  💪#COVID19dk https://t.co/Octqdfkvs1"
16,['1370828090927165441'],1370828090927165441,"Det her hold er på vej til Slovakiet, som har et sundhedsvæsen, der lige nu har brug for hjælp for at håndtere den kritiske covid-19 situation i landet. Tak fordi I melder jer klar, vi er uendelig taknemmelige for jeres indsats. Pas på jer selv 🙏 🇩🇰🇸🇰 https://t.co/zXZaGCaHq1"
17,['1370827229760995330'],1370827229760995330,"@hejdigamst @DKambVIENNA @AmagerHvidovre Tak for jeres indsats. Hils hele holdet og pas på jer selv. Imponerende flot at I stiller op og er klar, vi er jer dybt taknemmelige 🙏"
18,['1370675190372438018'],1370675190372438018,"Risikoniveauet sænkes fra 5 til 4 nationalt og regionalt, på nær Region H, der er på niveau 5. 
Vi har en smitteudvikling, der er stabil, vi ser fortsat samfundssmitte, men vi får slået hurtigt ned på de lokale udbrud, når de viser sig. 
#COVID19dk
https://t.co/A9BlO2X2Fd"
19,['1370660009353355264'],1370660009353355264,"Status på nye varianter: Fund af 3. dansker smittet med brasiliansk variant P1. OBS: Det er samme smittekæde som de 2 andre, og alle 3 kan spores til rejseaktivitet og har været isoleret siden hjemkomst. Vi fortsætter med hurtig inddæmning af udenlandske mutationer #COVID19dk"
20,['1370414195301355523'],1370414195301355523,"@CphD Har netop haft møde m samtlige partier og med Sundhedsstyrelsen om status for psykiatriplan og fokus på de klare problemer, vi skal have defineret og løst, som vi også skal kunne måle planen på"
21,['1370410771235151879'],1370410771235151879,"Modtager en status på vaccinesituationen hos vores hårdtarbejdende nordiske og baltiske kolleger. Kæmpe opgave i alle lande, vigtigt at vi deler information, for vi har samme opgave mht vacciner og har brug for at kommunikere klart og transparent til alle om situationen https://t.co/7ryRimLg84"
22,['1370272049512452096'],1370272049512452096,"Midt i al debatten om vores coronahåndtering - og den skal være der; i et demokratisk samfund er fri debat og klar magtkritik nødvendig og uomgængelig - så sker det her hver eneste dag: Vores udsatte medborgere får deres stik, de kan se deres elskede familie og venner igen 🙏💉💪 https://t.co/LIfEofzH5V"
23,['1370080455861661698'],1370080455861661698,"Myndighederne følger smitten helt ned på sogneniveau og rykker ud med målrettet testkapacitet, hvor der er behov. Test, opsporing og isolation er afgørende for at bringe smitten ned. Her incidens for udvalgte lokalområder. #COVID19dk https://t.co/Au6DHo1Cmb"
24,['1370004751178469379'],1370004751178469379,"Vaccinenyt: EMA har netop indstillet Covid-19 vaccinen fra Janssen til godkendelse. EU Kommissionen forventes at godkende den senere i dag. Danmark har forhåndsindkøbt 8,2 mio. doser, og da den kun skal gives en gang, er det vacciner til 8,2 mio. personer. https://t.co/VKo3XtREHJ"
25,['1369941582196133890'],1369941582196133890,"Sundhedsmyndighederne har af forsigtighedshensyn sat vaccination med AstraZeneca i bero efter signal om en mulig alvorlig bivirkning i form af dødelige blodpropper. Det kan pt ikke konkluderes, om der er en sammenhæng. Vi handler tidligt, det skal undersøges grundigt #COVID19dk"
26,['1369911901866573825'],1369911901866573825,RT @M_B_Petersen: I dag for et år siden drog jeg til corona-land og er ikke rigtigt kommet tilbage siden.
27,['1369905977164759046'],1369905977164759046,"@renefaurskov Opfordringen er at man skal lade sig teste en gang hver uge i det område. Enten pcr eller antigen. Der bor mere end 9.000 mennesker, og derfor er lidt over 6.000 test på mere end en uge ikke nok. Så vi fortsætter indsatsen"
28,['1369902667137495041'],1369902667137495041,"Tak for en god og saglig debat om coronasituationen, genåbning og demokrati. Flere har her på twitter efterspurgt myndighedernes tal for testning i Vollsmose og hvorfor vi har brug for at flere lader sig teste i det boligområde. Her er link til tallene: https://t.co/ccc0DHTgGS https://t.co/JnTZy0Dysj"
29,['1369671428690313224'],1369671428690313224,"4 mio flere vaccinedoser fra Pfizer på vej til fordeling i EU. Det giver ca. 50.000 ekstra doser til os i DK de næste to uger. Vaccinationsplanen vil derfor opdateres, nu går det den rigtige vej 💪 Har vi også brug for. Vi fortsætter arbejdet for flere vacciner til 🇩🇰 
#COVID19dk"
30,['1369299391836741639'],1369299391836741639,"I dag starter vi spildevandsprojekt på Bornholm, hvor man skal teste spildevandet for coronavirus. Dermed får vi endnu en metode til overvågning af epidemien i Danmark, og konkret undersøges hvordan den vil kunne supplere vores testindsats.
#COVID19dk
https://t.co/yH6EAHUzuv"
31,['1369262542632194050'],1369262542632194050,"Denne uge er sidste gang, vi kommer med en selvstændig udregning af kontakttal for B117. Idet denne variant nu passerer ca 80 procent af de smittede, har den som forventet overtaget den danske epidemi og dominerer nu det samlede kontakttal, vurderer vores eksperter i @SSI_dk"
32,['1369261453736349699'],1369261453736349699,"Kontakttallet er beregnet til 1,0. Betyder at epidemien i DK ikke er i vækst. Dermed har vi grundlaget for yderligere kontrolleret genåbning. Vores sekventering viser at B117 nu udgør 80% af epidemien, og med et kontakttal på 1,14 vinder den stadig frem (data tom 28/2) #COVID19dk https://t.co/pXOurN0uZL"
33,['1369251154752901127'],1369251154752901127,"Vi har kæmpet side om side siden pandemien ramte. Dengang stod det klart, at vaccinerne skulle bringe os mod normalen. Med stor faglighed har du været med i de afgørende beslutninger, der har sikret Danmark sikre og effektive vacciner. Tak for din store indsats, Thomas #COVID19dk https://t.co/wypj8VWpf7"
34,['1368626121676296192'],1368626121676296192,"Opdatering på nye varianter: Myndighederne har konstateret 2. danske tilfælde med P.1, den brasilianske variant. Isolation og smitteopsporing iværksat. Er en del af samme smittekæde som 1. tilfælde. Der er kendt rejsehistorik. Heldigvis ikke tegn på samfundssmitte i DK #COVID19dk"
35,['1368525453024243721'],1368525453024243721,"Opdatering om nye varianter: Vi har 15 nye tilfælde de seneste dage, heraf flere med sydafrikansk variant B.1.351. Sekventering vil vise om øvrige også er B.1.351 eller brasiliansk variant P1. Intensiveret smitteopsporing i gang. I alt 31 tilfælde påvist nu i Danmark
#COVID19dk"
36,['1368299580908011522'],1368299580908011522,"Jeg har lige googlet: Chief One er ældre end begge Brd Olsen (dog ikke lagt sammen) da de vandt eurovision. 
Dejligt at se med familien i aften. 
And here are the results of the Heunicke Groes jury 😘
 #drgrandprix https://t.co/Vv4OEDydu5"
37,['1368212792277360646'],1368212792277360646,RT @STPS_DK: @STPS_DK understøtter Fredensborg Kommunes indsats og sender i dag og i morgen medarbejdere på gaden i Kokkedal med opfordring…
38,['1367778617346973699'],1367778617346973699,"God nyhed: Fald i rygning på 2 %-point fra 2019 til 2020. Skyldes primært at færre unge ryger. Prisstigninger slår igennem, og nu skal udviklingen tage fart med udrulning af Den Nationale Handleplan mod børn og unges rygning 💪🚭 #røgfrifremtid #dkpol
https://t.co/QDxo0YN2hG https://t.co/HdrtK5ycDO"
39,['1367537527721242635'],1367537527721242635,RT @STPS_DK: Der er pt. ikke fundet nye tilfælde af den sydafrikanske variant i relation til sidste uges smitteudbrud i Københavns Nordvest…
40,['1367095404844769282'],1367095404844769282,"Det første tilfælde af varianten P1 er fundet i Danmark. P1 blev oprindelig påvist i Brasilien og er en af dem, vi har særligt fokus på. Der er iværksat intensiv smitteopsporing. Varianten er fundet af DTU, der hjælper med at analysere prøver, og bekræftet af SSI
#COVID19dk"
41,['1366730753212620804'],1366730753212620804,"Kontakttallet er beregnet til 0,9, gårsdagens genåbning kan endnu ikke aflæses. B117 udgør nu 72 pct af den danske epidemi, og kontakttal for B117 er 1,28 (data for B117 kontakttal tom 21/2). Vi er lykkedes med at trække brændstof ud af epidemien før B117 fik overtaget
#covid19dk https://t.co/fJccKt5wQB"
42,['1366453756519456773'],1366453756519456773,"Stærkt arbejde det her af forskerne og eksperterne på @SSI_dk. De arbejder for os alle, så vi kan holde epidemien under kontrol. I hele Europa sættes der ind ift sekventering, opgaven er at bringe os sikkert igennem 3. bølge, der netop består af de nye varianter. Derfor vigtigt https://t.co/LlwcPh3TGW"
43,['1366329498141151236'],1366329498141151236,"EU-møde med mine sundhedsministerkolleger. De lande, der ikke sekventerer nok prøver, tilbydes hjælp til at transportere prøver til laboratorier, så vi kan få opsporet og kortlagt varianterne i Europa. Virus kender ikke landegrænser, vi er afhængige af hinanden
#epsco #COVID19dk https://t.co/TzjJbTb3DM"
44,['1366115005842784257'],1366115005842784257,"Overvågning af de mere smitsomme varianter: Der er fundet et 14. og 15. tilfælde. Vi afventer svar fra vores sekventering, før vi ved, om det er den sydafrikanske variant B.1.351 eller den brasiliansk variant P1. Har ikke relation til Kbh Nordvest. Begge er i isolation
#COVID19dk"
45,['1365638298165792774'],1365638298165792774,"@GertChristians6 Dejligt at høre, jeg giver rosen videre"
46,['1365636963869548546'],1365636963869548546,"Så har vi første resultat af den danske storskala vaccination i går: Vi vaccinerede 36.564 med første stik og 990 fik deres 2. stik
Dermed har 412.358 danskere påbegyndt vaccination, det er 7,1 pct af vores befolkning. Heraf er 182.074 færdigvaccinerede (3,1 pct)
#COVID19dk 💉💪"
47,['1365619447550136320'],1365619447550136320,"Jeg bliver så glad for at se den her indsats fra medarbejdere og opbakning fra beboerne til den massive testindsats. Vores genbåbning af samfundet går hånd i hånd med vaccine og netop lokale indsatser, så udbrud og nye varianter af virus ikke sætter os tilbage. Tak 🙏
#COVID19dk https://t.co/KebLZKAvcJ"
48,['1364189472431169537'],1364189472431169537,"Kontakttallet er beregnet til 1,1. Ser man isoleret på B117, er tallet 1,2 (dog lidt længere tilbage i tid). Epidemien ser dermed ud til at være i begyndende vækst, derfor afgørende at genåbning sker trinvist og på sundhedsmyndigheder og eksperters anbefaling. 
#COVID19dk https://t.co/27YQz7NDua"
49,['1363045597410959360'],1363045597410959360,"Myndighedernes sekventering har ført til fund af det nu 11. tilfælde af den sydafrikanske variant B.1.351. Den smittede blev testet negativ inden flyrejse, men positiv efter indrejse i Danmark. Den smittede har været i isolation. #COVID19dk"
50,['1362830873670860802'],1362830873670860802,"Ny HOPE-rapport fra @M_B_Petersen: Flertal af danskerne bakker op om corona-indsatsen, flest blandt målte lande. Og 87% vil gerne have vaccinen. Men rapporten påpeger også plads til forbedringer ift kommunikation om strategien. Det arbejder vi løbende på at gøre bedre! #COVID19dk https://t.co/wYwUTiIpLs"
