,edit_history_tweet_ids,id,text
0,['1325140780390866946'],1325140780390866946,"RT @JeppeKofod: Congratulations to President-elect @JoeBiden &amp; VP-elect @KamalaHarris 🇺🇸

Danish-US ties are strong and historic.

Looking…"
1,['1325048612607434759'],1325048612607434759,"RT @SandKjaer: Hvis vi skal lykkes med integrationen, er foreningslivets frivillige, forpligtende fællesskaber helt afgørende. Her kan vi b…"
2,['1325026712887980032'],1325026712887980032,RT @SKjeldtoft: https://t.co/Bkwn9tv3ZC https://t.co/spMk9c6KDv
3,['1325026378195070977'],1325026378195070977,"Hvert tredje barn oplever jævnligt racisme på fodboldbanen. Der skal normalt meget til at chokere mig. Men jeg er rystet! Idrætsforeninger er afgørende for integrationen. Derfor godt, at @DBUfodbold tager problemet alvorligt. https://t.co/BoZelwJHnw"
4,['1325024095944237056'],1325024095944237056,@peterstanners Sorry... More information in english: https://t.co/efbhyLlWyD
5,['1325023865408524288'],1325023865408524288,To brits in Denmark. 2021 is getting closer. Remember: Please apply for new residency papers to retain (most) of your current rights. #brexit https://t.co/efbhyLlWyD
6,['1325013310299926530'],1325013310299926530,"Til britiske statsborgere i Danmark: Husk at der nu skal søges om nye opholdspapirer, for at bevare nogenlunde de samme rettigheder i Danmark som man har haft som EU-borger. #BREXIT https://t.co/E7NE8i5giM"
7,['1324624110740295681'],1324624110740295681,Kæmpe tillykke til @Saraoomarr med udgivelsen af Dødevaskeren i Frankrig. Bogens tema om religiøs vold og social kontrol er ikke blevet mindre vigtig efter de tragiske begivenheder i Paris og Nice. Altid stolt når dansk litteratur er relevant for andre. #dkpol https://t.co/3P47xyc1nM
8,['1324423921266032643'],1324423921266032643,RT @RosenkrantzT: 👇🏻
9,['1324423428460466176'],1324423428460466176,"RT @HeinoKnudsen: En person på Midtsjælland konstateret smittet med muteret coronavirus. @regionsjaelland er nu i kontakt med @STPS_DK, som…"
10,['1324358815589011457'],1324358815589011457,RT @Videnscenteret: Ny analyse: Elever med udenlandsk baggrund mistrives oftere målt på en række parametre. Særligt børn med ikke-vestlig b…
11,['1324326122927128589'],1324326122927128589,Enig 👇🏾 https://t.co/G3wQ3wbjks
12,['1324046611346055170'],1324046611346055170,RT @RasmusPrehn: Development in Tigray region deeply concerning. Encourage all parties to reduce tension &amp; conflict &amp; engage in national di…
13,['1324013922748375041'],1324013922748375041,"RT @MogensJensenS: Jeg føler med de mange familier, der lever af minkavl i Danmark. De er en del af et stolt erhverv, der er verdensførende…"
14,['1324013895216959488'],1324013895216959488,"RT @Jesper_Pet: Er dette virkelig DF's holdning? Det er med tungt hjerte, minkene må aflives. Men folkesundheden kommer først. Når det nu v…"
15,['1323709373823242246'],1323709373823242246,Sejt 💪🏾 https://t.co/P7WEsUgfuD
16,['1323652105501069313'],1323652105501069313,"Wien, Paris og et universitet i Kabul: Islamisk fundamentalisme er både en trussel i muslimske lande og i Europa. Når ekstremisterne får magten, ødelægger de kulturarv, økonomi og demokratiske fremskridt. https://t.co/mdkVWqwG0u"
