,edit_history_tweet_ids,id,text
0,['815248654344867840'],815248654344867840,Vi skal ikke lade os lamme af frygt. Vigtigt budskab fra Dronningen i lyset af terror i blandt andet Nice og Berlin #dkpol @@spolitik
1,['815245244061122560'],815245244061122560,"Klog tale fra Dronningen. Vi skal passe på, deltage i og respektere det danske fællesskab uanset, hvor vi kommer fra. #dkpol @spolitik"
2,['815243645322412032'],815243645322412032,"Smukt budskab fra Dronningen. Aarhus har meget at byde på, også til resten af verden #dkpol @spolitik"
3,['815143180123443205'],815143180123443205,"RT @KristianHoltTV2: ""Godt at @POTUS udviser russiske diplomater - Rusland prøver konstant grænser af""; @NWammen @tv2newsdk #dkpol https://…"
4,['814949168049520640'],814949168049520640,Wammen: Det nytter ikke at snakke Putin efter munden https://t.co/4RL2giKhzq
5,['814575372700438530'],814575372700438530,USA udviser 35 diplomater og indfører sanktioner mod Rusland. Vigtigt at Obama på denne måde trækker en streg i sandet #dkpol @Spolitik
6,['814187359084355588'],814187359084355588,"RT @Spolitik: Den bedste danske opfindelse er Danmark.
Det sætter vi fokus på i en ny, stor kampagne.
#dkpol https://t.co/154wMgXmvx"
7,['814032312363053056'],814032312363053056,Dagens gode nyhed. Næsten dobbelt så mange danskere ønsker Mette fremfor LLR som DKs statsminister #dkpol @spolitik https://t.co/OE0T5OPRcm
8,['812587785228025856'],812587785228025856,"Smukt vejr, pyntet træ og et styk afslappet julehund. Jeg ønsker alle en dejlig Jul med kærlighed og venskab #dkpol @Spolitik https://t.co/FpIyp68VmL"
9,['811672875019145216'],811672875019145216,Samuelsen you are no Uffe Ellemann 😊 #dkpol Lloyd Bentsen puts down Dan Quayle - YouTube  https://t.co/gaM66d23r8
10,['811663134087856128'],811663134087856128,"Tænker at Hansen, Krag, Hækkerup, Ellemann, Per S og Mogens L plus 5-10 andre kommer før AS #dkpol @spolitik https://t.co/gpqhUNlzSo"
11,['810946433411141633'],810946433411141633,Forfærdelig begivenhed i Berlin. Mine tanker går til ofrene og deres kære. Vækker frygtelige minder fra angrebet i Nice #dkpol @Spolitik
12,['809422249509982208'],809422249509982208,Haarder vil alligevel ikke være generalkonsul. Hele forløbet har udviklet sig til en pinlig og rodet sag for Løkke. #dkpolitik @Spolitik
13,['809034039340494848'],809034039340494848,Samuelsen må træde i karakter og indkalde den russiske ambassadør til en hård og kontant samtale om rædslerne i Aleppo #dkpol @Spolitik
14,['808970227807559680'],808970227807559680,"Putin og Assad har ansvaret for straks at få stoppet de frygtelige angreb på mænd, kvinder og børn i Aleppo #dkpol @Spolitik"
15,['808267933331890176'],808267933331890176,Discussing what to expect from President Trump with my good friend Ambassador Swett.  #dkpol @Spolitik @AmChamdk @PrimeTimeKom https://t.co/klh0XNGaV9
16,['807984874967678976'],807984874967678976,God søndag 😊 #dkpol @Spolitik https://t.co/CKe7zlOHpH
17,['807550438807654401'],807550438807654401,"S større end V, LA og K tilsammen. Regeringens honeymoon sluttede før den kom i gang #dkpol @spolitik https://t.co/hC4OQk9ZkQ"
18,['806807259376324612'],806807259376324612,"Vi skal naturligvis ikke skyde på mænd, kvinder og børn, der sejler over Middelhavet. Det er ikke sådan, vi er som mennesker og land. #dkpol"
19,['806521644659437569'],806521644659437569,"Forfærdelig nyhed om politibetjentens død. Min dybeste medfølelse går til familien, venner og politimandens kolleger #dkpol @Spolitik"
20,['806154611765678081'],806154611765678081,Tillykke til min gode ven Bernard Cazeneuve med posten som premier ministre i Frankrig. Han bliver en dygtig regeringschef #dkpol @Spolitik https://t.co/5g2zId7pz8
21,['806084908431147008'],806084908431147008,"Forfærdeligt angreb på politibetjent. Mine tanker går til betjenten, de pårørende og alle de politifolk som hver dag beskytter DK #dkpol"
22,['805891208430125061'],805891208430125061,Løkke udelukker ikke at hæve pensionsalderen med mere end et halvt år for at betale for regeringens planer. Helt forkert vej #dkpol
23,['805707286689746944'],805707286689746944,"Pinligt tilbagetog fra Samuelsen. Krag stiller helt fair spørgsmål om, hvorfor reg svigter de ældre #dkpol @Spolitik https://t.co/6gPA6U8XAC"
24,['805483886478315520'],805483886478315520,"@SeriousSod @Spolitik Jeg deler din bekymring, men glæder mig samtidig over at Østrig ikke valgte en præsident fra det yderste højre!"
25,['805463489598943232'],805463489598943232,Dagens gode nyhed kommer fra Østrig #dkpol @Spolitik Højrefløjskandidat erkender nederlag ved præsidentvalg i Østrig https://t.co/d5KRT0YUVY
