,edit_history_tweet_ids,id,text
0,['1552696273232429056'],1552696273232429056,@TopoIsh Det er skræmmende så ofte man får den slags beskeder
1,['1552670337472634880'],1552670337472634880,"@Muskfan5420 @Superslyngel Det jeg siger har jeg fra en fremragende dokumentar fra BBC og som ligger på DR ""Nazisternes Vej til magten"" :)"
2,['1552669418689380356'],1552669418689380356,@TorbenLl1 Hvilke kommunister? Sovjet var venstreorienteret for Stalin var socialist og nationaliserede produktionsapparatet
3,['1552597910990327808'],1552597910990327808,"@Storgaaard @dragekvinden @LBMathiesen Det er forskellige ting. Stalin dræbte de socialister, som truede hans magt fx Lenin. Hitler dræbte socialister, fordi de var socialister."
4,['1552583702382878728'],1552583702382878728,"det konservative parti og ikke et samarbejde med venstrefløjen.

Socialdemokrater, socialister og kommunister blev derimod sendt til kz-lejre. 

Så nazistpartiet var ikke et venstreorienteret parti."
5,['1552583701002948613'],1552583701002948613,"af partiet som rivaler. Efterhånden blev Strasser brødrene smidt ud af partiet og i 1934 på de langes knives nat blev de sidste socialister i nazistpartiet anholdt og myrdet herunder Ernst Röhm, Hitlers gamle ven. 

Nazistpartiet kom til magten ved en regeringskollation med 3/"
6,['1552583699530715141'],1552583699530715141,"Nazistpartiet var i løbet af 20’erne opdelt i en socialistisk og en ekstrem nationalistisk fløj. Strasser-brødrene var front for den socialistiske del, og styrede nazistpartiet i Nordtyskland, mens Hitler styrede den sydtyske del af partiet. Hitler så den socialistiske del af 2/"
7,['1552583697857142784'],1552583697857142784,"🧵Nazistpartiet var ikke venstreorienteret. Partiet startede som et socialistisk parti, men da Hitler overtog magten i partiet, så blev socialismen hurtigt udskilt. Partiprogrammet fra 1920 havde socialistiske ideer, men for Hitler var det et propagadamiddel 1/ https://t.co/T1xdzmRaLW"
8,['1552571779373203456'],1552571779373203456,"@kofoedDK @pelledragsted Nej. Hvis man rigtig gerne vil have et eksempel på et socialistisk rædselsregime, så er det Stalins Sovjet, man skal kigge mod. Stalin var socialist og nationaliserede den private produktion. Nazistpartiet var ikke socialistisk."
9,['1552562675044999169'],1552562675044999169,"@Tandk1978 @LBMathiesen Valgprogrammet med de 25 punkter over politiske tiltag er fra 1920, og for Hitler var det et propagandamiddel. Nazistpartiet gjorde intet for at realisere den socialistiske del af programmet."
10,['1552559786205618176'],1552559786205618176,"@pelledragsted Ja, en udbredt misforståelse at nazistpartiet var på venstrefløjen. Nazistpartiet startede som socialister, men den del af partiet blev hurtigt udskilt. Hitler afskyede den ideologi. De sidste socialister i partiet blev myrdet på de langes knives nat i 1934."
