,edit_history_tweet_ids,id,text
0,['1529112371209322497'],1529112371209322497,"Lyt til @TorstenGejl - og tak til @ExtinctionRDK, @DenGroenneUng og alle andre, der bakker om demokratiske klimaløsninger 💚 https://t.co/86zPsZRREA"
1,['1529111059637878784'],1529111059637878784,"GIV KLIMABORGERTINGET ÆGTE INDFLYDELSE

Spørgsmål: 
Hvordan kan vi lave en grøn omstilling af vores samfund, når så mange (kapital)interesser bevogter den politiske arena?

Svar: 
Giv borgerne et stærkere politisk mandat

#dkpol https://t.co/9EdFjlm128"
2,['1528741976195072000'],1528741976195072000,"Husker du tørken 2018?

Der bliver slået varmerekorder i ét væk lige rundt om hjørnet. 

41 grader i Sevilla i weekenden. I maj måned. 😳

De ekstreme vejrfænomener bliver kun hyppigere. #dkpol https://t.co/X6UQOkzlWC"
3,['1526599658105077762'],1526599658105077762,"Man kan læse hele artiklen her: 

https://t.co/vFUbRuj3XP"
4,['1526599444921057280'],1526599444921057280,"Et rigt kultur- og kunstliv er en forudsætning for, at vi kan leve indholdsrige og stimulerende liv og samtidig passe på vores klode!

Blev inviteret til at give nogle tanker om kultur og velfærd hos https://t.co/k3pPucx0zE. #dkpol #dkkultur https://t.co/PncL1vgiWc"
5,['1524717902510927872'],1524717902510927872,RT @TorstenGejl: Anlæggelsen af Lynetteholm ser ud til at blive sat på pause i et år. Det har transportministeren foreslået forligskredsen…
6,['1524691504878473218'],1524691504878473218,"Sæt hele Lynetteholmen på pause NU!

Alternativet har kaldt transportministeren i samråd for at stoppe vanvidsprojektet om en kunstig ø i Øresund.
 
Tak til @DenGroenneUng, @ExtinctionRDK, @StopLynetteholm og alle andre, der også kæmper imod✊ https://t.co/Ocl9kNtaE2"
7,['1524390270355259399'],1524390270355259399,"Det er Alternativets opgave at råbe op, når de politiske aftaler bare flytter kommaer uden at løse problemerne. 

Når det sker, så ser du Alternativet trække sig.

For der er ikke et alternativ til at komme i mål med Paris-aftalen.

#dkpol https://t.co/7jQY35OuxR"
8,['1524272026130731009'],1524272026130731009,"@ThiasKronhjort @BibsenSkyt … og så fordi man mangler at inddrage både unge og eksperter ifht konkrete løsninger på den massive mistrivsel, ligesom man har gjort med klimakrisen."
9,['1524101664155779077'],1524101664155779077,"@BergThule @ExtinctionRDK @spisekammeret @alternativet_ @RasmusPrehn Jeg ønsker at udvikle dansk landbrug, ikke afvikle det, som en business as usual strategi unægtelig kommer til"
10,['1524037031118225409'],1524037031118225409,"Færre dyr og flere planter!

Skal vi fremtidssikre dansk landbrug, kræver det en reel omstilling.

Det minder @ExtinctionRDK og Animal Rebellion os alle om med aktion ved Axelborg/@spisekammeret. 

Det samme gør Klimaborgertinget. Og @alternativet_.

Lyt, @RasmusPrehn!

#dkpol https://t.co/CnuIANM5Zv"
11,['1524029547787792385'],1524029547787792385,RT @HLiliendahl: Jeg siger fra overfor den inhumane asylpolitik og behandling af vores medmennesker på de danske udrejsecentre samt de vold…
12,['1523248959451385858'],1523248959451385858,"På landsmødets dag to diskuterer vi vedtægter, regnskab og meget andet. 

Men vi har også besøg af mega seje Sahar, der gør os klogere på @minodanmark og Mino Ung Odense og deres arbejde for og med minoritetsetniske medborgere. 

Tak Sahar! https://t.co/Xjup2XZcbN"
13,['1522984942426152960'],1522984942426152960,"TUSIND TAK for opbakningen!

Det sidste punkt på dagens dagsorden var valg af politisk leder. 

Jeg blev genvalgt af Alternativets medlemmer. Og jeg er utrolig taknemlig for opbakningen. 💚

#dkpol #landsmøde https://t.co/agSMj4N8Dq"
14,['1522926366903218177'],1522926366903218177,Landsmøde i Alternativet 💚 #dkpol https://t.co/gTFVFMmNIf
15,['1522858123110895620'],1522858123110895620,"Så er der landsmøde i @alternativet_ 💚 fantastisk at være samlet en masse alternativister i Odense!

Jeg holder tale kl. 11:00. Se den på Alternativets FB-profil, på TV2 News eller på DR. #dkpol https://t.co/cmSrF9pASk"
16,['1522474117672443906'],1522474117672443906,"Hvorfor forlod @alternativet_ landbrugsforhandlingerne i sommer? Fordi den er uambitiøs, og løser hverken klimaudfordringerne eller sikre en bæredygtig fødevareproduktion i DK. Der er ikke tid til politiske aftaler der ikke løser problemerne! Kom Ind i kampen @RasmusPrehn #dkpol https://t.co/FzaaUd6m9d"
17,['1522127299532963843'],1522127299532963843,@lottefolke .. og igen handler @Spolitik klimapolitik om meget andet end klimaet.
18,['1522126213992660992'],1522126213992660992,"Good news! For koen, kloden og folkesundheden🌎 https://t.co/YDY9Y0S1FF"
19,['1521858951410765825'],1521858951410765825,"Minkavlerne og resten af landbruget har fortjent nogle politikere, der melder klart ud om erhvervets fremtid. 

Og da tiden er løbet fra klima-, miljø- og dyrefjendtligt landbrug, så vi må sikre omskoling at landbrugets folk og sætte fokus på at dyrke mad til mennesker. #dkpol https://t.co/H33vobxMcb"
20,['1521561887930040321'],1521561887930040321,"@alternativet_  er ikke i tvivl! Mink erhvervet skal ikke genoptages!! virus eller ej, så er dyremishandling for at producere luksusvarer Soooo last season.. #dkpol"
21,['1521425431496466433'],1521425431496466433,"Hvordan kan @Spolitik kalde DK et grønt foregangsland med et årligt gennemsnit på 11 tons CO2 pr indbygger, når Vi skal ned på 2-3 tons for at holde os under katastrofale temperaturstigninger? #stopklimamyterne #dkpol #ClimateReport"
22,['1520724358754443265'],1520724358754443265,"@carjordk Jeg synes vi skal indrette systemet så det gavner de mange, og har blik for at få alle med. er der så få der ikke vil være med? So be it, dem vil der altid være.. men i dagens system betaler de mange, og det er ikke konstruktivt"
23,['1520720668643540992'],1520720668643540992,"@carjordk Jeg tror på at laaaangt de fleste mennesker gerne vil bidrage til, og være en del af fællesskabet. Det fleste har let ved at komme fra job til job, andre har brug for lidt mere hjælp. Så lad os indrette systemet derefter og spare på kontrol og bureaukrati."
24,['1520713140371079170'],1520713140371079170,"God 1. Maj ⁃ og hvordan går det så i landet med verdens dyreste beskæftigelsesindsats? Nok har vi lav arbejdsløshed, men over 400.000 danskere har stress. sygefravær og mistrivsel er stigende og ligeløn er stadig ikke en realitet. #mennesketførsystemet #dkpol"
25,['1520410573824999426'],1520410573824999426,"@hornsnis min pointe er, at beskæftigelsessystemet er i den grad systemet først, og så mennesket. Det bør være omvendt. Og så er det dyrt og gør mange folk syge.."
26,['1520410111126249473'],1520410111126249473,"@hornsnis Kontanthjælp uden modkrav, tillid og udvikling. I sidste ende borgerløn. Det at bidrage til samfundet er meget mere end 37 timers lønarbejde. Vi bør kunne arbejde langt mere flexibelt, indtænke frivilligt arbejde osv."
27,['1520399040420196352'],1520399040420196352,"@tobiaspultz @alternativet_ Jeg postulerer mit tweet, derudover anbefaler jeg dig at læse den glimrende artikel jeg refererer til. Det er dig der blander det sammen😎"
28,['1520364801016348672'],1520364801016348672,"@LyngeRobert Derfor er @alternativet_ et systemforandrende parti, der arbejder for et bæredygtigt samfund, hvor økonomien understøtter menneskelig trivsel indenfor klodens bæreevne💚"
29,['1520364188106997760'],1520364188106997760,"@tobiaspultz @alternativet_ Men de taler om grøn mad, og mange danske børn får rigeligt med kød og mælk, men ikke nok grønt og frugt. Derfor (og af flere årsager) er et gratis grønt måltid i skolen en god ide"
30,['1520346604133355521'],1520346604133355521,"@mjjzf Er dyrt system, der ikke virker.. det kan gøres bedre."
31,['1520345030602498053'],1520345030602498053,@losrivlolland Læs hele artiklen. Det vegetariske er @alternativet_  forslag
32,['1520344847063867393'],1520344847063867393,@losrivlolland https://t.co/URoitHi9EO
33,['1520341220366635008'],1520341220366635008,"@LailaBelhaj @mollydchr Jeg føler med dig Laila, og alle de andre der er fanget i systemet, der gør mennesker mere syge, fremfor at bidrage med det de kan. Vi skal have systemer der skaber meningsfulde liv, ikke det modsatte som idag."
34,['1520318955868540929'],1520318955868540929,"Vi oversætter grøn mad med vegetarisk. Danske børn får rigelig kød og mælk, men ikke nok grønt og frugt. Og alle skal spise grønnere i fremtiden, derfor er skolen et godt sted at lære om næringsrige og sunde grønne måltider. Og lære at man ikke behøver kød til alle dagens måltide"
35,['1520318210515648512'],1520318210515648512,"@john_haugegaard @alternativet_ Økologi handler ikke kun om at være et konventionel landbrug uden sprøjtegift. Økologi handler også om at producere indenfor klodens bæreevne, og det vil sige meget mindre kødproduktion og derved en helt anden og bedre arealanvendelse"
36,['1520130556696141824'],1520130556696141824,"Luk nu de jobcentre! Og lad os i stedet skabe en arbejdsmarkedspolitik, der tager udgangspunkt i det enkelte menneskes potentialer med mere tillid og mindre kontrol. Vi ønsker et bæredygtigt samfund hvor mennesket kommer før systemet.#dkpol"
37,['1520098617868136449'],1520098617868136449,@uffeelbaek @UMunksgaard @alternativet_ @informeren Hende er jeg også kæmpe fan af😁 god weekend Uffe💚
38,['1519209829490991104'],1519209829490991104,"@alternativet_ har aldrig set logikken i Lynetteholmsprojektet, er glad for at det synspunkt breder sig😎@StopLynetteholm #dkpol https://t.co/EguNeXuoZX"
39,['1518633459878670348'],1518633459878670348,@TankemylderDK @NHOERUP @alternativet_ De kan spise kød derhjemme
40,['1518595751164719104'],1518595751164719104,"Paul Holmback er i øvrigt tidligere direktør i @okologidk. 

Link til indlægget her: 

https://t.co/z98hpjCizZ"
41,['1518595437527240705'],1518595437527240705,"Vi får sundere og klogere børn med gratis vegetarisk skolemad. 

Det skaber fællesskab og en sundere livsstil. Har en god effekt på social ulighed og på vores miljø og klima. Og på børnsindlæring.

Læs i øvrigt Paul Holmback (billedet) for overflod af argumenter. #dkpol https://t.co/tj4veuP5OW"
42,['1517476501096218625'],1517476501096218625,@RosaLundEl Enig. Eller at det er ok at forskelsbehandle mennesker på flugt
43,['1517435001444474881'],1517435001444474881,"Vi skal have en økonomi der prioritere menneskelig trivsel indenfor klodens bæreevne. En økonomi der trives og vækster indenfor klodens bæreevne, og ikke som idag, LANGT udover jordens ressourcer"
44,['1517426638061027333'],1517426638061027333,"Efter gårdagens @DebattenDR2 kan man desværre endnu engang konstatere at samtlige (inviterede) politikere ikke prioriterer at løse klimakrisen, men stadig tror på uendelig økonomisk vækst. Det er jo som at slukke brand med benzin🤯. #ClimateReport #ClimateCrisis #dkpol"
45,['1517396832091049985'],1517396832091049985,"@HopelessBaby Det handler om offentlige måltider, ikke de private hjem. Og så handler det om at tage klimakrisen alvorligt."
46,['1517396158792060928'],1517396158792060928,"@Fridalunddk Selvfølgelig er der forskel på hvordan kød produceres. Det er faktisk vores pointe. Mindre, men bedre produktion af dyr. Det kræver også at vi spiser mindre kød. De offentlige kantiner er et godt sted at starte."
47,['1517395055807541250'],1517395055807541250,"@JanArneHansen Okse og lammekød har et stort økologisk aftryk; co2, metan og arealanvendelse. Så det skal vi spise meget mindre af. De offentlige kantiner er et godt sted at starte. Stor Klimaeffekt, men også som inspiration til danskernes grønnere madvaner"
48,['1517088315916394496'],1517088315916394496,"RØDT KØD ER IKKE LÆNGERE HVERDAGSMAD
 
I dag stiller Alternativet forslag om at droppe servering af lamme- og oksekød i offentlige kantiner.

Det er ikke statens opgave at bespise os med røde bøffer – det er til gengæld statens opgave at lave reel klimahandling. #dkpol https://t.co/2Y3W1sfDOU"
49,['1516741060285898757'],1516741060285898757,"Pointen med en CO2 afgift er jo at omlægge til en bæredygtig produktion og industri, ikke at undtage de største udledere, som Aalborg Portland og landbruget! Det er jo netop de største udledere der skal omlægges først og mest.#dkpol #klimakatastofe"
50,['1516720835603664899'],1516720835603664899,#klimakatastrofe https://t.co/444awGIpBe
51,['1516711627931979779'],1516711627931979779,"En klimakatastrofe hvis Ålborg Portland fritages fra en CO2 afgift. En virksomhed der forurener 14 gange så meget som nr2 på listen. Som sidste år fik et overskud på 8 mia. kr. Hvis ikke de kan tage et klimaansvar, hvem kan så?@Spolitik #dkpol https://t.co/UWRxn89QNS"
52,['1516075898927263759'],1516075898927263759,"At vi ikke er længere med at løse klimakrisen og en bæredygtig omstilling af vores samfund, er en kæmpe politisk falliterklæring. Vi har vidst at vores nødvendige stabile klima er truet, i årtier. Men man prioriterer stadig først økonomisk vækst🤦🏻‍♀️. #dkpol"
53,['1516002763519533061'],1516002763519533061,@pelledragsted Så vigtigt! Vi løser hverken klimakrise eller global ulighed før vi tager et opgør med kapitalismen.
54,['1515999905986322442'],1515999905986322442,"RT @KayAgeOfEl: Tænk hvis vi lærte vores børn, at de kunne sige hvad som helst til andre, uanset hvor ondt.

Tænk hvis vi lærte vores børn,…"
55,['1514620432678375432'],1514620432678375432,"KLIMAOPRÅB✊🏽DET ER NU ELLER ALDRIG!! Jeg har det sidste år som politisk leder for Å, siddet til Corona krisemøder og nu Ukraine krisemøder. Hvor bliver de vigtige klimakrise møder af? @Spolitik #dkpol #IPCCReport #ClimateReport  #ClimateCrisis https://t.co/sW8vzDQLgl"
56,['1513815753727881216'],1513815753727881216,Stop den umenneskelige ghettolovgivningen! Og nedrivningen af almene boliger. Ressourcerne er knappe og vi har et stort behov for billige boliger. #dkpol https://t.co/NPuuCV4eqm
57,['1513123400629301250'],1513123400629301250,"Jeg har brugt den seneste uge rundt i landet med besøg i Alternativets bagland. Fantastisk at mærke, hvor meget energi og engagement der findes over hele landet 💚 tak for jer! #dkpol https://t.co/vHBZ1VAzWw"
58,['1511614848039325698'],1511614848039325698,"Fantastisk at besøge jer i går og mærke, hvordan @alternativet_’s lokale celler er spillevende 💚

Stort tillykke med valget som FT-kandidater, @pkjaerhansen, Jan, @UMunksgaard og @KKockii. Tak for at gå forrest!
#dkpol https://t.co/SUcP3HYXjh"
59,['1510677236944449539'],1510677236944449539,"Fantastisk at være en del af dette hold 💚 tak for jer! 
@tcjakobsen @noahsturis @OlumekoC @JonathanRies_ @MetteBram @MartinsAnnika @SuperSejeJanK @HolstKehler #dkpol https://t.co/BGf1tuTDSE"
60,['1509185281433522176'],1509185281433522176,"I går blev en kvinde og to 11årige deporteret fra Avnstrup til Iran. Fikseret af fire betjente, blandt andet med knæ mod hals. Splittet fra sin 1årige og mand. Nu er hun tilbage i Danmark og indlagt med skader. 

Tragisk og absurd.

Vi har kaldt @mattiastesfaye i samråd. #dkpol https://t.co/1PYlKuQbJ7"
61,['1508813606250553360'],1508813606250553360,"Banken ringer, når du går under nul på kortet. Hvem ringer, når vi trækker over på jordens ressourcer?

I dag er vi trådt ind i den sorte del af vores kalender. For i går brugte vi naturressource-budgettet op for 2022.

De resterende ni måneder må vi altså trække over 🤯 #dkpol https://t.co/8Yyl6q9Lva"
62,['1508495863122960385'],1508495863122960385,"Støttepartierne kalder klimaministeren i samråd i morgen, for at føre en skidt klimapolitik. En politik, de selv har været med til at udvikle, forhandle og stemme igennem🤦🏻‍♀️hvad med at stoppe med mandater til regeringens uambitiøse politik? #dkpol 
https://t.co/wc4I2K1pNx"
63,['1506630066314387457'],1506630066314387457,"Nej, minkavl skal IKKE genoptages!

I dag talte Mette F for at genåbne minkavl i DK.

Et erhverv, som har fået 18 mia. skattekr. i kompensation. En produktion, som Dyreetisk Råd kalder “uacceptabel”. Et produkt, der i stor stil sælges til russisk og kinesisk elite... #dkpol https://t.co/KEijQ2Shq2"
64,['1506262398654681097'],1506262398654681097,"Mange tror nok, at minkavl er fortid i DK. Det er det forhåbentlig også, men faktisk er forbuddet kun året ud.
 
I @alternativet_ arbejder vi for et permanent forbud. 
 
Vi er enige med Dyreetisk Råd, som sidste år konkluderede, at hold af mink i små trådbure IKKE er OK! #dkpol https://t.co/MwIZc46rTi"
65,['1504714486518800395'],1504714486518800395,"@UllaSparre Jeg tror ikke det hjælper at italesætte et samfundsproblem, med at det er ungdommen det har et problem og så indføre forbud. I stedet bør man forebygge, skrue ned for uddannelsesparathedsvurderingerne og investere i gode unge fælleskaber"
