,edit_history_tweet_ids,id,text
0,['1393882562817400832'],1393882562817400832,"RT @alternativet_: 🔥
#dkpol #lmå21 https://t.co/fhGDWuv9vJ"
1,['1393847179752660994'],1393847179752660994,"RT @alternativet_: TÆT PÅ: Vores  politiske leder @FranciskaRosenk svarede på spørgsmål på https://t.co/FPNQdkqw3c
Se hendes svar på: ""Når…"
2,['1393655693748674561'],1393655693748674561,"@BUPLFormand @alternativet_ @bupldk Tak og ja, det er vi helt enige om💚"
3,['1393516393870598144'],1393516393870598144,"Vi er et kollektivt parti. Vi er en bevægelse. Vi lever. Og vores politik er mere aktuel end nogensinde!

Tusind tak for opbakningen til landsmødet! 💚 @alternativet_ 

#dkpol #lmå21 https://t.co/YpaWTr8m5Q"
4,['1393516005973008388'],1393516005973008388,"RT @alternativet_: ""Når Corona-smitten stiger i Vollsmose er det et kulturel problem - når det sker i Gentofte er det ikke - det er den sla…"
5,['1393461768438128642'],1393461768438128642,Tyvstarter landsmødet i @alternativet_ på @tv2newsdk. Dejligt at være i gang!for der er lang vej til den grønne omstilling 🍀 #lmå21 #dkpol https://t.co/dzyW1HKIaa
6,['1393199935785480197'],1393199935785480197,"Vi er ved at sælge Danmark til udenlandske investorer - det går ikke!

2x hovedstadens areal er allerede solgt. Og formentlig langt mere, da det ikke er blevet undersøgt siden 2018.

Alternativet har fået nedsat arbejdsgruppe! #dkpol #dkgreen @TorstenGejl

https://t.co/MCddnwCyBw"
7,['1392882560443813896'],1392882560443813896,"Vi arbejder for unge økologer kan opkøbe dansk landbrugsjord, ikke udenlandske kapitalfonde💚 #dkpol https://t.co/007wjNRtLX"
8,['1392536849869156354'],1392536849869156354,RT @uffeelbaek: Jeg kan godt forstå at @Smukfest reagerer som de gør oven på @Joymogensen udmelding. Formuleringen var ved gud ikke heldig.…
9,['1392525537638326274'],1392525537638326274,"Stolt af @mira og @Torsten, som har sat et stærkt aftryk på aftalen om tvangsanbringelser og barnets lov. Flere anbringelser bør ikke være et mål i sig selv. Fokus skal være på forebyggelse og støtte. Tak til jer begge!💚 #dkpol https://t.co/zpLdZKnhan"
10,['1389630514206810113'],1389630514206810113,"@alternativet_ SÅ enig @EstherKje!! Man kan ikke lave en bæredygtig omstilling af landbruget uden at reducere den animalske produktion. Hverken for klodens, vores eller dyrenes skyld."
11,['1389206987087491074'],1389206987087491074,"@zarrmox @alternativet_ Nej, vi arbejder overordnet for en ensartet klimaafgift på 1500kr pr ton. Mens vi venter på den, foreslår vi kød, fly og brændselsafgift"
12,['1389197472677961736'],1389197472677961736,"ALTERNATIVET ARBEJDER FOR REEL KLIMAHANDLING.💚
- så mens de andre sætter klima-syltekrukker i fadburet, går vi på talerstolen og beder om CO2 afgift på kød, flyrejser og brændstof. 
Altsammen med social kompensation for de laveste lønninger, naturligvis.#dkpol #dkklima https://t.co/bTYUzUOJIL"
13,['1389150563254800387'],1389150563254800387,"@berlingske og jeg tog en snak om mit forhold til kultur, hiphop og ligestilling. #dkpol #dkkultur https://t.co/oGse4kp1ik"
14,['1387447521971167232'],1387447521971167232,@micminter @RasmusPrehn @regeringDK Hvad tænker du der skal ske med den animalske produktion?
15,['1387447209449476097'],1387447209449476097,RT @alternativet_: En ny kvindebevægelse har set dagens lys i Danmark. #dkpol #longread #feminisme https://t.co/O6qvPIujOa
16,['1387388237442949122'],1387388237442949122,RT @alternativet_: Fremtidens landbrug det er nu! Vores politiske leder @FranciskaRosenk  har læst regeringens udspil for CO2-reduceringer…
17,['1387367019721416704'],1387367019721416704,"@DenGroenneStud Vi har ikke brug for flere hockeystavsmodeller i den bæredygtige omstilling, og slet ikke for landbruget! @alternativet_  vil have en plan for et bæredygtigt landbrug nu! - udfasning af konventionelt landbrug, 50% reduktion af den animalske produktion og nye ejerforme."
18,['1387366652195614722'],1387366652195614722,"RT @TorstenGejl: Støttepartier, tag en dyb indånding og gentag efter mig:

- Vi SKAL reducere den danske kødproduktion markant. 

Både af h…"
19,['1387366518657359875'],1387366518657359875,"@FrederikSandby @Enhedslisten @SFpolitik @radikale Vi har ikke brug for flere hockeystavsmodeller i den bæredygtige omstilling, og slet ikke for landbruget! Å vil have en plan for et bæredygtigt landbrug nu!  - udfasning af konventionelt landbrug og reduktion af den animalske produktion."
20,['1387365985825529863'],1387365985825529863,"@micminter @RasmusPrehn @regeringDK Vi har ikke brug for flere hockeystavsmodeller i den bæredygtige omstilling, og slet ikke for landbruget! Å vil have en plan for udfasning af konventionelt landbrug, 50% reduktion af den animalske produktion og nye ejerformer. #dkpol"
21,['1387316825453645824'],1387316825453645824,"KULTUREN HAR BRUG FOR AT VI HANDLER NU
Hvis der er et ønske om større kulturarrangementer til sommer, er vi nødt til at få nogle data på bordet hurtigst muligt.#dkpol #dkkultur 
 https://t.co/2rXdkd8ncf"
22,['1385623050033451010'],1385623050033451010,En bæredygtig omstilling af vores landbrug nødvendig💚 #fremtidenslandbrugerNU #dkpol https://t.co/jJKl1ntr6Z
23,['1385135706188754944'],1385135706188754944,“13 mænd og en enkelt kvindlig forfatter - hvad siger det til de unge? - at vigtige historier kun fortælles af mænd? Vi gentager og bekræfter det mandlige perspektiv som vores fælles udgangspunkt. Og vi lærer dem vigtigste præstationer skabes af mænd.” https://t.co/YyT1erfn8k
24,['1384938102347739136'],1384938102347739136,"@DenGroenneStud @animadk @rasmusnordqvist @signe_munk @zeniastampe @rasmushelveg @SorenEggeRasmus @RasmusVMadsen @Susanne_Zimmer_ @aahlers Vi kan ikke lave en bæredygtig omstilling af landbruget uden en reduktion af den animalske produktion. @alternativet_ kæmper for 100% udfasning af konventionel dyrehold, 50% af al dyrehold i 2030. Vi skal vi investere i plantebaseret produktion. Læs her https://t.co/Yw0i8HSO0b"
25,['1384562355867115522'],1384562355867115522,"RT @food_trails: 📢 The third date and speaker has been confirmed for our breakfast dialogues!

Copenhagen's @FranciskaRosenk will be joinin…"
26,['1384508810899906560'],1384508810899906560,"Læs hele udspillet her:
https://t.co/F9gTD70wy9"
27,['1384508410067095557'],1384508410067095557,"For Å er et opgør med det industrialiserede og konventionelle landbrug helt afgørende. Vi skal ikke have grise, køer og kyllinger støvet sammen som produktenheder i fabrikker, udpine vores jorde og sprøjte dem til med giftstoffer. Vi skal leve med naturen, ikke kun af den.#dkpol https://t.co/8cGpqgFnwr"
28,['1384473310264762368'],1384473310264762368,"RT @alternativet_: Op til landbrugsforhandlingerne lancerer Alternativet et nyt landbrugsudspil - ""Fremtidens landbrug er nu"" - det kan man…"
29,['1382996280557899778'],1382996280557899778,"Det københavnske kulturliv skal godt i gang igen, nu hvor samfundet så småt genåbner. I Kultur- og Fritidsudvalget har vi blandt andet nedsat en pulje, som økonomisk udfordrede kulturaktører kan søge til kulturaktiviteter #kultur #kbhpol
 https://t.co/ur1s6QedA1"
30,['1382743486852644876'],1382743486852644876,"@MartinVoergaard Det korte svar: fordi den animalske produktion udgør 90% af det danske landbrugs CO2 udledning, optager 80% af det opdyrket DK, forurener vores vandmiljø, produktionsdyr mistrives i en grad så de bliver antibiotikamedicineret fra de er født."
31,['1382742065239457792'],1382742065239457792,@EstherKje @RasmusPrehn @sofiecn @MaiVilladsen @JakobEllemann @SorenPape @DenGroenneStud Det ligner jo Ås landbrugsudspil😉
32,['1374781003445760006'],1374781003445760006,"@annefogel Jeg pudser ikke noget, men prøver at ryde op i misforståelser og nuancere den debat der blev ført i medierne"
33,['1374774517382414337'],1374774517382414337,"Å arbejder med inddragelse i vores politiske arbejde, også dem vi ikke er enige i. En nuanceret debat, frem for den sædvanlige for eller imod retorik. Andre partier, not so much.. #dkpol #kbhpol https://t.co/M0R6xOuORj"
34,['1372433356323950595'],1372433356323950595,"@KVBargisen @alternativet_ Økologi handler om miljø, vandkvalitet, biodiversitet - i og omkring markerne. Klimakrisen omhandler andet end CO2"
35,['1372432827518697472'],1372432827518697472,"@hedegard_peter Du må selvfølgelig spise hvad du vil, og ingen taler om at alle skal være veganere. men Staten bør tage klima og sundheds ansvar for hvad den serverer."
36,['1372432082920693760'],1372432082920693760,"@PernilleSnnich2 Nej men Staten må bestemme hvad den vil servere, og Staten bør også der gøre hvad der er bedst for klima, klode og borgere."
37,['1372088098717368322'],1372088098717368322,"En omlægning af DKs offentlige køkken til et økologisk plantebaseret et af slagsen vil både styrke udviklingen af grønne, danske virksomheder og fødevareproduktion, understøtte Danmarks klimamål og vise globalt klimalederskab #dkpol #dkgreen https://t.co/sJ1mL0TsU2"
38,['1371797520075132928'],1371797520075132928,"@ronniedk @koebenhavner @alternativet_ @informeren Har skrevet til information, og bedt dem om at rette det.😁"
