,edit_history_tweet_ids,id,text
0,['1435563276658675714'],1435563276658675714,@Simontj_ Det er alligevel utroligt at det er så bøvlet at flytte kommune. Man skal kunne tage sin sag med sig i stedet for at starte forfra. Håber vi kan løse det i forbindelse med evaluering af det specialiserede socialområde.
1,['1435262969252831239'],1435262969252831239,RT @verdensskove: Hver tredje træart er i fare for at uddø. Arsagerne er rovdrift og menneskeskabte klimaforandringer - inklusiv skovbrande…
2,['1435213845358800896'],1435213845358800896,"@SinkbS Du lyder som en af dem, der kan beholde dine privilegier, når vi indfører tvangsarbejde for kontanthjælpsmodtagere."
3,['1435166956789829634'],1435166956789829634,RT @alternativet_: Regeringen vil afskaffe gensidig forsørgperpligt. Tak til @TorstenGejl for en intensiv arbejdsindsats på tinge. 🧡
4,['1435166889093783553'],1435166889093783553,"Fantastisk at regeringen vil afskaffe ægtefælleafgifter for pensionister og førtidspensionister. Det har været en mærkesag for Å, men æren tilfalder de mange borgere, som har kæmpet for sagen og fremsat borgerforslag om afskaffelse af de ægtefælleafhængige ydelser. #dkpol"
5,['1434978328897888256'],1434978328897888256,"37 timers aktiveringspligt om ugen til kontanthjælpsmodtagere? 

Er det ikke en slags moderne slaveri?

Vi sætter de fattigste i tvangsarbejde for at vi andre kan beholde vores privilegier. 

#dkpol #dksocial https://t.co/mzHQEHqvbK"
6,['1433702249507737617'],1433702249507737617,"RT @alternativet_: FORBYD BURÆG OG OMLÆG PRODUKTIONEN
85 procent af alle de æglæggende høns i den danske fødevareproduktion går rundt med b…"
7,['1433702231505784832'],1433702231505784832,"RT @FranciskaRosenk: At prioritere kunst og kultur i langt højere grad end vi gør idag, er en afgørende del af omstillingen til Det bæredyg…"
8,['1433369297699680257'],1433369297699680257,"RT @danish_artists: ""Vi  skal  åbne  op  for,  at  kunsterne  og  kulturlivet  får en langt mere central rolle i samfundsudviklingen, og at…"
9,['1433098589560057864'],1433098589560057864,RT @alternativet_: 🧡🧡🧡 #dkkultur https://t.co/0dyvZioucO
10,['1433089412372570114'],1433089412372570114,RT @alternativet_: Alternativet kalder på støttepartier for grønnere finanslov - TV 2 https://t.co/GElkVgUbkY
11,['1433082019794329601'],1433082019794329601,RT @alternativet_: Nyt ALT-forslag på sommergruppemøde: Giv kunstnere 10.000 kroner om måneden - Altinget - Alt om politik: https://t.co/tZ…
12,['1433038654256160774'],1433038654256160774,RT @alternativet_: T-minus 10 minutes. Pressemøde coming up: #dkpol https://t.co/iQ9EEDPZoY
13,['1433028303481413641'],1433028303481413641,"RT @FranciskaRosenk: Sommergruppemøde dag 2!

I dag er vi rykket fra Christiansborg til Demokrati Garage i Kbh. Pressemøde er kl 1415 (se m…"
