,edit_history_tweet_ids,id,text
0,['1565573241338470400'],1565573241338470400,"@Astridkrag Det er altså for plat Astrid. Hun sagde jo det modsatte. At det var for at skaffe penge til ældreområdet, men at man også inden for det område kan gøre tingene smartere."
1,['1563159242797826048'],1563159242797826048,"@a_steenberg @ravn_jacob @radikale @KathrineOlldag At et område er hårdt reguleret er vel ikke et argument for, at regulere endnu hårdere?"
2,['1561415262880014336'],1561415262880014336,"@SimonVanggaard Der findes ikke noget Danmarksdemokraternes Ungdom, og det har ikke noget med partiet at gøre. Det er en fake bruger og det forsøges at få den lukket."
3,['1556360860695777280'],1556360860695777280,"@Torstenschack @venstredk God retning med flere ejere, men ikke ved indførelse af nye fradrag i et i forvejen kompleks skattesystem 🙏🏻"
4,['1556360601525534726'],1556360601525534726,@sophieloehde Målsætningen er god men at komplicere skattesystemet med et nyt fradrag er ikke en god ide. Der er brug for et simplere skattesystem.
5,['1556359733732311040'],1556359733732311040,"Danmark har brug for et simplere skattesystem, da det i forvejen er umuligt at gennemskue for almindelige danskere. Det her komplicere tværtimod skattesystemet. https://t.co/LdUi27EN2c"
6,['1552252034480386048'],1552252034480386048,Fik en high five at @jonasvingegaard på turen igennem København Min dag er redet 😍😍 https://t.co/TS2b18w0hA
7,['1547237050209943552'],1547237050209943552,Fantastisk Tour etape og hvor vildt med dansk sejer to dage i træk 🇩🇰🇩🇰🇩🇰 #TourDeFrance2022
8,['1545024073478062083'],1545024073478062083,@JoachimBOlsen @MartinCEPOS @AminataCorr Enig fantastisk serie. Har set den flere gange.
9,['1544015645997731845'],1544015645997731845,"Tror alle danskere ville foretrække kritik (en næse) af Folketinget frem for bøde eller fængselsstaf. Det er da latterligt, hvis det er den eneste konsekvens for, at slå et helt erhverv ihjel."
10,['1543182406789861377'],1543182406789861377,"Hvad er det et folketingsvalg skal løse i forhold til mink sagen? Der er i stedet brug for nogen stilles til ansvar, og for ministrenes vedkommende starter det med advokatundersøgelsen."
11,['1542228365318529027'],1542228365318529027,"@JanEJoergensen Nej det er vel reelt ikke sket noget nyt, og ingen ved om det pressen skriver i denne sag er rigtig. Men heldigvis kommer der en retssag, hvor sagen prøves."
12,['1542200159462883329'],1542200159462883329,"@Peter_Mogensen Det er jeg grundlæggende uenig med Venstre i. Det bedste for Danmarks sikkerhed er, at støvet lægger sig i denne sag. Ikke at det hvirvles op."
13,['1542193353902768128'],1542193353902768128,@CasperDall @MrMesserschmidt Tror ærligt talt ingen af dem ser det som en sejer 🤷‍♂️
14,['1534946956153393152'],1534946956153393152,"@joachimcb @hbh_boye Nej der ligger ingen aftale om en blankocheck eller vi har givet håndslag på, hvad det må koste. Partierne er ikke en del af en styregruppe men er på orienteringsniveau."
15,['1534235957045633025'],1534235957045633025,"@hbh_boye @joachimcb Henning der er ikke lavet en aftale mellem partierne om, hvad det må koste eller hvordan sagen håndteres. Det er alene skatteministeriet der bestemmer det. Vi bliver blot orienteret engang imellem og som regel et par timer før pressen."
16,['1531567317057949697'],1531567317057949697,RT @Kristianthdahl: Mette Frederiksen: “Jeg har ikke en eneste gang i min tid som statsminister oplevet forbeholdene som en begrænsning.”…
17,['1527995512925872130'],1527995512925872130,"@AneHalsboe @LauritzenK Kald det hvad du vil. Det vil blive regnet med i det samlede skattetryk og det skyldes nok, at det netop er en skat 🤷‍♂️"
18,['1527955340058304513'],1527955340058304513,@HSoltoft @DanskIndustri @Producentfor @ramskovdk @DanskIndustri er blevet bannerfører for højere skat? Så har man set det med 😱
19,['1527953297390321665'],1527953297390321665,"@hbh_boye @Kulturmin Det får du svært ved at få ud af dem, da man så kan undersøge om det bryder med OECD aftalen."
20,['1527934517159280641'],1527934517159280641,"Priserne stiger på stort set alt og inflationen er tårn høj, og så vælger det røde flertal, at indfører en ny streamingskat, som medfører højere priser. Det kan da kaldes dårlig timing 😔"
21,['1527933473788506112'],1527933473788506112,"Ny medieaftale indfører ny streamingskat og derved højere priser for danskerne. Der kommer flere penge til DR. Læg dertil indførelses af kønsselvangivelser. Jeg har det faktisk godt med ikke, at være en del af den røde aftale. #dkpol"
22,['1527930693036154880'],1527930693036154880,@uffeelbaek @Spolitik @SFpolitik @radikale @Enhedslisten @alternativet_ @KDpolitik @friegronne Men det er vel kun en stemmeaftale og ikke et forlig?
23,['1527633310490427394'],1527633310490427394,@JohansenTine Det kan jeg godt forstå 👍🏻😊
24,['1527628817623310336'],1527628817623310336,"@JohansenTine En mindre detalje så var der slet ikke lagt op til et forlig, men en stemmeafale. Er forlig giver langsigtet tryghed for branchen. Det gør en stemmeaftale ikke."
25,['1527628423358730243'],1527628423358730243,"Alle der modtager mediestøtte eller penge fra public service puljen skal fremover lave en køns selvangivelse opgjort på han, hun og andet køn. Samtidig skal DR fokusere på, at der spilles lige mange mandlige og kvindelige musikere. Bliver vist ikke mere woke agtig? 😱"
26,['1527619575919087616'],1527619575919087616,"@TomJensen1966 Også på samme dag, hvor regeringen formentlig lander en medieaftale, som skal styrke den demokratiske samtale 😳"
27,['1527617501311426560'],1527617501311426560,"@SandKjaer Den del vil jeg gerne være med til, men køns selvangivelser til alle medier og flere penge til DR er vi ikke med på."
28,['1527616309088899073'],1527616309088899073,"DF er ude af medieforhandlingerne. Kunne ikke leve med flere penge til DR og at alle medier skal lave køns selvangivelser som skal opgøres på han, hun og andet køn. Den slags woke hører ikke hjemme i en medieaftale."
29,['1527544289332436993'],1527544289332436993,"@benjaminboe @AneHalsboe Prøv at se på billedet. Hvad har det lige med Oscar-uddeling og Tech at gøre? Den private del af sådan en tur skal man selv betale og det ser ud til, at det meste var privat."
30,['1524461788036837376'],1524461788036837376,@Tobiasweische Enig det er så langt ude og mega udemokratisk.
31,['1524453074978447362'],1524453074978447362,"Hvordan kan DR havde et panel med syv politikere, som alle anbefaler et ja? Hvor er den demokratiske debat i det? #dkpol"
32,['1524004416692572162'],1524004416692572162,"@RStoklund @SorenPape Logikken er at øge udbudet og produktion uden at øge efterspørgslen efter varer. Øge arbejdsudbuddet med skattelettelser finansieret af lavere offentlig sektor, så pumpes der ikke flere penge i økonomien. Lavere skat øger incitamentet til at arbejde og derved øget udbud af varer."
33,['1523748055027093505'],1523748055027093505,@BjarkeMoeller Opfinder spøgelser? Så formanden for EU-kommissionen og parlamenter har ikke peget på flertalsafgørelser på forsvarsområdet? Tænker du bør læse artiklen igen.
34,['1523736926897188864'],1523736926897188864,"Nu vil både EU-parlamentet og formanden for EU-kommissionen arbejde for flertals afgørelser på forsvarsområdet. Hvordan kan ja partierne fortsat nægte, at der arbejdes på, at EU går i den retning? https://t.co/zo6ckvy8Nz"
35,['1523735971984179201'],1523735971984179201,"@JuulMona Enig. Det giver da ingen mening, at koble de to forhandlinger sammen 😳"
36,['1521593339958726663'],1521593339958726663,"@JuulMona Går ud fra i støtter DFs beslutningsforslag så, når der kommer til afstemning. Fremgår ikke af betænkningen til forslaget. Omhandler netop et simplere indkomstskattesystem."
37,['1520842514906984454'],1520842514906984454,RT @MrMesserschmidt: Kalder alle #dkmedier - her er fremtidens EU: Fælles eu styrke og afskaffelse af vetoret…! #dkpol #stemnej
38,['1517776945672597507'],1517776945672597507,"@BennyEngelbrech Så hvis vi stemmer nej, så står Danmark alene? Eller står vi sammen med bl.a. USA og bristerne i NATO? Et NATO samarbejder som Sverige og Finland nu også søger mod for sikkerhed."
39,['1517776116240601089'],1517776116240601089,@TarpCPH Så du mener altså df står til ansvar for hvornår et fransk parti betaler sin gæld?😳 Er glad for det er Socialdemokratiet du rådgiver.
40,['1517773099239944192'],1517773099239944192,"@TarpCPH Hvad har det med et parti i Danmark at gøre, at et parti i Frankrig vælger at betale sin gæld? Det tænker du DF skal stå til regnskab for?"
41,['1516732032172310529'],1516732032172310529,"Afgørende for @DanskDf1995, at en grøn skattereform ikke skubber arbejdspladser ud af landet, og gøre det dyrere for danskerne. Vi skal være et foregangsland og ikke et skræmmeeksempel."
42,['1504374833790042113'],1504374833790042113,@JBraestrup @LauritzenK @berlingske Igen må vi konkludere at det danske skattesystem kan være svær at gennemskue :-)
43,['1504137788211572745'],1504137788211572745,"Udviklingsbistanden bruges bl.a. på at hjælpe flygtninge i nærområderne. Med krigen i Ukraine er Danmark blevet et nærområde. Derfor vel kun fair, at penge fra udviklingsbistanden bruges på flygtninge i Danmark. #dkpol"
44,['1503312676201639936'],1503312676201639936,"RT @nikolajrytgaard: Folk jubler over at få penge tilbage, men ingen forstår hvorfor, siger @flydtkjaer og foreslår kommission, der skal ud…"
45,['1503312560669573120'],1503312560669573120,"@LauritzenK Det er jeg enig. Alle lapperne og særreglerne i systemet er kommet til af gode hensyn, men det har gjort det komplet uoverskueligt. Derfor må vi gøre et forsøg på, at gøre der enklere igen."
46,['1501270415435575316'],1501270415435575316,"RT @DanskDf1995: Mere NATO - Mindre EU👍

Men hvad er egentlig op og ned, når det gælder forsvarsforbeholdet? Kommer der en EU- hær, eller e…"
47,['1500832891789524995'],1500832891789524995,@RasmusJarlov Stort tillykke 🇩🇰🇩🇰🇩🇰
48,['1500582597654626315'],1500582597654626315,"@RasmusJarlov Kampen kan ikke have været særlig lang for jer, da i stemte nej til 2% i Folketinget i Maj sidste år."
49,['1500545533231910920'],1500545533231910920,"Man kan da ikke mene, at det er afgørende for Danmarks sikkerhed, at vi skal deltage i militæreoperationer i Somalia, Afrikas Horn og Bosnien-Hercegovina. NATO er derimod garanten for vores sikkerhed. https://t.co/j3coKiZG8B"
50,['1500539923023245318'],1500539923023245318,@LouiseElholm Det er korrekt at i øger gælden markant og undgår skattelettelser.
51,['1500538363669106689'],1500538363669106689,@JakobEllemann Så du indrømmer at afskaffelsen af forsvarsforbeholdet er ren signalpolitik.
52,['1500537207765057538'],1500537207765057538,@LouiseElholm Er du også stolt af den massive gældssætning?
53,['1500535973796626438'],1500535973796626438,"Vi skal styrke det danske forsvar og bakke fuld op om NATO, men forsvarsforbeholdet skal vi ikke af med. NATO er vejen frem for Danmark 🇩🇰🇩🇰🇩🇰"
54,['1500217386879922182'],1500217386879922182,DR kan altså noget når det kommer til shows som Melodi Grand Prix. Super flot afviklet 🇩🇰
55,['1500200084683870213'],1500200084683870213,@MortenMarinus @MrMesserschmidt Enig det er noget tyndt i år 🤷‍♂️
56,['1499378190673920000'],1499378190673920000,"RT @Kristianthdahl: Afstemning om forsvarsforbeholdet? Midt i krisen om Ukraine. Helt ærligt🙄

Nogle bruger enhver anledning til at søge eu…"
57,['1499313089925242880'],1499313089925242880,Er rørende øjeblik da Ukraines ambassadør besøgte Folketinget. Kæmpe respekt for den kamp de står i og og det kæmpe mod de viser. https://t.co/sCjm0mtzsT
58,['1498604663167406080'],1498604663167406080,@SimonVanggaard @DanskDf1995 Stort tillykke Simon. Kan ikke forestille mig nogen bedre end dig til den opgave 😊
59,['1496813757900763138'],1496813757900763138,Glæder mig til arbejdet 😊 https://t.co/fNKInUL5EW
60,['1496618162783236101'],1496618162783236101,@PerClausen3 Enig et fantastisk sted. Og så hedder ejeren Flydtkjær 😍
61,['1495794558285844483'],1495794558285844483,@Paulin_Anne @Trinebramsen Hvorfor skal den gamle og forkerte struktur kun ændres i bestyrelseslokalerne? Skal der også kvoter for mænd i kvindefag? Giver ingen mening det i har gang i.
62,['1495737382276116484'],1495737382276116484,"Er der virkelig nogle EU tilhængere der mener, at det er et grænseoverskridende problem hvor mange kvinder, der sider i en bestyrelse? Jeg mener slet ikke man skal lovgive om det, men hvis det var, så kan landene nok godt selv finde ud af det."
63,['1492237371798138891'],1492237371798138891,"@BjBrandenborg @marie_bjerre @Paulin_Anne @venstredk Hvordan kan i kræve finansiering af Venstre, når i selv lånefinansiere? Det skyldes at i allerede har brugt de mange mia. som staten sparer på højere elpriser."
64,['1492090912746442764'],1492090912746442764,@CasperDall Svært at lave breaking news på den :-)
65,['1491858954669932545'],1491858954669932545,"@CasperDall Tja almissen kan bliver så lille, at det bliver et problem for de røde. Får får en kæmpe ekstra regning og får småpenge den anden vej. Mange får slet ikke noget."
66,['1491746597448949763'],1491746597448949763,"RT @skaarup_df: Nye ordførere i @DanskDf1995: @MrMesserschmidt bliver politisk ordfører. @Kristianthdahl bliver forsvarsordfører, mens @Ren…"
67,['1490630833710972929'],1490630833710972929,@KathrineOlldag Det er så noget vrøvl din tidligere kammerat siger. I DK ville man have ret til en fair rettergang også uden den europæiske menneskerettighedskonvention.
68,['1490630438074953733'],1490630438074953733,"@ammitzbollbille @MrMesserschmidt Sikket noget vrøvl. Så du mener seriøst at uden den europæiske menneskerettighedskonvention, så havde man ikke ret til en fair rettergang i DK? Mon ikke vi havde sikret det uden en konvention?"
69,['1489644944138674178'],1489644944138674178,"Når skatteministeriet sender pressemeddelse ud en fredag eftermiddag, så skal man være bekymret. Her går man væk fra det princip andre overenskomster er lavet på. Det er skidt og kan blive en dyr fornøjelse på sigt.  https://t.co/FclMpyQIXH"
70,['1489644174446051338'],1489644174446051338,@ravn_jacob @JeppeBruus @DanskErhverv Men dog en dårlig aftale som afviger fra princippet de andre overenskomster bygger på
71,['1489552743807266817'],1489552743807266817,"I dag kommer jeg op på 8 forskellige skatteministere i den tid, hvor jeg har været skatteordfører. Jeg må have været ordfører på området for længe 🤷‍♂️"
72,['1489547612948955136'],1489547612948955136,Tak for samarbejdet til @mfMorten og tillykke med den nye post. Også stort tillykke til @JeppeBruus som ny skatteminister. Der er nok at tage fat på :-)
