,edit_history_tweet_ids,id,text
0,['783942859506475009'],783942859506475009,"@BrianMikkelsenC Det er vel blot det gældende forlig som K er med i, der åbner for det?"
1,['783284154897170432'],783284154897170432,RT @MrMesserschmidt: Europol-aftale på plads med Kina. Mon så ikke også DK kan..? #dkpol #eudk https://t.co/faH9q1Q8OM
2,['783226493249921028'],783226493249921028,@dortetoft @YildizAkdogan @gitteredder @naserkhaderdk @avisen_dk Og det kan du konkludere ud fra det jeg skrev?
3,['783057142211313666'],783057142211313666,@YildizAkdogan @gitteredder @naserkhaderdk @avisen_dk her gik jeg og troede det kom an på holdninger og ikke etnicitet
4,['782135517227933696'],782135517227933696,"RT @espersendf: Sært, så vilde de andre partier er for at afskaffe kontrollen over grænserne, så også enhver tænkelig slyngel får fri adgan…"
5,['781155766816346112'],781155766816346112,"RT @AndersVistisen: Efter hysteri om Europol-udmelding fra @TimmermansEU, må der komme stor dækning af dette: https://t.co/LLdKe6okRS #dkpo…"
6,['780821935617875968'],780821935617875968,@kimsepet @engelschmidt @michaelaastrup jeg beskylder ikke men opfordre til at presse EU og ikke presse for folkeafstemning igen
7,['780821578716155905'],780821578716155905,@sorenvind @michaelaastrup forventer jeg heller ik. De bør bare bruge krudt på forhandling i stedet for fokus på ny folkeafstemning
8,['780798960239800320'],780798960239800320,"@michaelaastrup Det er jer der har ministerposterne, som skal forhandle i EU. Gør det i stedet for at presse på for en folkeafstemning mere"
9,['780798138969980928'],780798138969980928,@michaelaastrup Tænk hvis i brugte kræfterne på at få os med i Europol i stedet for at presse på for en ny afstemning i DK.
10,['779351131298340864'],779351131298340864,"@RikkeGM det er nu ikke korrekt. Det gamle system lavede fejl i 75% hvor det nye ifølge Børsen rammer skævt i 27,5 %."
11,['778857742819811328'],778857742819811328,RT @tv2politik: Nye Borgerliges socialpolitik får folkevalgte til at smutte https://t.co/Zj3FulZSCg #dkpol
12,['778239236768161793'],778239236768161793,"@SorenPape sidst vi prøvede det, der væltede i ministeren alligevel."
13,['778143868755869696'],778143868755869696,@CvGregersen enig
14,['777123751137779712'],777123751137779712,BREAKING: Thulesen Dahl genvalgt som formand på #DFårsmøde16 :-)
15,['777117072094588928'],777117072094588928,@Kristian_Jensen @DanskDf1995 @oestergaard gerne men hjælp så lige med at få LA med ind på spillepladen.
16,['777116039595298817'],777116039595298817,"RT @BjerknsC: Et tegn på DF's store succes er, når viceborgmester @flydtkjaer på #dfårsmøde16 tager i mod alle DF'erne i Herning! https://t…"
17,['777084869952307200'],777084869952307200,RT @DanskDf1995: KTD: Vi skal have genskabt kontrollen med Danmark🇩🇰 #DFårsmøde16 #dkpol
18,['777082496206966784'],777082496206966784,@RPHenriksen nej
19,['777082408898265088'],777082408898265088,Flygtninges krav på dagpenge efter to års dumpingløn skal fjernes #DFårsmøde16 #dkpol
20,['777081522834837506'],777081522834837506,RT @MFjeppejakobsen: Tak til Kristian for at sætte bøllen Anders Samuelsen på plads. Han må fremtvinge det valg hvis han ikke sænker pistol…
21,['777080921753264128'],777080921753264128,Afvisning af 5% topskattelettelser giver stående bifald på DFs årsmøde. Sådan. #dfårsmøde16 #dkpol
