,edit_history_tweet_ids,id,text
0,['1566014022117457921'],1566014022117457921,"@ThomasHeie Forslaget går specifikt ud på, at personer som arbejder, men ikke bor i yderkommunerne, skal ligestilles med personer, som bor i yderkommunerne."
1,['1565986656020316163'],1565986656020316163,"Det var venstrefløjens store salgsnummer ved sidste valg, at der skulle flere pædagoger i daginstitutionerne. Sympatisk nok. Men, nu kan man så læse, at de selv indrømmer, at det ikke har virket! Klokkeklart løftebrud! #dkpol https://t.co/YD1mBHbZSa"
2,['1565697371459227649'],1565697371459227649,"Det er blevet dyrt at fylde benzintanken på bilen, hvilket rammer pendlerne i yderkommunerne hårdest. De kan ikke bare tage bussen. Derfor vil vi i DD øge befordringsfradraget for alle, der arbejder og bor i udkanten med 50%! #dkpol https://t.co/aVLVLUhMq4"
3,['1565608373793570817'],1565608373793570817,"Jeg må ærligt indrømme, at jeg er dybt bekymret på Sveriges vegne - helt på linje med de politibetjente i artiklen. En vigtig del af motivationen for mit politiske arbejde er, at Danmark aldrig må komme lige så langt ud som Sverige! #sverige #dkpol https://t.co/qGepBgvxVR"
4,['1565252876427038723'],1565252876427038723,"De høje varme- og elpriser gør, at danskere må gå fra hus og hjem og virksomheder lukker for produktionen. Hvad agter regeringen at gøre ved det, @Spolitik ? #dkpol https://t.co/iL1lM0xqgL"
5,['1564983814128033794'],1564983814128033794,"Inflationen i EU var på 9,1%. ECB virker handlingslammet pga. hensynet til de sydeuropæiske fallitboer, og den danske regering ser passivt til, mens danskernes købekraft udhules voldsomt måned for måned! #dkpol https://t.co/qW2ZQE4w1z"
6,['1564847116316561412'],1564847116316561412,"Minkskandalen og håndteringen af denne, vokser dag for dag!
“Afgørende styrelse var alligevel ikke uvildig: Men der har ikke været noget »politisk pres«, siger minister.” #mink #dkpol https://t.co/jN612NVYRw"
7,['1564728369085915138'],1564728369085915138,"Mikhail Gorbatjov er død i en fremskreden alder. Han vil altid blive husket som Sovjetunionens sidste leder, og den mand, der førte de 15 sovjetiske republikker ud af kommunismens mørke. Må han hvile i fred🙏

https://t.co/2uL5fJ7UVh"
8,['1564659331169140738'],1564659331169140738,"Hele 150 fejlamputationer over 10 år i Region Midtjylland. Det er et stort tal. Nu mangler vi bare, at Region Sjælland etc. også tjekker tallene ti år tilbage, og kontakter de berørte patienter. #dkpol 
https://t.co/yynhP9JboQ"
9,['1564161167043579904'],1564161167043579904,"@sofiecn @DRNyheder Hej Sofie. Gælder det alle trossamfund i Danmark, herunder de muslimske, der så også skal tvinges til at ansætte kvindelige imamer?"
10,['1563996131574648833'],1563996131574648833,"Aldrig har vi haft en regering med så store habilitetsproblemer, fordi dens livtag med embedsapparatet er voldsomt omklamrende og direkte skadeligt for tilliden til vores demokrati! #dkpol 

https://t.co/j0RW9qDElE"
11,['1563855874136936448'],1563855874136936448,"Stort tillykke til Danmarks og verdens bedste badmintonspiller, Viktor Axelsen🇩🇰🏸🇩🇰 #ViktorAxelsen @ViktorAxelsen https://t.co/sfl5X1hE19"
12,['1563238098674143232'],1563238098674143232,"Hvor er det her dog uendeligt trist, når en kvinde og et barn bliver skudt på en legeplads i Sverige😳🥲 #Sverige https://t.co/efnE3bTAVK"
13,['1563065868506251264'],1563065868506251264,Bekymrende nyheder om Socialdemokratiets boligudspil. Det kan ifølge notat fra justitsministeriet angiveligt udløse en masse juridisk og derved økonomisk kaos. #dkpol https://t.co/q2KwHJPaT0
14,['1562776893027299328'],1562776893027299328,Danmarksdemokraterne står til 21 mandater i en ny Epinion-måling. Og der er ikke flertal for den nuværende regering. Det er da ikke så ringe endda!? #dkpol https://t.co/uTyljXTijC
15,['1562747042862026753'],1562747042862026753,"Tilliden til både embedsværket og folkestyret har lidt et knæk i brede kredse, fordi Mette F frikender sig selv med et skuldertræk og en kæk bemærkning. Der kommer et efterspil, hvis de borgerlige partier vinder valget! #dkpol https://t.co/DDPgVOCXXh"
16,['1562742499168268290'],1562742499168268290,"RT @MBrgger: Glem ikke disse ord: 

“Kommissionen finder samlet set, at Barbara Bertelsen har begået tjenesteforseelser af en sådan grovhed…"
17,['1562658645493501954'],1562658645493501954,"@LeaWermelin Og: “kommissionen dermed ikke har foretaget en vurdering af, om der foreligger grov uagtsomhed.”
En statsminister ved jo godt, at der skal foreligge lovhjemmel for at aflive alle mink og et helt erhverv. Det skal vi nok få afdækket. Bare rolig😉"
18,['1562658542695624705'],1562658542695624705,"@LeaWermelin Lea, jeg ved ikke om du laver sjov eller du rent faktisk mener dit ufrivilligt komiske partsindlæg. 
Men hjælper dig gerne lidt på vej:
“Kommissionen finder, at statsminister Mette Frederiksens udmeldinger på pressemødet den 4. november 2020 ”objektivt set var groft vildledende”"
19,['1562536121141456897'],1562536121141456897,"@KHegaard Hej Kristian
Tak for dit input. Kommissionsundersøgelsen behandlede jo ikke Mette Frederiksens ansvar for skandalen. Det skal vi have undersøgt og belyst bedst muligt."
20,['1562513075122491393'],1562513075122491393,"Denne sag slutter ikke her. Der må en tilbundsgående advokatundersøgelse af hele minkskandalen, inklusive Barbara Bertelsens aparte adfærd til, herunder hendes mærkværdige “rul rundt” bemærkning! #dkpol #mink https://t.co/B7310QGeIO"
21,['1562046466796969985'],1562046466796969985,"@JeppeBruus Så kommer I her midt i en valgkamp - vel vidende, at jeres støttepartier ikke kan nå at blive sure på jer, fordi de også godt ved, at I fører valgkamp og næppe nogensinde kan eller vil føre det ud i livet på den anden side af valget. Dybt utroværdigt!"
