,edit_history_tweet_ids,id,text
0,['1499318302103019522'],1499318302103019522,"Skandaløst, at regeringen ikke griber langt mere resolut ind overfor de eksplosive energipriser. Staten SPARER milliarder, mens inflationen bare vokser. #HANDLING #dkpol https://t.co/GesfdNjbdM"
1,['1497894574362017792'],1497894574362017792,"RT @RasmusJarlov: Er nødt til at sige, at dette er en lettelse. Krarups forsvar for Putin har været underminerende for den entydige afstand…"
2,['1497894362084167681'],1497894362084167681,"Selvfølglig skal Danmark følge i de tyske fodspor og opgradere sine forsvarsudgifter til det, vi har lovet NATO. Indkald til forhandlinger NU @mfMorten #dkpol #forsvar #nato"
3,['1497893592127393792'],1497893592127393792,"RT @Chris_Bjerknaes: Bare lige for at være helt med. Så har du @PernilleVermund også selv meldt fra til @dr2deadline, ligesom NB ikke har k…"
4,['1497877463816445952'],1497877463816445952,Rettelse - det er tilsyneladende foran Ruslands ambassade
5,['1497854336520626178'],1497854336520626178,Jeg deltager naturligvis i dag i demonstrationen imod Putin og for Ukraines frihed på Christiansborg slotsplads. Taler 17.55. Håber på stor opbakning – fra alle partier! #ukraine #nato #frihed #vesten
6,['1497540768206143496'],1497540768206143496,"RT @Pia_Kjaersgaard: Bak op om Ukraine. Stødte tilfældigt på en lille demonstration på Slotsplads og blev spurgt , om jeg ville sige et par…"
7,['1497538787873738756'],1497538787873738756,Vedr. Marie Krarups exit fra DF #dkpol https://t.co/pYcOXipYmH
8,['1497461648092712963'],1497461648092712963,Kasakhstan afviser Putins anmodning om hjælp..! Stærkt! #SlavaUkraini https://t.co/3R53BDdV9E
9,['1497459095863017474'],1497459095863017474,"Selvfølgelig skal Danmark hjælpe! I første omgang ved at bistå Polen og Rumænien. Men viser konflikten sig at trække ud, selvsagt også ved at huse ukrainere. Naturligvis betyder antal noget, men dels er Ukraine vores  nærområde og vi har gode erfaringer med ukrainere her #dkpol https://t.co/qUXVokEnGB"
10,['1497456631839215618'],1497456631839215618,"RT @berlingske: »Om et parti er »ekstremt« eller ej, er naturligvis en subjektiv vurdering. Men når hver fjerde vælger i København stemmer…"
11,['1497456202334232578'],1497456202334232578,"Regeringen vil tvinge virksomheder til noget, de ikke selv lever op til…!? Hvad er det den officielle definition af hykleri er..? 🤔 https://t.co/1FMQLwCw7w"
12,['1497455554930827265'],1497455554930827265,"Selvfølgelig skal vi være uafhængige af både gas fra Rusland og olie fra Mellemøsten. Men kan VE sikre det, når kun 3% af EUs energi idag kommer herfra..? #naivt Svaret er at Tyskland må genåbne sine akraft-værker og Holland sin naturgas #dkpol"
13,['1497455009432317953'],1497455009432317953,"EU blokerer for at udelukke Rusland af SWIFT og forhindrer dermed de hårdest mulige sanktioner mod Putins Rusland - mens der kæmpes om Kiev..!! Og der er stadig folk, som drømmer om at give EU mere magt over vores udenrigspolitik..!! #suk #aldrig #dkpol"
14,['1496974862576988160'],1496974862576988160,@TomJensen1966 I vore hjerter
15,['1496974649636409346'],1496974649636409346,"RT @Nigel_Farage: Watch @GBNEWS live from @CPAC at 7pm tonight. 

Many people here feel this would simply not be happening if Donald Trump…"
