,edit_history_tweet_ids,id,text
0,['1038859936938303488'],1038859936938303488,"Spændende aften i vente! Nøj, hvor bliver det interessant, når stemmerne bliver talt op! Hepper hele vejen på @sdriks 🇩🇰🇸🇪"
1,['1038194508482195456'],1038194508482195456,Jeg er totalt målløs! SVT tager simpelthen “afstand” fra @sdriks! Totalt grotesk! Ønsker de gode folk fra SD et fantastisk valg på søndag!
2,['1038193504135065601'],1038193504135065601,RT @espersendf: Sveriges TV “tager afstand fra Sverigedemokraterna” i den afsluttende partilederrunde...! Vildt dramatisk krystalklart bevi…
3,['1038193452855513088'],1038193452855513088,"RT @Kristianthdahl: Jeg har sendt en lille hilsen til svenskerne, som bringes i nogle svenske aviser i morgen. Læs annoncen her. #dkpol htt…"
4,['1038191253106708480'],1038191253106708480,What? Hvad sker der dog i Sverige? Helt vildt..! https://t.co/zRsObp4fTy
5,['1037707984028295168'],1037707984028295168,"Spændende forslag, @Faengselforbund - måske @SorenPape kan hjælpe med at kaste mere lys over mulighederne? https://t.co/4dHa0hr5ZI"
6,['1036880219553103877'],1036880219553103877,"Historisk dag med forbud mod LTF. Det har vi længe arbejdet for i @DanskDf1995 
Bander skal opløses og hårdkogte kriminelle i fængsel.
#dkpol"
7,['1034703342851772416'],1034703342851772416,"RT @espersendf: ""Tosprogede"" En underlig betegnelse for børn, som indikerer problemer. Alle mine børn taler to sprog flydende. Det har da a…"
8,['1034432228967833601'],1034432228967833601,"RT @Kristianthdahl: Mens nogle hygger med Macron, har jeg i dag valgt at cykle fra Frederikshavn til Aalborg med veteraner. Ride4Rehab er e…"
9,['1034100342428971016'],1034100342428971016,"RT @skaarup_df: Danmark og Europa skal også i fremtiden bygge på et kristent, vestligt værdigrundlag. Læs mit indlæg her i @kristeligt #dkp…"
10,['1031160298638585856'],1031160298638585856,RT @MHjoellund: S og DF med fælles forslag til nye regler for #ANPG-registrering af bilisters nummerplader: Flere kameraer på de danske vej…
11,['1030755028221521920'],1030755028221521920,"RT @Kristianthdahl: “Donald Trump” i Danmark. 
Læs mit ugebrev her. #dkpol https://t.co/37F1bSznDS"
12,['1027262692749389825'],1027262692749389825,RT @tv2politik: DF vil stoppe udhuling af folkepension https://t.co/AKWZ5ABAAn https://t.co/j91ckDI2EU
13,['1024996015160610817'],1024996015160610817,"Hvordan i alverden kan en person, der er mistænkt for at have sendt flere millioner til en terrororganisation, bare stikke af fra et dansk fængsel?Det vil jeg have justitsministeren til at redegøre for. For det bør ganske enkelt ikke ske #dkpol"
14,['1012584208248852481'],1012584208248852481,"God aftale om ungdomskrim. Vi sætter tidligt og konsekvent ind over for børn og unge, der får en skæv start på livet og strammer samtidig op på de lukkede og del.lukkede institutioner. Alt i alt fin aftale. Tak til @Trinebramsen og @SorenPape for samarbejde #dkpol"
15,['1012390138293444615'],1012390138293444615,"Godt, endelig! Bliver historisk! #dkpol https://t.co/fswmAiZYap"
16,['1008654511953645568'],1008654511953645568,"RT @DanskDf1995: https://t.co/WiKvp5dr1p Vi elsker Danmark. Vi elsker det Danmark, som mange før os har skabt. Det kæmper vi for at bevare.…"
17,['1007631443730845696'],1007631443730845696,Har sammen med @Jkrongaard &amp; @HenrikJeppesen4 fra @DanskDf1995 uddelt en masse flotte flag i #haderslev i anledning af Valdemarsdag og genforeningen! Vi ❤️🇩🇰 #dkpol https://t.co/QeVHE1vf3m
18,['1007540278146805760'],1007540278146805760,RT @skaarup_df: Nu må det slutte. Vi vil ikke finde os i at fængselsbetjente bliver overfaldet af indsatte. Så vi foreslår at vi skruer bis…
19,['1007246980500873216'],1007246980500873216,"RT @JensHolt_: DF-formand Kristian Thulesen Dahl om Tibetsag:
""Denne sag giver anledning til at se på, om man kan lave bedre vilkår for kom…"
20,['1007211383207944192'],1007211383207944192,"Endnu en vild udvikling i Tibet-sagen. ALT skal simpelthen vendes nu! Utroligt, at det skal være så svært..! #dkpol"
21,['1005068512405139456'],1005068512405139456,"Stor tak til Nordsjællands Politiforening for en spændende debat i dag, hvor de mange fremmødte medlemmer kom med mange gode spørgsmål og idéer til arbejdet. #politi #dkkrim"
22,['1004664904194936833'],1004664904194936833,Fornuftigt at Tibetkommissionen åbnes igen. Alt materiale i sagen skal gennemgås. Alle sten skal vendes. Ønsker kommissionen god arbejdslyst. #dkpol
23,['997478525329399808'],997478525329399808,Har været på en rigtig god tur med @SorenPape i dag - ser frem til videre samtaler om et utrolig vigtigt emne. #dkpol https://t.co/T7mUfK20TU
24,['997158323148468224'],997158323148468224,@SorenPape Hvor frygteligt! Ønsker jer det bedste.
25,['996721340420894721'],996721340420894721,"RT @Kristianthdahl: Netop vendt hjem fra et af Sveriges ghetto-områder: Rosengård i Malmø, hvor størstedelen af beboerne er indvandrere. Ko…"
26,['996167802028544008'],996167802028544008,RT @Kristianthdahl: Har i dag været på besøg i no 10 Downing Street. Det er vigtigt for Danmark at fastholde de stærke bånd til vores venne…
27,['991574985071386624'],991574985071386624,"RT @Kristianthdahl: DR publicerer i følge Kristeligt Dagblad ny ordliste med ""problem-ord"". Et af ordene er ordet ""danskerne"" som vi åbenba…"
28,['991364704042921984'],991364704042921984,"@sorenpind Hej Søren. Ønsker dig alt godt! Du var en utrolig initiativrig justitsminister med principper og mandsmod. Stor respekt for dine resultater og for dig. 
Bh Peter"
29,['988728852968083458'],988728852968083458,"RT @Kristianthdahl: Integrationsministeren siger i Berlingske om loft over familiesammenføringer i Tyskland: ""kan man gøre det i Tyskland,…"
30,['986300555701170176'],986300555701170176,RT @MarleneHARPSOEE: .@DanskDf1995 har indkaldt til forespørgsel om mangel på varme hænder i ældreplejen. Et enigt folketing bakker op om a…
31,['976855187120906240'],976855187120906240,"RT @AndersVistisen: Et hegn er et hegn - og ethvert grænsehegn er velkomment! Men det er da underligt, at flere i folketinget vil ser vilds…"
32,['976789226271502337'],976789226271502337,RT @Kristianthdahl: En sejr for ytringsfriheden! #dkpol https://t.co/ani4S5vT7V
