,edit_history_tweet_ids,id,text
0,['1328244164123910144'],1328244164123910144,RT @ALangballe: For 2 år siden slog mit liv en kolbøtte. Nu er jeg begyndte i et nyt og for mig endnu mere meningsfyldt job. I dag lancerer…
1,['1328032173685870597'],1328032173685870597,"RT @LiseBech: Sygt at Hjørrings socialdemokratiske borgmester, prøver at tørre minkskandalen af på @DanskDf1995 🤢 Latterligt 😂 #dkpol #dkme…"
2,['1328032113346686977'],1328032113346686977,RT @espersendf: Ha ha ha ...! Prøv lige at se og høre på det her fjog...!!😄😄 https://t.co/x9YLpRSwLn
3,['1327935511382679554'],1327935511382679554,Bare til at grine af. Hvis det altså ikke var så sørgeligt for minkejerne....😥latterlig borgmester😂#dkpol https://t.co/xLWwpUcY1h
4,['1327934672010088448'],1327934672010088448,"RT @flydtkjaer: Haha det er god søndags underholdning det her 😂 går ud fra der henvises til bl.a. mit spørgsmål til ministeren, så det hele…"
5,['1327934509082349568'],1327934509082349568,RT @Hans_Kr_Skibby: Torben Glassau Jensen har jeg kendt igennem flere år. Rystende at høre om hans besøg af Hæren og hvordan han fik Rigspo…
6,['1327531795357831169'],1327531795357831169,Totalt knald i låget....væk med hende👎#dkpol https://t.co/Y1DYxnc5v7
7,['1327307562669264896'],1327307562669264896,"Nu stikker det da helt af for Statsministeren! Magtarrogance der vil noget!Der er så mange mennesker, der får deres tilværelse slået i stykker. Mette,hvad med at vise forståelse for de mennesker, du repræsenterer ?
#dkpol https://t.co/Ertcwax1GB"
8,['1327302980132069377'],1327302980132069377,"Nu stikker det da helt af for Statsministeren.... godt nok langt væk fra den befolkning, hun repræsenterer.    Magtarrogance der vil noget! Stop nu Mette, der er SÅ mange mennesker, hvis tilværelse ,du har ødelagt. Vis bare en smule forståelse.🙏#dkpol https://t.co/Ertcwax1GB"
9,['1327201164614635522'],1327201164614635522,Jul På Borgen nr 7 er udkommet🎅🏻🤶🏻Kan købes hos boghandleren  til kr. 149.95 og i Foketingets servicecenter til kr . 118. Al overskud går til Hus Forbi.🙏 #dkpol https://t.co/DIJBXEFvMD
10,['1327183476139954177'],1327183476139954177,RT @DanskDf1995: Stort TILLYKKE med de 40 år @MrMesserschmidt 🇩🇰🇩🇰🇩🇰🇩🇰 Tak for din kamp for Dansk Folkeparti og for Danmark #dkpol https://…
11,['1326927610849398784'],1326927610849398784,"Fantastisk Statsministeren stiller sig til rådighed!! I to “bløde” programmer! Håber den samme velvillighed vil være til stede, når der kommer en undersøgelse af forløbet. Synes næsten dette er en fornærmelse overfor minkavlerne #dkpol https://t.co/qf23rOOmyH"
12,['1326921238724431873'],1326921238724431873,Måske begge dele..... https://t.co/ZYVfF24FCy
13,['1326897054073950208'],1326897054073950208,"RT @DanskDf1995: NEJ, siger vi i DF til at give dansk statsborgerskab til de godt 2.000 mennesker, som et stort flertal i Folketinget vil g…"
14,['1326780264060768256'],1326780264060768256,"Og så er det selvfølgelig sangen “Danmark” der røg ud og sangen “Ramadan”, der røg ind. #dkpol https://t.co/1SV1RmoTkr"
15,['1326773565849546752'],1326773565849546752,Mon ikke Jørgen Carlsen og resten af sangudvalget har haft deres tid til at vælge sange til Højskolesangbogen? Nye folk må til. Ud med Shu-bi-dua og ind med Outlandish er valget fra det letbenede udvalg. Dumt af dem. #dkpol  https://t.co/7W0fqjhDdH
16,['1326601050376298496'],1326601050376298496,"DF arbejder vedholdende med miljøministeren, for at få hende til at forstå, ulve ikke hører til i Danmark. #dkpol @tv2newsdk https://t.co/oKafB9FxBn"
17,['1326565935096926209'],1326565935096926209,"Og her har vi så en person, der forsøger at efterligne  Rasmus Paludan. Det lykkes meget godt. Hvor er det dybt forkasteligt og modbydeligt. Han er en person, der overhovedet ikke hører til i Danmark.#dkpol  https://t.co/KwSbYV8rHa"
18,['1326221521019342848'],1326221521019342848,"RT @MartinCEPOS: Hov, et hul i loven"
19,['1326087793555238913'],1326087793555238913,Skandale!! Og så beder man om forståelse ! Tilgivelse! Må jeg bede om mine himmelblå! Farvel minister. 👎Jeg håber inderligt oppositionen kan stå sammen om dette og forlange en undersøgelse. Kan støttepartierne acceptere dette?#dkpol https://t.co/pZBX0qggui
20,['1325781486923083776'],1325781486923083776,"RT @Aliaminali_C: Helt ærligt. #BærDannebrogstolt 

Jeg træt af Dannebrog bashing! I morgen dukker jeg op med et flag på min trøje, når jeg…"
21,['1325779876935311361'],1325779876935311361,#dkpol https://t.co/bEoUQrqgCD
22,['1325779575775834112'],1325779575775834112,"RT @Pia_Kjaersgaard: Så trist. 😥En iderig dejlig musiker er gået bort .Alle de skønne, sjove tekster og gode melodier. 🎼Vi kan dem udenad o…"
23,['1325779501465341958'],1325779501465341958,"Så trist. 😥En iderig dejlig musiker er gået bort .Alle de skønne, sjove tekster og gode melodier. 🎼Vi kan dem udenad og lige nu, er de i vores hoveder. Et godt bidrag til os alle . Tak. Ære være hans minde. # https://t.co/QFhLx3IpqD"
24,['1325718561386606592'],1325718561386606592,Tror vi kan forvente os en hel del af denne kvinde. På den gode måde 🇺🇸🇱🇷🇩🇰#dkpl https://t.co/LfkRgX4r1G
25,['1325530867981234176'],1325530867981234176,Det gør altså ondt helt ind i hjertet...💔 https://t.co/RVRlYbZUNm
26,['1325506234053746692'],1325506234053746692,"Det berører dybt,når folk,der har tilknytning til minkbranchen,taler om deres forfærdelige situation på TV. Rystede,chokerede,vrede over den socialdemokratiske regerings massakre på et helt erhverv. De skal have opbakning,der kan mærkes fra en samlet opposition #dkpol #COVID19"
27,['1325465838166609927'],1325465838166609927,"RT @johslangkilde: @JohnwintherJohn @DR1TV Claus Hjorth, @mattiastesfaye og @Pia_Kjaersgaard - vi skal tale om frygt i alle afskygninger. O…"
28,['1325123570133954561'],1325123570133954561,"Så er det vist ikke for tidligt at sige tillykke til den næste Præsident i USA Joe Biden🇩🇰🇺🇸. Uanset hvem der er præsident i USA, vil USA altid være vores nærmeste allierede. Vi fik ikke besøg i Danmark af Donald Trump, måske vil det lykkes med Joe Biden. 🇺🇸🇩🇰#dkpol"
29,['1324983846417428480'],1324983846417428480,RT @espersendf: Elendig sang - og i øvrigt gider jeg ikke Højskolesangbogen mere efter denne Ramadan-skandale så egentlig kan jeg være lige…
30,['1324820858926436357'],1324820858926436357,Forstår så godt Frank Andersen. Virkelig hårdt i en ekstrem hård situation at blive misbrugt af Statsministerens spinmaskine. #dkpol https://t.co/IJ2cpAicHU
31,['1324780922881871874'],1324780922881871874,RT @espersendf: Mette F kritiseres for at slå plat på nordjysk coronanedlukning https://t.co/d2pHl7bd7m via @Ditoverblik.dk
32,['1324715559850778624'],1324715559850778624,"RT @skaarup_df: “Like eller del”, skriver Mette Frederiksen mens hendes regering er ved ødelægge hele livsværk og lukke en hel landsdel ned…"
33,['1324714910165716992'],1324714910165716992,Østrig lukker radikale moskeer! Terrorreder. Vi må gøre det samme i Danmark. #dkpol https://t.co/ipqHV8OXef
34,['1324702772604866560'],1324702772604866560,"RT @MrMesserschmidt: Ingen skal vandalisere vor allesammens historie. Jeg har derfor politianmeldt denne episode og håber, man kan finde ge…"
35,['1324663536593764354'],1324663536593764354,"“Fordi det er en god sang “. Vorherrebevares! Ren provokation fra formand fra sangbogudvalget Jørgen Carlsen og udvalget. Nu er man så “islamofob”, fordi man værdsætter den danske sangskat. Og ikke fedter for Isam B. #dkpol
https://t.co/86ESYNwIeM"
36,['1324661742421630988'],1324661742421630988,Bare helt enormt uden fornemmelse for situationen og plat. #dkpol https://t.co/BPVtMt2AiS
37,['1324617034697682946'],1324617034697682946,RT @_MaiMercado: SoMe-medarbejderen på Mette Frederiksens FB og insta er da gået all in her til aften. Hjælp Nordjylland ved at like Mette…
38,['1324616898345132033'],1324616898345132033,"RT @rulgw: Nå, så var der vist nogle SoMe-typer i @Spolitik der skulle se at komme igang med at undskylde. Ellers ender jeres chef med at l…"
39,['1324074471385432065'],1324074471385432065,RT @LiseBech: En trist dag. 😢
40,['1324029251331461122'],1324029251331461122,"RT @DanskDf1995: Det er en drastisk beslutning at aflive alle mink i Danmark. Vi ønsker, at minkavlerne får fuld kompensation #dkpol https:…"
41,['1323678216524079107'],1323678216524079107,Alle gode ønsker om snarlig bedring 🙏 https://t.co/uRr04wgM2t
42,['1323677418930974721'],1323677418930974721,RT @BroennumKom: Jeg glæder mig til at se @HLandsholdet knæle et minut for ofrene i Frankrig og Østrig.
43,['1323589781553557504'],1323589781553557504,"RT @DanskDf1995: Vanvidsbilisten, som i sidste uge kørte en 5-årig pige ihjel, kan muligvis slippe med en straf på et par år. ”Skandaløst,”…"
44,['1323567325631696902'],1323567325631696902,RT @Joedisksamfund: Her til morgen går vores tanker til alle borgere i Wien og til det jødiske samfund i Østrig efter et fejt terrorangreb.…
45,['1323567255700021248'],1323567255700021248,"RT @DanskDf1995: Skønt at Phillip Faber og Anne Karine Prip hædres med N.F.S. Grundtvigs Pris 2020 for ’Morgensang på DR.’ Det er vigtigt,…"
46,['1323371283183226880'],1323371283183226880,RT @MrMesserschmidt: Hvem har dog lukket disse mennesker ind i vores del af verden? Hvem bærer ansvaret? Historien vil ikke dømme dem let..…
47,['1323364168490225669'],1323364168490225669,Naturligvis. Og så lige dagen før regeringen skulle i onsdagsspørgetiden med spørgsmål om sagen. Men godt så. Socialdemokratiet gik for langt. #dkpol  https://t.co/Y7EeQ43OoN
48,['1323340702395387909'],1323340702395387909,"Ærgerligt! Men det er altid godt at have godkendelse på ophavsret . Vi kan alle tage fejl og fare for hurtigt frem... det er jo Charlie Hebdo, der har droppet.. videre nu. Kampen for ytringsfrihed er det vigtigste... #dkpol https://t.co/8zDcSNjlT7"
49,['1323240740621877254'],1323240740621877254,Lad retfærdigheden ske fyldest. Jo før jo bedre #dkpol  https://t.co/NBpth1ZuWh
50,['1322929051888242688'],1322929051888242688,Respekt for det. Lad flere følge efter .#dkpol @tv2newsdk https://t.co/aTU8hbk4Bt
51,['1322893427969851394'],1322893427969851394,@tv2newsdk https://t.co/AA1pMwYy1K
52,['1322892655815262209'],1322892655815262209,"Det kommer ikke til at ske for de danske kvinder. De har valgt at kæmpe for hellig krig sammen med deres Jihad mand. Risikoen vil også være, at deres IS mænd kan følge efter. Forkert beslutning af Sverige #dkpol https://t.co/vDyIfynZR6"
53,['1322563325876670464'],1322563325876670464,"Den bedste nogensinde. De øvrige 007 James Bonds var også fremragende, men ingen som ham. SÅ mange gode oplevelser har Sean Connery givet os gennem årene. Tak. ære være hans minde. #dkpol https://t.co/RYUQ7sOyh1"
54,['1322493125387014144'],1322493125387014144,Christ !!!! 🙄dkpol https://t.co/yEfnfggHm6
55,['1322492959615524864'],1322492959615524864,RT @JensRingberg: Herligt oprør fra journalisterne på dagens coronapressemøde - alle stiller mindst tre spørgsmål. En begmand til det irrit…
56,['1322492820540788736'],1322492820540788736,RT @Hans_Kr_Skibby: Hallo regering!  ... Hvorfor må man ikke få udbetalt sine egne feriepenge ? https://t.co/R1DRmsnHoR   #dkpol  #feriepen…
57,['1322198861067264001'],1322198861067264001,"RT @DanskDf1995: Bundfradraget på 60.000 kroner for indtægter på sommerhusudlejning bør fortsætte næste år, hvor coronaen også vil påvirke…"
58,['1322198848043929600'],1322198848043929600,"RT @flydtkjaer: Flere sommerhuse til udlejning medfører flere turister, hvilket giver mere omsætning i lokale butikker og derved flere arbe…"
59,['1321965134286344194'],1321965134286344194,"RT @JMchangama: Fine ord fra Statsministeren. Men er der lige en vaks journalist, der spørger om hun så også fortryder at @Spolitik som ene…"
60,['1321786473595678720'],1321786473595678720,Føj for S....🤬#dkpol https://t.co/HqEnQgYI0q
61,['1321735851597090816'],1321735851597090816,"Dette er latterligt! Formynderi! Det må folk da selv bestemme! Når vi så endelig må spise kød i offentlige kantiner, er det vel halalslagtet? Jeg elsker bacon! Frit valg tak.#dkpol https://t.co/mb5a2JQ6uQ"
62,['1321604928683593735'],1321604928683593735,"RT @tv2newsdk: Politiet efterlyser denne mand efter dødsulykke, der kostede fem-årig pige livet https://t.co/oSZsDVfKdk https://t.co/PQcoQy…"
63,['1321507626983788546'],1321507626983788546,RT @MrMesserschmidt: Vi skal stå skulder ved skulder med Frankrig. Det handler om frihed og demokrati 🇩🇰🇫🇷 https://t.co/5VBvB7rCxg
64,['1321507593286766593'],1321507593286766593,"RT @espersendf: Fint, Søren..! Kunne du ikke lige forklare Jan E. Jørgensen @JanEJoergensen det; jeg tror altså ikke helt, at han har forst…"
65,['1321486223605747713'],1321486223605747713,Virkelig skarpe folk...🙄#dkpol https://t.co/Y4zONG8EnG
66,['1321339951838121989'],1321339951838121989,RT @espersendf: https://t.co/klb82GCqGb
67,['1321339760326156289'],1321339760326156289,RT @espersendf: https://t.co/j5SKNkt714
68,['1321339651144224768'],1321339651144224768,RT @espersendf: https://t.co/3BO8g2nAtt
69,['1320383380794544129'],1320383380794544129,De mennesker er da bindegale!! Det gælder om at stå sammen med Frankrig nu. #dkpol https://t.co/v22v06dl8n
70,['1320360535242739713'],1320360535242739713,RT @DanskDf1995: Coronakrisen har sat dybe spor i erhvervslivet. Der er mange danske arbejdspladser på spil. Dansk Folkeparti møder op til…
71,['1319490340383002624'],1319490340383002624,"RT @JMchangama: 3/ Showing religiously offensive cartoons in class should not be done to offend or stigmatize Muslim children, but to teach…"
72,['1319490299924779009'],1319490299924779009,"RT @JMchangama: 1/ Less than a week after the brutal murder of #SamuelPaty,  The chairman of the association of Danish school principals sa…"
73,['1319490270031904768'],1319490270031904768,"RT @JMchangama: 2/ In an open and democratic society, religious dogma should not be allowed to trump difficult but important discussions es…"
74,['1319285915064254464'],1319285915064254464,RT @tv2newsdk: Medier: Said Mansour dømt til døden i Marokko https://t.co/MT7cV5h0KB https://t.co/5sjfTr8RDC
75,['1319217039500857347'],1319217039500857347,"RT @FynsPoliti: I dag havde vi en ""klump"" meget nuttede og meget sorte hundehvalpe på besøg 🐶🐶🐶🐶 Velkommen til Walther,  Lunde, Buller og C…"
76,['1318848914179633152'],1318848914179633152,"RT @DanskDf1995: Norden rykker tættere på hinanden militært, fortæller @espersendf. Dansk Folkeparti foreslår derfor, at vi igen kigger på…"
77,['1318593692081508353'],1318593692081508353,Eller sommerrevyerne... hvis de spiller #dkpol https://t.co/tzO7bKPCdG
78,['1318593392645951492'],1318593392645951492,"RT @hansersej: Det blir eddermame nogle vilde årskavalkader, TV 2 og DR skal bakse sammen her om lidt #2020"
79,['1318438169021419521'],1318438169021419521,Det er fandme uhyggeligt du....det bør være obligatorisk undervisning i folkeskolen at fortælle om Muhammed tegningerne. Det er historie....#dkpol https://t.co/2Hdmg5T7Yx
80,['1318101744505835521'],1318101744505835521,Og det burde Socialdemokratiet have gjort for mange år siden. Hvad gør I nu. Ud over at tage afstand ? Og sætte fokus? #dkpol https://t.co/rT3V7PX50z
81,['1318078890376454144'],1318078890376454144,Helt enig i Eva Selsings indlæg i Berlingske i dag. Man taler ikke om hadkulturen fra mange muslimske mænd fra metoo segmentet.#dkpol https://t.co/ZXHm2LR4OR
82,['1318067584575676416'],1318067584575676416,Fortjent . Gode skuespillere og en fantastisk instruktør👏#dkpol https://t.co/teOVh3Ee50
83,['1317744060447313921'],1317744060447313921,"Når jeg opfordrer de mange kvinder til at sige tydeligt fra over for mændenes overskridende tilnærmelser, er responsen, at det skulle være herskertekniske øvelser, som er med til at holde andre kvinder nede. Gab, jeg bliver så træt #dkpol https://t.co/V9Z0QMlxbN"
84,['1317440673423949824'],1317440673423949824,Ja! Og hvad med den danske folkeskole? Fortæller lærerne om Muhammed krisen? Om satiretegningerne? Eller springer man over? Vi må aldrig blive feje og ligge under for terror. #dkpol https://t.co/cPr0EqHlEJ
85,['1316672658596081664'],1316672658596081664,Her 14 år. Men med hund❣️🐶#dkpol
86,['1316672148518449152'],1316672148518449152,RT @Pia_Kjaersgaard: Hjertelig tillykke til prins Christian med fødselsdagen🇩🇰🇩🇰🇩🇰 https://t.co/F303GtWbkl
87,['1316671874982707200'],1316671874982707200,Hjertelig tillykke til prins Christian med fødselsdagen🇩🇰🇩🇰🇩🇰 https://t.co/F303GtWbkl
88,['1316405706917113866'],1316405706917113866,"Og hvordan vil man kontrollere det?uanmeldt kontrolbesøg? Tillid er godt , men kontrol bedre. Eller hvad? Bare for dumt. #dkpol https://t.co/7SPtTyduWv"
89,['1316005772921167873'],1316005772921167873,"RT @espersendf: Godt kæmpet, Julie! Dannebrog skal nok en dag komme op...!! 🇩🇰🇩🇰🇩🇰"
90,['1315583167886131200'],1315583167886131200,Desværre ikke lige den opfattelse jeg har af Nørrebro ....🤨#dkpol https://t.co/ESSFIILNFV
91,['1315531951651119104'],1315531951651119104,RT @espersendf: Nu tager BLACK LIVES MATTER fat på Admiral Nelson. Hans fejl for et par hundred år siden var at han erklærede sig for tilhæ…
92,['1315277688395968513'],1315277688395968513,"RT @BertelsenMikael: Muldvarpen vises i aften på DR1

https://t.co/AV9yGrum0o"
93,['1314925105286451201'],1314925105286451201,"RT @Hans_Kr_Skibby: DF-ordfører kritiserer minister: Unødvendigt at aflive 1,5 millioner mink https://t.co/77Vd6vfp1f via @Ditoverblik.dk…"
94,['1313725663627620352'],1313725663627620352,Samråd i dag kl. 13 i miljø og fødevareudvalget om ulve. Vi skal ikke have ulve i Danmark. #dkpol
95,['1313106609577644033'],1313106609577644033,Tillykke med den🇩🇰en fornem pris fra Altinget. Jeg har selv også fået den to gange. Vil lægge mig i selen for at få den 3. gang. 💪#dkpol https://t.co/scEa5X2I9A
96,['1312678300247109633'],1312678300247109633,"Hvorfor ikke tage mobilen,når de kommer? Og ekstra 20.000?De får allerede 20.000 til midlertidig indkvartering. Og selvfølgelig er det ikke frivilligt,de skal underskrive en hjemrejsekontrakt.for slapt Tesfaye. #dkpol https://t.co/9ptLJOSwBV"
97,['1311819161795022848'],1311819161795022848,RT @espersendf: Ministre blæste på coronaregler i teater: Fjernede afspærringer to gange https://t.co/WEHl5voxOL
