,edit_history_tweet_ids,id,text
0,['1345055604788879360'],1345055604788879360,"“Det er ikke så ringe endda”, siger STM om vores fælles klimaresultater for 2020. Som jyde vil jeg dog ikke svinge mig så højt op. Vi har plukket de lavthængende frugter, ja, men har måttet presse regeringen til hvert eneste resultat. I det nye år skal vi for alvor levere! #dkpol"
1,['1345053203902189568'],1345053203902189568,"Nej, vi er ikke “alle i samme båd”, som STM siger. Selv i velfærds-DK rammer kriser skævt. Som FN’s generalsekretær sagde; Vi sejler måske på samme hav, men corona-krisen har tydeliggjort, at mens nogen klamrer sig til drivtømmer, sejler andre rundt i store yatchs. #dkpol"
2,['1344694068463493120'],1344694068463493120,"Flot nytårstale fra dronningen, som både nævnte naturen, klimaet, arbejdsløse, sårbare ældre og de ansatte i velfærden. I 2021 bør det være en bunden opgave at skabe bedre vilkår for alle dem, der står i forreste linje i velfærden. ❤️ Pæne ord og tak gør det ikke alene. #dkpol"
3,['1344691627546333185'],1344691627546333185,"Vigtigt og velfortjent, at dronningen nævner alle dem, der står forrest i kampen mod corona. Men tak er ikke nok. I Enhedslisten vil vi knokle for, at 2021 også vil byde på mere i lønposen, flere kolleger og bedre arbejdsvilkår. #dkpol"
4,['1341636080068677633'],1341636080068677633,RT @pederhvelplund: Hvis du som 17-årig har stjålet en knallert kan du nu risikere du aldrig kan få dansk pas og stemme til et folketingsva…
5,['1340643716424413184'],1340643716424413184,"Så kom regeringens klimahandleplan endelig. Den er desværre en total kapituleren til hockeystavsstrategien. De foreslår et delmål for 2025 på 46-50%, hvilket betyder, at regeringen næsten ikke behøver at handle mere indtil da. Helt uacceptabelt! #dkpol. https://t.co/RzjHMjoyKF"
6,['1340000179966111752'],1340000179966111752,"RT @PSkipperEL: Aftale om ny epidemilov på plads. Med demokratisk kontrol, maximal udstrækning af indgreb på 4 uger, ingen tvangsvacciner o…"
7,['1339625119132635140'],1339625119132635140,"Vi skal have smidt hockeystaven i skraldespanden, og finde flere CO2-reduktioner nu! Også på de områder vi netop har forhandlet. Regeringens udspil til delmål for 2025 er nemlig ALT for lavt! Vi skal som minimum have reduceret med 50% i 2025. #dkpol https://t.co/OYrDBRorGO"
8,['1339326652212449281'],1339326652212449281,RT @pederhvelplund: Virkelig alvorlig situation vi står i. Helt afgørende at vi holder fast og bakker hinanden op. Afgørende at vi bevarer…
9,['1339326607132160002'],1339326607132160002,"RT @MVentegodt: Rigtig positivt, at ofre for kønsrelateret vold fremover bliver mødt af særlig enhed i alle politikredse! #ligestilling #dk…"
10,['1338192695727099907'],1338192695727099907,@jmapagani @PSkipperEL Velkommen til!!!! 🤗❤️💚
11,['1337327697538801666'],1337327697538801666,👇🥵 https://t.co/BkdArmvbp8
12,['1337154053957169156'],1337154053957169156,Den “grønne” skattereform giver øget fradrag til virksomheder for køb af på diesel-lastbiler. Håbløst. Aftalen er en tilbagegang for den grønne omstilling - og samtidig en milliardstor skattegave til virksomhederne. #dkpol https://t.co/9Z8yzgObfy
13,['1336418947130855433'],1336418947130855433,"Det er kejserens nye klæder - og aftalen har intet på. Det er nærmest hjerteskærende. 💔 Man holder nu det vigtigste klima-værktøjer ud i strakt arm, og har ikke engang villet aftale hvornår den præcis indføres, hvor høj den ca. bør være, eller hvor mange reduktioner den bør give https://t.co/798hPtGEQG"
14,['1336354152398643201'],1336354152398643201,"@asbjornlindso @signe_munk @FrederikSandby @SFpolitik Aftalen er på flere områder blevet værre end regeringens meget sølle udgangspunkt. Værre!? Jeg ville ønske at i, ligesom i gjorde i sommers, havde insisteret på en reel løsning - ikke et hjørnespark. Tror ikke S havde turdet uden jer og SF."
15,['1336353255224446978'],1336353255224446978,"@signe_munk @FrederikSandby @SFpolitik Der er ingen som foreslår at gennemføre en skattereform i morgen - og nej, modellen er der ikke, slet ikke på landbrug. Men det er jo en totalt gratis omgang det her. I har puttet ansvaret over på en ekspertgruppe, uden nogle politiske forpligtelser på, hvad det skal ende med."
16,['1336351001473929219'],1336351001473929219,"@signe_munk @FrederikSandby @SFpolitik Det troede jeg reelt vi gjorde i sommers med klimaaftalen. Hvis vi sammen med R, V og K havde insisteret nu, havde vi kunnet aftale mål for både afgiftsniveau- og CO2-reduktion. Og krævet modeller. Vi har ikke tid til at vente på en ekspertgrp, ingen er forpligtede til at følge."
17,['1336346738106503170'],1336346738106503170,"Den “grønne” skattereform skyder beslutningen om ensartet CO2-afgift. Men ikke nok med det, energiafgiften i fase 1 bliver indfaset LANGSOMMERE end regeringens oprindelige forslag for landbrug og gartnerier. Denne aftale giver færre CO2-reduktioner over årene. Suk #dkpol"
18,['1336341430441152513'],1336341430441152513,"@rubenkidde Vi gik ikke med fordi det 1) er en syltekrukke i har nedsat - som risikerer helt at fritage denne regering fra at skulle forholde sig til en CO2-afgift. 2) Ikke er grønne modkrav på lettelserne. Jeg synes i og SF skulle have stået fast sammen med os, så var dette nok ikke sket."
19,['1336339302893010944'],1336339302893010944,"I juni var et bredt flertal enige om, at der skulle fremlægges modeller for en ensartet CO2-afgift i år. Med dagens såkaldte grønne skattereform får vi allertidligst beslutning om en CO2-afgift i 2023. Alt for sent! Hvorfor stod et flertal ikke fast? #dkpol #dkpol"
20,['1336286277478600707'],1336286277478600707,"Enhedslisten ikke med i “grøn” skattereform. Flertallet har accepteret regeringens hockeystav, og sylter beslutningen om en CO2-afgift i årevis - uden garanti for, at den kommer. Til gengæld er der massive skatterabatter, også til sorte virksomheder. Kæmpe klimasvigt! #dkpol"
21,['1335901230976135169'],1335901230976135169,"RT @PSkipperEL: Til alle der går op i økonomisk politik. Tre små og vigtige ting på finansloven:
- gennemgang af finansministeriets regnemo…"
22,['1335665117640478724'],1335665117640478724,"Med finansloven laver vi ikke bare grøn omstilling i Danmark - vi sætter også midler af til klimabistand til verdens fattigste. Vigtigt, for selv om vi allerede herhjemme ser de første konsekvenser af klimaforandringerne, er det dem der bliver ramt først og hårdest. #dkpol"
23,['1335192160505880578'],1335192160505880578,"Stolt over de store løft af velfærden, vi nu laver med finansloven! Flere hænder i ældreplejen, fremrykning af minimumsnormeringer, investeringer i ungdomsuddannelserne og løft af kulturen. Hvor er det bare godt! #dkpol  https://t.co/M5sxfGLEtn"
24,['1334907818726592512'],1334907818726592512,@ejrn_s @LeaWermelin @PiaOlsen @MetteGjerskov @zeniastampe SKÅL kære Rasmus! Og tak fordi du presser os til at gøre det rigtige. Spændende om du ender i biodiversitetsrådet 😉🤩
25,['1334898637768445953'],1334898637768445953,"I alt for mange år, har et flertal i dansk politik ignoreret de massive, globale klima-konsekvenser af biobrændstoffer i tanken. Nu får vi endelig lavet klimahegn (ILUC) om brændstofferne, og sagt stop til palmeolie og soya. Det er jeg virkelig glad for. #dkgreen #dkpol"
26,['1334895057669922817'],1334895057669922817,"Lettet over, at det lykkedes os at forhindre Venstres drømme om at tage fra velfærdspenge, der helst skal gå til bedre sygehuse og børnehaver, og bruge dem på lave afgifter til de allerstørste fossilbiler og megalastbiler. Nu er det både mere grønt og mere retfærdigt!💚 #dkpol"
27,['1334887383477710851'],1334887383477710851,"Små skridt i den rigtige retning med ny bilaftale, men slet ikke ambitiøst nok. Godt at flere får mulighed for elbil, og at de største og mest forurenende biler bliver dyrere. Men vi er ikke færdige med at finde CO2-reduktioner på transport #dkpol #dkgreen"
28,['1334797118863765504'],1334797118863765504,"@PSkipperEL @ida_ndergaard @PiaOlsen @zeniastampe @LeaWermelin Og tak til dig, fantastiske Ida! 💚🤩"
