,edit_history_tweet_ids,id,text
0,['1565976637723873287'],1565976637723873287,"RT @jakobnielsen: Helt bizar og fascinerende historie om tre ministre, der tilfældigvis alle holder ferie i Den Dominikanske Republik og gå…"
1,['1565953777164853248'],1565953777164853248,RT @dadgostarnooshi: Äntligen! Nu förstår regeringen att det är prissättningen på el som är problemet. Vi har sagt det länge utan att reger…
2,['1565824662436777984'],1565824662436777984,"RT @JonasBengtson: Jeg kan forstå, at flere er efter @LisbethBNielsen for at ville gå supermarkedskædernes prissætning i sømmene og for at…"
3,['1565818791543586817'],1565818791543586817,"@AlexVanopslagh @torstenfroling Men hvem er kampagnen henvendt til. Hvem er det, der ikke skal “lade andre klare problemerne”. Når man kender jeres politik ifht mennesker ramt af arbejdsløshed, er det svært ikke at tænke at det er dem du mener."
4,['1565573361203400704'],1565573361203400704,Tak @uffeelbaek. Håber det sker💚 https://t.co/91aW0n9LBq
5,['1565445516196028421'],1565445516196028421,@JBitzow Aben er ret nem at placere. Den ligger hos de partier der vedtog reformen af førtidspension og flexjob. Mette F var ansvarlig minister. Højrefløjen var med. Enhedslisten stemte imod og advarede om præcis de konsekvenser vi ser nu.
6,['1565442232756441089'],1565442232756441089,@FlemmingAfc71 Jeg håber du ved at Enhedslisten har kæmpet mod de forhold i årtier?
7,['1565442010131189760'],1565442010131189760,"@torstenfroling @AlexVanopslagh Jeg har er fint forhold til og stor respekt for Alex. Men jeg er uenig i LAs politik, og jeg er bange for at kampagnen puster til præcis den mistillid til fx mennesker ramt er arbejdsløshed som er årsagen til de reformer der plager mennesker i jobcentrene."
8,['1565438309848989700'],1565438309848989700,@SuperBonaFide @MaiVilladsen @Enhedslisten Det har været en mærkesag i mange år for Enhedslisten. Faktisk helt tilbage fra dengang de ulykkelige reformer blev vedtaget. (I øvrigt med Mette Frederiksen som beskæftigelsesminister)
9,['1565437969086963712'],1565437969086963712,"@tito70930 @AlexVanopslagh Jeg tror desværre at mange tager kampagnen ned på samme måde som mig. Hvem er det Alex taler om, som skal “tage ansvar” og ikke “vente på at andre løser deres problemer”, hvis det ikke netop fx er mennesker ramt af arbejdsløshed."
10,['1565437584070692864'],1565437584070692864,"@torstenfroling @AlexVanopslagh Prøv at spørge nogle af de mennesker der er ramt af sygdom og arbejdsløshed og som er jaget vildt, hvordan de opfatter LAs kampagne. 
Hvem tror du det er Alex taler om, der “ikke skal vente på at andre kommer og løser det for dem”. Det er ikke fx arbejdsløse?"
11,['1565434220427747337'],1565434220427747337,Jeg håber særligt at @AlexVanopslagh ser udsendelserne. Jeg synes de er et stærkt modbillede til LAs “du kan godt”kampagne. De der skildres kunne godt. Men de blev ramt uforskyldt af sygdom og arbejdskader. Og nu kan de ikke mere. De kan ikke bare “tage ansvaret på sig”.
