,edit_history_tweet_ids,id,text
0,['1527290980570910720'],1527290980570910720,"@jakobnielsen OG det mener vi jo stadig. Og det fremhævede Pape jo i dag. Derfor ønsker vi FT involveret i, at udvikle et setup der gør, at vi ikke vil stå i dette dilemma fremadrettet."
1,['1527223723589259264'],1527223723589259264,"@BjBrandenborg Havde det være motivationen, havde vi da bare meldt ud i sidste uge. Havde været den nenne løsning. Vi valgte den besværlige, nemlig at tage os tid til at diskutere alle dilemmaerne i sagen. Ærgerligt I slet ikke anerkender grundlovens paragraffer."
2,['1527223381803864064'],1527223381803864064,RT @_MaiMercado: @KonservativeDK stemmer ikke for ophævelse af Claus Hjorts immunitet fordi der er et dilemma indbygget i sagen. Dilemma me…
3,['1527212438667595776'],1527212438667595776,"@PiaOlsen @RasmusJarlov Vi har ikke grund til at tro nej, at det er tilfældet. Vi har en meget grundlæggende tillid til vores retssystem. Men vi står i et dilemma, ift grundlovens bestemmelser, der er som de er. Må vi have set på fremadrettet."
4,['1527211844305399808'],1527211844305399808,RT @RasmusJarlov: Jeg synes alle fornuftige mennesker bør kunne forstå både problemet i at gå imod Rigsadvokatens anbefaling og problemet i…
5,['1527211136877207552'],1527211136877207552,@RStoklund Enig. Er vi nemlig ikke. Har du heller ikke hørt NOGEN konservative påstå. Overhovedet. Men vi har en udfordring ift grundlovens bestemmelser om immunitet. Det anerkender du slet ikke?
6,['1527210865644150785'],1527210865644150785,"@RStoklund Hvor er det sørgerligt og trist for vores demokrati, at du forsimpler denne sag med SÅ mange dilemmaer. Og ikke tør tale om de nuancer. Hurtigt du blev klassisk s-politisk ordfører."
7,['1527210015995703296'],1527210015995703296,"@AndersBksgaard Vi har tillid til Rigsadvokaten og vores uafhængige domstole. Men vi har også en grundlovsbestemmelse, som er er der af en grund. Vi skal finde en måde at håndtere en sag som denne på fremover, som kan balancere disse hensyn. Der er intet “rigtigt” eller godt valg, her."
8,['1527208194732441600'],1527208194732441600,@tmoes11 @RasmusJarlov @konservative Ikke spor. Den viser jo absolut en stor del af dilemmaet.
9,['1527206247933612033'],1527206247933612033,"RT @RasmusJarlov: Hvis vi ophæver Claus Hjorts immunitet, karambolerer vi med vigtige principper. Hvis vi ikke gør med andre vigtige princi…"
10,['1527205758068305921'],1527205758068305921,@Aliaminali_C @konservative Er på vej med sms
11,['1527203458616541184'],1527203458616541184,"@jakobnielsen Sikke noget vås. Papes indstilling til ledelsen, var der opbakning til, og Papes (og ledelsens) indtilling til gruppen, var der total opbakning til. Hver og en bekræftede. Men Pape har haft blik for dilemmaerne i denne sag, modsat andre. Tjener ham alene til ære."
12,['1527201464187334656'],1527201464187334656,"…vi har virkelig brug for en debat om beskyttelsen af statshemmeligheder, så man ikke uden konsekvenser fremover potentielt kan afsløre den slags, uden afprøvning ved domstolene - og konsekvenser. Det er stærkt problematisk (2/2)"
13,['1527201052193435648'],1527201052193435648,"Hensynet til vigtige retsstatsprincipper og respekten for grundloven er uforenelige i Hjort-sagen. Der findes intet “rigtigt” eller “godt” valg, desværre. Vi @konservative ophæver ikke immunitet, men … 1/2. #dkpol"
14,['1527200151844048896'],1527200151844048896,"@KristianMadsen Enstemig opbakning. Hver og en bekræftede opbakningen. Også mig. Vi står sammen i den slags, og ja generelt :)"
15,['1527194546442235904'],1527194546442235904,"RT @PerLarsenC: Det ligner, at en sundhedsreform nærmer sig. For os er det afgørende, at vi sikrer danskerne den familielæge, som de bør ha…"
16,['1527021686805209096'],1527021686805209096,"@organdonationDK @radikale @stinuslindgreen @venstredk @AnneStergaa @sophieloehde @KonservativeDK @brittbager Så godt initiativ. Ked af af jeg ikke kunne klone mig selv i dag, og være flere steder på én gang. Vigtigt vi har debatten."
17,['1526879755433279488'],1526879755433279488,"@CSZT Helt, helt vildt! 💪🏽🥳☀️"
18,['1526866125866295296'],1526866125866295296,Stærk ny konservativ folketingskandidat. Velkommen på holdet! En særdeles stærk sundhedsstemme. #dkpol https://t.co/CuTzgzhEit
19,['1526830777866014720'],1526830777866014720,"@Denniskyhn @hansersej Ellers også er det udtryk for respekt for, at vi som folketingsgruppe skal drøfte dette nøje. Og at vi skal tænken os om. Hvad er det der haster?"
20,['1526631220628623364'],1526631220628623364,@Lisem_ller @jesbc @daviddlassen Max en time hver vej. Står i aftalen. Altså to timer dagligt.
21,['1526523384322048000'],1526523384322048000,"Fantastisk nyhed! Nu er der 50.000 underskrifter på borgerforslaget om at stoppe tvangsfordelingen af de unge på gymnasierne. Vigtigt med den folkelige modstand. Mon det får @radikale til at genoverveje opbakningen til aftalen? Husker reklamer om, hvor meget I lytter? 🙂 #dkpol"
22,['1526484964300185602'],1526484964300185602,"RT @PerLarsenC: Løftebrud har konsekvenser. Fx betyder regeringens løftebrud om sygeplejersker, at vi manglede 789 af dem i 2021 -  og kons…"
23,['1526281902637867008'],1526281902637867008,RT @Knud_brix: Tilbage i februar lavede EB en for skarp rubrik om @EsbenBjerre og @peterfalktoft - “I lommen på tobaksgigant”. Den rubrik f…
24,['1526146961929383936'],1526146961929383936,"RT @RasmusJarlov: ""Man kan ikke lave en omelet uden at smadre nogle æg"", sagde Mao engang. 

Trist at være de gymnasieelever, som bliver de…"
25,['1526121784701071361'],1526121784701071361,"RT @splilmoes: Da statsministeren lancerede behovet for en ny ældrelov, sagde hun, at det handlede om at sætte kommunerne fri og udvise til…"
26,['1526121713586475009'],1526121713586475009,@BayMads @David_Garby Yes. Mange har været formænd og medlem af FT samtidig. :) Dejligt med interesse for arbejdet :)
27,['1526119589863636992'],1526119589863636992,"@BayMads Henrik Thorup (der ønskede at gå af som formand), Klaus Frandsen, Frank Aaen, Mette, Leif Lahn og så Troels Lund"
28,['1526116309209075712'],1526116309209075712,Formand @klausfrandsen kommenterer på kollegiets vegne.
29,['1526115999816241153'],1526115999816241153,"Hos Statsrevisorerne drøfter vi i dag sagsbehandlingstiderne i byretterne. Det går desværre den forkerte vej, trods flere lovgivningsinitativer og merbevillinger. Vores kritik offentliggøres indenfor et par timer. #dkpol"
30,['1525913820929073152'],1525913820929073152,"RT @troelsj: Stærkt, at @MrMesserschmidt trækker stikket på den dårligste aftale, der er lavet på borgen i årevis. Nu mangler vi bare, at d…"
31,['1525909408978436096'],1525909408978436096,"Fantastisk at Dansk Folkeparti forlader aftale om tvangsfordeling af gymnasieelever! Desværre bakker @radikale jo stadig op om modellen, deres små krav til justeringer rykker intet. Men blåt flertal efter valget vil nu kunne stoppe aftalen 💪🏽💪🏽💪🏽 #dkpol"
32,['1525275390478106631'],1525275390478106631,RT @BrianAMikkelsen: Danmark skal være grønnere og rigere. Tusind tak til @JakobEllemann og @SorenPape for et rigtig godt forslag til en gr…
33,['1525271514416918528'],1525271514416918528,"@annettejuhlers @konservative Det bliver rigtig godt, velkommen på holdet 💪🏽"
34,['1525106997980454915'],1525106997980454915,"@AlexVanopslagh @MadsBroberg @sofiecn Og FT vil aldrig skulle stemme om et skyldsspørgsmål, men ville skulle stemme op, hvorvidt man vil lade en uafhængig domstol vurdere skyldsspørgsmålet."
35,['1525095018197053442'],1525095018197053442,"Jeg har nu opfordret ministeren til at sende forslaget i ny høring, hvis kravene fra @radikale imødekommes, så vi kan få belyst, præcis hvor lidt @radikales lappeløsninger løser #dkpol"
36,['1525094688155389959'],1525094688155389959,"Desværre, @radikales krav til tvangsfordelingsaftalen ændrer ingenting. Unge vil fortsat blive tvangsfordelt på baggrund af forældreindkomst. Hvis @radikale vil værne om det frie valg, bør de forlade aftalen omgående. (1/2)"
37,['1525094225100034048'],1525094225100034048,"@martincollignon @Enhedslisten Du tror simpelthen ikke folk ved, at det er bedre for klimaet at gå end tage bilen :)"
38,['1525086855582171137'],1525086855582171137,"@AlexVanopslagh @MadsBroberg @sofiecn Det skrev jeg sådan set ikke, @AlexVanopslagh. Ikke et ord om immunitet i mit tweet. Men udgangspunktet bør være tillid, så må mødet i JM vise, om der er anledning til andet."
39,['1525086378379337729'],1525086378379337729,"God weekend til @Enhedslisten, kan forstå I drøfter store beslutninger. Håber det vil afspejle sig i indholdet i jeres beslutningsforslag. Næste uge i ft-salen: EL forslag om at bilreklamer fremover SKAL indeholde opfordring til at gå/cykle ture under 8 km. Jamen altså..😳#dkpol https://t.co/i4IzoqKPu0"
40,['1524816724201197574'],1524816724201197574,"RT @RStoklund: Ritzau beklager mangelfuldt citat, der kastede en bombe i debatten om EU-afstemningen #dkpol  https://t.co/u98s1k8xAm"
41,['1524816029158981632'],1524816029158981632,"Dejlig skarp @SorenPape i @DebattenDR2 her til aften! Regeringens checks er ikke rettidig omhu, og tiden er ikke til økonomisk uansvarlighed.  Vi må ikke smide mere brænde på målet og puste til inflationen. #dkpol"
42,['1524712331133005824'],1524712331133005824,"Vi @KonservativeDK tager Rigsadvokatens indstilling om at rejse tiltale mod Claus Hjort Frederiksen til efterretning. Vi må i en retsstat i udgangspunktet have tillid til anklagemyndigheden, men ser frem til at få fremlagt sagen på møde i Justitsministeriet #dkpol"
43,['1524680671142289408'],1524680671142289408,"RT @BirgitteBergman: WHAT ! Staten rejser tiltale for ødelæggelse af statens ejendom, og nu støtter Statens Kunstfond det ødelagte som et k…"
44,['1524680522512977921'],1524680522512977921,"RT @SorenPape: I april stod jeg på et pressemøde i Stockholm med både den finske og svenske oppositionsleder, hvor alle talte varmt for opt…"
