,edit_history_tweet_ids,id,text
0,['1393274793366114304'],1393274793366114304,"Hvorfor er jeg ikke overrasket?! Demonstrationen ender i vold. Herboende palæstinensere og deres sympatisører skal ikke tage Mellemøstens konflikt og og adfærd til Danmark. 
Håber ansatte hos Israels ambassade og vores politibetjente er ok #dkpol"
1,['1392091292600053765'],1392091292600053765,@LiseVestergaar4 Nej.
2,['1392091212899815424'],1392091212899815424,@PeterMa20502201 @CCordsen Hvorfor ? Der må ikke opstå frygt om godkendte vacciner
3,['1392090658337329153'],1392090658337329153,@m_merstrand @CCordsen Og dit argument er ???
4,['1391850854219661312'],1391850854219661312,"@ChristianAaby Hvis du ikke bliver månedens medarbejder så forstår jeg ingenting 
Har siddet til møde så mangler total et jubelbillede 😁🇩🇰🍾"
5,['1391826347161436160'],1391826347161436160,SUPERLIGA - ja tak 🇩🇰🍀 https://t.co/rXsYDnZEHt
6,['1390274965098975236'],1390274965098975236,@Timo67 @ViktorAxelsen Også dem. Men det har jeg forstået er klaret
7,['1390174901177311234'],1390174901177311234,@ViktorAxelsen Jeg er enig med dig @ViktorAxelsen . Vi har fra konservativ side stillet forslag om at vaccinere vores atleter. Indtil videre har regeringen hældt det ned af brættet. Janteloven lever stadig skal jeg love for. Alt det bedste til dig
8,['1389388155535695874'],1389388155535695874,@independent1_1 @Ubbe_ Vi må have nogle som dig i Folketinget så du lige kan fixe det
9,['1389383858588635138'],1389383858588635138,@Ubbe_ Men det var så langt vi kunne komme.
10,['1389378187101196291'],1389378187101196291,"Med nattens aftale er vi et skridt tættere på mere frihed og
åbning af Danmark. Børnene tilbage i skole, idrætten igang med det meste, fitness, spillesteder, biografer, teatre mm åbner. Endnu et skridt i den rigtige retning 🇩🇰 #dkpol"
11,['1387753229501489152'],1387753229501489152,@LejeSvend Nej - hvilket jeg også sagde i valgkampen
12,['1387133698412322822'],1387133698412322822,@PiaOlsen Man kan jo spørge om der er noget at vente med. Indlæggelsestallet er jo konsekvent under 200.
13,['1387011416717242372'],1387011416717242372,@Ingelis35557405 Og det må du gerne dokumentere
