,edit_history_tweet_ids,id,text
0,['1539573473168789505'],1539573473168789505,"Link til Finansministeriets tal: https://t.co/GYxzGMxUsw 

Link til Pia Olsen Dyhrs udtalelser: https://t.co/zbnVG6joDV"
1,['1539573471906234369'],1539573471906234369,"Hvad forestiller Pia Olsen Dyhr sig? At samfundets mest udsatte borgere kvitter smøgerne, hopper i et par løbetights, får sig et arbejde og lever et liv med overskud og sunde vaner, fordi socialisterne svinger en økonomisk pisk over dem? Mageløst. 3/4"
2,['1539573470518022146'],1539573470518022146,"I Debatten på DR2 til folkemødet forsvarede @PiaOlsen de stigende tobaksafgifter med: “Jamen, skal de fattige bare have lov til at være usunde?” 

Sikke et menneskesyn. Den lader vi lige stå. 2/4"
3,['1539573468823539712'],1539573468823539712,"Venstrefløjen påstår igen og igen, at de kun har gjort har gjort de fattigste fattigere, fordi de har hævet afgiften på tobak. Det er rigtigt at tobaksafgiften rammer dem med de laveste indkomster hårdt. Men de rødes øvrige politik  har også gjort de fattigste endnu fattigere. 1/ https://t.co/pVQ282fGsu"
4,['1539485268113248257'],1539485268113248257,RT @DebattenDR2: Har regeringens politik gjort særligt de fattigste danskere endnu fattigere? Og burde vi begrænse det offentlige forbrug f…
5,['1539151360297517056'],1539151360297517056,RT @Jacobsen12345: Her følger en (rodet) 🧵med mine betragtninger om dokumentaren fra @DRNyheder omkring #minkkommissionen; en dokumentar de…
6,['1539117948354306048'],1539117948354306048,"RT @Madskorsholm1: Hvis du ikke har set DR’s nye dokumentar om minksagen, så synes jeg, du burde gøre det. De dage og uger i november 2020…"
7,['1538423282168389633'],1538423282168389633,"Vi har mistet den bedste statsminister, vi aldrig fik.
Uffe Ellemann var et fyrtårn i det borgerlige Danmark, og hans humor, vid og holdninger inspirerede en hel generation af unge liberale.

Ære være hans minde."
8,['1538169672251625472'],1538169672251625472,Tillykke til Liberal Alliances Ungdoms formand Simon Fendinge med sejren i DM i Debat 🇩🇰 Den slags kan føre til store ting! #dkpol #FM22
9,['1537940511272488963'],1537940511272488963,@RasmusJarlov Jeg er med på et slag skak!
10,['1537506532031614978'],1537506532031614978,"RT @DebattenDR2: Det er fint med skåltaler om, at man vil gøre det hele for de fattige børn.

Men når man ser på konsekvenserne af venstref…"
11,['1536076907585880079'],1536076907585880079,"@RabjergMadsen @MarleneAmbo @Spolitik @PHummelgaard @JakobEllemann @venstredk Så giver det jo endnu bedre mening, at I gerne vil danne regering med Venstre."
12,['1535396409360453634'],1535396409360453634,"@sebdor Ved du godt, at du fremstår ret ubegavet, når du fremturer med mærkelige og helt off påstande om, hvad jeg mener?"
13,['1535322757151563776'],1535322757151563776,Ingen kvaler - skatteyderne betaler. Igen.  https://t.co/CGZ9QKvQ35
14,['1535308703200575488'],1535308703200575488,@RasmusJarlov Den her kommer jeg til at hænge dig op på ;-)
15,['1534839662954553344'],1534839662954553344,@LotteRod @venstredk Merete var fremragende!
16,['1534439145841610753'],1534439145841610753,"@Andreas_555555 @pelledragsted @SophieHAndersen Nej, den strukturelle ulighed er øget fordi afgifter og skatter har gjort de fattigste fattigere i den her valgperiode. Det er Finansministeriets beregninger."
17,['1534438995341496320'],1534438995341496320,"@alan_pini @pelledragsted @SophieHAndersen Mere komisk at Pelle påstår han går op i ulighed, når hans politik har denne konsekvens: https://t.co/fqEW1SO77e"
18,['1534198242564575232'],1534198242564575232,"@pelledragsted @SophieHAndersen Endnu mere ulighed end vi har set i den valgperiode eller lige så meget ulighed, Enhedslisten og de øvrige røde partier har skabt i den her valgperiode?"
19,['1533785303672098817'],1533785303672098817,@sorenpind @ammitzbollbille @RasmusJarlov @TheDorteOlsen @EvaSchjoldager @JakobEllemann For ovenstående burde være og kan blive til hovedprojektet for et blåt flertal. Løkkes ideer og policy-forslag kunne gøre stor gavn der - og ville være spildte kræfter med de røde.
20,['1533785061576921090'],1533785061576921090,"@sorenpind @ammitzbollbille @RasmusJarlov @TheDorteOlsen @EvaSchjoldager @JakobEllemann Hvis det vigtigste er reformer, der sænker skatterne og derudover sikrer mere konkurrence om at levere velfærd til borgerne og mere frihed til at gøre det på nye måder, så er det langt mere sandsynligt at få “højrefløjen” med på den end SF &amp; S. Er du ikke enig i det?"
21,['1533486563920846848'],1533486563920846848,"RT @henrikblunck_dk: #dkpol Det skal retfærdigvis siges, at i dag er det 
@AlexVanopslagh der leverer grundlovsdags allerbedste tale. Spot…"
22,['1533344986669916163'],1533344986669916163,"@ChristinaEgelun Hvorfor giver det mening? Hvis målet er substansen, altså markante reformer af vores velfærdssamfund, hvorfor skulle det så blive muliggjort af at have S og SF med i en regering?"
23,['1533191003355627523'],1533191003355627523,"@pelledragsted @AslakVind De betaler jo også alle de skatter i DK, som de skal. Men udbyttet er jo ikke skattepligtigt i Danmark, når ejerne ikke bor der. Det er helt elementær økonomi det her, Pelle. Du forstår det vel godt?"
24,['1533190460168097792'],1533190460168097792,"@pelledragsted Men investorerne er jo ikke skattepligtige i Danmark uanset hvad. Så den danske snydes ikke for nogle penge. Vil du have, at danskere der betaler udbytteskat i DK for virksomheder de har i udlandet, skal stoppe med at betale skat i DK? Det er konsekvensen af din politik."
25,['1533190096295534600'],1533190096295534600,"@villadsen @pelledragsted Følger nok med til at vide: når Lagkagehus ejes af personer udenfor DK, skal ejerne ikke betale udbytteskat i DK - de er skattepligtige i et andet land. Ligesom danskere, der ejer virksomheder i andre lande, skal betale udbytteskat i DK og ikke i det land, hvor virksomhed er."
26,['1533187125981626370'],1533187125981626370,"@pelledragsted Hvorfor tror du ikke, at de betaler den skat, de skal i Danmark?"
27,['1533161374276362243'],1533161374276362243,"@RasmusJarlov Egentlig ærgerligt for der er mange gode reformforslag i @larsloekke’s program. Han får jo aldrig S med på de reformer - det sekund S/SF er med, udvandes ambitionsniveauet. Hvis Lars Løkke skal igennem med de gode forslag på velfærd kan det jo kun ske med V, K, LA, NB."
28,['1533156326863474694'],1533156326863474694,"RT @RasmusJarlov: Reelt melder Løkke sig hermed ind i rød blok. Han vil ikke pege på en blå regering, som ikke har røde partier med. Og ing…"
29,['1532466527529754624'],1532466527529754624,"God aften og middag med @jacobmark_sf. Jeg er usigeligt glad for, at han vender tilbage til politik. Det er en god nyhed for vores folkestyre. Han er min generations dygtigste politiker. Det er næsten en skam, at sådan et talent bliver spildt på socialisme😊 https://t.co/MiOExD3G1Q"
30,['1531615172200214528'],1531615172200214528,"De økonomiske vismænd med kritik af at regeringen øger inflationen. “Finanspolitikken bidrager i år til at øge efterspørgselspresset i økonomien, hvilket den ideelt set ikke burde gøre”, siger Carl-Johan Dalgaard. https://t.co/VDXvDNb77k"
