,edit_history_tweet_ids,id,text
0,['1460599349914832900'],1460599349914832900,"Minkkommissionen siger, at det haster, men regeringen er ligeglade og fortsætter ufortrødent med at modarbejde kommissionen. Folketinget må sige fra nu - det er faktisk vores opgave. Hvad venter I på ⁦⁦@radikale⁩ ? #dkpol  https://t.co/0KLCGAg9CL"
1,['1460264233229246466'],1460264233229246466,"@SamiraNawa @radikale Men hvorfor stemte I så imod vores forslag om, at politiet bare skulle aflevere alt genskabt, relevant materiale til kommissionen? Den her regering er ikke til at stole på. Selvfølgelig forhaler de processen. Naivt at forvente andet."
2,['1460190974320197632'],1460190974320197632,"RT @berlingske: Flere partier retter skarp kritik af @regeringDK for at overhøre eksperter.

»Man har sovet i timen,« mener partileder for…"
3,['1459490917891678210'],1459490917891678210,"Folkeskoleudspil fra LA - fokus på mere frihed, ansvar og dannelse. Læs mere her: https://t.co/JKwbTW9lzG https://t.co/BmVQ0hxglK"
4,['1459122880902479905'],1459122880902479905,"@KristiansenMk Ja, altså, du kan altid stemme på en af de andre kandidater fra LA 😀"
5,['1458816557983965195'],1458816557983965195,"RT @RasmusJarlov: Når vi får magten igen, er det ikke vores tur til at udnytte den. Så er det tid til at regere ordentligt, åbent og lovlig…"
6,['1458814459795935233'],1458814459795935233,@LarsJakobsen65 @zarrmox 😀 https://t.co/LK1YPgPYTJ
7,['1458798852434276361'],1458798852434276361,@LarsJakobsen65 Lol https://t.co/OVIbswbvk0
8,['1458789931669676037'],1458789931669676037,"Regeringen gør et stort nummer ud af, at danskerne skal huske hvilken forfærdelig situation vi var i i dagene op til minkmassakren. Men når det kommer til deres egen rolle i skandalen, ja, så synes al hukommelse pist væk. Det er vel nok belejligt! #dkpol"
9,['1458743653913014278'],1458743653913014278,"TV2 udstiller på smertelig vis konsekvenserne af folkeskolereformen. Det er på tide at stoppe lappeløsningerne. Læreren skal igen være en autoritet, og vi skal genindføre frihed, faglighed, dannelse og ansvar i danske skoler. https://t.co/Cayg1lmTK0 #dkpol"
10,['1458725078871560197'],1458725078871560197,"RT @AndersBksgaard: Der var 1, der var 2, der var 3, der var 4, der var 5 anmodninger om udlevering af sms-beskeder før regeringen tog afgø…"
11,['1458723321168777219'],1458723321168777219,"RT @MartinCEPOS: ""Hvis et fagministerium mener, at nedslagtning af alle mink... reelt vil lukke minkavl i Danmark, så er det unødige juridi…"
12,['1458489826907414533'],1458489826907414533,"RT @SociologenHD: Jeg er - for at være ganske ærlig - træt af politikere, der vrider hænder over demokratiets tilstand. 

Og selv står i sp…"
13,['1458431174712434695'],1458431174712434695,"De siger, at alle københavnere er røde. Det passer ikke. Det borgerlige København kan nemlig stemme på @olebirkolesen på tirsdag. Dit bolværk mod københavner-socialismen. #dkpol https://t.co/O3eFgSxvw0"
14,['1458414999437778950'],1458414999437778950,"Jeg håber ikke statsministeren svarer lige så meget udenom, når hun skal afhøres af mink-kommissionen.
Se videoen i dens fulde længde her: https://t.co/P5WhKl2xS2 https://t.co/V48c1wbom7"
15,['1458092125363519494'],1458092125363519494,"@Charlot45249102 Ja da. Selvfølgelig kan jeg leve med det. Må du selvom. Men hvis du gerne vil have en vaccine, så er det da bare med at få det gjort og ikke udskyde det."
16,['1458091897398996997'],1458091897398996997,@frederik_dam @oscars_arsenal Jeg skriver endda hvis man har udskudt det - altså man gerne vil have vaccine men bare ikke har fået det gjort 😀
17,['1458072861562789896'],1458072861562789896,"Gode nyheder. Få bestilt tid til vaccine, hvis du har udskudt det indtil nu :-) https://t.co/MnNFRLJq2y"
18,['1458072682826719237'],1458072682826719237,"RT @skaarup_df: Statsministeren vil heller ikke svare på, om hun vidste, hvorvidt en nedlukning af minkerhvervet – i stedet for aflivning a…"
19,['1458071781936402432'],1458071781936402432,@JeppeBruus @SorenPape Har Mette Frederiksen tænkt sig at svare lige så meget udenom overfor kommissionen?
20,['1458070373891772418'],1458070373891772418,@madsvolesen @MaiVilladsen Enig - Mai er virkelig dygtig :-)
21,['1458054348156678379'],1458054348156678379,@MadsBis @Netavisen_Pio @LiberalAlliance Og der er flere stavefejl i artiklen 😀😀
22,['1458053349106982922'],1458053349106982922,@olebirkolesen Det er oppositionens skyld at statsministeren taler usandt!
23,['1458046151039520775'],1458046151039520775,@RasmusJarlov God bedring!
24,['1458039654717001735'],1458039654717001735,"Jeg har lige fået svar fra @justitsdk: de personer, der har slettet deres sms’er, bestemmer åbnebart selv hvilke genskabte sms’er, der skal udleveres til kommissionen. Det går ikke! Politiet skal selvfølgelig indlevere det slettede bevismateriale direkte til kommissionen. https://t.co/8mt2T5FCly"
25,['1458037357186277378'],1458037357186277378,RT @Marchen_Neel: April 2021: kommissionen bad specifikt Stm om at stoppe automatisk sletning. Se hele brevet her: https://t.co/uo9CN2wBRi
26,['1457652961388154887'],1457652961388154887,"Nu sletter regeringen igen vigtige dokumenter. Denne gang et faktaark, der modsiger regeringens forklaringer. Havde det været et enestående tilfælde, så pyt. Men det er systematisk at regeringen sletter og fjerner fakta for at hytte eget skind #dkpol  

https://t.co/Le1WdMMEQr"
27,['1457325517523271682'],1457325517523271682,"RT @SociologenHD: Samler op på en uge med rigtig meget snak om SMS'er og rigets sikkerhed.

#dkpol 

https://t.co/cTCgawzBaG"
28,['1456982703174209544'],1456982703174209544,"RT @RasmusJarlov: Det bekymrer mig, hvis kommissionen alene fokuserer på, hvordan beslutningen blev truffet. Det klareste lovbrud ligger jo…"
29,['1456643751405834242'],1456643751405834242,"RT @DebattenDR2: -Statsministeren beder os om at have tillid til hende og stole på, hun ikke dækker over noget. Det er efterhånden ganske s…"
30,['1456635769087565839'],1456635769087565839,"RT @KHegaard: I notat fra 5. november står: ""NOST er opmærksomme på, der skal etableres hjemmel"". Dermed kendte NOST formentlig manglende l…"
31,['1456587045627965441'],1456587045627965441,@marcus_stoltze @BenjaminElberth @LiberalAlliance Modsat K har vi tilpasset til den enkelte kandidats person og mærkesager.
