,edit_history_tweet_ids,id,text
0,['1544523261232484352'],1544523261232484352,"@brianweichardt “Jeg har aldrig rost en politiker, bare fordi vi har spist middag sammen,” siger Hans Engell. Men har han nogensinde skrevet eller sagt noget kritisk om Rasmus Prehn? F.eks. om de mange gange Prehn er i fedtefadet, fordi han bruger ministeriernes kreditkort til privat forbrug?"
1,['1544298791897120768'],1544298791897120768,"@jakobnielsen Det er jo det, advokater skal hjælpe Folketinget med at vurdere. Kommissionen har redegjort for forløbet, juridiske eksperter skal så på den basis vurdere, om der er sandsynlighed for dom mod ministre eller frifindelse ved Rigsretten."
2,['1544287646779748352'],1544287646779748352,@Jens_Joel @RStoklund Han var også Inger Støjbergs forsvarer  og sagde lignende ting i forbindelse med den sag.
3,['1544283624203223041'],1544283624203223041,"@Jens_Joel @RStoklund Kommissionen har ikke konkluderet på, om der skal være et juridisk efterspil for ministrene. Troede du, at kommissionen havde det?"
4,['1544283328102154246'],1544283328102154246,@iMagnusNorgard https://t.co/My7SHP6cNM
5,['1544278298993328130'],1544278298993328130,"@RStoklund Vi ved ikke, om statsministeren taler sandt. Kommissionen tager blot sit udgangspunkt i, hvad statsministeren selv siger om, hvad hun vidste hvornår."
6,['1544272433687011329'],1544272433687011329,"@Jacobsen12345 Ja. I forhold til alle ministre, hvor Minkkommissionen anbefaler at gå videre med en sag om pligtforsømmelse mod deres embedsmænd."
7,['1544267686116573187'],1544267686116573187,@Jacobsen12345 Fordi det røde flertal ikke vil.
8,['1544267517887234050'],1544267517887234050,"@iMagnusNorgard Ja, det kan man læse i den tekst, som de blå partier har formuleret, men ikke har flertal for."
9,['1544261980357287938'],1544261980357287938,"Flertallet mener, at Mette Frederiksen alligevel skal fortsætte som statsminister, og at der ikke skal gennemføres en juridisk vurdering af, om hun kan straffes for sit ansvar.

Derfor er det nødvendigt, at vælgerne giver Folketinget et nyt flertal. 2/2"
10,['1544261977408692227'],1544261977408692227,"Hele Folketinget er enigt om, at Mette Frederiksen er ansvarlig for den proces, som førte til minkskandalen. Men et flertal vil ikke drage konsekvenser af det. 1/2 https://t.co/Hf6BqHNUeR"
11,['1543969998732935169'],1543969998732935169,"Pelle Dragsted har fået politisk magt og politisk ansvar. Virkeligheden, som er så nådesløs over for ideologi uden realisme, har dog fået ham til at bakke op om en “nødvendighedens politik” i form af privatisering af kommunalt ejede boliger. https://t.co/bB3Ln1AD2n"
12,['1543639037424156674'],1543639037424156674,"Det er 100 pct. rigtigt, det her. Der findes den type politiker, som tror, at legitime indvendinger fra embedsmænd er ondsindede benspænd, og at embedsmændene derfor bare skal bankes på plads. Det er første gang i min levetid, at sådan en politiker er blevet statsminister. https://t.co/I96oyeHUJ7"
13,['1543527227786240001'],1543527227786240001,"@Tulkasdk @JoachimBOlsen @LBWassini Ligesom en marmelademad heller ikke er smør, selvom man har smurt den med det. Men der er dog smør på."
14,['1543524910949191683'],1543524910949191683,@JoachimBOlsen @LBWassini Det er 74 pct. smør blandet op med rapsolie.
15,['1543523066088771585'],1543523066088771585,@Kbw83Bendix @MagnusBarsoe Gad vide om de to gamle DSU’ere taler sammen? 🤔
16,['1543522587053113346'],1543522587053113346,@PHummelgaard @JakobKSorensen November 2021: Minkskandalen ruller med slettede sms’er. Befolkningen er bestemt ikke ligeglad: https://t.co/p8mV3nWak3
17,['1543516888852041728'],1543516888852041728,"S-kronprins Hummelgaard har talt: 

Danskerne interesserer sig slet ikke for, at statsministeren har en ledelsesstil, som fører til, at der træffes ulovlige beslutninger.

Jeg tror bedre om mine medborgere. https://t.co/ZzOREXeRiq"
18,['1543510734054768640'],1543510734054768640,"@Jacobsen12345 Når du skriver sådan med angivelse af et tidspunkt, som er tidligere end det aktuelle udsagn, er det så, fordi du vil hævde dig selv bedre eller hurtigere klartskuende? Jeg sagde selv de ting, da jeg torsdag kom ud til pressen fra møde med kommissionen. Og hvad så?"
19,['1543502474744631296'],1543502474744631296,RT @CharlotteBirk: Hvis man ikke har tillid til den nuværende statsminister. Kan man så pege på vedkommende efter et valg. Giver det mening…
20,['1543495824088469506'],1543495824088469506,"@soerenlangelund Ja, den er svær at læse op af!"
21,['1543494188314025984'],1543494188314025984,"@pelledragsted @noa_redington Lidt retorik og en blinkesmiley.

Politik er sådan, at hvis man vil nå et bestemt punkt, så vil nogle beslutninger føre derhen, mens andre vil føre i den modsatte retning. Nogle beslutninger er altså nødvendige for at nå bestemte mål. Andre fører nødvendigvis et andet sted hen."
22,['1543492505534095360'],1543492505534095360,"@pelledragsted @noa_redington Venstrefløjens opgør med “nødvendighedens politik” synes at være en påstand om, at vi kan slå søm i uden hammerlignende værktøjer, med mindre venstrefløjen bare ikke ønsker den velstand i samfundet, som “nødvendighedens politik” er svaret på at sikre og at udbygge. 2/2"
23,['1543492334519832576'],1543492334519832576,"@pelledragsted @noa_redington Intet er “nødvendigt” i denne verden, hvis man ingen steder vil hen. Men hvis du vil slå et søm i et stykke træ, så er det nødvendigt med en hammer eller en sten eller noget tredje, som kan fungere som en hammer. 1/2"
24,['1543469994549432326'],1543469994549432326,https://t.co/3mlTjneChH
25,['1543469992364183554'],1543469992364183554,"»Nu må vi bare konstatere, at den styrende rolle og den forcerede proces, som er statsministerens ansvar, har været helt afgørende for de fejl, der er begået.«

- Jørgen Grønnegaard Christensen https://t.co/9rlprmJN0j"
26,['1543460958684725249'],1543460958684725249,@krellestweet En blå regering ville ikke have forårsaget minkskandalen.
27,['1543269058581352448'],1543269058581352448,"RT @KKildgaard: Lidt hård dag. Jeg havde håbet på en advokatundersøgelse, der kunne have set om der er grundlag for videre konsekvenser. Bo…"
28,['1543268302495129605'],1543268302495129605,"@brian_ditlev Hvad jeg skriver, kan du læse."
29,['1543237222396297217'],1543237222396297217,@JoachimBOlsen @madskastrup 😂
30,['1543233182971076610'],1543233182971076610,"RT @Jacobnh_Dk: @olebirkolesen @AlexVanopslagh Mit første folketingsvalg var i 2019. Der stemte jeg R. Men under corona fik jeg nok, der va…"
31,['1543217861816193025'],1543217861816193025,@Kildegaardens https://t.co/UGKMvSCfGl
32,['1543206428860612610'],1543206428860612610,"Så Radikale kræver valg, fordi Mette Frederiksen er en skandale, og så vil de have Mette Frederiksen som statsminister efter valget også.

Ok …"
33,['1543195291096125442'],1543195291096125442,@jakobnielsen De vil også have Mette Frederiksen som statsminister efter et valg. De går til valg på at ville fortsætte med Mette Frederiksen som statsminister. Hende vil de ikke vælte.
34,['1543189354071441410'],1543189354071441410,"RT @Jydedame: @olebirkolesen Stemt radikalt i mange, mange år. Er nærmest mest af alt skamfuld nu. Bare øv."
35,['1543181581862543361'],1543181581862543361,"Kære R-vælger, jeg har skrevet et brev til dig: https://t.co/aDp5pRf4By"
36,['1543160008464023553'],1543160008464023553,"Enhl. væltede Benny E., fordi han ikke havde offentliggjort beregninger, som hans ministerium ikke mente var gode nok.

Samtidig freder Enhl. Mette F. for det massive fuck up fyldt med ond vilje om hårdhændet, centraliseret magtudøvelse, som minkskandalen er.

Det er gak."
37,['1543157768705785857'],1543157768705785857,"Jeg ville ikke stemme for mistillid til tidl. TRM Benny E., for han havde ikke gjort noget galt. Jeg ville ikke stemme for næse til nuværende TRM Trine B., for hun havde ikke gjort noget galt. Men Mette F. har gjort meget galt, og jeg stemmer for, at det skal have konsekvenser."
38,['1543149645475495938'],1543149645475495938,RT @BayMads: Glæder mig til at diskuterer granskningskommissionens beretning med resten af @radikale’s hovedbestyrelse. For mig er der inge…
39,['1543131568474046468'],1543131568474046468,"RT @MichaelSchoet: Så hvis du kommer til at udrydde et helt erhverv ulovligt, på en mavefornemmelse, så kan du få en næse…

Men hvis du som…"
40,['1543131422516551681'],1543131422516551681,"RT @vang_hansen: Jeg håber virkelig Mit parti tilslutter sig den advokatundersøgelse,der ting som er vigtigere end  ministerposter. I et de…"
41,['1543127549684883456'],1543127549684883456,"RT @KaareSorensen: Vigtig pointe at huske og gentage: Der var tid nok. Regeringen kunne fint have udsat centralt møde, så der var tid til a…"
42,['1543127323226112000'],1543127323226112000,RT @sofiecn: Vi kan ikke fedtspille med retsstaten. USA har vist os hvor galt det kan gå. Demokratiet har brug for modige ledere der tør st…
43,['1543124351444189184'],1543124351444189184,RT @Rllundgaard: Jeg beklager meget @SFpolitik og @jacobmark_sf - men I har mistet en kernevælger her. Vi stemmer ikke længere SF hjemme ho…
44,['1543123592698859521'],1543123592698859521,@MonikaaRubin @mettecornelius @dkpolparrot @SFpolitik @Spolitik @radikale @moderaterne_dk Hvorfor? Moderaterne vil jo genudpege Mette Frederiksen som statsminister.
45,['1543107761864679424'],1543107761864679424,Vigtigt! https://t.co/hMoFhLDfVN
46,['1543107594365112321'],1543107594365112321,"RT @mettecornelius: For første gang nogensinde stemte jeg på @SFpolitik ved seneste folketingsvalg, gangen før @Spolitik og før det @radika…"
47,['1542809664907317248'],1542809664907317248,Værd at læse! https://t.co/6pzMSg1FKW
48,['1542800853941342208'],1542800853941342208,"@vildufremsaabak Du kan gå ud fra, at Mette Frederiksens eget udsagn havde større vægt hos Minkkommissionen end hos en almindelig domstol."
49,['1542790830490009600'],1542790830490009600,"Sønderlemmende kritik af statsministerens regeringsførelse. Enhedslisten:

“Jojo, men det bliver gratis for 18-årige at gå til tandlægen! Se, hvor vi smiler!” https://t.co/dOKPjYivep"
50,['1542786649414942720'],1542786649414942720,"@vildufremsaabak Kommissionen siger selv, at forsigtighedsprincippet ikke fandt anvendelse på Mogens Jensens påstand om først sent at have fået besked om mangel på lovlighed, fordi beviserne der pegede entydigt i en anden retning."
51,['1542775646648139776'],1542775646648139776,"@PHippien Man kan ikke sige, om en domstol vurderer bevismaterialet mod statsministeren for tungt nok eller ej. Man kan kun sige, at Minkkommissionen med sit forsigtighedsprincip vejer bevismaterialer mere til gunst for de undersøgte, end en domstol gør."
52,['1542758476115578880'],1542758476115578880,"@PHippien Her har kommissionen efter eget udsagn haft så tungt bevismateriale, at det ikke var et spørgsmål om tro og sandsynlighed."
53,['1542756228031725568'],1542756228031725568,"… så har kommissionen blot lagt det til grund. Nu hævdes det så af regeringens støttepartier, at kommissionen af den grund frikender alle for forsæt. Nej, kommissionen har blot benyttet dette udvidede forsigtighedsprincip, som en Rigsret eller en anden domstol ikke benytter. 2/2"
54,['1542756226471272449'],1542756226471272449,"Minkkommissionen har benyttet et udvidet “forsigtighedsprincip” i sit arbejde. Det betyder, at kommissionen har taget folks ord for gode varer. Dvs., hvis en minister, f.eks. statsministeren, har sagt, “jeg vidste ikke, det ikke var lovligt”, … 1/2"
55,['1542504677249392640'],1542504677249392640,"Hvis rød blok virkelig har tænkt sig bare at ofre embedsmænd for de ulovligheder, som vi kalder minkskandalen, men friholde alle ministre, så har vi ikke en retsstat. Så er politiske beslutningstagere landet undtaget fra at skulle stå til ansvar. 3/3"
56,['1542504674317594630'],1542504674317594630,"Det er helt utroligt. Ministrene er embedsmændenes chefer. Hele det forcerede forløb, som fører til alle fejlene, er utvivlsomt igangsat og ledet af statsminister Mette Frederiksen. Skulle ministrene så alle slippe? 2/3"
