,edit_history_tweet_ids,id,text
0,['1360629052416139265'],1360629052416139265,@LundsgaardUffe @DavidTrads Så du 'Debatten' eller reagerer du bare på en refleks?
1,['1360297352133828610'],1360297352133828610,"@MBrgger @DebattenDR2 Selv glæder jeg bare over, at der så småt synes at komme lidt bevægelse i tingene. Oppositionen har (langt om længe) samlet sig om et krav om en fleksibel genåbning - og regeringen er ved at blive blød i knæene. 😀"
2,['1360296630084321284'],1360296630084321284,@ubnissen @Soren1989 @JensOleChriste3 Rigtig god idé 😀
3,['1360006300193722370'],1360006300193722370,"@MrM90282709 Så lad være med at følge mine opslag. Og hold så op med at bruge pluralis majestatis, når du kun taler på dine egne vegne."
4,['1359998141483909123'],1359998141483909123,@Frede_Vad Aftale!
5,['1359997729028665345'],1359997729028665345,@Sorensen3014 @DebattenDR2 ... og hvori er relevansen i at fremdrage det i denne sammenhæng?
6,['1359997387704569864'],1359997387704569864,"Det her dur altså ikke. Enig i, at regeringen er alt for egenrådig, ufleksibel og fantasiløs i forhold til genåbning af Danmark, men man kan altså ikke tage loven i egen hånd. Lad os i stedet sammen argumentere for at få sund fornuft på bordet. 

https://t.co/CAlIIXvjUx"
7,['1359992971945467904'],1359992971945467904,"@XqualDK @DebattenDR2 Nå ja, men så er det da bedre at lade være med at lytte og bare træffe sine egne enøjede beslutninger. 😀"
8,['1359990808628330497'],1359990808628330497,"@AnkerRoseSkov @DebattenDR2 Hvem har talt om det? Ikke jeg. Jeg taler om en mere åben inddragelse af dem, der er tæt på virkeligheden. Tror f.eks. godt, at man kunne have genåbnet efterskolerne, hvis man i et tæt samarbejde med efterskolerne udviklede retningslinjer."
9,['1359987155322490882'],1359987155322490882,"@XqualDK @DebattenDR2 Klart lettere ikke at lytte til dem og bare træffe egenrådige beslutninger, men det skal jo ikke være let - det skal være klogt!"
10,['1359986789423996929'],1359986789423996929,"@JesperSchroder @DebattenDR2 Hvem taler om al magt til hverdagens eksperter? Jeg gør ikke. Jeg taler om inddragelse af dem. I et åbent samarbejde med efterskoleforeningen kunne man f.eks. sagtens lave retningslinjer, der gjorde det muligt at genåbne dem på en sundhedsforsvarlig måde."
11,['1359986337462571013'],1359986337462571013,@LenaRas15597127 @DebattenDR2 @CKjersgaard Efterskoleforeningen for at medvirke til at lave sundhedsforsvarlige retningslinjer for genåbning af efterskolerne f.eks.
12,['1359981649350569993'],1359981649350569993,@Resuscitanista @jeppesoee @SundFornuft_ Tak for dit engagement og deltagelse. Glæder mig til lytte til de fire gruppedrøftelser.
13,['1359961833407406081'],1359961833407406081,@Karibuniii @DebattenDR2 Vist en noget hurtig og unuanceret gengivelse af hvad jeg sagde.
14,['1359896216755142660'],1359896216755142660,"@HansPed24518086 Helt sikkert, for det går jo - hvad enten det er den rigtige eller forkerte vej. Men det skulle jo helst gå fremad ... 😀"
15,['1359890397397450753'],1359890397397450753,https://t.co/lmH1ITddDa
16,['1359863827878318081'],1359863827878318081,"@mholmpedersen @DavidTrads Du forudser at alle landets gymnasieelever i byer med stor smittespredning vil stimle til de gymnasier, der kunne åbnes allerede nu, fordi de ligger i byer med lille smittespredning?"
17,['1359858979065757697'],1359858979065757697,"@DavidTrads Man skal vist være stor socialdemokrat, for at tænke sådan 😀Hvad med lidt fleksibilitet?"
18,['1359638270666235911'],1359638270666235911,@TomJensen1966 Det må da være en falsk profil...
19,['1359284964802646021'],1359284964802646021,@LarsErNice @SSI_dk Men det er jo ikke @SSI_dk eller @SSTSundhed der styrer. Det er regeringen på et ualmindeligt vidtgående mandat.
20,['1359284523003961344'],1359284523003961344,"@EleLund Var lige ved at like, men tog mig i det, for der er jo intet positivt i det. Men vigtig viden at få spredt. Mange roser regeringens corona-håndtering. Jeg var enig i den hårde nedlukning, men det fortsatte jerngreb er - undskyld jeg siger det - for enøjet."
21,['1359268126999924738'],1359268126999924738,https://t.co/409JY5Fste
22,['1358414886867468288'],1358414886867468288,"Tillykke til @FranciskaRosenk med dagens valg som forperson for @alternativet_ . Ingen let opgave at sætte sig i spidsen for det politiske arbejde lige nu - så meget desto større respekt for, at du gør det."
23,['1358361547672875008'],1358361547672875008,"@sorenpind retssystem, tetssystem 😀 Du rammer den i tredje forsøg, Søren. Testsystem. God søndag."
24,['1357833960517206017'],1357833960517206017,@MwiWind og det er ingen overdrivelse ...
25,['1357718489797165057'],1357718489797165057,"@AndersLadekarl @Facebook Skulle selvfølgelig have skrevet: Sender en sms til @HelleThorning_S , så hendes opmærksomhed på problemet bliver skabt."
26,['1357718096035917827'],1357718096035917827,"@AndersLadekarl @Facebook Det er jo det fine ved Danmark. En lille nation med en tillidskultur, hvor der ikke er langt mellem mennesker."
27,['1357717544736616448'],1357717544736616448,@AndersLadekarl @Facebook Sender en sms til Helle Thorning. 😀
28,['1356757104560906242'],1356757104560906242,@jannickjakobsen @ThomasHeie Den er i u-tekstet version lagt op på min Facebook-side.
29,['1356756873303711747'],1356756873303711747,"@R4nd4hl @sorenpind @Instrukskom Med al respekt, så tror jeg ikke du har fået læst dig gennem alle sagens akter. Men imponerende, at du kan skære hele sagens kompleksitet ned til et tweet. Tror det er klogere at lade Rigsretten tage stilling. Sov godt."
30,['1356740742333550597'],1356740742333550597,@R4nd4hl @sorenpind @Instrukskom Advaret fra anden side? Hvad mener du med det. Retteligt: Betrygget fra anden side.
31,['1356733596422336518'],1356733596422336518,"@PSMIDTDK Synes du var en fantastisk, sagligt kommunikerende DR-medarbejder. Hvorfor skrive du ""på dine gamle dage"" altid i et så nedladende sprogbrug. Forstår det ikke - og det klæder dig ikke. (Denne kommentar kommer tilfældigt her - kunne være faldet et hav af andre gange.) Bh. LLR"
32,['1356732879573811204'],1356732879573811204,"@ThomasHeie Ja, der skal lyde en tak til formanden. Jeg kunne - for det havde jeg testet - have jappet min tale igennem på 5 min., men valgte at HOLDE den - og skred så lidt på tiden. Glad for at Henrik Dam viste den konduite at lade mig gøre den færdig."
33,['1356728815863660545'],1356728815863660545,@Padillos @SMSerup Det er jeg nu på ingen måder under anklage for. Læs Instrukskommissionens beretning.
34,['1356728593242607618'],1356728593242607618,"@Aliaminali_C Oplever det trods alt som et lille kompliment, så tak. 😀"
35,['1356727875970486276'],1356727875970486276,"@GuldfeltAnneG @Carl__Valentin Ups, glemte selv at slå op i den - ordbogen, altså. :-)"
36,['1356727678615883780'],1356727678615883780,"@PSMIDTDK @QvortrupHenrik Fint vi ikke er enige, men jeg har nu ikke nydt nogen kagefejring. Tværtimod har jeg påtalt den på de indre linjer. Men sid du bare fast i dine fordomme."
37,['1356726948307869698'],1356726948307869698,@Carl__Valentin At følge og deltage i en debat er to forskellige ting. Tjek ordborgen. 😀
38,['1356603367133503492'],1356603367133503492,@larsb01 @TroelsMylenberg @PiaOlsen Som løsgænger er jeg i bunden sf talerlisten. 😄
39,['1356230322128642050'],1356230322128642050,"@Netavisen_Pio @SorenPape @_MaiMercado Jan Kjærgaard skriver lidt som Fanden læser Bibelen. Må jeg ikke foreslå min klumme i sin helhed frem for denne noget selektive gengivelse. 😀

https://t.co/xOkaUx1QM9"
40,['1356212373414154241'],1356212373414154241,@HrEngelholm @JakobEllemann @venstredk Tillykke. Tak for din indsats og vores gode samarbejde. Ønsker dig alt det bedste.
41,['1355647052827516928'],1355647052827516928,"@AndersLadekarl Måske har du en pointe, Anders. Jeg lavede selv porre/løg-tærte til aftensmad, men det blev lidt sent, fordi jeg skulle aflevere en BT-klumme om Grønnegårds rapport. Så jeg glemte helt at tage et billede. Ærgerligt, for det kunne måske have skabt noget politisk engagement. 😀"
42,['1355300123245486082'],1355300123245486082,"@AllanEgaa1 @venstredk @btdk Du kan blive ved med at skrive det, men det er det rene og skære udokumenterede vrøvl. Sov godt."
43,['1355298332197986310'],1355298332197986310,"@AllanEgaa1 @venstredk @btdk Vedstår alt hvad jeg har skrevet, men har jo intet med 100.000 døde at gøre."
44,['1355278796254048265'],1355278796254048265,@AllanEgaa1 @venstredk Med al respekt: Sikke noget vrøvl!
45,['1353726480577134614'],1353726480577134614,@SjaAgger @ninnahedeager @Pia_Kjaersgaard Jeg har modtaget og accepteret undskyldningen.
46,['1353704383503073280'],1353704383503073280,Modtaget og accepteret. https://t.co/jglHtYFMPO
47,['1353701490418999301'],1353701490418999301,@QuistDR Hvor får du det dog fra 😀
48,['1353676585044484101'],1353676585044484101,@BibsenSkyt Meget enig.
49,['1353478041369010177'],1353478041369010177,@Valdemarhd1 En spøg? Det er s'gu da ikke særligt spøgefuldt at brænde folk af på den måde. Det i går var vel heller ikke en spøg..
50,['1353477203116359680'],1353477203116359680,@Valdemarhd1 Hvorfor skulle jeg det?
51,['1353476248241111040'],1353476248241111040,"@ThomasHeie Vel mest oplagt at få den fra hende, der lavede bålet."
52,['1353474438067585037'],1353474438067585037,@JesperK9 Hvor morsomt ...
53,['1353472975161483266'],1353472975161483266,@mark_fisker Helt uenig. Man kan ikke ustraffet lave en symbolsk afbrænding af Danmarks statsminister - uanset hvor uenig man end måtte være i den politik hun fører. Det går simpelthen ikke!
54,['1353472318446727168'],1353472318446727168,@ErYuDK Forstår simpelthen ikke din pointe.
55,['1353470325040799745'],1353470325040799745,"En folkevalgt fra Enhedslisten har hygget sig med at brænde mig af på et sankthansbål. Under lavmålet - en undskyldning er vel på sin plads. Rokker dog ikke ved, at gårsdagens afbrænding af MF-dukke er en regulær trussel, som der skal slås hårdt ned på. Rimer ikke på demokrati. https://t.co/N3Pnvitrky"
56,['1353102708358705152'],1353102708358705152,"Det her er hamrende urealistisk. Ja, vi skifter til el og hybrid, men vi vil stadig køre i bil. Allerede nu er det svært at bo i indre by - med 1/3 færre p-pladser bliver det umuligt. 

https://t.co/cptZOc0ie2"
57,['1353093839406428160'],1353093839406428160,"@kristinels Kaffe. ""Kæmper"" med at læse mig gennem +13.000 medlemsregistreringer i mit nye politiske netværk. Spændende."
58,['1353093247762100224'],1353093247762100224,"@Jesper_Pet Helt enig. Det  l a n g t  over stregen! Der skal være højt til loftet i den offentlige meningsudveksling, men ikke så højt."
59,['1353064716340318211'],1353064716340318211,"@KGJdk Glæder mig, at du blev godt underholdt."
60,['1352235307782053888'],1352235307782053888,"@carolinamaier @3NNiT2 Citatet er rigtigt. Dog bedst at være begge dele, men skal man vælge ... 😀"
61,['1352049608504041476'],1352049608504041476,@JesperNAnd Glimrende idé.
62,['1352047631460159492'],1352047631460159492,@JesperNAnd Du har helt ret - og præcis derfor er dine udsagn injurierende. Tjek det lige med Line Barfoed.
63,['1352046316243869696'],1352046316243869696,"@JesperNAnd Det er dig, der har en pligt til at overholde lovgivningen - ikke mig, der har en pligt til at påtale det. Så meget ståhej gider jeg ikke lave ud af dig. Tjek dine tweets med jeres dygtige overborgmesterkandidat, som jeg har stor respekt for - og som er en glimrende jurist."
64,['1352044828431953921'],1352044828431953921,"@Broccolidwarf Danmark kan ikke lukke for ledningen, da den ikke kommer i land i DK, men i Tyskland."
65,['1352043018996637697'],1352043018996637697,"@Broccolidwarf Øh, rørledningen er anlagt."
66,['1352042813656080384'],1352042813656080384,@JesperNAnd To tweets - og lige så mange gange brud på injurielovgivningen. Vi slutter her!
67,['1352037999639465985'],1352037999639465985,@JesperNAnd Må være lidt trist at have så snæversynet blik for andre mennesker. Sov godt.
68,['1352035812280561664'],1352035812280561664,"@Broccolidwarf 1'eren var i 2009, hvor hele verden troede - det viste sig at være naivt, indrømmet - at Rusland var på ret kurs med reformer, fredelig sameksistens og samhandel med resten af Europa. Så det var ikke kontroversielt. Viser, hvor hurtigt tingene kan vende."
69,['1352030791493160963'],1352030791493160963,"@AsgerBaunsgaar1 Det er jeg fuldt opmærksom på - også derfor, at den grønne omstilling skal ske på markedsvilkår."
70,['1352030447266627584'],1352030447266627584,@Broccolidwarf Snakker vi I eller II?
71,['1352024248412418048'],1352024248412418048,"Det her er godt. Godt begyndt, halvt fuldendt. https://t.co/fLCwvPMz5J"
72,['1352017285851078656'],1352017285851078656,"@Winther12 Du er ikke seriøs nu, vel?"
73,['1351680487799070723'],1351680487799070723,@gittekbh @Frede_Vad Som løsgænger har jeg ingen adgang til den slags debatter.
74,['1351661126153592832'],1351661126153592832,"@jesper_nielsen Jeg er enig i, at det ikke er drengene, der er et problem, men at de har et. Og det bliver så på 140 tegn til et ""drengeproblem"", men jeg tror nu godt du forstår, hvad jeg mener. Og, ja det har bl.a. med skolepolitikken at gøre."
75,['1351656956088479752'],1351656956088479752,"@MBrgger Bryder mig ikke om at like dette opslag, for det er jo umådeligt trist."
76,['1351656234936631296'],1351656234936631296,"Danmark har et drengeproblem, og vi er nødt til at gøre noget mere ved det! Har på lagt mærke til, at @Frede_Vad på det seneste også har haft fokus på det. Super - for der er brug for et tværpolitisk samarbejde for at gøre noget alvorligt ved det.   

https://t.co/nfn2BiKEXr"
77,['1351655129326514177'],1351655129326514177,"RT @LeGammeltoft: Det er simpelthen noget svineri, at lade en restaurant, der er blevet tvangslukket, vente ti måneder på kompensation @Dan…"
78,['1351147179390472192'],1351147179390472192,"@JensenKirsten Mødte et par dage før jul en ung covid-19 positiv narkoman. Selv uden corona ville ingen af os bytte tilværelse med hende. Samfundets mest udsatte, på gaden og uden chance for at opretholde social distance. Det er i vores alles interesse at tage hånd om dem."
79,['1351143186408869893'],1351143186408869893,"Et vigtigt opråb som jeg håber, der lyttes til. https://t.co/40b0gufhwk"
80,['1351123859924201475'],1351123859924201475,RT @CEPOS: .@MLundbyHansen: Mette F kan TAKKE de borgerlige regeringer for den stærke økonomi. De har ført en “gammeldags og borgerlig” pol…
81,['1350889930399080448'],1350889930399080448,@mbn8900 Vil gerne se den danske i tv - vedkommende vil jo blive udskammet helt vildt. Danskerne er fornuftige mennesker.
82,['1350888487176835074'],1350888487176835074,https://t.co/dclqAvPsr5
83,['1350419355109126145'],1350419355109126145,"RT @MLundbyHansen: Mette Frederisen kan takke de borgerlige regeringer for sunde off. finanser. 

Efter finanskrisen skulle der strammes op…"
84,['1350035406440554496'],1350035406440554496,"@cekicozlem @SSTSundhed God bedring til dig og familien, Özlem."
85,['1349845676373528576'],1349845676373528576,"@KHegaard Rigsretten er ikke en anden instans. Det er den første og eneste domsinstans i sager mod ministre og tidligere ministre. Og det er folketinget, der er anklagemyndighed."
86,['1349842996687155206'],1349842996687155206,"@MorozaR @Marchen_Neel .. og det er vi enige i, men man skal kunne føre straffesager, man følger sig sikker på at vinde - ellers skaber man bare martyrium. Jeg kan selvfølgelig tage fejl, men tror ikke den sag er så oplagt, så den tager sig ud i mediernes filter."
87,['1349833826193825792'],1349833826193825792,"KORT SAGT: Tag vores institutioner alvorligt.

https://t.co/07AMrwQkij"
88,['1349825252977762304'],1349825252977762304,"@Gitte_Maria @BosseStine @skaarup_df Vrøvl. Lige her er jeg enig med @BosseStine (og det ved du også godt, så stop det der!)"
89,['1349824302389059584'],1349824302389059584,@BosseStine @skaarup_df Og her vi så enige! 😀
90,['1349822983490166785'],1349822983490166785,"@HenrikDyhHansen @Marchen_Neel Vi har en statsminister, og der kommer næppe en ny i denne valgperiode. Spørg mig igen, hvis jeg genopstiller."
