,edit_history_tweet_ids,id,text
0,['1443098792329453569'],1443098792329453569,@RasmusPrehn Apropos spild. Hvad bruger man det fiskeaffald til. Som man nu ikke længere kan udnytte til minkfoder? #dkpol
1,['1443098288954171396'],1443098288954171396,@pederhvelplund @politikerpip Ja og opportunt for @Enhedslisten . Sjovt som vaccinerede mink. For det vil de nye dyr jo være allerede kan udlægges som en sundhedsrisiko. Hvor er der taget højde for det. Nej vel. For jeres halleluja rapport siger INTET ud over at man tror der er en risiko. #dkpol
2,['1442883600735784960'],1442883600735784960,"Jwg synes vi skal lukke fagforeningerne ned. Jeg tror at der muligvis, altså måske kan være en risiko for samfundet. Ikke noget jeg har noget tal på. Men min mavefølelse siger mig det er bedst ingen risiko at tage. Eller noget #mink #dkpol"
3,['1442676272669368325'],1442676272669368325,@tjelleconcarne Mest fordi loven siger man skal
4,['1442510802263724035'],1442510802263724035,@Frede_Vad Fordi de ved at markedet og ikke ideologi er vejen til en løsning
5,['1442501797185298437'],1442501797185298437,@SorenEggeRasmus @Enhedslisten @RasmusPrehn @DyrBeskyt Tja Hvis den ikke genåbnes. Så var den rigsret vist sat. For så har der jo de facto været et brud på grundloven. Så det glæder jeg mig da til at se resultatet af😊
6,['1442113329221099532'],1442113329221099532,@JensenChrje Tja. Vil hun være enehersker skal hun jo kontrollere medierne😊
7,['1442112956607590403'],1442112956607590403,@JanEJoergensen @PernilleVermund @MaiVilladsen @MrMesserschmidt Tænk hvis det blev virkelighed. Så havde Venstre haft muligheden for at kæmpe for familiers ret til at bestemme selv. Sikke en liberal drøm. Men i stedet så er i dikkende haler for systemtænkning😂
8,['1441770785400496135'],1441770785400496135,"@RStoklund @dkpolparrot @Trinebramsen Og jeg indrømmer at der ikke står i har truet. Der ligger jeg mig ned, det havde jeg forstået forkert. Men I har lagt pres på ham for udtalelser. Hvorfor?"
9,['1441770435440308231'],1441770435440308231,@RStoklund @dkpolparrot @Trinebramsen Hej Rasmus det er den her som jeg kan se i er tweet fra @SandieWesth https://t.co/UO0zSY8Ko3 Det er den jeg håber fu kan give din mening på😊
10,['1441767800926728205'],1441767800926728205,@RStoklund @dkpolparrot @Trinebramsen Læste den længere nede på twitter. Ser lige om jeg ikke kan finde den til dig igen😊
11,['1441766302188593159'],1441766302188593159,@RStoklund @dkpolparrot @Trinebramsen Ok. Olfi har vist en kommentar til jeres politik. Noget med i har truet nogle eksperter. Det vil jeg super gerne høre din mening til. Siden du spørger. #dkpol
12,['1441762284691496960'],1441762284691496960,@TThorsager Hvorfor skal den der skaber mest værdi straffes for det. Det giver vist kun mening i jantelovens højborge på venstrefløjen. Du er klar over du er velkommen til selv at knokle hårdt og tjene 3 millioner ikke. Det er endnu ikke blevet forbudt at være dygtig
13,['1441761722453266442'],1441761722453266442,@maria_brus Så må du være glad til denne nu fjernes så der fremover kun er 11 uger
