,edit_history_tweet_ids,id,text
0,['1531649927578890242'],1531649927578890242,"Det siger en del om hvor svagt Enhedslisten reelt står i rød blok, når det ingen konsekvenser har, at Bødskov bevidst gemmer oplysninger for dem, som ville styrke Enhedslistens sag. #dkpol #dkmedier"
1,['1531226115087417345'],1531226115087417345,"Det her er skræmmende! Det er formanden for finansudvalget. Tænkt at have så ringe indsigt i basal økonomi. 

Ja, måske forstår han det godt, og derved bevidst manipulerer, og så bare satser på at hans vælgerne ikke forstår økonomi. 

Begge dele beskæmmende. #dkpol #dkmedier https://t.co/DYr7Jr2DIh"
2,['1531224066073534465'],1531224066073534465,"@Jens_Joel Jens, det er virkelig skræmmende at du er formand for finansudvalget, og har magt.. når du udviser så ringe indsigt i økonomi. Ja, der er selvfølgelig også muligheden at du bare forsøger at manipulere vælgerne, som du så håber ikke forstår det…"
3,['1530261121726390273'],1530261121726390273,"@lisnorgaard Ja, fakta kan være hårdt for folk, som ynder at leve i lala land.. LEV MED DET"
4,['1530236922920050688'],1530236922920050688,Så blev Regeringen igen sat på plads af EU. Gang på gang bukker regeringen og Folketinget hovedet og bare føjer de ordrer der kommer fra Bruxelles. #dkpol #dkmedier https://t.co/xaYhsmy9TN
5,['1529972421993848853'],1529972421993848853,@VithusDan @AnetteLyskjaer https://t.co/M7a2o8grvp
6,['1529970080271982598'],1529970080271982598,@lisnorgaard NB har kun én Facebook side. Den hedder nyeborgerlige
7,['1529969693301301258'],1529969693301301258,"@HermanMunk Nej, ikke bad… sæt dig ind i sagerne, hvis du vil deltage i debatten."
8,['1529907946381004804'],1529907946381004804,"EU blokerer den danske regeringens ønske om ny lov for sociale medier. Regeringen er defor tvunget til at trække sit lovforslag,  L146 tilbage. #dkpol #dkmedier"
9,['1529494440221585413'],1529494440221585413,"@BKonge Det er folk som dig, der vil hoppe i en hul med kviksand, hvis Mette Frederiksen sagde det.. tillykke med det.."
10,['1529485672628817931'],1529485672628817931,Det virker til at medierne intet har lært af deres forfejlede dækning af corona.. nu er det så bare abekobber der skal køres op.. #dkpol #dkmedier
11,['1528639547805925378'],1528639547805925378,9 ud af 10 indkomstgrupper har fået mindre under denne regering. Det er faktum..ligegyldigt hvor mange floskler statsministeren fyrer af. #dkpol #dkmedier
12,['1527658419733266432'],1527658419733266432,"Positivt at V, K og DF nu også har forladt de forhandlinger NB forlod sidste uge, da jeg kunne se hvor det bar hen.. så kan vi forhåbentligt få ryddet op efter et valg #dkpol #dkmedier"
13,['1526939506850553857'],1526939506850553857,@BKonge Gør jeg gerne.. vores politik er at man ikke indføre disse tåbelige regler… værsgo..
14,['1526928300265947137'],1526928300265947137,Måske årets tåbeligste forslag. Denne gang går det helt galt for Enhedslisten…Bilforhandlere skal nu tvinges til opfordre folk til at tage bussen og cyklen.…#dkpol #dkmedier https://t.co/1xNUB51sdE
15,['1525075230401744897'],1525075230401744897,"@frankeman25 Jo, når det kommer til gængse straffesager, så behøves den ikke være der…men det er en fornuftig beskyttelse mod at regeringen bare kan anklage folkevalgte.. og derved reelt fjerne folkestyret."
16,['1525074694344523777'],1525074694344523777,"@HenrikHusThrane Ja, det er regeringen som ikke vil have vi må vide noget… og så alligevel skal tage stilling.. det virker næsten som om de håber vi stemmer imod.."
17,['1524868675697885193'],1524868675697885193,"@BKonge Når loven er, at jeg skal træffe beslutning, så vil jeg selvfølgelig have et grundlag at gøre det på. Det bliver jeg nægtet af regeringen."
18,['1524864538390282257'],1524864538390282257,@mikaelege Altså.. sæt dig for pokker bare en anelse ind i sagen inden du plaprer løs….
19,['1524861244448161806'],1524861244448161806,@mikaelege Jeg har en bundet opgave. Jeg skal vurdere om immunitet skal ophæves. Dertil har jeg selvfølgelig brug for et vidensgrundlag. Det bliver jeg nægtet.
20,['1524759906242506752'],1524759906242506752,@PeterMa20502201 Læs min opdatering. Jeg vil ikke stemme for at ophæve før jeg kender baggrunden hertil. Det har intet at gøre med det du siger.
21,['1524718549079666689'],1524718549079666689,"Jeg kommer ikke til at hæve et folketingsmedlems immunitet uden at vide hvad det drejer sig om, fordi staten ønsker det. 
Det ville jo være vanvittigt! 
#dkpol #dkmedier"
22,['1524686052107202560'],1524686052107202560,"@SMSerup Statsfinansielt har det ikke stor betydning, da operationer begge steder bliver finansieret indenfor 2% budget. En mindre stigning dog. Men det vil utvivlsomt svække forsvarets muligheder for at bidrage til NATO, da budgettet nu skal strækkes over to alliancer og flere missioner"
23,['1524034264790089728'],1524034264790089728,"HER ER HVAD DER REELT SKER!
Et flertal i Folketinget har lige stemt ned, at der skal være folkeafstemning, hvis politikerne ønsker et fælles EU-forsvar…eller hvis politikerne ønsker at droppe retten til Veto på forsvarsområdet. #dkpol #dkmedier https://t.co/ABZSCEqup0"
24,['1523932609608400897'],1523932609608400897,"Det her er en skandale.. hvor er DR og TV2? Ifølge en rapport vil henholdvis kun 34 og 42 % af S og V’s vælgere ville stemme ja til at afskaffe forsvars- forbeholdet. 

Men 59 og 68% ville stemme for deltagelse i europæisk sikkerhed- og forsvars samarbejde. 

#dkpol #dkmedier"
25,['1522903138524672000'],1522903138524672000,"184 millioner står tandlægerne potentielt til at miste i indtægt grundet regeringens seneste påfund.. men Socialdemokratiet mener ikke det får betydning folks tandlægeregninger. 

Skræmmende at folk med så lidt basal økomisk forståelse leder landet. #dkpol #dkmedier"
26,['1521474813805608962'],1521474813805608962,"Det er sjovt med folkeafsteminger.. jo tættere datoen, des mere skingert bliver debatten og verden går nærmest under i følge politikerne, hvis man ikke stemmer som de vil… dagen efter holder politikerne fri.. og solen står op igen #dkpol #dkmedier"
27,['1520912473011986433'],1520912473011986433,"@KirstenNormann Så er det vel også et demokratisk problem at nogle partier får mere i støtte end andre, og derfor kan købe flere annoncer og andet… Jeg kan ikke se fornuften at skulle købe likes, for du mister jo muligheden for at målrette fx annoncer, da din taget Group er misvisende."
28,['1520822301855563776'],1520822301855563776,@lisnorgaard @KirstenNormann @dkpolparrot Det går faktisk ganske fint….
