,edit_history_tweet_ids,id,text
0,['1560945751764738053'],1560945751764738053,Mette Frederiksen skal skiftes ud. Politikerne skal bestemme mindre. Danskerne skal bestemme meget mere selv – også over flere af deres egne penge. Vi i Nye Borgerlige er klar med vores valgoplæg - 100 borgerlige mærkesager. #dkpol https://t.co/xnrqX29sIQ
1,['1559117805550768131'],1559117805550768131,"Godt med blå konkurrence om at blive statsminister. Nye Borgerliges stilling er klar. Vi peger på den borgerlige statsministerkandidat, der vil løse udlændingepolitikken fra bunden og trække Danmark i en borgerlig retning. #dkpol"
2,['1551265350230200320'],1551265350230200320,"Imens vi andre holder ferie, slapper af og feder os op, har en dansker gennemført en kraftpræstation uden lige. Det er f.. sejt, Jonas Vingegaard. Kæmpe stort tillykke herfra 🇩🇰🇩🇰🇩🇰"
3,['1547195684734095362'],1547195684734095362,"Takket være danskernes bidrag på mere end 750.000 kr. laver et anerkendt advokathus nu en uvildig vurdering af, om der kan rejses rigsretssag mod Mette Frederiksen eller andre. Ser frem til, den bliver afleveret til Folketinget i løbet af september. #dkpol https://t.co/dCGYHQ6Rwu"
4,['1544306524746653699'],1544306524746653699,"Vores folkestyre kan ikke tåle, at en statsminister misbruger sine lydige støttepartier til at frikende sig selv og blot modtage en næse. Vi har nu indsamlet 600.000 kroner til en advokatvurdering, så den kommer. 🙏 til bidragsyderne. Hvis der KAN rejses en rigsretssag, SKAL der."
5,['1543678499810066433'],1543678499810066433,"Forfærdeligt angreb i Field's. Alle mine tanker går til ofre og pårørende. Tak til politi og myndigheder, der arbejder på højtryk for at skabe tryghed og sikkerhed i denne tragiske situation."
6,['1542898731464499202'],1542898731464499202,"Det er ikke værdigt for folkestyret, at den øverste politiske leder nægter at tage ansvar, men tørrer det af på de embedsmænd, som både hun og hendes departementschef har herset og kommanderet med. Mette Frederiksen burde gå af frivilligt – af hensyn til folkestyret. #dkpol"
7,['1539918155887398913'],1539918155887398913,Velkommen til Inger: https://t.co/Qm9jbtXWe0 #dkpol
8,['1538445741143760896'],1538445741143760896,"Varme tanker til Uffe Ellemann-Jensens familie, som har mistet en af deres kære. Få har som Uffe Ellemann-Jensen engageret sig og ofret sig for dansk politik og Danmarks rolle i verden. Vi var ikke altid enige, men jeg nærer dyb respekt for hans virke. Ære være hans minde. #dkpol"
9,['1533371194161913859'],1533371194161913859,"Meldingen fra Mette Frederiksen er udtryk for endnu en gang magtfuldkommenhed og et forsøg på et hold kæft-bolsje til de partier, der måtte kritisere hende, når Minkkommissionen snart kommer med sin rapport. Godt, at de blå partier ikke ser ud til at være til fals for det. #dkpol"
10,['1524753063629582336'],1524753063629582336,En regering skal ikke kunne anklage og potentielt fængsle en ledende oppositionspolitiker uden fuld åbenhed om sagen. Derfor stemmer jeg nej til at ophæve Claus Hjort Frederiksens immunitet. #dkpol
