,edit_history_tweet_ids,id,text
0,['1334429261726408705'],1334429261726408705,https://t.co/UiTJE85ZPN https://t.co/3TcIXcT6MP
1,['1334423953285275648'],1334423953285275648,RT @MogensMW: Fuldstændig enig med @radikale Selvfølgelig skal der kunne gives specialpædagogisk støtte til elever med en funktionsnedsætte…
2,['1330824184302358531'],1330824184302358531,"Når man kalder sig selv en uddannelsesregering, så forpligter det - også i finanslovsforhandlingerne. Jeg gør i hvert fald mit for at få regeringen til at leve op til det navn, de har givet sig selv #dkpol #uddpol https://t.co/3Muad1NbYY"
3,['1328443289264152579'],1328443289264152579,"Der skabes klarhed om det vi kan, mens vi knokler videre for fuld og hel erstatning #dkpol https://t.co/DxpfmM1i6Z"
4,['1321210298561429504'],1321210298561429504,"Vi har en aftale - og mere end 8,2 mia. er på plads til dansk erhvervsliv og kulturen! https://t.co/shb1hKpKCS"
5,['1321096902222450694'],1321096902222450694,"RT @KHegaard: Efter adskillige spørgsmål om regeringens forslag til uddannelsesbesparelser og nu to samråd, er vi ikke blevet meget klogere…"
6,['1321094520361132032'],1321094520361132032,"RT @bbangskjaer: Tak fra uddannelsesdanmark til @KatrineRobsoe og @KHegaard @radikale for at insistere på, at besparelser på uddannelse er…"
7,['1320402153819820034'],1320402153819820034,"I aften fortsætter forhandlingerne om kompensation til erhvervslivet, der holder for i kampen mod corona. For de skal hjælpes! Udvidelse af hjælpepakker, rentefrie momslån og mulighed for at sætte en virksomhed i dvale er bare noget af det vi kæmper for #dkbiz"
8,['1314804787284783104'],1314804787284783104,@MadsMolina Tak!
9,['1314467827169005568'],1314467827169005568,@HeikeHoffSMV @SMVdanmark Præcis! Tak for opbakningen
10,['1313756546623565824'],1313756546623565824,Tak til @DTUtweet og alle de andre uddannelsesinstitutioner for deres store arbejde med at få oprettet de 5000 ekstra studiepladser! Det gør en kæmpe forskel for de unge under corona #dkudd #DTUTopmoede https://t.co/U74SQt5YhC
11,['1313434593308143616'],1313434593308143616,Jeg var og er selv ret stolt af ideen med de 5000 ekstra studiepladser! Meget stolt faktisk - for det gør en kæmpe forskel. Nu fremhævede statsministeren det i sin åbningstale. Godt at vi endte med en aftale #dkudd
12,['1313386230982336513'],1313386230982336513,"Vi siger nej til regeringens uddannelsesbesparelser! Tak til alle studenterorganisationerne, der stod klar foran Christiansborg #dkudd https://t.co/w2z8fMWYZh"
13,['1311590640820645888'],1311590640820645888,"Det er helt afgørende, at vi også får talt om feedback og studerendes mod til at tænke nyt og anderledes, når vi skal diskutere ny karakterskala - derfor skal minuskarakteren væk, springene mellem karaktere skal ændres og trinbeskrivelserne skal også laves om #uddpol #dkpol"
14,['1310946631722958851'],1310946631722958851,"RT @KHegaard: Mange ting er usikkert vedrørende uddannelsesbesparelserne. Ministeren kunne ik svare på, hvor pengene skal findes eller hvor…"
15,['1310944291552927746'],1310944291552927746,RT @JohanHedegaardJ: Ingen klare svar fra regeringen på dagens #samråd men dejligt at høre at der er enighed blandt mange andre partier om…
16,['1310939198996860932'],1310939198996860932,RT @akbojsen: Tak til @KatrineRobsoe @KHegaard @AstridCaroee @Ulla_Tornaes @JThulesen @RosaLundEl mfl. for at forsøge at få @AneHalsboe til…
17,['1310939127404265473'],1310939127404265473,"Jeg har i dag haft uddannelsesministeren i samråd om regeringens forslag om at tage penge fra uddannelse for at finansiere politi. Jeg er glad for opbakning fra mange andre partier, men er godt nok skuffet over regeringen. https://t.co/04YGJALCvs"
18,['1310938102660202502'],1310938102660202502,RT @DanskeHFogVUC: Debatindlægget fra @VUCLederFormand fortjener et genlæs efter dagens samråd med @AneHalsboe. Tak til @KHegaard og @Katri…
19,['1310909406423519232'],1310909406423519232,RT @KHegaard: Så er det i dag @KatrineRobsoe og jeg har kaldt Uddannelsesministeren i samråd om uddannelsesbesparelser i politiudspillet. F…
20,['1309492885012836353'],1309492885012836353,"Kæmpe tak til @KobenhavnPoliti og den flinke borger, der har fundet og afleveret mit sygesikringsbevis inden jeg overhoved havde opdaget, at jeg havde tabt det! Så bliver man da bare mega glad på en regnvejrsdag❤️ https://t.co/0jAWdGB1lP"
