,edit_history_tweet_ids,id,text
0,['932945811759140864'],932945811759140864,RT @IdaAuken: Tak for opbakning til vores forslag om renere luft til byerne. Vi håber også på opbakning 🌿#dkpol #dkgreen https://t.co/5R9vz…
1,['932546841887100928'],932546841887100928,"Så kører #RadikaleLive på andet døgn, og jeg er på om ti med bl.a #PanamaPapers - se og deltag! #dkpol https://t.co/1GrNqy6j5M"
2,['932171035696386048'],932171035696386048,"Så er det om 5 min, at jeg går på live med Emrah på de radikales 37 timers Marathon live m gæster quiz mm https://t.co/bqnVfa4xBq #dkpol https://t.co/NRhRR66UWl"
3,['929765241403117571'],929765241403117571,"STOR dag for den grønne omstilling i Danmark, nu kan vi bruge vores grønne el t grøn varme! #dkpol #dkgreen https://t.co/pZNyfUtdcY https://t.co/6epTF6nHdi"
4,['922438290955034624'],922438290955034624,"Mød Denice &amp; Nicklas. Blandt de unge, som rammes mest af besparelserne på uddannelse #dkpol #MenneskerMedMeninger https://t.co/GFElZ00FFF https://t.co/93aKfOxyEI"
5,['921291488763498497'],921291488763498497,"Dårligt nyt, @larsloekke bør træde i karakter og tage direkte dialog m Merkel, der selv er presset på sagen #dkpol https://t.co/xBNXH1tGGR"
6,['918085294645182464'],918085294645182464,"Flere mia. til et forsvar, der i forvejen får topkarakter af NATO &amp; færre mia. til uddannelse og vor unges fremtid... #dkpol"
7,['914754859269750785'],914754859269750785,"Bumdadabum, så kører den rituelle stammedans igen. Pinligt sjusket leder fra @jyllandsposten #dkpol #dkgreen https://t.co/7a0cdCAy8C"
8,['911112589819736064'],911112589819736064,Igen igen bliver det billigere at købe fossile biler - uden regeringen gør noget for elbilerne. Øv! #dkpol #dkgreen
9,['905786694829559808'],905786694829559808,"Finanslov: Vi lavede ""fin lille aftale"" som gav 9.000 i arbejdsudbud. VLAK laver ufin stor aftale, der kun giver 7.600 #dkpol"
10,['905363886404186113'],905363886404186113,Dagens nyhed fra Udenrigspolitisk Nævn: Den danske regering ønsker fuldt stop for alle forhandlinger m Tyrkiet - ikke bare suspension #dkpol
11,['903122231290683393'],903122231290683393,Regeringens nye motto: Vi låner ikke i børneværelset - vi pantsætter det! #dkpol https://t.co/5t0sjPnAPA
12,['902923041218449411'],902923041218449411,"Interessant, både bilbranchen og alle partier på nær LA og V ønsker nu grøn omlægning af bilafgifter... #dkpol https://t.co/wn2XVZBe1w"
13,['902450045315895296'],902450045315895296,"SR regeringens ""fine lille aftale"" fra 2013 gav 9.000 i øget arbejdsudbud. Regeringens 23 mia. i skattelettelser giver 7.600... #dkpol"
14,['902445031809830912'],902445031809830912,"Ny alliance i dansk politik: 100% enig med DF, der ønsker grøn omlægning af bilafgifter 😃 #dkpol #dkgreen https://t.co/44C7BZtKv4"
15,['902444611158855680'],902444611158855680,"Fornuftigt at lette skatten på arbejde, men hvor er finansiering? Besparelser på uddannelse? Statsunderskud? Hører vi ikke meget om #dkpol"
