,edit_history_tweet_ids,id,text
0,['1336924230236196866'],1336924230236196866,@__Burke @radikale Ja det er ok at have samme forventninger til mænd som kvinder om at arbejde med en ugentlig arbejdstid på minimum 30 timer om ugen. Men man skal have lov at tælle uddannelse med for 30timers arbejde ved siden af fuldstudsstudie er ikke rimeligt krav.
1,['1336917676988502017'],1336917676988502017,"@__Burke @radikale Jeg mener faktisk det er godt at stille fornuftige krav - fx at man skal kunne tale dansk, ikke have begået kriminalitet og at man skal have været her en årrække. Også ok med forventning om beskæftigelse - men uddannelse skal kunne tælles med på lige fod med beskæftigelse."
2,['1336812601402138625'],1336812601402138625,"Tak for dit mod til at dele din historie, @karmel80 ❤️ Du bryder et tabu - og er med til at fjerne skyld og skam fra andre ofres skuldre 🙏🏼 Hverken fysisk eller psykisk vold kan nogensinde undskyldes! #dkpol #OrangeTheWorld 

https://t.co/MV316ayFI1"
3,['1336709959246077954'],1336709959246077954,"Tre gode organisationer er gået sammen om et stærkt budskab💪🏼 @StudFaellesraad @dgs_dk @dfunk_dk #dkpol #uddpol 
https://t.co/ORf15ntPfQ"
4,['1336693800606060550'],1336693800606060550,RT @FjordMfs: Tak @NWammen for at være rollemodel! Nyd orloven og familien
5,['1336689954425098248'],1336689954425098248,"Hvor er det vanvittigt, at der er mennesker der mener, at en finansminister ikke må tage forældreorlov. Et forsøg fra Martin Henriksen på at udøve social kontrol og spænde ben for ligestillingen. #dkpol #ligestilling https://t.co/X7ygPLJv3e"
6,['1336688981614981124'],1336688981614981124,@DavidWilliamsDK @sofiecn Det er da en helt vanvittig kommentar fra Martin Henriksen!! Social kontrol vel nærmest.
7,['1336631817143808000'],1336631817143808000,Danske Studerendes Fællesråd appellerer til @Spolitik om opbakning til beslutningsforslag fra @radikale. Der er nemlig ikke meget sund fornuft at spore i en lovgivning der tilskynder til ufaglært arbejde frem for uddannelse. #dkpol #uddannelseTæller https://t.co/KiWaRutpuS
8,['1336609769768038401'],1336609769768038401,@kedbergandersen @dkpolparrot Ja - heldigvis for Fejra og for Danmark. Men der jeg synes godt vi kunne skåne hende og andre unge for stress og usikkerhed ved at være på midlertidigt ophold når nu de gør alt hvad de kan for at integrere sig.
9,['1336607307233456129'],1336607307233456129,"Fejra kom til DK i 2010 som flygtning.Hun færdiggjorde HF med et snit på over 12. Drømmen var at blive ingeniør i rumteknologi og i 2013 startede hun på DTU. Men havde hun taget ufaglært arb, kunne hun hurtigere opfylde kravene til perm. opholdstilladelse #dkpol #UddannelseTæller https://t.co/xD865pXH5I"
