,edit_history_tweet_ids,id,text
0,['1564935004857286657'],1564935004857286657,"Hvor er det godt. Regeringen har lyttet og vil nu afsætte stort og permanent millionbeløb til FGU - en af de vigtigste uddannelser vi har for de unge, der ikke kan gå den lige vej igennem syatemet. Stadig brug for en akutpakke, men Regeringens forslag er noget der rykker #dkpol"
1,['1564689282975076352'],1564689282975076352,"@HForar @MagnusBarsoe @Kildegaardens Det er faktisk også sjældent jeg forvilder mig herind men skulle lige skrive noget om FGU, og så så jeg tweetet"
2,['1564687031212589057'],1564687031212589057,"@MagnusBarsoe @Kildegaardens Jeg forstår simpelthen ikke, hvordan du kan finde på at skrive sådan noget. Du er debatredaktør på en stolt og vigtig avis og så svarer du sådan. Det er jo pinligt. For avisens skyld burde du slette, for din egen lige tage en pause fra Twitter"
3,['1564545997837160448'],1564545997837160448,@Kildegaardens @MagnusBarsoe Helt enig Kasper
4,['1564470424502779904'],1564470424502779904,@74mck @RosenkrantzT Ja. Er også overrasket
5,['1564239541246038016'],1564239541246038016,"Der er nok ikke mange stemmer i FGU’en. Det burde der være, for det er en af de vigtigste uddannelser vi har. Særligt hvis man vil løfte de unge, der mislykkedes i folkeskolen bør man løfte FGU’en. Håber Regeringen og FT vil være med til akutpakke. #dkpol https://t.co/fqlw4AC2go"
6,['1561947315182751749'],1561947315182751749,"@mikaelsyska @JohanMoe2004 Vi mener, de skal blive hvor de er, og det har vi hele tiden sagt."
7,['1561801412278894595'],1561801412278894595,"Jeg kan forstå, at de borgerlige har tænkt sig at genoptage planerne om at lave et udrejsecenter for kriminelle udlændinge på øen Lindholm. Derfor foreslår SF, at Regeringen meget hurtigt sælger øen til Vordingborg Kommune for én krone, så de kan bruge øen til vild natur #dkpol"
8,['1561696061554565121'],1561696061554565121,"@Rolf_Larsen @SFpolitik Vi har:
- Minimumsnormeringer til 2 mia. gældende fra 2024. 
- Afskaffelse af uddannelsesloft og karakterbonus.
- Afskaffelse af uddannelsesbesparelser og tilbageførende af et års taxameter.
- 1 milliard til flere lærere
- Mulighed for udsat skolestart
- Gratis psykologhjælp"
9,['1561693871033155584'],1561693871033155584,"Mere end 1000 PPR-psykologer har besluttet at skrive et åbent brev til offentligheden og politikerne om, hvor bekymrede de er for vores børn og unges mistrivsel. Det siger noget om hvor alvorlig situationen er. Der er brug for politisk handling. #dkpol"
10,['1559570539970174976'],1559570539970174976,@repsej72 @regeringDK Indtil valget er vi bundet af forlig på området.
11,['1559570452665847808'],1559570452665847808,@sarapedersen13 Der er ikke brug for en reform. Der er brug for at sætte skolerne fri fra politiske reformer.
12,['1559566257891983360'],1559566257891983360,"RT @PiaOlsen: Glad for, at @Spolitik har lyttet til @SFpolitik og @Halime9Oguz forslag om et huslejeloft 👍 Det er nødvendigt, hvis ikke men…"
13,['1559566212467769345'],1559566212467769345,"Jeg kan forstå på Statsministeren, at der stadig er noget tid til valg. Jeg håber så, at vi hurtigt kan få sat gang i forhandlinger om at sætte folkeskolen fri. Det behøver ikke vente til efter et valg - flertallet er der. Tænk hvad det vil gøre af forskel for skolebørnene #dkpol"
14,['1556581168178466817'],1556581168178466817,"@MarcHvidkjaer @ValdemarOsted Jeg mener, der er en lille gruppe skoleforskere, der har været mere aktive i den politiske debat end skolpolitikere, som har et kæmpe ansvar for reformen.  Og jeg mener deres holdninger er skrivebordssynspunkter fordi de strider mod følgeforskningen og udsagn fra virkeligheden"
15,['1555917250745565187'],1555917250745565187,"@JesperNerloe @DRNyheder @SFpolitik Jeg siger i artiklen at jeg ikke kan se for mig at man laver firedages skoleuge. Men jeg tror at hvis en skole foreslog det, så ville forældrene sige nej - og det synes jeg i princippet er en bedre løsning end at Christiansborg hele tiden skal indover."
16,['1555833779549265922'],1555833779549265922,"@noa_redington Af alle mennesker (måske med undtagelse af Bjarne C), så er du nok den jeg sidst havde regnet med at få den kritik fra. I valgte at kaste mange års skoletradition ud med badevandet efter en studietur til Canada. Frihed og decentral styring er ikke en ny måde at lede på. #dkpol"
17,['1555465818674282496'],1555465818674282496,"RT @HolmeRasmus: Fantastisk nyhed at SF nu melder sig fuld og helt ind i kampen for en folkeskole med mere frihed, mere lærerfaglig dømmekr…"
18,['1555269190541611011'],1555269190541611011,"SF opsiger i aften forliget om de lange skoledage og den stramme styring af folkeskolen.

Stadig flere børn mistrives og føler sig forkerte i skolen. Vi ønsker at sætte landets folkeskoler fri så de fx kan give kortere skoledage og lave flere timer med to uddannede voksne #dkpol"
