,edit_history_tweet_ids,id,text
0,['1376827343411494912'],1376827343411494912,@JrgenJens Jeg bakker helt op om lønkompensationen :-) så lad os være enige her
1,['1376815736040067077'],1376815736040067077,@brianweichardt @martinlidegaard @naserkhaderdk @michaelaastrup @AlexVanopslagh Ja
2,['1376811380469342209'],1376811380469342209,"@AndersBksgaard @hansersej Det er den forståelse vi har af aftalen. Men selvfølgelig ved man ikke præcis hvornår børnene kommer hjem, for man skal jo kunne lave sikre evakueringer. Og vi ved endnu ikke hvor mange af mødrene det vil være nødvendigt at tage hjem for at sikre barnets tarv."
3,['1376810917166469120'],1376810917166469120,"@pelledragsted @hansersej Det mener jeg også. Men det betyder ikke, at det ikke kan ende med at mødrene kommer hjem hvis det er afgørende for at børnene kommer hjem."
4,['1376810719056961537'],1376810719056961537,@pelledragsted @dkpolparrot @hansersej Lad os se tiden an og se hvad der faktisk virkede bedst for børnene. At stå udenfor eller i aftalen
5,['1376807971477450756'],1376807971477450756,@pelledragsted @hansersej Nej. Men vi skriver heller ikke under på at alle kvinderne skal hjem. Det må arbejdet vise. Til gengæld skal børnene hjem og det har I valgt at stå udenfor fordi I ikke fik det præcis som I vil have det. I er ved at vende tilbage til jeres gamle udgangspunkt
6,['1376807670452215812'],1376807670452215812,"Den her aftale kommer til at betyde at børnene vender hjem til Danmark på den ene eller den anden måde. Og det er lykkedes at få de blå partier med også, så der er bred forankring. #dkpol https://t.co/Wt54CNjoWw"
7,['1376806988315774981'],1376806988315774981,@pelledragsted @hansersej Eller også får vi alle børnene hjem. Men i det tilfælde vil Enhedslisten stadig stå og brokke sig over det gik for langsomt. Den her aftale - som jo et et kompromis hvor mange partier er med - betyder at børnene kommer til Danmark igen. Tænk at I heller ikke her kunne være med
8,['1376805632054067208'],1376805632054067208,@KapPalm Vi startede da med finansloven sidste år og forhåbentlig har vi et par finanslove endnu før valg :-)
9,['1376801032903270401'],1376801032903270401,"RT @PiaOlsen: Lettet over, at Danmark tager ansvar og begynder arbejdet for at hente sine egne børn hjem fra Syrien. Børn skal ikke vokse o…"
10,['1376800573811474432'],1376800573811474432,"Danske børn skal ikke sidde i fangelejre i Syrien. De skal hjem til Danmark, og det er godt at Regeringen - under lidt pres - har indset det. #dkpol https://t.co/JxXyVMGEqm"
11,['1376799995639250950'],1376799995639250950,@madseriksen1208 Men jeres forslag til finansiering er dårligt. Man får ikke flere til at tage uddannelse ved at give dem ringere økonomiske vilkår
