,edit_history_tweet_ids,id,text
0,['1539340306558091264'],1539340306558091264,"@BEsbensen @nielscallesoe @Jep_Jep0 @mgladegaard @GamPedersen Pia forklarer mandaternes logik. Aftaler på tværs af blokke er mere langtidsholdbare. En rød Irakkommission blev eks skrottet, da magten skiftede. Arne pension og stop for Blackstones opkøb af ejendomme er blevet til i samarbejde med DF - blot til eftertanke"
1,['1539333246395240449'],1539333246395240449,@JakobJunker1 @Mikkel_oerum @Cihat_Bardak @PiaOlsen Netop 🙏
2,['1539316763090792448'],1539316763090792448,"@Cihat_Bardak Jeg kommer aldrig til at tænke, at mennesker er forkerte - og jeg tror på, at vi alle sammen kan blive klogere gennem dialog. Hvordan vil du selv gøre andre klogere, hvis du bandlyser dem? Og hvordan kan du bebrejde andres holdning, når du afviser dialog?"
3,['1539310316349181953'],1539310316349181953,@BjarkeCharlie @FlyvRavn @BEsbensen @SikandaSIDDIQUE Det kunne jeg sagtens. Det er bare stadig et anliggende for arbejdsmarkedets parter
4,['1539309357900320770'],1539309357900320770,@BjarkeCharlie @FlyvRavn @BEsbensen @SikandaSIDDIQUE Kommunen er arbejdsgiver og part i overenskomsten - og har helt sikkert de faglige organisationer med i arbejdet.
5,['1539308571170484225'],1539308571170484225,"@Cihat_Bardak @PiaOlsen Hvordan skal vi nogensinde rykke på folks holdninger, hvis vi ikke taler sammen? Jeg forstår ærlig talt godt den ufred, som ofte hersker - både IRL og på sociale medier, hvis vi ikke formår større lydhørhed over for hinanden"
6,['1539304402829422595'],1539304402829422595,"@BEsbensen @SFpolitik Så de må gerne mødes, bare de holder det hemmeligt? 😅"
7,['1539158578371895296'],1539158578371895296,@uffeelbaek Rigtig god bedring Uffe
8,['1539157266556981248'],1539157266556981248,"@thomaskrog_ @folketinget @muskelsvindfond @AdsbolAdsbl Rigtig flot indsats fra Muskelsvindfonden, jeres medlemmer og dig. Det er et godt første skridt"
9,['1538792752695152642'],1538792752695152642,@Wirlander @Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen @SFpolitik SF har lovet at følge op på ligelønskomiteen - men vi har ikke 90 mandater selv. Det har vi heller ikke til de andre forslag. Jeg fortsætter med at tale om alle muligheder - men jeg er også bekymret
10,['1538791577132404736'],1538791577132404736,"@Wirlander @Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen @SFpolitik Der er flere. En pulje til ligeløn. Fast personale. Mere tværfaglighed. Differentieret behandlingsgaranti, så vi kan sikre ligelig fordeling af personale til offentlige og private sygehuse. Flere uddannelsespladser m.v."
11,['1538789452251860992'],1538789452251860992,@Wirlander @Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen @SFpolitik En redningsplan for sundhedsvæsnet er ubetinget den mest akutte opgave. Der skal 90 mandater til konkrete redningsplaner - som både indebære hensyn til løn- og arbejdsforhold og strukturelle løsninger hvor de mest syge behandles først
12,['1538787300397785089'],1538787300397785089,"@Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen @SFpolitik Regeringens udspil tager udgangspunkt i trivsel. Ingen eksperter forholder sig til, at unges rygedebut er 16 år, selv om de ikke må købe tobak på det tidspunkt. Samme problemer med alkohol. Vil nye forbud ændre på det? Samfundets ansvar mere end det er unges ansvar - ikk?"
13,['1538784533759373312'],1538784533759373312,"@FlyvRavn @BEsbensen @SikandaSIDDIQUE Mener du, at det ville gavne arbejdsmarkedet - om løn- og ansættelsesvilkår blev aftalt i folketinget i stedet for i overenskomster? 
Var nattevagten ikke overenskomstdækket? Tænker, at mindsteløn + skifteholdstillæg giver en højere timeløn? Men spørg din fagforening"
14,['1538778207679262720'],1538778207679262720,"@Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen @SFpolitik Du læser ingen steder at SF ikke tager ansvar. Vi køber bare ikke ubetinget ind på et eneste forslag, som tilmed præsenteres som forebyggelse af mistrivsel. Unge mistrives ikke fordi de drikker. De drikker fordi de mistrives. Og de drikker fordi samfundet ikke overholder regler"
15,['1538774145739198464'],1538774145739198464,"@ThomasFunding @jeppekjakobsen Relevant spørgsmål. Jeg tror, at man havde en forventning om, at branchen selv var optaget af at undgå spredning (som jo betød aflivning af smittede dyr). Vel sådan man gør i den branche? Landbrugs- og fødevareministeriet må klart evaluere på det her. Zoonoser skal forebygges"
16,['1538620661433880581'],1538620661433880581,"@BEsbensen @SikandaSIDDIQUE Det er vel stadig ikke et anliggende for politikere - men forslag, som du skal stille til din fagforening?"
17,['1538617690901848064'],1538617690901848064,"@BEsbensen @SikandaSIDDIQUE Mener du og FG oprigtigt, at arbejdsmarkedet er bedre tjente med politiske prioriteringer og beslutninger om arbejdsvilkår end arbejdsmarkedets parter? Det ville være et opgør med den danske model - ikk?"
18,['1538615483292954624'],1538615483292954624,@BEsbensen @SikandaSIDDIQUE Ferie er lovbestemt - dog ikke 6. ferieuge. Arbejdsmiljøloven er også lovgivning. Men arbejdstidsreglerne er aftalt i overenskomster og er ret forskellige - afhængig af branchen
19,['1538607491612909571'],1538607491612909571,"@MontyDK1 @JesperSebbelin @sebdor Det var jo netop det man forsøgte - at inddæmme smitten. Vi finder jo ikke ud af, om det reelt kunne lade sig gøre - fordi alle ikke bidrog til indsatsen. Men det er et faktum, at smitten spredte sig som en steppebrand - ikk?"
20,['1538604239601156097'],1538604239601156097,"@Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen Til gengæld kan vi forbedre kontrollen, så børn ikke kan købe tobak, alkohol, medicin og spil. Vi kan gøre noget ved tilgængelighed, pris og promillegrænse. Vi kan skabe grobund for mange flere alkoholfrie arrangementer. De unge er jo allerede igang med selv at tage ansvar 2/2"
21,['1538602656154918912'],1538602656154918912,"@Camilla_Rathcke @mettelolkhanak @cancer_dk @PiaOlsen Unge skal være “ansvarlige” og skal vælge uddannelse når de er 16. De må køre bil når de er 17, men de må ikke købe en øl, før de er 18? Jeg tror vi kan udvise større tillid til unge 1/2"
22,['1538601118472740864'],1538601118472740864,@BEsbensen @SikandaSIDDIQUE Det var ikke et svar - men et spørgsmål. Udfordringer på arbejdsmarkedet er forskellig fra branche til branche - og derfor vil forskellige organisationer også have forskellig fokus. Det er jo i fagforeningerne - og ikke i Folketinget vi diskuterer OK krav 😊
23,['1538598478607171584'],1538598478607171584,@SikandaSIDDIQUE Hvilken fagforening er du egentligt medlem af?
24,['1538528326972850178'],1538528326972850178,"@BjerringNina Man prøvede at isolere farme og slå syge dyr ned, før der blev truffet beslutning om at nedlægge hvervet. Det lykkedes ikke - som dokumentaren beviser. Nogen ville ikke bidrage til forebyggelsen - og det var måske årsag til den store spredning af smitte"
25,['1538485494635536385'],1538485494635536385,"@WindjammerMou @PLautrupLarsen Det handler ikke om Cluster 5. Den var blot eksempel på en mutation - ud af mange mulige - som følger af, at virus muterede i mink. Måske du skal læse op på zoonoser?"
26,['1538455305633374208'],1538455305633374208,"@JesperSebbelin @sebdor Det var på ingen måde en ubegrundet frygt. Dyreproduktion er forbundet med risiko for zoonoser, og det var bevist, at mink kunne smitte mennesker. Risikoen for at virus muterer på sin vej gennem den enorme mængde mink var en alvorlig trussel."
27,['1538163172154216448'],1538163172154216448,"@PLautrupLarsen Man kan blive kaldt de vildeste ting, hvis man insisterer på, at Corona er en ting, som vi skal forebygge. Stor respekt for, at TV2 tog teten og beviste det, som også var en del af minksagen. Det havde politikere ikke selv været i stand til - selv om vi alle kendte problemerne"
28,['1537692209646026752'],1537692209646026752,"@thorborg Ret vild konklusion - ud af det blå! Tænk hvis nogle avleres manglende agtpågivenhed, har forårsaget lukning af andre i branchen? Eller hvad med konsekvenserne for resten af samfundet? Vi har jo regler for kompensation. Er der noget galt med reglerne?"
29,['1537687806700560384'],1537687806700560384,"@thorborg Og jeg svarer at der er kompensationsregler - som også anvendes i landbruget, eks ved smitte med fugleinfluenza. At ignorere risiko for folkesundhed rammer jo andre i branchen og mennesker. Hvad mener du, at der skal til for at få branchen til at tage smitten alvorligt?"
