,edit_history_tweet_ids,id,text
0,['1511798807675219968'],1511798807675219968,"Stop nu! Embedsmænd har også ret til et privatliv! Vi politikere skal tænke os godt om, hvis vi vil sikre dygtige folk i ministerierne i fremtiden. Stop mistænkeliggørelsen! #dkpol @djoef https://t.co/jbO0lmeWm2"
1,['1511775542915313673'],1511775542915313673,@LarsSandahlS Selv tak Lars. Det var en fornøjelse - og jeg kommer gerne på besøg i DIs strikkeklub 👍🧶
2,['1511740837226500102'],1511740837226500102,"RT @Halime9Oguz: Jeg er så utrolig glad for, at ministeren vil ændre loven, så kvinder ikke skal være stavnsbundne i voldelige forhold. End…"
3,['1511711175742005254'],1511711175742005254,RT @SFpolitik: Færre ressourcer til håndtering af andre eller afledte kriser i verden vil ramme os selv i nakken. @PiaOlsen frygter store o…
4,['1511553742549786629'],1511553742549786629,@simonvikkelso @VindIngeborg Netop
5,['1511447143764180998'],1511447143764180998,@Sigrid_kvidrer @Ingemann84 Hvornår sms’er man om tophemmelige sikkerheds problemer 😳😳😳
6,['1511445973242896394'],1511445973242896394,"Et helt skævt forslag at droppe SUen. Uden SU, så havde jeg aldrig fået en universitetsuddannelse og andre som mig. Det er den nøgne sandhed. Det er skidt for den sociale mobilitet! #dkpol https://t.co/622qBz3FZj"
7,['1511445047346184202'],1511445047346184202,"RT @SFpolitik: Unge har svært ved at finde billig bolig, plads i budgettet og oplever mental mistrivsel. SF har kæmpet for forbedringer på…"
8,['1511444907910578179'],1511444907910578179,RT @signe_munk: Forslaget om at omlægge SU til lån er diskuteret mange gange. Og det er stadig en dårlig ide. Det gør uddannelse til en ris…
9,['1511349878705823753'],1511349878705823753,RT @AnjaCJensen: SÅDAN 👏 EP har givet endeligt grønt lys til at sende reglerne om #lønåbenhed til afsluttende forhandlinger med medlemsland…
10,['1511349369248919560'],1511349369248919560,RT @signe_munk: Dejligt at Statsministeren er klar til grønne forhandlinger efter påske. @SFpolitik tager det grønne politik-katalog med un…
11,['1511346057032183810'],1511346057032183810,@Kira_MPH Flot arbejde Kira 🙏
12,['1511346004209152003'],1511346004209152003,"RT @Kira_MPH: Today is a great day for #EqualPay and #WomensRights 🔥😍

#EPplenary voted for a #PayTransparency Directive that can help clos…"
13,['1511305291622723586'],1511305291622723586,RT @LisbethBNielsen: Den ulykkelige situation med ukrainske flygtning skal IKKE finansieres af udviklingsmidler. De fattigste lande i verde…
14,['1511285968044703745'],1511285968044703745,RT @MF_K_Lorentzen: Jeg ønsker et løft til domstolene. Derfor bør vi lave en politisk flerårsaftale som for Kriminalforsorg og politi. Her…
15,['1511199513767256068'],1511199513767256068,RT @signe_munk: Spændende tanker fra @LeaWermelin! Vi har længe kaldt på en mere fleksibel vej i grønne strømprojekter og beskyttelsen af n…
16,['1511078000057536528'],1511078000057536528,"RT @LisbethBNielsen: Budgetloven er nu suspenderet.

Vi har i SF tidligere spurgt ind til, om ikke netop de økonomiske konsekvenser som føl…"
17,['1511042692893052943'],1511042692893052943,RT @CPerregaard: Ny koalition i Nuuk og dermed fortsætter traditionen med kortlivede regeringer i Grønland. Desværre også fastholdelse af m…
18,['1511018469097152517'],1511018469097152517,RT @SerdalBenli: Vi kan ikke lægge os i læ af andre landes vilje til at forsvare vores værdier #dkpol
19,['1510980075998564356'],1510980075998564356,RT @ABlavnsfeldt: Jeg håber inderligt at politikerne vil lytte til IPCCs rapport🙏 Vi har ikke tid til at vente. Klimaet kræver drastiske fo…
20,['1510560334989381645'],1510560334989381645,RT @rasmusnordqvist: Dagens valg i Ungarn er vigtigt - håber i den grad vælgerne vender ryggen til Orbans regime &amp; vender sig mod mennesker…
21,['1510558892127838208'],1510558892127838208,@sorenpind @AndersLadekarl Du har ret Søren
