,edit_history_tweet_ids,id,text
0,['1534215089422843904'],1534215089422843904,"@TomTomKrus Hej Thomas, ja vi har ikke fået nogen ændring i risikoniveau. Vigtigt at følge de her undervarianter tæt, få mere viden - og ganske rigtigt også holde overblikket. Vores vurderinger er de samme som i mange andre lande."
1,['1534143775060246534'],1534143775060246534,"Vi overvåger naturligvis situationen tæt, men SSI forventer på nuværende tidspunkt ikke, at varianten giver mere alvorlige forløb end de andre omikron-varianter. 🧵 slut"
2,['1534143768038866945'],1534143768038866945,"SSI vurderer derfor, at BA.5 vil blive dominerende i Danmark i løbet af sommeren. BA.5 stiger også i store dele af Europa, men vi ser ingen alvorlige tegn på overdødelighed i landene, der har mere smitte med den variant end os."
3,['1534143765371396098'],1534143765371396098,"Vi ser nemlig fortsat vækst med omikron-undervarianten BA.5. Foreløbigt er næsten 17 pct. af de danske tilfælde i uge 22 med denne variant. I øjeblikket fordobles den i Danmark hver 9. dag, det skyldes formentlig at den har få mutationer ift de hidtidige undervarianter af omikron"
4,['1534143763118972929'],1534143763118972929,"Kontakttallet er beregnet til 0,8. Men sammenholdt med incidensen og stigninger i spildevandsovervågningen indikerer det, at smitten er stagnerende til svagt stigende fra et lavt udgangspunkt. Der ud over har vi fokus på en række undervarianter…&gt; Kort 🧵 #covid19dk https://t.co/n49g9U5tsc"
5,['1532826196014252032'],1532826196014252032,"@Bruuntv2sport Tak for fremragende kommentator-job igen i aften 👏👏 En udsøgt fornøjelse at høre, stort fodboldhjerte og stor fodboldindsigt"
6,['1532825753502502913'],1532825753502502913,Jeg elsker det landshold ♥️⚽️🇩🇰 #FRADEN #ForDanmark https://t.co/uLLiMoGWtS
7,['1532590321829289985'],1532590321829289985,RT @DTUtweet: DJ @Heunicke spiller hit på hit til åbningsfest i #techteltet på #fmdk torsdag 16. juni kl. 21. Med sig har han gæste-DJ @Mai…
8,['1532491157799829504'],1532491157799829504,@Lisa1107dk Lige præcis. Fantastisk tid.
9,['1532260488897347584'],1532260488897347584,RT @RasmusKjeldahl: 16 års alkoholgrænse rammer især de mest udsatte unge - Carlsberg (og andre) må stoppe sin kampagne mod en ansvarlig 18…
10,['1531986757507506179'],1531986757507506179,RT @etiskraad: Nyt rådsmedlem: Tech-analytiker Mie Oehlenschläger er pr. 1. juni 2022 beskikket som nyt medlem af Det Etiske Råd. Læs mere:…
11,['1531927708116176898'],1531927708116176898,"Together in the EU we are stronger, and that is also the case when it comes to health 🇪🇺 For example, I am grateful that DK was able to quickly receive vaccines against monkey pox from the Netherlands and @ministerVWS 🙏🏻🤝🏻"
12,['1531665783088205824'],1531665783088205824,"Jeg har min sidste kampagne for et JA i morgen er sammen med det her dejlige kampagnehold. Tak for mange gode snakke på gader og stræder. Jeg er optimistisk og mærker en god bevægelse mod et JA, men husk: Intet er givet før vi har sat vores krydser i morgen
#stemja https://t.co/kXykXTuVUX"
13,['1531655038246043648'],1531655038246043648,"@NikoArve Ok, her kommer et bud: Radio Café. Ægte polsk, en meget autentisk oplevelse. En meget gammel bar med rødder i selveste Radio Free Europe, så hvis I er til den type oplevelser med stemning og historie… Det er faktisk mit bedste bud
https://t.co/5LAiFWg4rC"
14,['1531618210637918208'],1531618210637918208,RT @DKsundhed: Et tredje tilfælde af abekopper er påvist i det danske sundhedsvæsen. Men da vedkommende er bosat i Sverige tæller det ikke…
15,['1531597825729089541'],1531597825729089541,"Kontakttallet er i denne uge beregnet til 0,8. Spildevandsovervågningen tyder på en stigning i smitten i Region Sjælland og Region Nordjylland og fald i de 3 øvrige regioner. Det indikerer en mere stabil smitte end tidligere, men vi er på et lavt niveau #COVID19dk https://t.co/xVLbapkou3"
16,['1531561903096569857'],1531561903096569857,"I dag på #WorldNoTobaccoDay sætter hele verden fokus på, hvor ekstremt skadelig tobak er for både os selv og vores planet. Rygning koster 13.000 liv om året i Danmark. Derfor forhandler vi med partierne om en forebyggelsesaftale, der skal indføre en nikotinfri generation #sundpol https://t.co/tSM1xDh9ZW"
17,['1531321807227297794'],1531321807227297794,"RT @DiabetesDK: @SisseMarieWe @koebenhavner @Heunicke @JorgenDiabetes @CharlotteGlumer Vi siger tak for, at I åbnede dørene til Center for…"
18,['1531305033941372928'],1531305033941372928,"RT @EU_Health: Let's create a tobacco-free generation!

Tobacco consumption continues to be the leading cause of preventable cancer, with 2…"
19,['1531294673087733768'],1531294673087733768,RT @SisseMarieWe: På Center for Diabetes skaber vi mere lighed for borgerne i @koebenhavner – med fokus på forebyggelse og samarbejde melle…
20,['1531153511735603200'],1531153511735603200,RT @TheGoodLiars: We spoke directly to Wayne LaPierre at the NRA Convention and thanked him for all his thoughts and prayers. https://t.co/…
21,['1529944653151322136'],1529944653151322136,"RT @DrTedros: Had a very good discussion with my friend, Health Minister Magnus @Heunicke, about #Denmark's success on universal health cov…"
