,edit_history_tweet_ids,id,text
0,['1436930290241490948'],1436930290241490948,RT @jacindaardern: In case you missed the press conference today - additional Pfizer vaccines have been purchased from Denmark and will arr…
1,['1436671741250752527'],1436671741250752527,"Når 50.000 heldige mennesker i aften skal se The Minds of 99 i Parken i København til en udsolgt stadionkoncert (yes!), kan de også få deres stik. Vaccinerne rykker nemlig ud i Fælledparken inden koncerten, hvor alle ikke-vaccinerede kan troppe op. https://t.co/1zd636lI89"
2,['1436307594256265235'],1436307594256265235,"Endnu et argument for at komme med og få stikket. Vi er i gang med slutspurten. Lad os passe på hinanden og få de sidste, der vil, med i vaccinationsprogrammet. Som altid: Frivilligt, med fuld åbenhed om data og høj troværdighed om vores myndigheders faglige arbejde
#COVID19dk https://t.co/HGMWIbdNMQ"
3,['1436272054119055361'],1436272054119055361,"RT @RikkeGjolManso: WØW: Tyskerne er lidt misundelige over, at danskerne har ""vaccineret sig frie"" og nu er helt fri for restriktioner, men…"
4,['1436203917919072259'],1436203917919072259,"Mit første møde med @M_B_Petersen var i ugen op til den 11. marts 2021. Siden har han rådgivet os og deltaget i den offentlige debat med forskningsresultater, som uge for uge har monitoreret holdninger &amp; hverdag hos en befolkning under en pandemi. Tak for en ekstraordinær indsats https://t.co/v7rlWVJRVW"
5,['1435875684824535044'],1435875684824535044,@krosenbaek Meget gerne
6,['1435874579176697858'],1435874579176697858,"RT @RegionH: Regionens første plejehjemsbeboere får tilbud om 3. stik
Regionsrådsformand @larsgaardhoj (S) glæder sig over, beboere på plej…"
7,['1435867777248661504'],1435867777248661504,"@SandieWesth Jeg må erklære mig 100 pct enig. Vi har problemer på fødegangene både på akut her-og-nu niveau og også strukturelt på hele fødselsområdet. Arbejder på at løse begge problemer. De forsvinder ikke som dug for solen, men der kan gøres mere og bedre, og det arbejde er i gang"
8,['1435829478278696963'],1435829478278696963,"@Per_Rud Er så imponerende. Dejlige billeder fra stadion, stort til lykke. Flot flot udvikling, I har startet, både for klubben og for dansk kvindefodbold 👏👏"
9,['1435203512728801281'],1435203512728801281,"Kontakttallet er i dag beregnet til 0,7. Vi kan altså konstatere en faldende epidemi her i start september! Det vidner om, at Danmark står et virkelig godt sted. Vaccinerne og alle borgere i Danmarks store indsats gennem lang tid er grundlaget for, at vi står så godt. #COVID19dk https://t.co/xdHRWlPG64"
10,['1434908969802379270'],1434908969802379270,"Så fortjent 👏👏👏 Fantastisk arbejde. Hele den danske test- og vaccinationsindsats har sat nye standarder for digitalisering, stor og flot anerkendelse til alle, der har været med. Er en af grundene til den effektive udrulning, kæmpe gevinst for os som land, at det er muligt. https://t.co/PsJ9t7Xal7"
11,['1433749665997074436'],1433749665997074436,"Sundhedsstyrelsen er i gang med at planlægge udrulningen af indsatsen i dialog med kommuner og regioner. Beboere på plejehjem vil få tilbudt et 3. stik på deres plejehjem, som en del af regionernes udkørende enheder. Læs mere her: https://t.co/BwACG1150N"
12,['1433749658740871171'],1433749658740871171,"I næste uge begynder revaccination af vores plejehjemsbeboere i Danmark. De seneste par uger har vi set en stigende smitte på plejehjemmene, selvom 96% af alle beboere er vaccinerede, og samtidig har de den største risiko for et alvorligt forløb med COVID-19. #dkpol #Covid19dk https://t.co/bB0FvRpdJM"
13,['1433354808598179842'],1433354808598179842,RT @CatSorensen: I dagens @Informeren skriver jeg om ny @thinkeuropa meningsmåling med @ecfr om reaktioner på coronakrisen i 12 EU-lande:…
14,['1432709984140341253'],1432709984140341253,"Læs mere om den faglige baggrund her. Og hvis du kender nogen familier i målgruppen, så sig det gerne videre. Tak 🤝
#sundpol 
 https://t.co/OOYmP4e1xt"
15,['1432709982131265549'],1432709982131265549,"Samtidig tilbydes borgere over 85 år en såkaldt højdosis vaccine, så de er ekstra godt beskyttet. Også personer med et BMI mellem 35-40 tilbydes nu en gratis influenzavaccination. De ekstra doser ruster os til at øge tilslutningen fra 75-95 % for de udvalgte målgrupper."
16,['1432709979648188425'],1432709979648188425,"Det er nyt, at de yngste også tilbydes vaccination mod influenza. Tilbuddet forventes at kunne bremse influenzasmitten markant hos børnene samt forebygge sygdom i familierne. Vaccination mod influenza til børn gives med næsespray, og der er tale om et gratis og frivilligt tilbud."
17,['1432709977710415874'],1432709977710415874,"Influenzasæsonen risikerer at blive ekstra hård, da der ikke var en sæsoninfluenza i vintersæsonen 2020-2021. Det vi gør nu er rettidig omhu. SST anbefaler, at sundheds- og plejepersonale med tæt kontakt til sårbare borgere, borgere over 65 år og børn på 2-6 år bliver vaccineret."
18,['1432709975923646469'],1432709975923646469,"Myndighederne udvider i dag gruppen af personer, der får tilbud om gratis influenza-vaccination. Det er muligt, fordi vi i Danmark har mere end fordoblet vores indkøb af influenzavacciner, netop for at kunne forebygge. I alt 2,5 mio. doser er nu reserveret til Danmark."
19,['1432666338208649225'],1432666338208649225,"Kontakttallet er beregnet til 0,9, så epidemien ser fortsat ud til at være faldende. Primært takket være vaccinerne. Vi fortsætter indsatsen med at nå målet om, at 90% af alle over 12 år bliver vaccineret. Vi er i dag på 86,13% og mangler ca 194.000 for at nå i mål. #COVID19dk https://t.co/bIGNEcIGgm"
20,['1431506724071034880'],1431506724071034880,"RT @ClasenK: Virkelig god nyhed op til weekenden. Tak til @Heunicke for at frigive J&amp;J vaccinerne, der er som skræddersyet til søfolk. #bla…"
21,['1431224966968750083'],1431224966968750083,RT @udviklingsmin: Pleased that the first batch of vaccines from Denmark's contribution of 1 mio vaccines to #covax has arrived in Algeria.…
22,['1431180046488768518'],1431180046488768518,"Det er den gode danske epidemihåndtering, der gør det her muligt, og jeg vil sige tak til alle involverede for et gigantisk arbejde. Tråd slut 🧵&lt;-"
23,['1431180045230477316'],1431180045230477316,"Rent personligt vil jeg sige, at jeg har arbejdet frem mod denne dag, hvor vi kunne komme med den melding. Det hårde arbejde er ikke forbi, og et blik ud i verden viser, hvorfor vi fortsat skal være på vagt."
24,['1431180043905118210'],1431180043905118210,"Vi fortsætter med en stærk epidemiovervågning, test, sekventering, spildevandstest mm, en effektiv vaccinationsudrulning og en parathed til at sætte ind, skulle det blive nødvendigt."
25,['1431180042722230277'],1431180042722230277,"Det er lige så vigtigt, at vi er parate til at fralægge os redskaberne, når de ikke længere er nødvendige at bruge. Og der er vi nu."
26,['1431180041459744773'],1431180041459744773,"Vi har fra starten af epidemien været dybt afhængige af dels befolkningens opbakning til indsats og restriktioner, dels folketingets opbakning til at tage de redskaber i brug, der har været nødvendige."
27,['1431180040197312515'],1431180040197312515,"Hvis der sker pludselige, alvorlige udviklinger, fremkommer nye varianter eller andet, der truer epidemikontrollen i Danmark, vil vi ikke tøve med at sætte ind igen. Men epidemilovens særregler skal ikke være den nye normal i samfundet."
28,['1431180038968328198'],1431180038968328198,"Dermed udløber de sidste af vores vigtigste restriktioner samme dag. Andre har vi som bekendt allerede ophævet. Det kan kun lade sig gøre, fordi vi er så langt i vaccinationsindsatsen og har så stærk en epidemikontrol."
29,['1431180037701738497'],1431180037701738497,"På vores pressemøde i mandags fremlagde jeg, at vi i dialog med eksterne eksperter og styrelser ville drøfte netop dette. Vi har nu færdiggjort denne vurdering, og vores konklusion er, at vi ikke vil forlænge klassifikationen af covid-19 som samfundskritisk."
30,['1431180036485402626'],1431180036485402626,"Kun hvis en sygdom har denne klassifikation, kan der indføres tiltag som nationale nedlukninger, krav om coronapas, forsamlingsforbud, mundbindskrav mm."
31,['1431180035248070657'],1431180035248070657,"Dernæst er det en politisk vurdering, om en sygdom også er samfundskritisk. Det kræver blandt andet, at den er til fare for vigtige samfundsfunktioner (feks vores sundhedsvæsen)."
32,['1431180033989697536'],1431180033989697536,"Ifølge epidemiloven skal en sygdom være defineret som alment farlig af Sundhedsstyrelsen, for at man kan sætte ind med en række af de tiltag, vi har haft i brug i Danmark. Denne sundhedsfaglige vurdering er der ikke ændret på mht covid-19."
33,['1431180032274280448'],1431180032274280448,"Covid-19 har i halvandet år påvirket vores samfund, både i Danmark og udlandet. Virus er her stadig, og særligt med deltavarianten har den fået fornyet kraft. Men i Danmark står vi stærkere, derfor har jeg nyt om den juridiske definition af sygdommen. Tråd 🧵…-&gt;"
34,['1430846228619841537'],1430846228619841537,"I dag rammer vi en ny, flot vaccinemilepæl. 80% af alle over 12 år er nu færdigvaccineret. Tak til de over 4 mio. danskere, der har taget imod tilbud om vaccination. Husk at du nemt og trygt kan gøre brug af vores vaccinationstilbud og få dit stik allerede i dag #COVID19dk https://t.co/hYE2IoDQHc"
35,['1430128139062190087'],1430128139062190087,"Kontakttallet er beregnet til 0,9, dvs nu igen en let faldende epidemi i Danmark. Stærkt! Et klart resultat af vaccinationsindsatsen. Lad os nu komme helt i mål. Derfor rykker @SSTSundhed ud med vaccinerne til uddannelser, arbejdspladser og udsatte boligområder. #COVID19dk https://t.co/q2JGnLnmb0"
36,['1429857135412776963'],1429857135412776963,RT @M_B_Petersen: I dag talte jeg med et østeuropæisk tv-hold. De fortalte om deres oplevelser under pandemien. Om en vinter med udgangsfor…
37,['1429542021006495747'],1429542021006495747,RT @BallouxFrancois: It is becoming increasingly clear to me which countries managed the pandemic best. I would personally nominate Denmark…
38,['1427597508700741633'],1427597508700741633,"Kontakttallet er igen beregnet til 1. Det er fjerde uge i træk, hvor vi måler en stabil epidemi. Vi når i dag en markant milepæl: 75% af alle danskere på 12+ år er nu færdigvaccineret! Vi har brug for den maksimale beskyttelse mod corona i DK, så bliv vaccineret i dag. #COVID19dk https://t.co/AsYh7fbzb3"
39,['1426522061808209922'],1426522061808209922,"Hvor er det her fantastisk gribende billeder fra Brentfords første kamp i den bedste engelske række siden 1947. Fuldkommen rørende at se Thomas Frank, tårerne triller ned ad kinderne på publikum 🥲 Og så smukt at kommentatorerne bare lader billederne tale
https://t.co/iEYAoSIXuF"
40,['1425776178015637507'],1425776178015637507,"RT @SSTSundhed: STATUS: Tilslutningen til vaccinationsprogrammet mod COVID-19 er tårnhøj, men der er blandt de 20-29-årige en lidt lavere t…"
41,['1425770016507584512'],1425770016507584512,RT @regionsjaelland: I dag åbnede Region Sjælland det første af mange pop-up vaccinationscentre ved en uddannelsesinstitution. @SSTbrostrom…
42,['1425722281305808899'],1425722281305808899,"RT @hejlisbeth: Hvis man er i tvivl om restriktioner og vacciner har effekt og om covid faktisk er alvorlig, så kan man jo se, hvordan det…"
43,['1425505745152495618'],1425505745152495618,@pederhvelplund @PSkipperEL Velkommen ombord igen 💪☺️
44,['1425455059178033152'],1425455059178033152,"Tak for godt arbejde af Sundhedsstyrelsen. Endnu et fornuftigt skridt på vores vej tilbage til en mere normal hverdag i den danske coronastrategi. Er takket være opbakning til vacciner i Danmark og den effektive udrulning.
https://t.co/xJoImZMogl"
45,['1425097121183764483'],1425097121183764483,"Nu er over 60% af befolkningen færdigvaccineret, det svarer til over 3 mio. personer! Den næste tid vil bl.a. udkørende og målrettede vaccinationsstilbud gøre det nemt og selvfølgelig stadig trygt for de sidste danskere, der vil, at få deres stik #Covid19dk https://t.co/Hk7VurJHQJ"
46,['1425059594016071718'],1425059594016071718,"Kontakttallet er beregnet til 1 og antal indlagte er i dag 85. Tyder på en stabil epidemi, som de mange danskere, der  nu er vaccinerede, holder nede. Vaccinerne er vores stærkeste våben, lad os få det maksimale ud af dem, derfor opfordring: Få dit stik i dag #COVID19dk https://t.co/dqWwn46RcN"
47,['1423967532956913665'],1423967532956913665,Super playliste her 🎸🎶🎤💉 https://t.co/Z8nlNvKiYH
48,['1423960868929384448'],1423960868929384448,"Fantastisk imponerende og inspirerende, det de danske idrætsfolk og ledere leverer til #Tokyo2020 Og den her høst er før håndboldfinalen 🇩🇰
🥇🥇🥇🥈🥈🥈🥉🥉🥉🥉
#DEN #Olympics https://t.co/wflfAp9I79"
49,['1422589906686287881'],1422589906686287881,"@CSZT Godt at høre. Ja, vores golde folk og vores IT-systemer har virkelig skullet stå distancen. Vi kan lære så meget af alt det her. Til lykke med vaccinen."
50,['1422589444935274508'],1422589444935274508,RT @CSZT: Sidder stadig til observation. Coronapas allerede opdateret. Tænk lige på infrastrukturen bag. Fandme imponerende. Flot eksekvere…
51,['1422461638188412960'],1422461638188412960,"RT @CurtLiliegreen: Danmarks Covid19 vaccinations program er nu et af de mest succesrige i verden, dog endnu overgået af UAE, Seychellerne…"
52,['1422196397663731712'],1422196397663731712,"@SebStanbury Ja du har ret. Er vildt imponeret over de danske sportsfolk. Så inspirerende. Og kanon flot OL indtil videre. Men der er mere, der venter på os..."
53,['1422195011165302785'],1422195011165302785,@SebStanbury Vi kommer til at tangere rekorden fra OL i London 1948
54,['1422178710212468742'],1422178710212468742,"Kæmpe stort til lykke til @ViktorAxelsen 🏸🥇- Nu har jeg fandme gjort det!! Flotte sejrstårer. Du lod ketcheren tale Viktor. Hvor er det utrolig rørende, fortjent og dybt dybt imponerende. Tak!! #Olympics #DEN https://t.co/29HgtftAQ6"
55,['1419562179674652676'],1419562179674652676,"Så er der medalje til Danmark, venner 🇩🇰👏👏👏 Sådan Jesper Hansen. Vi sidder hele familien og ser skeetskydning mandag morgen. Det havde jeg ikke lige troet. Super konkurrence, stærkt Jesper #DEN #Olympics https://t.co/mDSQqw80Cv"
56,['1417818129472835584'],1417818129472835584,"Vi fortsætter indsatsen med at vaccinere Danmark. En kæmpe holdindsats af hele nationen, vi giver hver dag ca 80.000 vigtige stik 🇩🇰👏
Tak til alle, der arbejder stenhårdt med at vaccinere den danske befolkning.
Her DK sammen med udvalgte lande fra https://t.co/u8A5W4tzof. https://t.co/918cMO8pmm"
57,['1417210829619990533'],1417210829619990533,"Jeg er færdigvaccineret ♥️ Som nummer 2.655.068 i Danmark. Tak til sygeplejerskestuderende Oguzhan og hele personalet i Ishøj Vaccinationscenter for super god og effektiv vejledning. Og vores 13-årige datter fik sit 1. stik. Vi runder snart 4 mio, der har fået mindst et stik 💪🇩🇰 https://t.co/iDzemj0GcL"
58,['1417176916994498569'],1417176916994498569,"Så har vi kurs mod vaccineland 💪💉♥️🇩🇰 I aften skal jeg have mit 2. stik, og vores datter på 13 skal have sit første. Tak til alle, der hjælper med til, at vi har vaccineudrulning i verdensklasse. Også tak til jer, der booker vacciner til jer selv og jeres unge mennesker 👏👏 https://t.co/HhELYz33Jg"
59,['1412893364559699973'],1412893364559699973,"We’ll be back 🇩🇰
Tak af ♥️ til vores spillere, trænerstab, ledere og fans 🇩🇰 I har givet Danmark et fællesskab, en fest, en følelse af frihed, som vi har længtes efter mere, end vi anede. Jeres spil, jeres mentalitet, jeres kammeratskab. Kæmpe inspiration
#ENGDEN #den #ForDanmark https://t.co/rohLSLM45k"
60,['1410646927146946560'],1410646927146946560,"RT @UlrikAndre_B: Første leverance af vacciner fra Rumænien er på vej til DK. Sådan ser det ud, når man fragter vaccinerne, som er forsegle…"
61,['1410636864630013953'],1410636864630013953,RT @SSI_dk: Første sending af Pfizer-vacciner fra Rumænien på vej til Danmark. https://t.co/LLndLzrRt8
62,['1410534795373912068'],1410534795373912068,"Så er hver 3. dansker færdigvaccineret! Præcis 1.964.839 personer. Tak til alle jer, der er med i processen, fra at vaccinerne bliver transporteret til DK, IT-indsatsen og til vi får stikket i vaccinecentrene. Det er en historisk vaccineindsats, som I gør mulig 💉💪🏼🇩🇰 #COVID19dk"
63,['1410480798478782467'],1410480798478782467,"Vi forlænger tilbuddet om gratis vaccination mod kighoste til gravide. Foreløbig til den 31. marts 2022. Der er tale om vigtig vaccine for gravide i tredje trimester, for den beskytter både moderen og det nyfødte barn i barnets første levemåneder #vaccinervirker #sundpol https://t.co/HXQP0oF8fH"
