,edit_history_tweet_ids,id,text
0,['729528975442219008'],729528975442219008,S står for en benhård kurs overfor hadprædikanter. De må Ikke kunne sprede deres had i DK #dkpol https://t.co/LRVSQoxzS5
1,['729361226061516800'],729361226061516800,Historiens dom over Fogh bliver hård https://t.co/Uvdeozwm3d
2,['728662156523245569'],728662156523245569,"Tankevækkende at tænke på at, Khan ikke vil være velkommen i USA, hvis Trump vinder #dkpol https://t.co/i7LaywjZrS"
3,['728479880892035072'],728479880892035072,RT @mfMorten: Vildt! Statsrevisorerne anklager transportminister for MISBRUG af letbane-rapport. Samråd i finansudvalget! #dkpol https://t.…
4,['728467763795087360'],728467763795087360,Top-politiker til Ståle: Pas din egen butik https://t.co/4L9fEV8DnF
5,['728310198809546752'],728310198809546752,"Pas din egen butik Ståle. Aarhus er en fodboldby, hvor vi støtter byens hold i medgang og modgang ! #dbupokalen https://t.co/ShuexLBGPr"
6,['728303035819110402'],728303035819110402,"@FrankJensenKBH Ja intens fight og fantastisk stemning i Parken. To stærke hold, to fantastiske byer !"
7,['728301597583941632'],728301597583941632,Pas din egen butik Ståle. I Aarhus holder vi med byens hold i medgang og modgang! #dkpol https://t.co/vTC1BucgEX
8,['728191859823149056'],728191859823149056,Glæder mig til pokalbrag i Parken. Det bliver så stort⚽️👍 #dkpol https://t.co/0V7M5XSMP5
9,['727783937129496576'],727783937129496576,Stort tillykke til Pernille. Hun bliver en dygtig skipper for Enhedslisten. En stærk kvinde afløser en anden #dkpol
10,['727782249958117376'],727782249958117376,"Tak for flot indsats, samarbejde og gode grin til mn sidekammerat i folketingssalen #dkpol https://t.co/sXZmy3rNwN"
11,['727777013663182848'],727777013663182848,"Har Elbæk sin egen ""kreative kasse"" eller hvordan skal de 11 mia. ellers betales ? #dkpol https://t.co/1T8nPYd5l4"
12,['727766208766939140'],727766208766939140,"Elbæk har i den grad åbnet den ""kreative kasse"" op på vid gab. Hvor finder han de 11 mia  #dkpol https://t.co/1T8nPYd5l4"
13,['727601448452820996'],727601448452820996,Elbæk og co vil ikke lukke solcelle-hul til 11 milliarder kroner. Meget alternativt og dybt uansvarligt #dkpol
14,['726654846850490368'],726654846850490368,God start på dagen. God 1. Maj #dkpol https://t.co/zT5Y6pH8oK
15,['726167172356165632'],726167172356165632,Indhentet af virkeligheden. Danskerne vil have styr på butikken og ordentlig velfærd #dkpol https://t.co/h3WA8RuSLM
16,['725307505052667904'],725307505052667904,"Flot gave og velfortjent klap på skulderen til en meget, meget vigtig indsats #dkpol https://t.co/dOpQIJ7Tvk"
17,['724716889247744000'],724716889247744000,Dagens tilståelsessag fra regeringen ! #dkpol https://t.co/LEm1tL8Wp6
18,['724300216023822340'],724300216023822340,"@mfMorten @BrondbyIF @oestergaard Håber at du er lige så begejstret, når du støtter GF i Parken til pokalfinalen."
19,['723154612610580480'],723154612610580480,Spændende læsning !  #dkpol Hans Engell: Nogen i blå blok kommer til at løbe fra løfter https://t.co/AO26sx1n6I
20,['723149225962430464'],723149225962430464,Meldingerne i blå blok har nået tragikomisk niveau. Hvad bliver mon det næste? #dkpol https://t.co/ZAxIuAUOU5
21,['722867075996225537'],722867075996225537,Bombe under Løkke. DF trækker tæppet væk under hele regeringens økonomiske politik #dkpol https://t.co/BD6hbPVyQE
22,['722400192188821504'],722400192188821504,DF straffes som halehæng til svag Løkke og for besparelser på ældre og kontanthjælp #dkpol https://t.co/EhCZETMiWZ
23,['721983209307770880'],721983209307770880,Dårlig dag i blå blok. Hård kritik og manglende opbakning. Peger DF fortsat på Løkke ? #dkpol  https://t.co/WssnVQ845S
24,['718680197000773632'],718680197000773632,Meget skidt signal at Løkke dropper FNs store klimamøde i New York. DKs statsminister bør naturligvis være med #dkpol
