,edit_history_tweet_ids,id,text
0,['1511985687779856387'],1511985687779856387,"@MarianneVind Kære Marianne. Jeg synes, at du burde læse lovforslaget. Der er intet i det, der begrænser, hvor meget grønt flybrændstof selskaberne må bruge. Det er der heller intet i min betænkning, der gør: 

https://t.co/aLty7hEEOH"
1,['1482005678516576256'],1482005678516576256,"Ingen uenighed her. Ved ophævelse af forsvarsforbeholdet skal der følge penge med. Det mener Jakob Ellemann, og det mener jeg. Flere opgaver til forsvaret skal selvfølgelig finansieres.

https://t.co/Qu7YGn5Mv6"
2,['1468963896002109440'],1468963896002109440,"DSB trænger til at komme op i gear. Hvert år er der alt for mange forsinkelser og aflyste toge. Derfor bør togdriften yderligere privatiseres. Danskerne fortjener billige og hurtige toge, der kommer til tiden. #dkpol #dktrp https://t.co/iwqRkOyeiz"
3,['1461334959352950788'],1461334959352950788,"RT @indblik: “Vi er nødt til at se på atomkraft på en anden måde end for 30 år siden, hvor alle var forskrækkede”, lyder det fra Venstres E…"
4,['1458461421591830537'],1458461421591830537,Triste billeder vi ser med tusindvis af migranter gående på motorvejen mod den polske grænse. EU-Kommissionen svigter igen og igen kontrollen med den ydre grænse. Forstår godt at nogle lande føler sig tvunget til at handle selv og sætte hegn op. #dkpol https://t.co/iO7W0MZt8E
5,['1455142361483419665'],1455142361483419665,RT @Forsvarsmin: Søren Gade Jensen bliver ny kommitteret for @Hjemmevaernet https://t.co/unN2VJJtKs
6,['1451142208376217600'],1451142208376217600,"Atomenergi er grønt og burde føjes til EU’s liste over grønne energikilder. Der er brug for atomkraftværker, hvis vi skal energikrisen til livs og få sat en stopper for de tårnhøje elregninger, der lurer rundt om hjørnet. #dkpol #eudk #dkgreen https://t.co/bmV6yfBcgv"
7,['1448942966903541771'],1448942966903541771,Læs indlægget her: https://t.co/yo8RCEaR1V
8,['1448942851539210265'],1448942851539210265,"Øremærket barsel til mænd åbner for en ny sluse af velfærdsydelser, EU-borgere helt frit kan udnytte, som de har lyst til – ligesom med SU, SU-lån og dagpenge. Til fare for vores danske velfærdsmodel. Det skal stoppes nu! Danske velfærdsydelser tilhører danskerne. #dkpol #eudk https://t.co/jVBTRbPfai"
9,['1434472083715674112'],1434472083715674112,"RT @Ullegaard: Stor anerkendelse til de, der har gjort forskel for Danmark som udsendte til verdens brændpunkter. Glad ved at læse @JakobEl…"
10,['1387742893041979393'],1387742893041979393,"Skandale, at uddannelsesinstitutioner ødsler penge væk på at få flere udenlandske studerende til DK gennem agenter på skatteborgernes regning. De har ikke betalt for, at se vores velfærdsmodel blive udsultet af EU-borgere helt kvit og frit. #uddpol #dkpol https://t.co/prilqvhcOG"
11,['1382669076573659136'],1382669076573659136,"Antallet af spilreklamer er eksploderet. Til stor sorg for ludomaner og pårørende. Det bør stoppes omgående med et totalt forbud. Men det kræver, at mine gamle kollegaer i Folketinget simpelthen træder i karakter og får sat en stopper for galskaben. #dkpol https://t.co/YhtnzTnYGW"
12,['1374789419929108486'],1374789419929108486,"RT @Eibcouncil: We are pleased to announce Mr. @SoerenGade as the founding Chairman of @Eibcouncil 

Speaking at the high level Roundtable…"
