,edit_history_tweet_ids,id,text
0,['1246776905040302080'],1246776905040302080,"@pelledragsted Har jeg sagt det, Pelle? Har jeg antydet det? Har jeg overhovedet kommenteret på dit forslag fra sidste uge, Pelle? Eller var det nogle andre?"
1,['1246672994191183872'],1246672994191183872,"@AndersSchaffner Nu er Borgen ikke et helt almindeligt kontor. Når jeg viser kommunikationen frem, handler det også om at vise de mennesker, der beder om hjælp, at der bliver lyttet til dem. Vil du hellere have, at politik foregår i det skjulte frem for i offentligheden?"
2,['1246431929580339200'],1246431929580339200,"@JesperAndreasen @LarsStorr @venstredk @Venstre Det er der nemlig. Og det kan de ikke, hvis virksomheden går ned. Også derfor skal vi holde hånden under danske virksomheder."
3,['1246431383687434240'],1246431383687434240,RT @LarsStorr: Spændende forslag fra @venstre @JakobEllemann om at kæde udbyttebetaling og brug af hjælpepakker sammen👍 der er brug for at…
4,['1246384065789517825'],1246384065789517825,RT @DanskIndustri: Det her handler om at hjælpe helt almindelige virksomheder som pga #COVID2019dk kæmper for at bevare arbejdspladser i 🇩🇰…
5,['1246348178166857728'],1246348178166857728,"@ChristSchmedes @troelslundp @venstredk Vi pynter os ikke med lånte fjer. Vi fremsætter konstruktive forslag, som skal holde hånden under danske arbejdspladser. Det er vores pligt som ansvarlig opposition. Og jeg insisterer på at gøre alt, jeg kan, for at holde hånden under mit land. Uanset hvad en falsk profil mener."
6,['1246343362699026438'],1246343362699026438,"@ChristSchmedes @troelslundp @venstredk Det sagde du også om vores seneste forslag, som regeringen så afviste. Vi insisterer på at komme med forslag og være konstruktive. For det har Danmark brug for."
7,['1246334409843904512'],1246334409843904512,"@Jpmikkelsen @BosseStine Vi prøver at hjælpe med, at færrest muligt bliver arbejdsløse. Det er den bedste hjælp."
8,['1246326141696294912'],1246326141696294912,"RT @LarsSandahlS: Vi står i en historisk alvorlig krise, hvor situationen udvikler sig dag for dag både i DK og i alle de lande vi handler…"
9,['1246325927338029058'],1246325927338029058,"@helate1973 “Husk befolkningen?” Det er jo hele pointen. Det her handler om at holde hånden under helt almindelige danskeres arbejdspladser. Håndværkere, butiksansatte, ingeniører, lagerarbejdere, etc. for at færrest muligt stiller sig om i køen af arbejdsløse."
10,['1246322213134925824'],1246322213134925824,"Stor stigning i ledigheden i Danmark. Coronakrisen er større og mere voldsom end noget andet, vi har set. Alt for mange danskere står med frygt for en fyreseddel. Derfor skal vi gøre mere. Og samtidig kræve mere af dem, der får mest hjælp. https://t.co/845kYcuGmC"
11,['1246321585490923520'],1246321585490923520,"RT @BrianAMikkelsen: Coronakrisen rammer #dkbiz hårdt. Helt rigtigt, at @venstre nu foreslår forlængelse og forbedringer af de i forvejen g…"
12,['1245720702256283648'],1245720702256283648,@knudoboy @MariaGjerding Det har Twitter heldigvis et værktøj til. Du kan bare “mute” mig.
13,['1245693439670452224'],1245693439670452224,"RT @almeneboliger: 18,4 milliarder kroner venter på at komme ud at arbejde. 
 
Lad os kickstarte dansk økonomi ud af corona-krisen ved at b…"
14,['1245641450777264130'],1245641450777264130,@knudoboy @MariaGjerding Hold da fast. Karantænekuller eller plejer du at være sådan?
15,['1245435900634464256'],1245435900634464256,"@MariaGjerding De grønne biler kræver plads, Maria!"
